you,toi
showgirls,danseuses
clothesline,corde à linge
overshadowed,éclipsé
approximation,approximation
beefing,bœuf
ornamental,ornemental
savanna,savane
pb,pb
annoyingly,agaçant
induces,induit
cappuccinos,cappuccinos
esparza,esparza
mech,méca
samoa,Samoa
rinaldo,Rinaldo
carbine,carabine
stil,toujours
salih,salih
perri,Perri
median,médian
tonia,Tonia
erases,efface
squealer,couard
airfields,aérodromes
suppertime,l'heure du souper
penalized,pénalisé
quizzes,quiz
tugs,remorqueurs
condiments,condiments
palisades,palissades
ipswich,Ipswich
geddes,geddes
equitable,équitable
wavered,hésita
recharged,rechargé
pillaging,pillage
fado,fado
willingham,willingham
blithering,bavardage
agitators,agitateurs
unabomber,Unabomber
favoritism,favoritisme
monogram,monogramme
accords,accords
studious,studieux
gilman,Gilman
inference,inférence
ellery,Ellery
sisyphus,sisyphe
allenby,Allenby
hebrews,hébreux
trine,trine
all-knowing,omniscient
pretenders,prétendants
jamieson,Jamieson
bauble,babiole
reciprocal,réciproque
flapjacks,crêpes
demean,dégrader
mung,mung
discretionary,discrétionnaire
offscreen,hors écran
caroling,chants de Noël
douglass,Douglass
legionnaires,légionnaires
self-proclaimed,autoproclamé
showstopper,spectacle époustouflant
bradfield,Bradfield
dampen,humidifier
detested,détesté
kalahari,kalahari
grier,grier
ovulation,ovulation
rockstar,rockstar
miramar,Miramar
letterbox,boîte aux lettres
genres,genres
craddock,Craddock
unsympathetic,insensible
ill-gotten,mal acquis
bevy,bande
receptions,réceptions
bardo,bardo
unusable,inutilisable
iverson,Iverson
nokia,Nokia
padres,pères
imre,imre
sonnets,sonnets
grouped,groupés
drury,Drury
phuket,Phuket
stapled,agrafé
circulatory,circulatoire
coldplay,Coldplay
cochin,Cochin
sweepstakes,sweepstakes
beals,beals
astride,à califourchon
undercarriage,châssis
kirkwood,Kirkwood
observational,observationnel
resnick,Resnick
gisele,Gisèle
stowe,stocke
shikoku,shikoku
eclipses,éclipses
secretions,sécrétions
hockney,Hockney
berle,berle
jaye,Jaye
visualization,visualisation
hawthorn,aubépine
ferraris,Ferrari
spitzer,spitzer
medford,Medford
backboard,panneau
mild-mannered,doux et calme
grappa,grappa
wringer,essoreuse
rock-solid,solide comme le roc
misplace,égarer
dismemberment,démembrement
favoring,favoriser
valois,Valois
badmouth,médisance
decathlon,décathlon
mangrove,mangrove
encyclopedias,encyclopédies
probationary,probatoire
do-it-yourself,faire soi-même
stell,étoile
hotbed,foyer
akiba,Akiba
overstepping,dépassement
ioan,Ioan
wooley,laineux
sbk,sbk
boudreau,boudreau
heavy-handed,brutal
snubbed,snobé
rubbery,caoutchouteux
introverted,introverti
gutenberg,Gutenberg
linguistics,linguistique
mordor,Mordor
jaguars,jaguars
geraniums,géraniums
inwards,vers l'intérieur
bagman,intermédiaire
leggy,aux longues jambes
wantonly,sans scrupules
slung,suspendu
disher,Disher
spectrometer,spectromètre
calibrate,étalonner
ahi,ahi
ubu,ubu
faucets,robinets
reenter,réentrer
untouchables,intouchables
enclose,joindre
bongos,bongos
self-involved,égocentrique
lodz,Łódź
abate,diminuer
kirill,Kirill
tadeusz,tadeusz
noda,nœud
gossamer,gaze
lifesaving,sauvetage
morose,morose
fouquet,Fouquet
salford,Salford
connector,connecteur
stances,positions
oldman,vieil homme
poi,poi
ostensibly,en apparence
neuroscience,neuroscience
colonialism,colonialisme
uso,utilisation
bisque,bisque
slimeball,boule de boue
voy,voyage
cohesion,cohésion
hocus,hocus
spoilers,spoilers
clemence,Clémence
beneficiaries,bénéficiaires
toady,flagorneur
posner,Posner
marred,abîmé
pathetically,pathétiquement
alternatively,alternativement
hyundai,Hyundai
ple,ple
posses,posséder
self-employed,travailleur indépendant
tsao,tsao
dusky,sombre
behavioural,comportemental
newell,Newell
constituent,constituant
skidding,dérapage
nub,essentiel
watershed,bassin versant
marja,Marja
canines,chiens
peruse,lire attentivement
emissaries,émissaires
roadster,roadster
subvert,subvertir
swamy,swamy
houghton,Houghton
loiter,flâner
grimoire,grimoire
revolvers,revolvers
pashto,pachtoune
captor,ravisseur
delegated,délégué
disputing,contester
demetri,démétr
bossa,bossa
extracts,extraits
subservient,servile
bellybutton,nombril
kora,kora
classically,classiquement
sought-after,recherché
interchangeable,interchangeable
mustapha,Mustapha
zoot,zoot
formica,formica
expenditures,dépenses
slithering,rampant
yost,yost
bf,petit ami
hardness,dureté
sunbeam,rayon de soleil
greenspan,Greenspan
vanquishing,vaincre
debonair,débonnaire
margate,Margate
dereliction,abandon
anuj,Anuj
cooney,Cooney
gnawed,rongé
manami,manami
croquettes,croquettes
glowed,brillait
edelweiss,edelweiss
kingship,royauté
legible,lisible
farnese,farnese
papacy,papauté
flatterer,flatteur
yvan,Yvan
relaunch,relance
lune,lune
legrand,Legrand
demotion,rétrogradation
sizing,taille
antigone,Antigone
rawhide,cuir brut
neutralise,neutraliser
beverley,Beverly
semifinal,demi-finale
reviewer,critique
shyster,escroc
stockroom,magasin
str,str
fragility,fragilité
vagrants,vagabonds
kippers,harengs fumés
grafton,Grafton
urinals,urinoirs
astound,étonner
mystified,mystifié
born-again,né de nouveau
subscriptions,abonnements
leer,lorgner
betters,meilleurs
absurdly,absurdement
tallinn,Tallinn
kroger,Kroger
breads,pains
fabricating,fabrication
estoy,je suis
sewell,sewell
bad-looking,laid
briny,salé
mancuso,mancuso
chi-chi,chi-chi
vogler,Vogler
castaways,naufragés
cockamamie,foutaises
pandu,pandu
cellblock,bloc cellulaire
transceiver,émetteur-récepteur
mulan,Mulan
laryngitis,laryngite
expelling,expulser
brockman,Brockman
oran,oran
stillwater,eau plate
mailboxes,boîtes aux lettres
clarifying,clarification
ers,ers
lauri,lauri
haverford,Haverford
braga,Braga
two-dimensional,bidimensionnel
free-range,en plein air
involuntarily,involontairement
gerd,RGO
photocopier,photocopieur
janina,Janina
shrugged,haussa les épaules
cic,cic
flannigan,flannigan
magnusson,magnusson
gracia,merci
mandated,mandaté
levitation,lévitation
cielo,cielo
bunkhouse,dortoir
mamo,mamo
extorted,extorsion
ciudad,ville
flip-flop,tongues
mutating,mutation
nagata,Nagata
bosley,Bosley
bonfires,feux de joie
microchips,microprocesseurs
camry,Camry
lakota,lakota
hori,hori
glitters,paillettes
sus,suspects
vigo,vigo
regatta,régate
paraplegic,paraplégique
jabbing,coups
nakano,nakano
jockstrap,suspensoir
ney,argent
banded,bande
cornet,cornet
yokels,péquenauds
arugula,roquette
meine,meine
electrode,électrode
drusilla,drusille
beatdown,tabasser
ostriches,autruches
ula,ula
skyrocket,monter en flèche
pipelines,pipelines
econ,économie
aileen,Aileen
bratwurst,bratwurst
dimmer,variateur
keeley,Keeley
satirical,satirique
receptacle,réceptacle
sows,truies
beckoning,faire signe
helipad,héliport
rove,vagabonder
castaway,naufragé
dragonflies,libellules
smoothed,lissé
lovecraft,Lovecraft
mitsubishi,Mitsubishi
hot-water,eau chaude
mensch,mensch
veracruz,Veracruz
coley,lieu noir
alamos,alamos
extremism,extrémisme
solider,soldat
sed,sed
poli,poli
curable,guérissable
saku,saku
dislodge,déloger
urination,miction
pornos,pornos
huntsville,Huntsville
doodling,gribouillage
publicize,publier
aight,d'accord
kibble,croquettes
smears,frottis
unbearably,insupportablement
shreveport,Shreveport
macro,macro
reconsidering,reconsidérer
relegated,relégué
nary,nary
talkie,film parlant
ricks,Ricks
propagate,propager
vulnerabilities,vulnérabilités
bayside,bord de mer
ludmila,Ludmila
malachy,malachie
joiner,menuisier
karnataka,Karnataka
instalment,tranche
sune,soleil
endorsing,approuvant
affiliations,affiliations
midwives,sages-femmes
trick-or-treat,La charité s'il-vous-plaît
teleprompter,téléprompteur
withal,avec
branca,branca
mons,mons
sounder,sondeur
mordechai,mordechai
mutilations,mutilations
puckett,Puckett
reincarnate,réincarner
rioters,émeutiers
giro,giro
kasi,kasi
macedonian,macédonien
echidna,échidné
zhukov,Joukov
lengthen,allonger
mange,gale
awarding,récompense
modifying,modifier
posey,Posey
aleppo,Alep
limehouse,Limehouse
previews,aperçus
combatant,combattant
corroborated,corroboré
antibody,anticorps
bastien,Bastien
doctoral,doctorat
jago,jago
spindle,broche
hellcats,Hellcats
requisite,requis
basilio,basilio
pitiless,sans pitié
nineteenth,dix-neuvième
prerequisite,condition préalable
dufresne,dufresne
spake,a parlé
bulimia,boulimie
foregone,abandonné
dir,dir
glo,glo
godwin,Godwin
humanoids,humanoïdes
chives,ciboulette
adriatic,adriatique
campion,campion
amc,amc
thar,par là
prairies,prairies
tangent,tangente
respectively,respectivement
timur,Timour
nini,nini
keyword,mot-clé
iam,je suis
helpin,aider
moser,Moser
indeedy,en effet
preventive,préventif
off-world,hors du monde
hiker,promeneur
quintana,Quintana
carb,glucides
yggdrasil,Yggdrasil
commuted,trajets domicile-travail
approachable,approchable
recalibrate,recalibrer
rst,premier
waa,waa
pestered,harcelé
azuma,Azuma
durrell,Durrell
zaheer,Zaheer
catalonia,Catalogne
flawlessly,sans défaut
cluttered,encombré
harpo,harpe
procuring,acquisition
dachshund,teckel
iso,iso
krug,krug
brutish,brutal
burned-out,épuisé
milieu,milieu
alfonse,Alfonse
nonviolence,non-violence
sexless,asexué
gascoigne,Gascoigne
feigned,feint
canny,prudent
mercantile,mercantile
overlooks,surplombe
locos,locomotives
bathes,bains
cocteau,cocteau
driest,le plus sec
dollies,poupées
pervasive,envahissant
dien,dien
pirelli,Pirelli
ferdinando,Ferdinando
tushy,fesses
botticelli,Botticelli
zidane,Zidane
numerals,chiffres
pantsuit,tailleur-pantalon
bloodsuckers,suceurs de sang
rambler,randonneur
tita,tita
minnow,vairon
pineda,pinède
marginally,marginalement
premed,prémédication
falstaff,falstaff
infirm,infirme
bulletins,bulletins
peerless,hors pair
hues,teintes
couplet,distique
skylark,alouette
linguini,linguini
councillors,conseillers
widest,le plus large
salander,salander
inflame,enflammer
honing,honing
sterilization,stérilisation
comic-book,bande dessinée
engels,Engels
ex-lover,ex-amant
lajos,lajos
alcide,alcide
preoccupation,préoccupation
centaurs,centaures
oversaw,supervisé
teja,teja
freakishly,bizarrement
high-frequency,haute fréquence
uninhibited,sans inhibition
stowaways,passagers clandestins
kurdistan,Kurdistan
lah,lah
elke,elke
bestial,bestial
embroider,broder
axed,limogé
part-timer,à temps partiel
pontiff,pontife
consults,consultations
gratuity,pourboire
fertilization,fertilisation
whitest,le plus blanc
spratt,spratt
financiers,financiers
explores,explore
aeronautics,aéronautiques
restricting,restreindre
linguist,linguiste
pitfalls,pièges
zoology,zoologie
facetious,facétieux
seeped,s'infiltrait
sicilians,Siciliens
excusing,excuser
patterned,à motifs
toh,toh
liquorice,réglisse
yahoos,Yahoos
elmore,Elmore
ejector,éjecteur
sidewinder,Sidewinder
longfellow,Longfellow
revolutionized,révolutionné
kl,kl
descendent,descendant
grayer,grisonnant
sop,amadouer
lauryn,Lauryn
bushido,Bushido
spanning,couvrant
cymbal,cymbale
weaponized,militarisé
sprinting,sprint
hargreaves,Hargreaves
once-over,un examen
acrobatics,acrobaties
lowlands,basses terres
defused,désamorcé
worded,formulé
outfitted,équipé
life-size,grandeur nature
schooler,écolier
discriminated,discriminé
haber,Haber
gota,gota
mujahideen,moudjahidines
ands,et
nougat,nougat
barbiturates,barbituriques
hsia,hsia
excepting,excepté
handshakes,poignées de main
nur,nourrice
osmond,Osmond
hot-wire,fil sous tension
swaps,échanges
kom,kom
indentation,échancrure
blasphemer,blasphémateur
meeker,plus doux
peeper,voyeur
short-staffed,manque de personnel
schweitzer,Schweitzer
eighteenth,dix-huitième
impeding,entraver
meister,maître
gama,gamma
signpost,poteau indicateur
distended,distendu
insulate,isoler
bonito,beau
halen,Halen
miz,miz
salerno,Salerne
regs,règlements
fief,fief
meld,fusion
webbed,palmé
hmo,hmo
poco,poco
snape,Snape
moni,moni
dolittle,Dolittle
worshiping,culte
gutting,éviscérer
buoyancy,flottabilité
gophers,gaufres
top-of-the-line,haut de gamme
corolla,corolle
real-world,monde réel
sunspots,taches solaires
defunct,défunt
intrinsic,intrinsèque
medium-sized,de taille moyenne
monogrammed,monogrammé
digitalis,digitale
deflecting,déviation
dunning,escroquerie
dreamboat,beau gosse
kilroy,Kilroy
gabor,Gabor
whizz,sifflement
unflattering,peu flatteur
assemblies,assemblées
geneticist,généticien
mchugh,McHugh
computed,calculé
poolside,au bord de la piscine
bhutan,Bhoutan
bunion,oignon
swum,a nagé
berenson,Berenson
prattling,bavardage
complementary,complémentaire
overreaction,réaction exagérée
self-worth,estime de soi
lamarr,Lamarr
luster,lustre
rok,rok
campuses,campus
attuned,accordé
drayton,Drayton
woodshed,bûcher
vac,vac
parm,parmesan
rasmussen,Rasmussen
bitters,bitter
cricketer,joueur de cricket
forty-six,quarante-six
afield,loin
ridding,monter
consciences,consciences
whitby,Whitby
unwrapped,déballé
sawed-off,scié
disclosing,divulgation
forewarned,averti
pooling,mise en commun
wildflowers,fleurs sauvages
sanitizer,désinfectant
pavlovich,Pavlovitch
maggy,maggy
recognising,reconnaître
takano,Takano
fuckup,foutre en l'air
heya,Salut
sprawl,étalement urbain
summerhouse,maison d'été
emphasized,souligné
mystics,mystiques
macneil,Macneil
toasters,grille-pains
flaring,flamboyant
ernestine,Ernestine
limerick,Limerick
pel,pel
edmonds,Edmonds
whatsit,quoi
railroaded,chemin de fer
tangerines,mandarines
yucatan,Yucatan
aegis,égide
misfire,raté d'allumage
valdes,valdes
pepi,pepi
orla,orla
adidas,adidas
asymmetrical,asymétrique
madoka,Madoka
fulfilment,accomplissement
patrolled,patrouille
carli,carli
trouper,troupe
yas,oui
chutzpah,culot
herrings,harengs
paced,rythme
big-city,grande ville
listless,indifférent
tracts,voies
disappoints,décevant
walla,walla
feroz,feroz
aerosmith,Aerosmith
trowel,truelle
passerby,passant
sidonia,Sidonie
hurriedly,précipitamment
lek,lek
wingspan,envergure
busty,poitrine généreuse
runways,pistes
relatable,relatable
pinewood,bois de pin
wahoo,wahoo
bonbons,bonbons
overs,overs
deepen,approfondir
ferment,fermenter
keener,plus enthousiaste
gristle,nerfs
chyna,Chyna
pavements,trottoirs
vagrancy,vagabondage
stereotypical,stéréotypé
behind-the-scenes,dans les coulisses
hearin,entendre
repulse,repousser
defraud,frauder
reattach,rattacher
haller,haller
flatbush,Flatbush
penknife,canif
ww,ww
borrower,emprunteur
certainties,certitudes
blackwater,eau noire
ransack,saccager
passersby,passants
oblique,oblique
vladivostok,Vladivostok
persimmon,kaki
g-spot,point G
scorer,buteur
well-bred,bien élevé
cribs,berceaux
malign,calomnier
hobble,entraver
creepers,lianes
lytton,Lytton
honky-tonk,honky-tonk
samaritans,samaritains
reservoirs,réservoirs
king-size,king-size
clarion,clairon
melee,mêlée
egress,sortie
wast,gaspillage
detonates,détonation
schemer,intrigant
busch,busch
stanfield,Stanfield
sugar-free,sans sucre
paddies,rizières
incontinence,incontinence
pyle,pyle
tom-tom,tom-tom
strolls,promenades
failsafe,sécurité intégrée
wiggles,gigote
anglia,anglia
authentication,authentification
unspoiled,intact
sandusky,Sandusky
bouvier,bouvier
choker,foulard
grater,râpe
faxes,télécopies
statesmen,hommes d'État
rosso,rosso
polyps,polypes
flicked,feuilleté
taku,taku
one-track,une seule voie
drexel,Drexel
nikko,Nikko
reclaiming,récupération
rejoices,se réjouit
unintended,involontaire
nuit,nuit
ravel,effilochage
scrounging,fouiller
mathison,Mathison
offstage,dans les coulisses
ibsen,Ibsen
blabbed,bavardé
spewed,vomi
dearing,chéri
moldova,Moldavie
ces,ces
feuds,querelles
go-kart,karting
diwan,diwan
sicken,rendre malade
democracies,démocraties
fornicating,forniquer
kanin,Kanin
capp,capp
compresses,compresses
pisser,pisser
inevitability,inévitabilité
terje,terje
underhill,Underhill
stickup,braquage
slanted,incliné
miscreant,scélérat
pru,pru
brews,bières
rosales,rosales
hamill,Hamill
peasy,facile
olde,vieux
ecg,ECG
kirin,kirin
pastel,pastel
schopenhauer,Schopenhauer
horvath,Horvath
outlying,périphérique
wellman,Wellman
slavers,esclavagistes
wistful,mélancolique
procurator,procureur
entombed,enterré
bluesy,bluesy
jet-lagged,décalage horaire
shuffleboard,jeu de palet
egad,Oh mon Dieu !
northerners,les nordistes
erroneous,erroné
centerfold,page centrale
wishbone,wishbone
gayest,gay
skinnier,plus mince
shimla,Shimla
jacobsen,Jacobsen
nhl,LNH
duckworth,Duckworth
ferryman,passeur
badness,méchanceté
nits,poux
infuser,infuseur
cvi,cvi
trimmer,tondeuse
kopecks,kopecks
preminger,Preminger
trujillo,trujillo
trams,tramways
trepidation,inquiétude
hummingbirds,colibris
signifying,signifiant
she-wolf,Louve
sympathizer,sympathiser
pvc,PVC
coppola,Coppola
cots,lits de camp
tetra,tétra
uplift,soulèvement
nosferatu,Nosferatu
birk,Birk
drudgery,corvée
mooring,amarrage
halford,Halford
shira,Shira
howto,comment
unassuming,modeste
saira,Saira
fostering,favoriser
womenfolk,femmes
skewed,biaisé
itis,c'est
domine,domine
refineries,raffineries
unaccompanied,non accompagné
teats,mamelles
felling,abattage
wallflower,giroflée
yvon,Yvon
stilettos,talons aiguilles
veritas,vérité
els,els
sorrier,plus désolé
hawker,colporteur
rationed,rationné
biscayne,Biscayne
follicles,follicules
infarction,infarctus
kyla,Kyla
reverted,rétabli
donato,donato
partnering,partenariat
inputs,entrées
sustainability,durabilité
janssen,Janssen
apnea,apnée
caca,caca
flanking,flanquer
disraeli,Disraeli
pasts,passés
edi,édition
inversion,inversion
entrap,prendre au piège
omicron,omicron
submissions,soumissions
yancey,yancey
anasazi,Anasazi
primus,primus
epcot,Epcot
tunneling,tunnelage
tase,goût
rotc,rotc
crafting,artisanat
scalded,échaudé
dasha,dasha
khomeini,Khomeiny
tattle,cancans
hershel,Hershel
sold-out,épuisé
premarital,avant le mariage
talkies,films parlants
harnesses,harnais
preparatory,préparatoire
jokin,plaisanterie
ashland,Ashland
antidepressant,antidépresseur
panchayat,panchayat
fibula,fibule
tabernacle,tabernacle
berkshire,Berkshire
fandango,fandango
haman,Haman
fiddlesticks,baguettes de violon
unmitigated,absolu
thousandth,millième
blackguard,canaille
kens,Kens
labeling,étiquetage
remade,refait
liaisons,liaisons
gilt,doré
guatemalan,guatémaltèque
perturbed,perturbé
side-effects,effets secondaires
peace-loving,pacifique
mandalay,Mandalay
k2,k2
hot-dog,hot-dog
erick,Érick
knowest,savoir
scruff,barbe naissante
conversationalist,causeur
ursa,ourse
commemoration,commémoration
ronni,ronni
enforcers,les forces de l'ordre
benitez,Benitez
half-man,demi-homme
motorists,automobilistes
ricin,ricine
timor,Timor
affords,permet
stewing,mijotage
gargantuan,gargantuesque
plo,OLP
estimating,estimation
sociopaths,sociopathes
comtesse,comtesse
practitioners,praticiens
deductive,déductif
fou,fou
wussy,mauviette
pavarotti,Pavarotti
kyo,Kyo
wilberforce,wilberforce
hunky-dory,tout va bien
statuette,statuette
dryden,Dryden
tiptoeing,marcher sur la pointe des pieds
concoct,concocter
kino,cinéma
outboard,hors-bord
decibels,décibels
expeditionary,expéditionnaire
renter,loueur
interceptors,intercepteurs
ubiquitous,omniprésent
mafioso,mafieux
nazism,nazisme
triplicate,triplicata
prenuptial,prénuptial
mescaline,mescaline
cornering,virage
skidded,dérapé
lionesses,lionnes
tn,tn
baer,baer
open-air,à ciel ouvert
gretzky,Gretzky
marcelino,Marcelino
kew,Kew
tallis,talis
raton,raton
notte,note
caseworker,travailleur social
dismember,démembrer
nicodemus,Nicodème
piloted,piloté
vacuumed,aspiré
arouses,excite
honeybee,abeille
assunta,assunta
eugen,Eugène
wands,baguettes
barroom,salle de bar
torturous,tortionnaire
turpin,térébenthine
grandview,Grandview
cinders,cendres
prolonging,prolonger
breastfeed,allaiter
santorini,Santorin
blogging,bloguer
huan,huan
spongy,spongieux
deckard,Deckard
paracetamol,paracétamol
embellished,embelli
inserts,inserts
chucho,chucho
well-rounded,équilibré
muslin,mousseline
fealty,fidélité
branko,branko
tartars,tartares
naik,naik
slated,prévu
hardwired,câblé
roundtrip,aller-retour
changeable,changeable
beene,abeille
creamer,crème
inman,homme
saleswoman,vendeuse
cronkite,cronkite
flayed,écorché
rna,ARN
punchline,chute
mitra,mitra
pales,pâles
pucks,rondelles
auerbach,Auerbach
taxman,percepteur
physio,physio
fertiliser,engrais
fela,fela
semifinal,demi-finale
chin-chin,menton-menton
infuse,infuser
semiautomatic,semi-automatique
dashwood,Dashwood
isamu,isamu
wid,avec
bangor,Bangor
brioche,brioche
contradicted,contredit
contingencies,contingences
gianna,Gianna
aishwarya,Aishwarya
grift,arnaque
sufferers,souffrants
nutters,cinglés
squids,calmars
tarr,goudron
mastectomy,mastectomie
sharia,sharia
velasco,Velasco
emf,force électromotrice
emmys,Emmys
voir,voir
shut-in,reclus
britten,Britten
averaging,moyenne
petticoats,jupons
tas,tas
archetype,archétype
wordplay,jeu de mots
heckle,interrompre
copious,copieux
brodsky,Brodsky
gto,gto
fervently,ferventement
gazelles,gazelles
ricocheting,ricochet
somersaults,sauts périlleux
honouring,honorer
anatolia,Anatolie
baptise,baptiser
bock,bloc
dandelions,pissenlits
slav,slave
medallions,médaillons
skirmishes,escarmouches
snowmen,bonhommes de neige
hamlin,Hamlin
skiers,skieurs
woolsey,Woolsey
oscillating,oscillant
courageously,courageusement
breadsticks,gressins
lata,lata
blacken,noircir
highschool,lycée
bernd,Bernd
doritos,Doritos
maharaj,maharaj
ingeborg,Ingeborg
creepier,plus effrayant
diversions,détournements
emmeline,Emmeline
gung-ho,enthousiaste
pitiable,pitoyable
steffi,steffi
traynor,traynor
puritans,puritains
rattler,crotale
olof,olof
taguchi,taguchi
rivalries,rivalités
courtland,courtland
yolks,jaunes d'œufs
resupply,réapprovisionnement
wadi,oued
appropriated,approprié
lanny,Lanny
pollux,pollux
nandi,Nandi
encyclopaedia,encyclopédie
writin,écrire
deep-seated,profondément enraciné
glandular,glandulaire
faun,faune
predisposed,prédisposé
satyr,satyre
celluloid,celluloïd
burgos,bourgs
mertz,mertz
miniscule,minuscule
afghani,afghan
lindley,Lindley
philomena,Philomène
longstreet,rue Long
salas,salles
bellyache,mal au ventre
adair,Adair
punked,punké
hollered,hurlé
hombres,hommes
structurally,structurel
hoodoo,poisse
defeatist,défaitiste
shuck,cosse
maharashtra,Maharashtra
anderton,Anderson
flowerpot,pot à fleurs
xx,xx
groundwater,eaux souterraines
barden,barden
toei,Toei
waterbed,lit à eau
haywood,bois de foin
primitives,primitifs
ivanhoe,Ivanhoe
cardamom,cardamome
tradesmen,artisans
angled,incliné
postmarked,cachet postal
suwa,suwa
irradiated,irradié
mannion,mannion
uchi,uchi
bigots,fanatiques
abhorrent,odieux
dinged,abîmé
hovers,plane
fingerprinted,empreintes digitales
davison,Davison
urethra,urètre
beal,beal
blu-ray,Blu-ray
turrets,tourelles
cujo,cujo
enviable,enviable
proximal,proximal
restrictive,restrictif
chickening,poulet
hollowed,creux
bankrupted,faillite
bau,bau
mcclintock,McClintock
chuan,chuan
beefs,bœufs
schmucks,crétins
encircle,encercler
birthed,né
unrestricted,libre
colluding,collusion
destabilize,déstabiliser
vittles,nourriture
rebs,rébellions
reclamation,réclamation
kiefer,Kiefer
throb,palpiter
tamale,tamale
transformative,transformateur
nardo,nardo
berlusconi,Berlusconi
molesters,agresseurs
bris,bris
smorgasbord,smorgasbord
coveralls,combinaisons
hotspot,point chaud
ico,ico
lightened,allégé
laboring,travail
unisex,unisexe
half-life,demi-vie
kawai,kawaii
rus,russe
crevices,crevasses
unbelievers,incroyants
borges,Borges
bluebirds,merles bleus
cock-up,ratage
fearlessly,sans peur
deflated,dégonflé
bans,interdictions
sabers,sabres
sotto,sous
merrin,merrin
disproportionate,disproportionné
schulz,Schulz
lindstrom,Lindstrom
coraline,coralline
morgen,demain
ionic,ionique
wellingtons,bottes en caoutchouc
gujarat,Gujarat
moley,taupe
speedometer,compteur de vitesse
prodding,incitation
beep-beep,bip-bip
lausanne,Lausanne
fertilizers,engrais
termed,appelé
botch,bousiller
frustrate,frustrer
salomon,Salomon
headhunter,chasseur de têtes
tingles,picotements
dhoti,dhoti
spry,alerte
sontag,sontag
sprinter,sprinter
cypher,zéro
droughts,sécheresses
philanthropic,philanthropique
discos,discothèques
sweetened,sucré
snobbish,snob
invitational,invitation
abysmal,épouvantable
dauntless,intrépide
scala,échelle
antigua,antigua
fra,fra
ousted,destitué
hauls,transport
batted,frappe
gitmo,gitmo
spotters,observateurs
faceoff,face-à-face
finches,pinsons
asphyxiated,asphyxié
hoochie,hoochie
heighten,augmenter
bookstores,librairies
hoke,hoke
hutchins,huttes
allocate,allouer
gulch,ravin
sama,sama
fanaticism,fanatisme
sportsmen,sportifs
eminently,éminemment
bohm,bohm
martinelli,Martinelli
aesthetically,esthétiquement
bahrain,Bahreïn
triumphantly,triomphalement
kmart,Kmart
antler,ramure
ashcroft,Ashcroft
amygdala,amygdale
self-explanatory,Cela se passe d'explications.
shames,honte
thrall,servitude
homophobe,homophobe
corsets,corsets
ringmaster,Monsieur Loyal
sainted,sanctifié
purebred,de race
vivacious,vivace
hopi,hopi
gabriele,Gabriele
dirtied,sale
kettering,Kettering
nears,les proches
maskell,maskell
pillsbury,Pillsbury
farmhand,ouvrier agricole
cicada,cigale
goad,aiguillon
deign,daigner
lisi,lisi
canter,petit galop
impostors,imposteurs
half-dozen,une demi-douzaine
maruyama,Maruyama
gymnasts,gymnastes
brokenhearted,cœur brisé
sods,mottes de terre
ghee,ghee
enquirer,enquêteur
erred,erreur
varmints,vermines
clutched,agrippé
swishing,bruissement
puller,extracteur
sleazebag,salaud
petechial,pétéchial
spluttering,crachotements
vesta,vesta
aggrieved,lésé
ericsson,Ericsson
maa,maman
minnelli,Minnelli
malika,Malika
redder,plus rouge
tarsus,tarse
mustered,rassemblés
dena,dena
maliciously,malicieusement
slugging,coups
solaris,Solaris
undid,défait
rounder,arrondi
whereupon,après quoi
jocko,jocko
kaur,Kaur
guardsmen,gardes
tyree,Tyree
luci,luci
flintstones,Les Pierrafeu
sg,sg
glaser,Glaser
warbler,fauvette
perplexing,embarrassant
snicker,ricanement
handheld,portable
trigonometry,trigonométrie
qb,quart-arrière
deary,chérie
gynaecologist,gynécologue
counsellors,conseillers
mussel,moule
edvard,édvard
outshine,éclipser
chaim,chaim
keefer,keefer
galvan,galvan
pylons,pylônes
ransome,rançon
karpov,Karpov
truncheon,matraque
strata,couches
devising,concevoir
long-winded,verbeux
headlock,prise de tête
unlawfully,illégalement
sucre,sucre
tanking,char d'assaut
three-point,trois points
armband,brassard
favela,favela
tightens,resserre
tol,tol
eclipsed,éclipsé
extricate,dégager
epilogue,épilogue
campaigned,campagne
abusers,agresseurs
soco,soco
caustic,caustique
gbs,gbs
geysers,geysers
amazonian,amazonienne
marceline,Marceline
stepmother,belle-mère
totality,totalité
lk,lk
reuniting,se réunir
gliders,planeurs
taverns,tavernes
methodically,méthodiquement
shiba,shiba
blah-blah-blah,blablabla
fractal,fractale
walkout,sortir
seafaring,navigation
fearfully,craintivement
surest,le plus sûr
mosquitos,moustiques
proficiency,compétence
chieftains,chefs
work-up,préparation
pecked,picoré
fraid,peur
resection,résection
fibbing,mensonge
pitch-black,noir absolu
confiding,se confier
navigators,navigateurs
kagan,Kagan
steeper,plus raide
rada,rada
gouging,arnaque
tts,tts
cystic,cystique
nape,nuque
torrential,torrentiel
landmines,mines terrestres
hunker,accroupi
surefire,infaillible
jenga,Jenga
oversees,supervise à l'étranger
musta,musta
marketed,commercialisé
kriss,Kriss
boers,Boers
tallulah,tallulah
diagonally,en diagonale
all-day,toute la journée
incomes,revenus
yayoi,yayoi
asterisk,astérisque
soni,soni
kursk,Koursk
managerial,gestionnaire
hemmed,ourlé
phased,par étapes
yurt,yourte
vexing,vexant
peron,personne
passkey,clé d'accès
