a back answer,逆答え
latency time,レイテンシー時間
latent ambiguity,潜在的な曖昧さ
latent fingerprint,潜在指紋
latent learning,潜在学習
latent period,潜伏期間
latent phase,潜伏期
latent root,潜在的根
later on,その後
lateral pass,横パス
latex paint,ラテックス塗料
latin america,ラテンアメリカ
latin church,ラテン教会
latin cross,ラテン十字
latin-american,ラテンアメリカ
latitude effect,緯度効果
latter end,後半
latter lammas,後期のラマ
latter-day,現代の
latter-day saint,末日聖徒
lattice swing bridge,格子状の旋回橋
latus rectum,直腸広間
laugh and grow fat,笑って太る
laugh at,笑う
laugh away,笑い転げる
laugh down,笑い飛ばす
laugh from ear to ear,耳から耳まで笑う
laugh in one’s beard,あごひげを生やして笑う
laugh in sb.‘s face,誰かの顔を見て笑う
laugh line,笑いのライン
laugh off,笑い飛ばす
laugh one’s head off,大笑いする
laugh out of court,法廷で笑い出す
laugh over,笑い
laugh sb. to scorn,人を嘲笑する
laughin,笑
laughing gas,笑気ガス
laughter line,笑いのライン
launch into,開始する
launch on,発売開始
launch out,打ち上げる
launch out into,に飛び立つ
launch pad,発射台
launch vehicle,打ち上げロケット
launching pad,発射台
laundry list,洗濯物リスト
lauric acid,ラウリン酸
lavish on,惜しみなく与える
law courts,裁判所
law enforcement,法執行機関
law of action and reaction,作用反作用の法則
law of averages,平均の法則
law of causation,因果律
law of conservation of energy,エネルギー保存の法則
law of contradiction,矛盾法則
law of cosines,余弦定理
law of gravitation,万有引力の法則
law of identity,同一性の法則
law of inertia,慣性の法則
law of nations,国際法
law of nature,自然法則
law of refection,反射の法則
law of sines,正弦定理
law of tangents,接線の法則
law of the jungle,弱肉強食の法則
law office,法律事務所
law officer,法執行官
law term,法律用語
law-abiding,法律を遵守する
law-enforcement,法執行機関
lawn mower,芝刈り機
lawn tennis,ローンテニス
laws of probability,確率の法則
lay a course,進路を定める
lay a finger on,指一本触れる
lay a fire,火を放つ
lay a ghost,幽霊を横たえる
lay aboard,船上に停泊する
lay abot sb,誰かのそばに横たわる
lay about,横たわる
lay an egg,卵を産む
lay an embargo on,禁輸措置を講じる
lay an obligation on sb.,誰かに義務を負わせる。
lay analyst,素人アナリスト
lay aside,脇に置く
lay at,横たわる
lay away,積み立てる
lay back,横になって
lay bare,むき出しにする
lay by,横置き
lay claim to,主張する
lay down,横になる
lay down arms,武器を捨てる
lay down the law,法律を定める
lay down the sceptre,王笏を置く
lay figure,横たわる人物
lay flat,平らに置く
lay for,横になる
lay hands on,手を差し伸べる
lay hands on oneself,自分自身に手を置く
lay heads together,頭を寄せ合う
lay hold of,掴む
lay in,横たわる
lay in ashes,灰の中に横たわる
lay into,襲撃する
lay it on thick,厚く塗る
lay it on with a trowel,こてで塗る
lay low,身を潜める
lay of the land,地形
lay off,一時解雇する
lay on,横たわる
lay on the colors too thickly,色を厚く塗りすぎる
lay on the table,テーブルの上に置く
lay one’s account with,会計を済ませる
lay one’s bones,骨を抜く
lay one’s finger on,指を触れる
lay oneself open to,自分自身をさらけ出す
lay oneself out,身を横たえる
lay open,開いたままにする
lay out,レイアウトする
lay over,横になる
lay paper,紙を敷く
lay sb. by the heels,かかとをつかんで横たえる
lay sb. out in lavender,誰かをラベンダーの中に横たえる
lay siege to,包囲する
lay sth. at sb.‘s door,誰かの家のドアに何かを置く
lay sth. to heart,心に刻む
lay sth. to sb.‘s charge,誰かの責任に何かを負わせる
lay store by,重視する
lay stress on,強調する
lay the axe to the root of,斧を根元に置く
lay the bridle on the neck of,手綱を首にかける
lay the cloth,布を置く
lay the key under the door,鍵をドアの下に置く
lay the land,土地を敷く
lay to,横になる
lay to rest,安らかに眠る
lay to sleep,横になって眠る
lay under contribution,貢献の下で横たわる
lay under tribute,貢物の下に横たわる
lay up,レイアップ
lay up a rope,ロープを張る
lay up in lavender,ラベンダー色の服を着て横になる
lay waste,荒廃させる
lay waste to,破壊する
lay wires for,電線を敷設する
layer cake,レイヤーケーキ
layers and backers,層と裏打ち材
laying house,家を建てる
laying on of hands,按手
lazar house,ラザールハウス
laze away,のんびり過ごす
lazy eye,斜視
lcd project technology,LCDプロジェクト技術
lcd screen,液晶画面
lcd viewfinder,液晶ビューファインダー
lead away,連れて行く
lead back,リードバック
lead in,導入
lead into,につながる
lead line,リードライン
lead off,先頭
lead on,リードする
lead out,リードアウト
lead pencil,鉛筆
lead poisoning,鉛中毒
lead sb. a dog’s life,誰かを犬の人生に導く
lead sb. a pretty dance,誰かを素敵なダンスに導く
lead sb. by the nose,鼻先を引いて導く
lead sb. to the altar,誰かを祭壇へ導く
lead sb. up the garden path,誰かを庭の小道に導く
lead the way,先頭に立って
lead time,リードタイム
lead to,につながる
lead up,準備段階
lead up to,につながる
lead-acid,鉛蓄電池
lead-in,導入部分
lead-off,先頭打者
lead-pipe cinch,鉛管締め付け
lead-up,準備段階
leader character,リーダーキャラクター
leader writer,リーダー兼ライター
leading actor,主演俳優
leading aircraftman,航空兵長
leading article,巻頭記事
leading business,リーディングビジネス
leading case,主要事例
leading current,リードカレント
leading edge,先端
leading lady,主演女優
leading light,先導的な光
leading man,主演男優
leading question,誘導的な質問
leading seaman,上等水兵
leading strings,リードストリングス
leading zero,先頭のゼロ
leading-edge,最先端の
leaf bud,木の芽
leaf fat,葉の脂肪
leaf mold,腐葉土
leaf out,葉が出てくる
leaf-like,葉のような
league of nations,国際連盟
league-leading,リーグトップ
leak out,漏れ出す
lean back,後ろにもたれかかる
lean forward,前かがみになる
lean on,寄りかかる
lean out,体を傾ける
lean over backwards,後ろに傾く
lean soil,痩せた土壌
lean to,寄りかかる
lean upon,寄りかかる
lean years,不況期
lean-to,片流れ屋根
leap at,飛びつく
leap day,閏日
leap out,飛び出す
leap over,飛び越える
leap second,うるう秒
leap year,うるう年
learn about,について学ぶ
learn by heart,暗記する
learn from,から学ぶ
learn sth by heart,何かを暗記する
learn sth by memory,何かを記憶する
learn sth. the hard way,苦い経験から学ぶ
learn up,学ぶ
learning machine,学習マシン
learning resources,学習リソース
lease common multiple,リース共通マルチプル
lease out,リースする
leased line,専用線
least common denominator,最小公倍数
least of all,少なくとも
least said and soonest mended.,口数が少ないほど、事態は早く解決する。
leather and prunella,革とウツボグサ
leather paper,革紙
leave a bad taste in the mouth,後味が悪い
leave a strip,ストリップを残す
leave about,約
leave alone,放っておいて
leave behind,残す
leave for,出発する
leave go of,手放す
leave in sb.‘s care,誰かに預ける
leave in the air,空中に残す
leave much to be desired,改善の余地が大いにある
leave no stone unturned,あらゆる手段を尽くす
leave nothing to be desired,何も望まないことはない
leave of absence,休職
leave off,やめてください
leave on,そのままにしておく
leave out,省略する
leave out of account,計算から除外する
leave over,残り
leave sb. cold,誰かを冷たくする
leave sb. cool,誰かを去る。クール
leave sb. in the cold,誰かを寒空の下に置き去りにする
leave sb. the bag to hold,誰かにバッグを持たせる
leave sb. to himself,誰かを放っておく
leave school,学校を辞める
leave someone alone,誰かを一人にしておく
leave something,何かを残す
leave sth. as it is,そのままにしておく
leave to,残す
leave well alone.,余計なことはしない方がいい。
leave word,言葉を残す
leave word with,言葉を残す
lecture theatre,講義室
led capitain,リードキャプテン
led captain,キャプテンを率いた
ledger bait,台帳ベイト
ledger line,元帳明細
lee shore,風下側の海岸
lee tide,リータイド
lee wave,リーウェーブ
lee-enfield,リー・エンフィールド
leech on to,ヒルが
leer at,ニヤニヤしながら
left arrow,左矢印
left border,左境界線
left column,左列
left field,レフトフィールド
left fielder,左翼手
left hand,左手
left hand side,左側
left indent,左インデント
left parenthesis,左括弧
left section,左側
left wing,左翼
left-aligned text,左揃えのテキスト
left-arm,左腕
left-back,左サイドバック
left-bank,左岸
left-field,左翼
left-footed,左利き
left-hand,左手
left-hand bend,左に曲がる
left-handed,左利き
left-handed marriage,左利きの結婚
left-hander,左利き
left-leaning,左寄り
left-luggage office,手荷物預かり所
left-right,左から右へ
left-sided,左側
left-to-right,左から右へ
left-turn,左折
left-wing,左翼
leg and leg,脚と脚
leg guard,レッグガード
legacy duty,レガシー義務
legacy hunter,レガシーハンター
legacy tax,レガシー税
legal adviser,法律顧問
legal age,法定年齢
legal aid,法的援助
legal attest letter,法的証明書
legal cap,法定上限
legal capacity,法的能力
legal cost,弁護士費用
legal duty,法的義務
legal fare,合法的な運賃
legal fiction,法的擬制
legal holiday,法定休日
legal incapacity,法的無能力
legal proceedings,法的手続き
legal representative,法定代理人
legal reserve,法定準備金
legal residence,合法的な居住地
legal right,法的権利
legal separation,法的別居
legal tender,法定通貨
legal weight,法定重量
legislative yuan,立法院
legitimate child,嫡出子
legitimate drama,正真正銘のドラマ
legitimate stage,正統な舞台
leguminous plants,マメ科植物
leisure for,余暇
lemon drop,レモンドロップ
lemon juice,レモン果汁
lemon squeezer,レモン絞り器
lend a hand,手を貸す
lend an attentive ear to,注意深く耳を傾ける
lend itself to,適している
lend oneself to,自分自身を
lend sth to sb,誰かに何かを貸す
lend wings to,翼を与える
lend-lease,レンドリース
lending library,貸出図書館
lending rate,貸出金利
length by length,長さ×長さ
lennon-mccartney,レノン＝マッカートニー
lens louse,レンズシラミ
lens thread,レンズネジ
leone mount,レオーネマウント
leper house,ハンセン病患者収容所
lese majesty,陛下
less and less,ますます少なく
less than,未満
lesser dog,小型犬
lesser-known,あまり知られていない
lest should,そうでなければ
let alone,ましてや
let be,とする
let blood,瀉血
let bygones be bygones,過去は水に流そう
let daylight into,日光を取り入れる
let down,失望させる
let drive at,運転させて
let fly,放つ
let fly at,放つ
let go,手放す
let go hold of,手を離す
let go of,手放す
let him understand,彼に理解させよう
let in,入れる
let in for,入れる
let in on,受け入れる
let into,入れる
let it all hang out,すべてをさらけ出す
let it be.,なるがままに。
let it go at that,それで終わりにしよう
let it have its swing,自由にさせてあげよう
let loose,解放する
let off,解放する
let on,見せかける
let one’s back hair down,背中の髪を下ろす
let oneself go,自分を解放する
let out,出す
let out a sigh,ため息をついた
let pass,通す
let ride,乗らせてみよう
let sb. down gently,優しく相手を落胆させる
let sb. go whistle,誰かに口笛を吹かせて
let sb. into a secret,誰かを秘密にさせる
let sleeping dogs lie.,触らぬ神に祟りなし。
let slide,スライドさせる
let slip,うっかり漏らす
let somechine into,機械を中に入れよう
let someone alone,誰かを一人にさせて
let someone into,誰かを中に入れる
let something alone,何かを放っておく
let sth. go down the wind,何かを風に任せる
let the cat out of the bag,秘密を漏らす
let things go hang,物事を放っておく
let things rip,思いっきりやってみよう
let things slide,物事を大目に見る
let through,通行を許可
let up,緩める
let up on,緩める
let well alone,ウェル
let’s face it.,正直に言おう。
lethal chamber,致死室
letter book,手紙帳
letter box,郵便受け
letter boxing,レターボックス
letter card,レターカード
letter carrier,郵便配達員
letter case,レターケース
letter drop,手紙の配達
letter file,レターファイル
letter lock,レターロック
letter missive,手紙
letter of advice,助言書
letter of attorney,委任状
letter of credit,信用状
letter of intent,意向表明書
letter of marque,私掠免許状
letter opener,レターオープナー
letter pad,レターパッド
letter paper,レター用紙
letter sheet,レターシート
letter stamp,レタースタンプ
letter stock,レターストック
letter writer,手紙を書く人
letter-writing,手紙を書く
letters of administration,遺産管理状
letters of credence,信任状
letters patent,特許証
letters testamentary,遺言状
level crossing,踏切
level head,冷静な頭
level off,横ばい
level up,レベルアップ
level with,レベル
level-headed,冷静沈着な
leveling rod,水平出し棒
leveson-gower,レベソン・ゴワー
levi-civita,レヴィ・シヴィタ
levotartaric acid,レボ酒石酸
levy in mass,大量徴税
levy on,課税する
levy upon,課税する
lexical analysis,語彙分析
li po,李婆
li-ion,リチウムイオン
liability insurance,賠償責任保険
liability limit,賠償責任限度額
liable to,責任がある
liaison officer,連絡担当官
liaotung peninsula,遼東半島
libel on,名誉毀損
liberal art,リベラルアーツ
liberal arts,リベラルアーツ
liberal economy,自由経済
liberal education,リベラルアーツ教育
liberal party,自由党
liberal-conservative,リベラル保守
liberal-progressive,リベラル・進歩主義
liberty bell,自由の鐘
liberty bond,自由債券
liberty cap,自由の帽子
liberty hall,リバティホール
liberty of speech,言論の自由
liberty of the press,報道の自由
liberty ship,リバティ船
library card,図書館カード
library edition,図書館版
library of congress,米国議会図書館
library science,図書館学
library search path,ライブラリ検索パス
license plate,ナンバープレート
license tag,ナンバープレート
license-built,ライセンス生産
licensed dealer,認可を受けた販売業者
licensed to,ライセンス供与された
lichenic acid,地衣類酸
lick into shape,形を整える
lick off,舐め取る
lick one’s chaps,ズボンを舐める
lick one’s chops,舌なめずりをする
lick one’s lips,唇をなめる
lick sb.‘s shoes,誰かの靴を舐める
lick the boots of,ブーツを舐める
lick the dust,埃を舐める
lick up,舐め上げる
lid of washing drum,洗濯槽の蓋
lie about,嘘をつく
lie along the land,土地に沿って横たわる
lie around,横になる
lie at anchor,停泊中
lie at sb.‘s door,誰かの家のドアの前で寝る
lie back,仰向けになる
lie behind,後ろに横たわる
lie by,嘘をつく
lie close,寄り添って
lie detector,嘘発見器
lie dormant,休眠状態
lie down,横になる
lie down on the job,仕事中に横になる
lie down under,横になる
lie fallow,休耕地
lie idle,怠惰に過ごす
lie in,寝そべる
lie in one’s teeth,歯に嘘をつく
lie in state,国葬
lie in the bed one has made,自分で作ったベッドに横になる
lie in the dust,埃の中に横たわる
lie in wait,待ち伏せする
lie in wait for,待ち伏せする
lie like a gas meter,ガスメーターのように嘘をつく
lie low,身を潜める
lie near sb.‘s heart,誰かの心臓の近くに横たわる
lie on,横たわる
lie on a bed of thorns,いばらのベッドに横たわる
lie on one’s face,うつ伏せになる
lie on the table,テーブルの上に横たわる
lie out of one’s money,金を騙し取る
lie over,横たわる
lie to,嘘をつく
lie under,横たわる
lie up,横たわる
lie waste,横たわる 無駄
lies have short legs.,嘘は足が短い。
lieutenant colonel,中佐
lieutenant commander,少佐
lieutenant general,中将
lieutenant governor,副知事
lieutenant junior class,少尉
lieutenant-colonel,中佐
lieutenant-commander,少佐
lieutenant-general,中将
lieutenant-governor,副知事
life annuity,終身年金
life assurance,生命保険
life belt,救命胴衣
life boat,救命ボート
life breath,生命の息吹
life buoy,救命浮き輪
life car,ライフカー
life cycle,ライフサイクル
life estate,終身不動産
life expectancy,平均寿命
life force,生命力
life guard,ライフガード
life guards,ライフガード
life gun,ライフガン
life history,生活史
life imprisonment,終身刑
life insurance,生命保険
life interest,人生における関心
life jacket,ライフジャケット
life line,ライフライン
life member,終身会員
life membership,終身会員
life office,生命保険会社
life peer,人生の仲間
life peeress,一代貴族の女性
life preserver,救命胴衣
life president,終身会長
life raft,救命いかだ
life ring,救命浮き輪
life saving,命を救う
life sciences,ライフサイエンス
life sentence,終身刑
life span,寿命
life style,ライフスタイル
life tenure,終身在職権
life vest,ライフジャケット
life zone,ライフゾーン
life-changing,人生を変える
life-cycle,ライフサイクル
life-forms,生命体
life-giving,生命を与える
life-long,生涯
life-saving,救命
life-size,等身大
life-sized,等身大
life-style,ライフスタイル
life-support,生命維持装置
life-threatening,生命を脅かす
life-time,一生
lift a curfew,外出禁止令を解除する
lift a hand,手を上げる
lift attendant,エレベーター係
lift bridge,昇開橋
lift capacity,リフト容量
lift down,リフトダウン
lift fire,火を起こす
lift irrigation,揚水灌漑
lift one’s face,顔を上げる
lift one’s hand,手を上げる
lift pump,リフトポンプ
lift sb. out of the rut,誰かを窮地から救い出す
lift sb.‘s face,誰かの顔を上げる
lift shaft,昇降シャフト
lift the curtain on sth.,何かの幕を開ける。
lift the embargo on,禁輸措置を解除する
lift up,持ち上げる
lift up a cry,叫び声を上げる
lift up one’s head,頭を上げる
lift-off,離陸
light air,軽い空気
light breeze,そよ風
light come light go.,光は来て、光は去る。
light filter,ライトフィルター
light hand,軽いタッチ
light heavyweight,ライトヘビー級
light in the head,頭の中に光が
light industry,軽工業
light literature,軽文学
light metal,ライトメタル
light meter,露出計
light music,軽音楽
light on,ライト点灯
light pen,ライトペン
light shading,淡い陰影
light snow,小雪
light tracer,光トレーサー
light trading,軽貿易
light up,点灯する
light valve,ライトバルブ
light wave,光波
light-colored,淡い色
light-duty,軽作業
light-emitting,発光
light-hearted,気軽
light-heavyweight,ライトヘビー級
light-rail,ライトレール
light-sensitive,光に敏感な
light-skinned,色白
light-sport,ライトスポーツ
lightweight,軽量
light-years,光年
lighten out,明るくする
lighthouse keeper,灯台守
lighting effects,照明効果
lighting engineer,照明技師
lighting model,照明モデル
lighting rehearsal,照明リハーサル
lightning arrester,避雷器
lightning bug,ホタル
lightning conductor,避雷針
lightning rod,避雷針
lightning storm,雷雨
lightning strike,落雷
lightning switch,ライトニングスイッチ
lightning war,電撃戦
lights out,消灯
lightweight frame,軽量フレーム
lightweight process,軽量プロセス
like a bear with a sore head,頭痛持ちの熊のように
like a brick,レンガのように
like a bull at a gate,門前の雄牛のように
like a charm,まるで魔法のように
like a cork,コルクのように
like a drowned mouse,溺れたネズミのように
like a duck in a thunderstorm,雷雨の中のアヒルのように
like a duck to water,水を得た魚のように
like a fish out of water,まるで水から上がった魚のように
like a hen on a hot girdle,熱い鉄板の上の鶏のように
like a hen with one chicken,まるで雌鶏と一羽のひよこみたいだ
like a hundred of bricks,まるで百個のレンガのように
like a lamb,子羊のように
like a log,丸太のように
like a rat in a hole,穴の中のネズミのように
like a shot,ショットのように
like all possessed,まるで憑依されたかのように
like attracts like.,類は友を呼ぶ。
like blazes,まるで炎のように
like cures like.,同種療法。
like father,like son.,父に似て息子もいる。
like for like,同種のもの
like fury,激怒のように
like greased lightning,まるで電光石火のように
like hell,地獄のように
like knows like.,類は友を呼ぶ。
like lightning,稲妻のように
like mad,狂ったように
like nothing on earth,地球上の何物にも似ていない
like old boots,古いブーツのように
like rabbits in a warren,巣穴の中のウサギのように
like sin,罪のように
like sixty,60歳くらい
like the devil,悪魔のように
like water off a duck’s back,防水加工
like-minded,同じ考えを持つ人
like-named,同名の
liken to,に似ている
lilies and roses,ユリとバラ
lilies of the valley,スズラン
lily flower,ユリの花
lily of the valley,スズラン
lily pad,スイレンの葉
lima bean,ライマ豆
limber hole,荷車穴
limber up,体をほぐす
lime juice,ライムジュース
lime tree,ライムの木
lime twig,ライムの小枝
limestone flux,石灰石フラックス
limit of heat,熱の限界
limit to,制限する
limit war,限定戦争
limited company,有限会社
limited divorce,限定離婚
limited edition,限定版
limited express,特急
limited liability,有限責任
limited monarchy,立憲君主制
limited parterner,有限責任組合員
limited policy,限定ポリシー
limited war,限定戦争
limited-access,アクセス制限あり
limited-edition,限定版
limited-overs,限定オーバー
limited-stop,途中停車駅が限られている
limiting factor,制限要因
limousine service,リムジンサービス
lincoln mount,リンカーンマウント
lincoln’s birthday,リンカーンの誕生日
lincoln’s inn,リンカーンズ・イン
line art,線画
line astern,ライン 後部
line at a time,一度に一行ずつ
line drawing,線画
line engraving,線刻
line is busy,話し中
line of battle,戦闘線
line of credit,信用枠
line of duty,職務遂行中
line of sight,視線
line officer,ラインオフィサー
line one’s pockets,ポケットをいっぱいにする
line out,ラインアウト
line printer,ラインプリンター
line scan,ラインスキャン
line through,線が通っている
line up,並ぶ
line upon line,線の上に線
line wrap,ラインラップ
line-by-line buffering,行ごとのバッファリング
line-mode browsers,ラインモードブラウザ
line-of-sight,視線
line-up,並ぶ
line-ups,ラインナップ
lineal measure,線形測定
linear equation,線形方程式
linear measure,線形測定
linear programming,線形計画法
lines applet,ラインアプレット
lines event example,ラインイベントの例
lingga archipelago,リンガ諸島
lingua franca,共通語
linguistic analysis,言語分析
linguistic form,言語形式
link control protocol,リンク制御プロトコル
link field,リンクフィールド
link layer,リンク層
link man,リンクマン
link to file,ファイルへのリンク
link type,リンクの種類
link up,リンクアップ
linked object,リンクされたオブジェクト
linoleic acid,リノール酸
linolenic acid,リノレン酸
linseed cake,亜麻仁ケーキ
linseed meal,亜麻仁粉
linseed oil,亜麻仁油
linux software,Linuxソフトウェア
linux-based,Linuxベース
lion hunter,ライオンハンター
lion huntness,ライオン狩り
lion tamer,ライオン使い
lip language,口の動き
lip service,口先
lipoic acid,リポ酸
liquefied natural gas,液化天然ガス
liquefied petroleum gas,液化石油ガス
liquid air,液体空気
liquid crystal,液晶
liquid measure,液量計
liquid propellant,液体推進剤
liquid rocket,液体ロケット
liquid-cooled,液冷式
liquidity preference,流動性選好
liquidity ratio,流動性比率
lisp out,舌足らずな話し方
list box,リストボックス
list entries,リストエントリ
list file names with,ファイル名を一覧表示
list files by,ファイルを一覧表示する
list files of type,以下のタイプのファイルを一覧表示します
list names,リスト名
list of drivers,ドライバー一覧
list of fonts,フォント一覧
list of printers,プリンター一覧
list price,定価
list range,リスト範囲
list separator,リスト区切り文字
list-a,リストA
listed above,上記に記載
listed files,リストされたファイル
listen for,耳を澄ませて
listen in,盗み聞きする
listen out,耳を澄ませて
listen to,聴く
listen to reason,理性に耳を傾ける
listening gear,リスニング機器
listening post,リスニングポスト
literacy test,識字テスト
literae humaniores,文学人
literal contract,文字通りの契約
literal error,文字エラー
literary criticism,文学批評
literary film,文学映画
literature search,文献検索
lithia water,リチウム水
lithium-ion,リチウムイオン
litmus paper,リトマス試験紙
litter up,ゴミを捨てる
little bear,小さなクマ
little by little,少しずつ
little dipper,こぐま座
little does one think,誰も考えない
little dog,小さな犬
little finger,小指
little fox,小さなキツネ
little go,リトルゴー
little or nothing,ほとんど、あるいは全く
little short of,少し足りない
little slam,小さな衝撃
little theater,小劇場
little-known,あまり知られていない
live 97,ライブ97
live a colorful life,彩り豊かな人生を送ろう
live a double life,二重生活を送る
live a lie,嘘をついて生きる
live and learn,生きて学びなさい
live birth,生児
live broadcast,生放送
live by,生きる
live by one’s wits,機転を利かせて生きる
live down,生き延びる
live fast,速く生きる
live for,生きるために
live from hand to mouth,その日暮らし
live high,高級な暮らし
live in,住む
live in genteel poverty,上品な貧困の中で暮らす
live in retirement,退職後の生活を送る
live in the street,路上生活
live it up,思いっきり楽しもう
live like a lord,領主のように暮らす
live like fighting cocks,闘鶏のように生きる
live load,ライブロード
live oak,ライブオーク
live off,生活費
live on,生き続ける
live on air,生放送中
live on one’s own fat,自分の脂肪で生きる
live on tally,タリーでライブ配信
live on the fat of the land,贅沢に暮らす
live on the streets,路上生活を送る
live out,外で暮らす
live parking,ライブパーキング
live program,生放送番組
live programme,生放送番組
live through,生き抜く
live to oneself,自分のために生きる
live up,期待に応える
live up to,期待に応える
live well,よく生きる
live wire,活線
live with,一緒に暮らす
live-action,実写
live-in,住み込み
liven up,活気づける
liver extract,肝臓抽出物
liver oil,肝油
liver sausage,レバーソーセージ
livery stable,馬車宿
living death,生ける屍
living fossil,生きた化石
living likeness,生き写し
living room,リビングルーム
living space,リビングスペース
living wage,生活賃金
li��ge-bastogne-li��ge,リーゲ-バストーニュ-リーゲ
lo and behold,なんと
lo-fi,ローファイ
load cell,ロードセル
load displacement,荷重変位
load draft,荷上喫水
load draught,荷降ろし
load factor,負荷率
load game,ゲームをロードする
load holder,ロードホルダー
load mission,ミッションをロードする
load the dice,サイコロをセットする
load the dice against sb.,誰かに対してサイコロを仕込む。
load up,積み込む
load water line,給水ライン
load with,ロード
load-bearing,耐荷重
loaded dice,イカサマサイコロ
loaded for bear,クマのために準備万端
loading browsers,ブラウザを読み込んでいます
loading coil,コイルの装填
loading dock,荷積みドック
loaf away,のんびり過ごす
loaf sugar,角砂糖
loan collection,ローン回収
loan holder,ローン保有者
loan office,ローンオフィス
loan shark,高利貸し
loan society,ローン協会
loan translation,ローン翻訳
loan value,ローン価値
loan word,借用語
loaves and fishes,パンと魚
lob along,投げる
lobster pot,ロブスターポット
lobster sauce,ロブスターソース
lobster shift,ロブスターシフト
local action,地域活動
local anaesthesia,局所麻酔
local anesthesia,局所麻酔
local anesthetic,局所麻酔
local area network,ローカルエリアネットワーク
local authority,地方自治体
local autonomy,地方自治
local banishment,地域追放
local call,市内通話
local color,地元の特色
local currency,現地通貨
local echo,ローカルエコー
local express,準急
local government,地方自治体
local militia,地元民兵
local option,ローカルオプション
local oscillator,局部発振器
local port,地元の港
local printer,ローカルプリンター
local public service employee,地方公共サービス職員
local time,現地時間
local train,ローカル列車
location-based,位置情報に基づく
lock application memory,ロックアプリケーションメモリ
lock away,鍵をかける
lock in,ロックイン
lock into,ロックする
lock keeper,錠前番
lock on,ロックオン
lock oneself in,自分を閉じ込める
lock out,ロックアウト
lock sb. in,誰かを閉じ込める
lock sth. away,何かを閉じ込める
lock up,ロックアップ
lock, stock and barrel,ロック、ストック、バレル
lock-in,ロックイン
lock-out,ロックアウト
lock-up,施錠
locker paper,ロッカー用紙
locker room,ロッカールーム
lockup shop,ロックアップショップ
loco citato,loco citato
locomotive-hauled,機関車牽引
locomotor ataxia,運動失調
locum tenency,臨時雇用
locum tenens,臨時代理医師
locus classicus,古典的場所
locus in quo,クオにおける位置
lodge an appeal,控訴する
lodging house,宿泊施設
log cabin,ログキャビン
log file,ログファイル
log files,ログファイル
log in,ログイン
log line,ログライン
log off,ログオフ
log on,ログオン
logan stone,ローガン・ストーン
logarithm table,対数表
logarithmic amplifier,対数増幅器
logging in,ログイン
logging off,ログアウト中
logging on,ログイン中
logging out,ログアウト
logic circuit,論理回路
logic diagram,論理図
logic element,ロジック要素
logical cperotion,論理的相関
logical desigener,論理設計者
logical drive,論理ドライブ
logical positivism,論理実証主義
loir-et-cher,ロワール＝エ＝シェール
loire-atlantique,ロワール＝アトランティック県
loiter about,ぶらぶらする
loiter away,ぶらぶらする
loll out,だらりと横になる
lombard street,ロンバードストリート
lombardy poplar,ロンバルディアポプラ
london ivy,ロンドンアイビー
london stock market,ロンドン証券取引所
london-based,ロンドンを拠点とする
londonderry county,ロンドンデリー郡
lone wolf,一匹狼
long after,ずっと後
long before,ずっと前に
long boat,ロングボート
long crooked squash,長くて曲がったカボチャ
long date format,長い日付形式
long distance,長距離
long dozen,長大な12人
long drawnout,長々と引き延ばす
long drawnout,長々と引き延ばす
long drink,ロングドリンク
long face,面長
long for,切望する
long haul,長距離輸送
long hundred,長い百
long johns,ロングジョンズ
long jump,走り幅跳び
long live,万歳
long measure,長い尺度
long position,ロングポジション
long price,ロングプライス
long run,長期的に
long ship,ロングシップ
long short story,長めの短編小説
long shot,可能性は低い
long since,ずっと昔
long suit,ロングスーツ
long term loan,長期ローン
long time ago,ずっと昔
long ton,ロングトン
long vacation,長期休暇
long views,遠景
long wave,長波
longer-term,長期的に
longest-lasting,最も長持ちする
longest-lived,最も長生きした
longest-running,最も長く続いている
longest-serving,最長在任期間
longleaf pine,長葉松
longs and shorts,ロングとショート
longue haleine,ロングハレイン
longyear city,ロングイヤーシティ
look a gift horse in the mouth,もらい物の馬の口の中を見る
look about,周囲を見回す
look about one,1つくらい見てください
look after,世話をする
look ahead,先を見据える
look alive,元気そうに
look around,周囲を見渡してください
look at,見てください
look awry,見た目がおかしい
look back,過去を振り返る
look back on,振り返ってみると
look before you leap,軽率な行動は慎むべきだ
look daggers at sb.,誰かを睨みつける。
look down,下を見る
look down on,見下す
look down one’s nose at,見下す
look down upon,見下す
look for,探す
look forward to,楽しみにしています
look ill,具合が悪そう
look in,覗く
look into,調査する
look into the mirror,鏡を見て
look like,のように見える
look on,見守る
look on with folded arms,腕を組んで見守る
look one way and row another,一方を見て、もう一方の方向を漕ぐ
look one’s age,年齢相応に見える
look oneself,自分自身を見る
look out,外を見る
look out for,注意してください
look out for number one,ナンバーワンに気をつけろ
look out for squalls,突風に注意してください
look out on,に注意してください
look out upon,見守る
look over,見渡す
look round,周りを見渡してみて
look round for,周りを見回して
look sb. in the eye,相手の目を見る
look sharp,シャープな印象
look small,小さく見える
look the other way,目をそらす
look through,見て
look through blue glasses,青いメガネを通して見る
look through green glasses,緑色の眼鏡を通して見る
look through one’s fingers at,指の間から覗き込む
look to,見る
look to one’s laurels,過去の栄光に目を向ける
look to the future,未来を見据えて
look towards,見渡す
look up,見上げる
look up from one’s book,本から顔を上げる
look up to,尊敬する
