11 Downing Street,唐寧街11
in the post,在貼文中
in the process of,在...過程中
in the pudding club,在布丁俱樂部
in the racket,在網球場
in the rattle,在搖晃中
in the raw,原樣
in the rear with the gear,在後方，與換檔裝置
in the red,虧損
in the refrigerator,在冰箱裡
in the region of,在該地區
in the reign of Queen Dick,在女王狄克統治期間
in the right,正確地
in the room,在房間裡
in the rough,草稿中
in the round,環繞
in the running,有機會
in the sack,在袋裡
in the saddle,騎在馬背上
in the sales,在銷售中
in the same boat,處境相同
in the same breath,同時
in the same shoes,處境相同
in the same vein,同樣地
in the seven hells,在七個地獄中
in the shadow of,在…的陰影下
in the shit,在垃圾中
in the shitter,在馬桶裡
in the shoes of,以…的身份
in the short run,短期內
in the short term,短期內
in the snap of one's fingers,一瞬間
in the soup,在湯裡
in the space of,在...的範圍內
in the spotlight,成為焦點
in the stars,在星空中
in the stead of,代替
in the stratosphere,在平流層
in the straw,在稻草裡
in the streets,在街上
in the swim,處於潮流中
in the swim of things,在潮流中
in the tank,在油箱裡
in the teeth of,在...的挑戰中
in the thick of,最核心的
in the thick of it,正值之中
in the throes of,正處於
in the throes of something,正處於某種狀態
in the toilet,在廁所
in the trenches,在戰壕中
in the twinkling of a bedpost,在床腳間
in the twinkling of a bedstaff,在床邊一瞬間
in the twinkling of an eye,眨眼之間
in the vein of,類似
in the vicinity of,附近
in the wake of,在...之後
in the way,以這種方式
in the way of,以...的方式
in the weeds,陷入細節
in the wild,在野外
in the wind,在風中
in the wind's eye,在風的中心
in the wink of an eye,眨眼之間
in the works,正在進行中
in the world,在世界各地
in the worst way,最糟糕的方式
in the wrong,錯誤地
in the zone,進入狀態
in theory,理論上
in there like swimwear,像泳衣那樣
in this connection,在此方面
in this day and age,現在
in this essay I will,在本文中，我將
in this regard,就此而言
in this respect,從這個方面
in thunder,在雷聲中
in thunderation,天哪
in time,及時
in times,在...時期
in token of,作為
in too deep,陷入困境
in total,總共
in totality,完全
in touch,保持聯繫
in tow,帶走
in town,在鎮上
in train,在火車上
in transit,正在運輸中
in trian aspect,在某個方面
in triplicate,三份
in trouble,有麻煩
in true,真實地
in truth,事實上
in tune,協調
in tune with,與...相符
in turn,依次
in twain,兩
in two,兩個
in two jumps,兩次跳
in two minds,猶豫不決
in two shakes,兩下
in twos,成雙
in unison,一起
in use,正在使用
in vain,徒勞
in very deed,確實
in view,在...情況下
in view of,考慮到
in vigilance,保持警惕
in vino veritas,酒後吐真言
in virtue of,藉由
in virtue of which,因此
in voice,用聲音
in waiting,等待中
in waves,有時、有時
in ways,各種方式
in weal and woe,無論順境逆境
in what universe,在什麼宇宙裡
in what world,在什麼世界
in wine,在葡萄酒中
in with a chance,有機會
in witness whereof,作為證明
in words of one syllable,用一詞表達
in writing,以文字形式
in your dreams,在夢中
in your face,你看看
in your wildest dreams,在你的 wildest dreams 中
inch along,英寸長度
inch away,寸之距離
inch back,退後
inch by inch,一吋一吋
inch forward,向前一吋
inch up,逐步增加
independently wealthy,經濟獨立
Indian sign,印度標誌
indict a ham sandwich,起訴一份火腿三明治
inform on,告知
ink in,墨
ink isn't dry on,墨還沒乾
ink up,塗墨
inner circle,核心圈
inner ear,內耳
inner strength,內在力量
innocently divorced,無辜離婚
inquire after,詢問
inquire of,詢問
ins and outs,細節
insane in the membrane,瘋狂
inside baseball,內部術語
inside job,內部洩漏
inside joke,私密的玩笑
inside of,內部
inside out,從內而外
inside scoop,內部消息
inside the box,在盒裡
inspite of,儘管
installed base,已安裝的基礎
instance in,例子
instead of,代替
insult one's intelligence,貶低一個人的智商
intellectually challenged,智力發展遲緩
intents and purposes,意圖和目的
inter al.,在...方面
inter alios,其他
inter pocula,間隔
interact with,互動
interpret away,解釋
into detail,深入探討
into power,進入權力
into shape,恢復原狀
into space,進入太空
into the bargain,更何況
into the stratosphere,進入高空
into thin air,一無是從
into time,隨著時間
intra legem,依照法律
invalid out,無效
inversely proportional,反比例
invited to the cookout,邀請參加烤肉
ipsissima verba,最精確的說法
iris in,鳶尾
iris out,鳶尾花
Irish hint,愛爾蘭提示
Irish up,愛爾蘭風格
iron eagle,鐵鷹
iron out,解決
ironing board,熨衣板
irons in the fire,爐火熊熊
irrespective of,無論
is a bear Catholic,熊是天主教徒
is my middle name,我的中間名是
is someone cutting onions,有人在切洋蔥嗎
is that the time,那時候嗎
is the bear Catholic,熊是天主教徒嗎
is the Pope a Catholic,教皇是天主教徒嗎
is the Pope a Muslim,教皇是穆斯林嗎
is the Pope Catholic,教皇是天主教徒嗎
is the Pope Jewish,教皇是猶太人嗎
is the Pope Muslim,教皇是穆斯林嗎
is the sky blue,天空是藍色的
is this a safe space,這裡是安全的空間嗎
is your head cold,您的頭是否不舒服
ish ka bibble,《聖經》
isms and schisms,分裂與分歧
isn't it,不是嗎
isn't it so,是嗎
it ain't over till it's over,還沒結束，就不要放棄
it can't be helped,難以避免
it does not matter,這並不重要
it figures,這也符合邏輯
it happens,這就發生了
it is and it isn't,是，但同時也是否
it is darkest before the dawn,黑暗之前總會是黎明
it is how it is,就是這樣
it is important to note that,值得注意的是
it is no accident,這並非巧合
it is not even funny,這根本不夠好笑
it is not every day,並非每天都會
it is not funny,這並不是好笑的
it is said,據說
it is to laugh,令人發笑
it is what it is,就是這樣
it is worth noting that,值得注意的是
it isn't even funny,這根本不夠好笑
it isn't funny,這並不是好笑的
it never rains but it pours,好景不常相遇
it pays to advertise,廣告是有價值的
it takes a village,需要大家共同努力
it takes all kinds,各有千秋
it takes all sorts,人各有不同
it takes one to know one,懂的人自知
it takes two to quarrel,需要兩個人的參與才能發生爭執
it takes two to tangle,需要雙方共同努力才能產生糾紛
it takes two to tango,需要雙方共同努力
it was like this,就是這樣
it was this way,就是這樣
it wasn't only only,這並非僅僅如此
it's a date,約會
it's a deal,成交
it's a free country,這是一個自由國家
it's a jungle out there,那裡很危險
it's a long story,這是一個很長的故事
it's a man's world,這是一個男人的世界
it's a matter of time,這取決於時間
it's a question of time,這取決於時間
it's a small world,世界真小
it's about time,終於
it's all Chinese to me,這對我來說都是中文
it's all g,一切順利
it's all go,一切都準備就緒
it's all good,一切都好
it's all Greek to me,對我來說完全是外語
it's an ill wind,壞天氣帶來的好處
it's been 84 years,已經過了84年
it's been a slice,真不錯
it's been real,很高興認識你
it's early days,還在初期
it's everywhere,無處不在
it's five o'clock somewhere,無論在哪裡，已經是下午五點
it's going,這正在進行
it's Greek to me,這對我來說完全是外語
it's grim up north,北方情況很糟糕
It's high time,已經該
it's lonely at the top,在頂端很孤單
it's never too late to mend,永遠不晚於修復
it's no use,沒用
it's none of your business,這不是您的事
it's not even funny,這根本不夠好笑
it's not every day,並非每天都會
it's not funny,這並不是好笑的
it's nothing,沒什麼
it's on,這有
it's only a matter of time,這只是一個時間問題
it's only a question of time,這只是一個時間問題
it's someone's funeral,是某人的葬禮
it's the hit dog that howls,是那隻最受歡迎的狗，會吠
it's the story of one's life,這是某人的生活故事
it's the thought that counts,重要的是心意
it's too late for sorry,已經太晚了
it's what's inside that counts,重要的是內在
itch the ditch,搔
itchy feet,腳發癢
itchy trigger finger,想動卻不敢動
iura novit curia,權力知曉議會
ivory tickler,象牙玩具
ivory tower,象牙塔
jack around,玩弄
jack in,連接
jack into,連接
jack of all trades,通才
jack off,自慰
Jack Tar,傑克·塔
jack up,提高
jacket up,穿外套
jag off,關閉
jake brake,傑克·布雷克
jam out,即興演奏
jam today,今天
jam tomorrow,明天
jam up,阻礙
Jane Average,一般人
Jane Doe,未知姓名
Jane Hancock,珍·漢考克
Jane Roe,潔恩·羅
Jane Wayne,珍·韋恩
JAQ off,關閉
jaw away,咬
jaw down,下巴
jazz around,爵士樂
jazz up,增添趣味
Jedi mind trick,精神控制
jeepers creepers,喔我的天
jeepers peepers,天哪
jell out,使變質
jerk around,欺騙
jerk off,自慰
jerk one off,騷擾
jerk one out,從某人身上拿走
jerk over,騷擾
jerk up,抬起
jerkin the gherkin,醃蘿蔔
jerky up,突然跳動
jerry to,傑瑞
jet off,飛去
jet set,名流
Jew crew,猶太人團隊
Jew down,壓倒
jew out,猶太人
jew up,抬起
jewel in the crown,皇冠上的明珠
jiak kentang,從馬鈴薯
jib out,伸出
jig up,調整
jill of all trades,通才
jill off,性愛
jim up,抬起
jimmy up,向上攀爬
jive around,閒聊
jive turkey,吵鬧的火雞
jizz up,性行為
job's a good 'un,這是一個不錯的工作
job's a good'un,這是一個好工作
job's a goodun,這是一個很棒的工作
jock off,性行為
Joe Average,普通人
Joe Citizen,普通公民
joe job,臨時工
Joe Public,普通民眾
Joe Random,普通人
Joe Schmo,普通人
Joe Schmoe,普通人
Joe Shmo,喬·史莫
Joe Shmoe,普通人
jog on,慢跑
jog someone's memory,喚醒某人的記憶
John Citizen,普通公民
John Hancock,約翰·漢考克
John Henry,約翰·亨利
John Mastodon,約翰·馬斯多
John Q. Public,普通民眾
Johnny Appleseed,喬納·蘋果種
join forces,聯合
join hands,手牽手
join in,加入
join issue,參與
join out,加入
join the club,加入
join up,加入
joined at the hip,緊密相連
joke around,開玩笑
joke it up,開玩笑
joke up,開玩笑
jolly along,愉快地參加
jot and tittle,筆記和標題
jot down,記錄
Jove nods,喬夫點頭
judge a book by its cover,以封面來評判書籍
jug ears,水壺式耳
juggling act,複雜的局面
juice up,補充能量
jumble together,混在一起
jumble up,混亂
jump about,跳躍
jump and dump,跳躍和丟棄
jump around,跳來跳去
jump at,跳躍
jump at the chance,抓住機會
jump at the opportunity,抓住機會
jump before one is pushed,先發動
jump down,跳下來
jump down someone's throat,對某人發脾
jump for joy,歡欣雀躍
jump in,跳進
jump in one's skin,驚恐萬分
jump off,跳下去
jump on,跳上
jump on the bandwagon,跟上潮流
jump onto,跳上
jump out,跳出去
jump salty,跳躍；跳躍的
jump someone's bones,毆打
jump street,跳躍街
jump the gun,過快行動
jump the queue,插隊
jump the shark,達到巔峰後開始下滑
jump through hoops,完成一系列困難的任務
jump to,跳到
jump to conclusions,草率下結論
jump to it,立刻開始
jump up,跳起來
jump up behind,跳到後面
jump upon,跳上
jumpers for goalposts,球門柱用的跳繩
jungle telegraph,叢林電報
junk in the trunk,車廂裡的垃圾
junkyard dog,垃圾場狗
jure divino,按照上帝的旨
jury is out,結果尚未出籠
just a minute,稍等
just a second,稍等
just another pretty face,又是一個漂亮臉孔
just as well,沒什麼問題
just deserts,應得的獎賞
just folks,普通人
just friends,只是朋友
just in case,以防萬一
just in the nick of time,恰逢時機
just in time,恰逢
just like that,就這樣
just my luck,果然如此
just say no,不要
just shy of,幾乎
just the job,非常適合
just the same,一樣
just you wait,等著你
justice delayed is justice denied,延遲正義就是否認正義
justice is blind,正義是無所洞見的
jut out,突出
kak on,怎麼
kangaroo court,草木ົນ
kao peh kao bu,卡佩
karma is a bitch,命運弄人
karma's a bitch,命運弄人
Katy bar the door,敲門
keel over,昏倒
keen as a bean,非常認真
keep a close watch,密切注意
keep a cool head,保持冷靜
keep a lid on,控制
keep a lid on something,控制
keep a low profile,保持低調
keep a straight face,保持冷靜
keep a weather eye open,留意天氣
keep across,隨時掌握
keep ahead,保持領先
keep an eye on,留意
keep an eye on something,留意
keep an eye open,留意
keep an eye out,留意
keep an eye out for somebody,留意
keep an eye out for something,留意
keep an eye peeled,留意
keep around,保留
keep at,繼續
keep away,遠離
keep away from,遠離
keep back,阻止
keep company,陪伴
keep count,記錄
keep down,控制
keep from,避免
keep good time,準時
keep hope alive,保持希望
keep house,打理家務
keep in,繼續
keep in touch,保持聯繫
keep in with,保持聯繫
keep it between the ditches,避免兩側
keep it in the family,維持家族傳統
keep it moving,繼續往前走
keep it one hundred,保持真實
keep it real,保持真實
keep it together,保持冷靜
keep it up,繼續
keep off,遠離
keep off the streets,遠離街道
keep on,繼續
keep on about,繼續說
keep on truckin',繼續努力
keep one eye on somebody,留意某人
keep one eye on something,留意某事
keep one's chin up,保持樂觀
keep one's cool,保持冷靜
keep one's ears open,保持警覺
keep one's eye on the ball,專注於重要的事情
keep one's eyes peeled,留意
keep one's fingers crossed,抱著希望
keep one's hair on,保持冷靜
keep one's head,保持冷靜
keep one's head above water,維持生存
keep one's head down,保持低調
keep one's head on a swivel,保持警惕
keep one's head up,保持樂觀
keep one's knickers on,保持理智
keep one's lips sealed,保持沉默
keep one's mouth shut,閉嘴
keep one's nose clean,保持清白
keep one's options open,保留選擇
keep one's pants on,保持冷靜
keep one's pecker up,保持積極樂觀
keep one's powder dry,保持警惕
keep one's stick on the ice,保持平衡
keep one's temper,保持冷靜
keep one's tits on,專心
keep one's voice down,保持安靜
keep one's word,兌現承諾
keep oneself to oneself,保持自我
keep out,禁止進入
keep out of,禁止進入
keep pace,保持節奏
keep quiet,保持安靜
keep shtum,保持沉默
keep somebody in check,制衡
keep somebody on their toes,讓某人保持警覺
keep somebody posted,讓某人了解
keep somebody's eyes peeled,留意
keep somebody's eyes skinned,讓某人沒事
keep someone amused,讓某人開心
keep someone busy,讓某人忙碌
keep someone company,陪伴
keep someone in the loop,讓某人了解
keep someone on ice,暫時擱置
keep someone on their toes,讓某人保持警覺
keep someone posted,讓某人了解
keep someone sweet,讓某人開心
keep something at bay,阻止某事物
keep something in check,控制
keep something in mind,記在心裡
keep straight,保持正確
keep tabs on,密切關注
keep tabs on somebody,密切關注
keep tabs on something,密切關注
keep telling yourself that,不斷告訴自己
keep the ball rolling,繼續進行
keep the bones green,保持骨頭的顏色
keep the change,留著找
keep the home fires burning,維持家庭溫暖
keep the peace,維持和平
keep the pot boiling,維持熱度
keep the rent down,降低租金
keep the rent low,保持租金低廉
keep the show on the road,繼續運營
keep the wolf from the door,維持生計
keep to,堅持
keep to oneself,獨自生活
keep together,保持在一起
keep track of,追蹤
keep under,維持在
keep up,保持
keep up appearances,維持表面上的良好形象
keep up with,跟上
keep up with the Joneses,跟鄰居比較
keep up with the times,跟上時代
keep watch,留意
keep yourself safe,保護自己
ken oath,宣誓
kernel of truth,真相的核心
kettle of fish,魚缸
key down,按住
key in,輸入
key in on,鎖定
key into,輸入
key off,關閉
key on,鑰匙
key out,確認
key up,釋放
keys to the kingdom,統治的鑰匙
kick a dog when it's down,當狗倒下時欺負牠
kick about,閒晃
kick against,反對
kick against the pricks,反抗
kick around,閒晃
kick ass,非常棒
kick ass and take names,表現出色並奪取勝利
kick at an open door,踢開一個敞開的門
kick at the can,踢罐
kick back,放鬆
kick bollocks scramble,踢屁股 混亂
kick butt,獲得勝利
kick down,強行闖入
kick in,啟動
kick in the teeth,給...狠狠地打
kick into the long grass,逃入長草
kick into touch,將球踢給隊友
kick it,玩樂
kick loose,鬆開
kick off,開始
kick on,繼續
kick one's heels,難以置信
kick out,趕出去
kick out the jams,擺脫困境
kick over,推倒
kick rocks,滾開
kick some tail,表現出色
kick some tires,撞擊輪胎
kick someone when they are down,當某人處於弱勢時，欺負他們
kick someone's ass,打敗某人
kick the beam,踢鋼樑
kick the bucket,辭世
kick the can down the road,推遲問題
kick the habit,戒掉
kick the tires,踢輪胎
kick the tyres,檢查輪胎
kick to,踢
kick to the curb,丟掉
kick up,引起騷動
kick up a fuss,製造麻煩
kick up one's heels,盡情享受
kick upstairs,提升
kick with,踢
kick with the other foot,用另一隻腳踢
kicking and screaming,反抗
kicking boots,踢足球的鞋
kicks and giggles,踢腿和咯咯笑
kid around,惡作劇
kid on,小孩
kiddie table,兒童餐桌
kids will be kids,孩子嘛，就是孩子
kill me,殺死我
kill off,殺死
kill one's darlings,捨棄自己喜歡的東西
kill the fatted calf,宰掉肥牛
kill trees,砍伐樹
kill two birds with one stone,一舉兩得
kill your heroes,殺死你的英雄
kill your idols,詆毀或否定自己的偶像
killer diller,令人難忘
killer instinct,致命本能
Kilroy was here,基洛伊在此
kind of,一種
kind regards,親切問候
kindest regards,最誠摯的祝福
kindred soul,靈魂伴侶
kindred spirit,志同道合
king of all one surveys,所有調查的統治者
king of beasts,獅子
king of birds,鳥類之王
king of the castle,城堡的主人
king of the hill,王牌
King of the Jungle,叢林之王
King Shit of Turd Island,糞島的臭名大王
king's cushion,國王用的靠墊
king's ransom,巨額財富
kink on,彎曲
kink out,扭曲
Kiong Hee Huat Chai,恭喜發財
kip down,下降
kip in,暫停
kip out,離開
kip up,趕上
kirk out,告別
kiss and cry,親吻和哭泣
kiss and make up,和好
kiss and tell,親吻並告知
kiss arse,奉承
kiss ass,巴拉巴
kiss goodbye to something,告別
kiss me,親吻我
kiss my ass,滾開
kiss my balls,親吻我的睪丸
kiss of death,死亡之吻
kiss of life,生命之吻
kiss off,告別
kiss out,告別
kiss someone's ass,奉承
kiss someone's ring,向某人鞠躬
kiss the gunner's daughter,親吻槍兵的女兒
kiss up,巴結
kiss up to,巴結
kissing goes by favor,根據個人喜好
kit out,裝備
kit up,準備好
kitchen table software,廚房桌上的軟體
kite around,繞著
kitty's titties,貓咪的乳房
Klaatu barada nikto,克拉圖·巴拉達·尼克托
kludge out,臨時解決
klunk out,發出聲響
knee-deep in the Big Muddy,淹沒在巨大的河流中
knee-high by the Fourth of July,七月四日時，膝蓋長
knee-high to a grasshopper,比蚱蜢高
knee-jerk reaction,本能反應
kneel before,跪地
kneel down,跪下來
knick off,隨意取
knife up,把刀舉起來
knight of the post,郵政員
knit one's brows,皺眉
knit one's eyebrows,皺眉
knit together,編織在一起
knit up,編織
knive up,弄壞
knob job,操盤
knock about,四處走動
knock around,閒晃
knock back,拒絕
knock down,擊倒
knock down a peg,讓某人有所收穫
knock for a loop,讓某人陷入困境
knock in,敲
knock into,撞到
knock it off,停止
knock it out of the park,一舉拿下
knock off,抄襲
knock on,敲
knock on heaven's door,敲響天堂之門
knock on wood,避免不吉
knock one out,擊倒
knock oneself out,精疲力竭
knock out,擊倒
knock out of the box,從頭開始
knock over,推倒
knock round,閒聊
knock some sense into,讓某人明白
knock someone down with a feather,用羽毛擊倒某人
knock someone flat,徹底擊倒
knock someone off their perch,使人失去優勢
knock someone over with a feather,用羽毛擊倒某人
knock someone's block off,狠狠地打人
knock someone's socks off,令某人驚訝或感動
knock someone's wind out,使人氣喘吁吁
knock the living daylights out of,徹底擊敗
knock the stuffing out of,徹底擊垮
knock together,拼湊
knock under,撞擊
knock up,懷孕
knocking on heaven's door,敲響天堂之門
knot off,解開
know a thing or two,有所了解
know about,了解
know beans about,對...一無所知
know every trick in the book,精通所有技巧
know from a bar of soap,從肥皂中得知
know how many beans make five,知道有多少豆子可以湊成五
know inside and out,完全了解
know no bounds,沒有限制
know of,知道
know one's own mind,清楚自己的想法
know one's shit,了解自己的狀況
know one's stuff,精通某領域
know one's way around,熟悉環境
know someone,認識某人
know someone from Adam,認識來自亞當的人
know someone from Eve,認識來自 Eve 的人
know someone in the biblical sense,在聖經意義上認識
know the drill,了解流程
know the score,了解情況
know thyself,認識自己
know what,知道
know what I'm saying,明白我在說什麼
know what is what,知道什麼是什麼
know where the bodies are buried,知道屍體在哪裡
know where you stand,知道自己的位置
know which end is up,知道哪個方向是上方
knowledge is power,知識就是力量
knuckle down,認真工作
knuckle dragger,懶人
knuckle sandwich,指縫
knuckle to,手腕
knuckle under,屈服
knuckle up,彎曲手指
Kojak with a Kodak,柯傑與柯達
konk out,擊敗
Kool-Aid smile,可樂笑
Kung Hei Fat Choi,新年快樂
kung pow penis,功夫派
L in the chat,聊天中的 L
l'istesso tempo,同時
lab rat,實驗動物
labor of love,用心之作
labour of love,愛之事業
labour the point,強調
lace into,指責
lace up,系上
laced mutton,醃羊肉
ladies and gentlemen,女士們先生們
ladies first,女士優先
ladies' man,花花公子
lady garden,女士花園
lady or tiger,女士或老虎
lady's man,女性迷
lag behind,落後
lag off,落後
lair it up,裝飾
lair up,向上
lam into,很喜歡
lam off,關閉
lam out,失效
lamb down,擊敗
lamp along,燈
land down,安靜下來
land in someone's lap,落在某人的膝上
land legs,土地
land of opportunity,機會之地
land on,降落
land on one's feet,順利地站立
land poor,貧困
land the plane,降落飛機
land up,最終結果
land upon,降落
land with,土地
landing strip,跑道
lands preserved,被保護的土地
lang may yer lum reek,願你一切安好
lang may your lum reek,願你平安
lap of luxury,奢華的生活
lap up,狼吞虎嚥
lard down,用豬油烹飪
lard up,用豬油塗抹
large and in charge,強大且有權威
large it up,放大
lark about,閒聊
lark around,悠閒地度過
laser in on,專注於
lash back,反擊
lash down,固定
lash off,嚴厲批評
lash out,猛烈抨擊
lash together,將...連接在一起
lash up,緊緊地
lasso up,綑
last burst of fire,最後一陣火焰
last cast,最後一次投擲
last full measure,最後一次完整量
last hurrah,最後一搏
last I checked,我上次檢查
last I heard,我聽說
last known good,最後已知良好
last mile,最後一哩
last minute,最後一刻
last nail in the coffin,最後一根釘
last of the big spenders,最後一批大手 spender
last out,最後出場
last refuge,最後的避難所
last resort,最後手段
last roundup,最後一次總結
last straw,最後一根稻草
Last Supper,最後的晚餐
last thing,最後一件
last thing one needs,最後一件需要
last time I checked,我上次檢查
last trump,最後一次的特朗普
last word,最後一個
latch on,抓住
latch onto,抓住
late in the game,比賽後期
late model,新款
late to the party,姍姍來遲
latest and greatest,最新、最好的
lather up,起泡
lathered up,搓洗乾淨
lato sensu,從廣義上說
laugh a minute,每分鐘笑一次
laugh and grow fat,開懷大笑，又變得肥胖
laugh at,嘲笑
laugh away,嘲笑
laugh down,嘲笑
laugh in one's sleeve,偷偷地笑
laugh off,一笑置之
laugh one's head off,捧腹大笑
laugh out of court,無視
laugh up one's sleeve,偷偷地笑
laugh with,一起笑
laughing stock,嘲笑之物
laughing tackle,擒抱
laughter is the best medicine,笑聲是最好的良藥
launch forth,衝出去
launch into,開始
laundry list,洗衣清單
law and order,法律與秩序
lawful but awful,合法但糟糕
lawyer up,尋求法律協助
lax up,放鬆
lay a finger on,動手打擾
lay about,閒聊
lay an anchor to the windward,朝風而行
lay an egg,下蛋
lay aside,擱置
lay at someone's door,在某人的門口等待
lay away,暫存
lay back,躺下
lay bare something,公開
lay behind,在...後面
lay by,儲存
lay by the heels,束手就擒
lay claim,主張
lay down,放下
lay down on,躺下
lay down the law,制定嚴格的規定
lay down the marker,確立標準
lay eggs,產卵
lay eyes on,親眼看到
lay eyes on somebody,看見某人
lay eyes on something,親眼看到
lay for,休
lay hands on,親身接觸
lay in,躺臥
lay in lavender,在薰衣草中
lay into,嚴厲批評
lay it on,大膽嘗試
lay it on thick,詳細描述
lay odds,下賭注
lay of the land,地形
lay off,裁員
lay on,躺
lay on the line,進行電話聯繫
lay one down,放下
lay one's hands on something,取得
lay one's head,把頭靠
lay one's tongue to,閉嘴
lay out,鋪開
lay over,轉機
lay something at the feet of,將某物放在
lay something on the line,冒險
lay store by,在...商店
lay the groundwork,奠定基礎
lay the wood,鋪木材
lay to,放
lay to rest,安葬
lay up,儲存
lay up with,儲存
layer up,穿多層衣服
laze about,悠閒地度過
laze around,悠閒地度過
lead by the nose,操縱
lead foot,踩油門
lead in,主導
lead nowhere,毫無結果
lead off,開場
lead on,主導
lead out,引導
lead someone to the altar,引領某人走向禮堂
lead someone up the garden path,引導某人上當
lead the line,帶領隊伍
lead the way,帶路
lead through,引導
lead time,交貨時間
lead to,導致
lead up to,引領
lead with one's chin,用下巴
leading light,領先者
leaf out,落葉
leaf through,翻閱
leak out,洩漏
lean and mean,精簡而有效
lean in,深入研究
lean into,深入
lean on,依賴
lean towards,傾向於
leap ahead,領先
leap at,跳躍
leap out,跳躍
leap to mind,突然浮現
leap up,跳起來
leaps and bounds,飛速
learn one's lesson,吸取教訓
learn one's place,了解自己的位置
learned profession,專業職業
lease out,出租
least of all,尤其
leave aside,拋開
leave at the door,放在門口
leave behind,留下
leave for dust,被淘汰
leave home,離開家
leave it all on the field,全部留在場上
leave it alone,讓它安靜
leave it at that,就這樣
leave it be,讓它 그대로
leave it out,不包括
leave me alone,不要理我
leave no crumbs,不留任何痕跡
leave no stone unturned,不遺餘力
leave off,停止
leave on,留下
leave out,排除
leave over,離開
leave someone at the altar,拋棄伴侶
leave someone high and dry,拋棄
leave someone holding the baby,讓某人承擔責任
leave someone in the dust,拋棄在後面
leave someone in the lurch,拋棄
leave someone no choice,讓某人沒有選擇
leave someone out in the cold,排除在外的
leave someone to their fate,讓某人自行決定
leave someone to their own devices,讓某人自行處理
leave something to be desired,還有改進的餘地
leave the ball in someone's court,把責任留給別人
leave the door open,把門開著
leave the nest,離開巢穴
leave things alone,讓事情繼續發展
leave things be,讓事情繼續發展
leave to the imagination,留給想像
lede to kum,引言
left hook,左側重擊
left turn,左轉
left-handed compliment,反向讚美
leg around,悠閒地
leg out,伸直
leg over,跨過
leg up,助力
legal beagle,法律專家
legal duty,法律責任
legal eagle,法律專家
legally binding,具有法律效力
legend in one's own lifetime,在自己的一生中
legend in one's own lunchtime,在午餐時的傳奇
lemon law,檸檬法
lend a hand,提供協助
lend an ear,傾聽
lend itself to,適合
lend somebody a hand,提供幫助
length and breadth,長度和寬度
lengthen down,拉長
lengthen out,拉長
lengthen up,延長
les jeux sont faits,一切都已決定
less is a bore,簡約無趣
less is more,少即是多
less than nothing,少於零
lesser of two evils,較壞的選擇
lessons learned,從經驗中獲得的教訓
let a sleeping dog lie,讓睡覺的狗安靜
let a thousand flowers bloom,讓萬千花朵盛開
let alone,更不用說
let bygones be bygones,過去的事情就讓它過去
let down,失望
let drive,開車
let fly,自由
let George do it,讓喬治去做
let go and let God,放手，相信上帝
let in,允許進入
let in on,讓知道
let into,讓進入
let it all hang out,讓一切盡情發揮
let it alone,讓它安靜
let it be,讓它成為
let it snow,讓它下雪
let loose,放鬆
let me count the ways,讓我來數一數
let me see,讓我看看
let me tell you,讓我告訴你
let nature take its course,讓自然自行發展
let off,放鬆
let on,暗示
let one go,放過
let one off,放掉
let one's fingers do the walking,讓手指替你走
let one's hair down,放鬆
let oneself go,放縱
let out,釋放
let past,過去
let sleeping dogs lie,讓沉睡的狗繼續沉睡
let slide,讓滑動
let slip,洩漏
let slip something,洩漏
let someone down gently,溫和地讓某人失望
let someone go,放人
let someone have it,讓某人得到
let something slip,讓某事失手
let that sink in,讓這件事沉澱
let the buyer beware,買方自行負責
let the dog see the rabbit,讓狗看到兔子
let the matter drop,讓這件事就這樣了
let them eat cake,讓他們吃蛋糕
let there be light,讓光明存在
let things alone,讓事情自己解決
let things be,讓事情自然發展
let this cup pass from me,請將這杯交給我
let through,讓通過
let up,放鬆
let us count the ways,讓我們來計算方法
let us go,讓我們去
let us see,讓我們看看
let well alone,讓事態自然發展
let's be having you,讓我們一起
let's face it,坦白說
let's get the party started,讓我們開始派對
let's get this party started,讓我們開始派對吧
let's go,走吧
let's go Brandon,讓我們去Brandon
let's have it,開始吧
let's hear it for someone,讓我們為某人歡呼
let's know,讓我們了解
let's not and say we did,別這樣了，讓我們假裝我們已經做過
let's roll,開始吧
let's say,讓我們
let's see,讓我們看看
letters after one's name,姓名後面的頭銜
level best,最佳
level down,降低
level off,平穩
level out,平整
level to the ground,夷為平地
level up,提升
level with,坦誠
lex dubia non obligat,疑難不決
lexically scoped,詞彙範圍
lez out,離開
lez up,加油
liar liar pants on fire,說謊 說謊 褲子燒
lib out,釋放
libel chill,誹謗
licence to print money,印錢的許可
lick and a promise,輕輕一碰，並承諾
lick into shape,塑形
lick log,記錄
lick my balls,親吻我的睪丸
lick one's chops,舔嘴唇
lick one's lips,舔嘴唇
lick one's wounds,療傷
lick out,舔掉
lick someone's ass,侮辱對方
lick someone's balls,強姦
lick the pants off,徹底擊敗
lick up,迅速消失
lie above,在...之上
lie ahead,在前方
lie along,沿著
lie around,懶洋洋
lie at someone's door,在某人的門口徘徊
lie back,躺下
lie back and think of England,躺下來，想想英國
lie before,謊報
lie behind,隱藏在
lie by,說謊
lie down,躺下
lie ill in one's mouth,在口中說謊
lie in,躺在
lie in one's throat,卡在喉嚨裡
lie in wait,伏擊
lie low,低調
lie off,離開
