you,Bạn
dorsal,lưng
frowns,cau mày
oho,ồ
eagerness,sự háo hức
lye,kiềm
jada,Jada
utopian,không tưởng
jermaine,Jermaine
quintus,ngũ sắc
hoarder,người tích trữ
plata,đồng plata
electrics,điện
eighty-five,tám mươi lăm
mcbeal,mcbeal
easel,giá vẽ
nig,nig
enquiring,hỏi
googly,mắt lồi
oss,oss
andrej,Andrej
gripe,chuôi
jamuna,jamuna
buffs,tăng cường
dib,dib
rafting,chèo bè
byproduct,sản phẩm phụ
gardenia,hoa dành dành
mccloud,mccloud
zachariah,Zachariah
batches,lô hàng
hi-fi,hi-fi
otaku,otaku
oreos,bánh oreo
troubadour,người hát rong
footloose,tự do
gaeta,gaeta
ej,ej
oki,oki
amphetamine,amphetamine
olympian,vận động viên Olympic
arafat,arafat
unsteady,không ổn định
kwong,kwong
comming,sắp tới
flicka,flicka
astrological,chiêm tinh học
deliciously,ngon tuyệt
microbe,vi khuẩn
zoned,khu vực
khakis,quần kaki
homemaker,người nội trợ
heparin,heparin
openers,người mở đầu
swimsuits,đồ bơi
crit,chí mạng
punisher,kẻ trừng phạt
knightley,hiệp sĩ
convincingly,một cách thuyết phục
tinfoil,giấy bạc
qasim,qasim
offing,ngoài khơi
childcare,chăm sóc trẻ em
corrective,sửa chữa
reclusive,sống ẩn dật
scrapping,loại bỏ
carbide,cacbua
retractor,dụng cụ kéo
two-bedroom,hai phòng ngủ
mitigate,giảm thiểu
tradesman,thương gia
laker,hồ
lettie,lettie
kya,kya
preferential,ưu tiên
toyo,Toyo
gibbers,tiếng lảm nhảm
sleepwalker,người mộng du
redoing,làm lại
nosebleeds,chảy máu mũi
arnott,Arnott
chargers,bộ sạc
rumi,rumi
backlog,tồn đọng
chaff,trấu
buckaroo,cao bồi
horner,sừng
sofas,ghế sofa
tribesmen,người bộ lạc
gila,gila
menstruation,kinh nguyệt
engel,thiên thần
repository,kho lưu trữ
orphanages,trại trẻ mồ côi
harbors,bến cảng
colonels,các đại tá
footballers,cầu thủ bóng đá
freshest,tươi nhất
anker,neo
embarrasses,làm xấu hổ
throwback,hoài cổ
peckham,Peckham
reeking,bốc mùi hôi thối
aimless,vô định
mayors,thị trưởng
harsher,khắc nghiệt hơn
freckle,tàn nhang
panned,bị chê bai
debtor,con nợ
salter,muối
chrysalis,nhộng
enchiladas,enchiladas
uninhabitable,không thể ở được
ratan,mây
fisheries,nghề cá
grubs,ấu trùng
expunged,đã xóa
boilers,nồi hơi
nono,không
hydrochloric,axit clohidric
gauges,đồng hồ đo
lentil,đậu lăng
dowling,dowling
bugatti,Bugatti
understated,kín đáo
repeal,bãi bỏ
indelible,không thể xóa bỏ
gav,gav
chesney,chesney
kailash,Kailash
law-enforcement,cơ quan thực thi pháp luật
tonics,thuốc bổ
huggins,ôm
yeltsin,yeltsin
chairwoman,chủ tịch
narrower,hẹp hơn
kearney,Kearney
all-important,vô cùng quan trọng
clicker,bấm
beltran,Beltran
guttural,cổ họng
faints,ngất xỉu
boba,trà sữa trân châu
ministerial,bộ trưởng
kaleb,kaleb
smartly,một cách thông minh
taiga,rừng taiga
gorky,gorky
baku,baku
downtrodden,bị áp bức
bacterium,vi khuẩn
vitro,trong ống nghiệm
operandi,hoạt động
toros,toros
dnr,dnr
karai,karai
tumultuous,xôn xao
bronc,ngựa hoang
kuan,quan
dentistry,nha khoa
farnum,farnum
casbah,casbah
curate,tuyển chọn
priestly,linh mục
komodo,Komodo
salutation,lời chào
cookout,tiệc nướng
disadvantages,nhược điểm
estuary,cửa sông
swank,phô trương
ofelia,ofelia
khmer,người Khmer
testicular,tinh hoàn
successors,người kế nhiệm
fuchs,fuchs
breaching,vi phạm
icarly,iCarly
flabbergasted,kinh ngạc
micha,micha
qa,qa
disregarded,bị bỏ qua
kar,kar
drawbacks,nhược điểm
varga,varga
wilkerson,wilkerson
waldemar,Waldemar
totalitarian,toàn trị
objecting,phản đối
beholder,người quan sát
undertook,đã thực hiện
vada,vada
mauve,màu tím hoa cà
joystick,cần điều khiển
mus,nhạc
underbelly,bụng dưới
rossini,Rossini
joie,niềm vui
anatole,anatole
tarn,hồ nước
outstretched,dang ra
croydon,Croydon
seki,seki
melba,melba
abou,về
brokered,môi giới
hotcakes,bánh kếp nóng
egregious,nghiêm trọng
oxycontin,oxycontin
nakedness,sự trần truồng
storyline,cốt truyện
bestie,bạn thân
truro,truro
dru,dru
swarmed,tràn ngập
cumbersome,cồng kềnh
fondest,yêu thích nhất
bainbridge,bainbridge
personified,nhân cách hóa
nord,bắc
gangland,thế giới tội phạm
undermines,làm suy yếu
exorbitant,quá đắt đỏ
lunching,ăn trưa
redefine,định nghĩa lại
pneumothorax,tràn khí màng phổi
opaque,mờ đục
levitate,bay lơ lửng
footy,bóng đá
fossilized,hóa thạch
anguished,đau khổ
speedster,người chạy nhanh
gott,gott
raptors,chim săn mồi
kearns,kearns
gershwin,gershwin
bucko,thằng nhóc
rollercoaster,tàu lượn siêu tốc
fol,fol
airlift,vận chuyển bằng đường hàng không
christo,Chúa Kitô
cut-off,cắt đứt
man-eater,kẻ ăn thịt người
gratuitous,cho không
curtsy,cúi chào
rakes,cào
exhumation,khai quật
transitioning,chuyển đổi
crossings,các điểm giao cắt
chui,chui
chard,cải cầu vồng
dy,dy
evangelical,người theo đạo Tin Lành
kansai,Kansai
kerstin,Kerstin
devoting,cống hiến
claymore,claymore
nika,nika
hotdogs,xúc xích
westbrook,Westbrook
newborns,trẻ sơ sinh
forked,phân nhánh
irrevocable,không thể thay đổi
elif,elif
perpendicular,vuông góc
pyrenees,dãy núi Pyrenees
kampf,chiến đấu
ulna,xương trụ
ignoramus,kẻ ngu dốt
foretell,dự báo
bovine,bò
iu,IU
quarrelled,cãi nhau
underline,gạch chân
cpa,kế toán viên
linn,linn
goldmine,mỏ vàng
justo,justo
impurities,tạp chất
crossroad,ngã tư
renaldo,thận
prospectus,bản cáo bạch
altruistic,vị tha
smearing,bôi trét
kilimanjaro,Kilimanjaro
enhancing,nâng cao
serling,serling
camomile,hoa cúc
dragnet,lưới kéo
transitions,chuyển đổi
bang-up,tuyệt vời
autoimmune,tự miễn dịch
rothman,Rothman
saladin,Saladin
hypotensive,hạ huyết áp
messina,Messina
patted,vỗ nhẹ
mediums,phương tiện truyền thông
railings,lan can
noxious,độc hại
injustices,sự bất công
marinara,sốt cà chua
achille,gân Achilles
griselda,griselda
blotter,giấy thấm
highwayman,tên cướp đường
cortisone,cortisone
sprawling,trải rộng
dissed,bị chế giễu
off-season,mùa giải nghỉ
itv,itv
well-informed,được thông tin đầy đủ
enchant,quyến rũ
balan,cân bằng
squires,quý tộc
wich,cái nào
twinge,đau nhói
yossi,yossi
unzipping,giải nén
nagisa,nagisa
linderman,Linderman
goanna,kỳ đà
youssef,Youssef
figueroa,hình tượng
synthesized,tổng hợp
snorted,khịt mũi
dago,người Ý
insiders,người trong cuộc
worthing,đáng giá
ensuing,tiếp theo
agrippa,nông dân
wobbling,lung lay
potsdam,Potsdam
miscellaneous,linh tinh
hackney,hackney
schumacher,Schumacher
unwarranted,không chính đáng
uterine,tử cung
self-contained,tự cung tự cấp
courtesans,kỹ nữ
schizo,tâm thần phân liệt
shingle,tấm lợp
legged,chân
deflected,bị lệch
black-market,chợ đen
forty-three,bốn mươi ba
dilute,pha loãng
beautician,chuyên viên làm đẹp
sequencing,trình tự
crosscheck,kiểm tra chéo
incorporating,kết hợp
whimsy,sự ngẫu hứng
augustin,Augustin
straighter,thẳng hơn
burnt-out,kiệt sức
principled,nguyên tắc
bal,quả bóng
red-blooded,máu nóng
annenberg,Annenberg
coincides,trùng khớp
ikeda,ikeda
role-play,nhập vai
stooped,cúi xuống
dunder,dunder
jamila,jamila
aromatic,thơm
reevaluate,đánh giá lại
coli,vi khuẩn coli
adlai,adlai
curveball,quả bóng cong
zippers,khóa kéo
glitches,lỗi
roanoke,Roanoke
charlatans,những kẻ lừa đảo
marseillaise,cuộc chiến tranh Marseille
pocketed,bỏ túi
brexit,Brexit
staining,nhuộm
rashad,rashad
blaspheme,sự báng bổ
ferrell,ferrell
hotness,nóng
lawlessness,sự vô pháp
bursar,thủ quỹ
powerpoint,bài thuyết trình PowerPoint
yeses,vâng
yann,yann
handel,tay cầm
constrained,bị hạn chế
riser,ống đứng
doren,doren
begum,begum
persisted,kiên trì
dulce,dulce
residences,nhà ở
siree,thưa ngài
topsy,lộn ngược
manilow,manilow
miyazaki,Miyazaki
pixels,điểm ảnh
bilbao,bilbao
hyperactive,hiếu động
traumatised,bị tổn thương tâm lý
treatise,luận văn
pawnbroker,người cho vay cầm đồ
flighty,hay thay đổi
hesitates,do dự
sheraton,Sheraton
show-and-tell,trình bày và giới thiệu
phu,phu
x-rayed,chụp X-quang
nazim,Nazim
discotheque,vũ trường
beanstalk,cây đậu
teatime,giờ trà
rodman,người đàn ông que
unsatisfactory,không đạt yêu cầu
korey,Hàn Quốc
unsanitary,không hợp vệ sinh
catalogs,danh mục
neill,Neill
hindley,hindley
frond,lá cây
heinie,heinie
violeta,hoa violeta
digesting,tiêu hóa
indecision,sự thiếu quyết đoán
shepherdess,cô gái chăn cừu
bunsen,bunsen
brokenhearted,đau lòng
philipp,Philipp
topsy-turvy,lộn ngược
contentious,gây tranh cãi
nanotechnology,công nghệ nano
oe,oe
sherpa,người Sherpa
terran,Trái đất
departures,khởi hành
rosalia,Rosalia
nobis,nobis
rdx,rdx
portraying,miêu tả
conductors,dây dẫn
tax-free,miễn thuế
brezhnev,brezhnev
everton,Everton
heirlooms,vật gia truyền
polaris,cực quang
intangible,vô hình
readin,đọc
penitent,người ăn năn
keri,keri
texans,người Texas
unifying,thống nhất
untangle,gỡ rối
empowerment,trao quyền
southwestern,tây nam
m3,m3
enrollment,đăng ký
mucky,bẩn thỉu
icebreaker,phá băng
polynesian,người Polynesia
fredericks,Fredericks
bloodless,không có máu
terre,đất
caiman,cá sấu
puffin,chim hải âu mào
homeboys,anh em
sauron,Sauron
swabbed,lấy mẫu
mid-level,trung cấp
insurgency,cuộc nổi dậy
malaga,malaga
olya,olya
bungled,làm hỏng
svr,svr
chaperones,người giám hộ
undeniably,không thể phủ nhận
bruh,người anh em
uprooted,bị nhổ rễ
lees,lees
takao,takao
hightail,đuôi cao
niceties,sự lịch sự
marxism,chủ nghĩa Mác
averse,ác cảm
well-mannered,lịch sự
vegetative,thực vật
soldiering,binh lính
chickenpox,thủy đậu
breathable,thoáng khí
dg,dg
naturalist,nhà tự nhiên học
stanislav,Stanislav
procurement,mua sắm
massaged,được mát-xa
breakaway,tách rời
gaffney,gaffney
urinary,nước tiểu
hang-up,cúp máy
fairfield,công viên
cyclists,người đi xe đạp
msg,tin nhắn
strindberg,strindberg
snobby,kiêu căng
dissidents,những người bất đồng chính kiến
hecht,hecht
hankering,khao khát
pinches,kẹp
jabber,nói lảm nhảm
collette,collette
croix,croix
declarations,tuyên bố
corrupts,làm hư hỏng
mcconnell,McConnell
aunties,các dì
shipshape,gọn gàng
plaques,bảng hiệu
bullwinkle,ốc biển
breadwinner,người trụ cột gia đình
debby,Debby
competency,năng lực
byline,tác giả
eroticism,chủ nghĩa khiêu dâm
jaffe,jaffe
drifters,những kẻ lang thang
hava,hava
displease,không hài lòng
nite,đêm
sano,sano
artful,khéo léo
mva,mva
deferred,hoãn lại
breastfeed,cho con bú
reelected,tái đắc cử
ichikawa,ichikawa
overdraft,thấu chi
sundial,đồng hồ mặt trời
hayakawa,hayakawa
softening,làm mềm
transformations,sự biến đổi
danson,danson
hughie,Hughie
dany,dany
shaven,cạo râu
tombstones,bia mộ
customized,tùy chỉnh
auditing,kiểm toán
dodds,dodds
covent,tu viện
purvis,purvis
suss,nghi ngờ
doting,yêu thương
misato,misato
jiggling,rung lắc
christensen,Christensen
rotated,xoay
appendectomy,phẫu thuật cắt ruột thừa
chorizo,xúc xích chorizo
ballpoint,bút bi
artsy,nghệ thuật
okayed,đã được chấp thuận
lali,lali
rainforests,rừng mưa nhiệt đới
dialects,phương ngữ
matlock,matlock
lightest,nhẹ nhất
quandary,tình thế khó xử
sunblock,kem chống nắng
inns,nhà trọ
flocking,bầy đàn
happy-go-lucky,vô tư， lạc quan
aurelius,Aurelius
mated,giao phối
getty,getty
adrenal,tuyến thượng thận
actuality,thực tế
fundraising,gây quỹ
ramblings,những suy nghĩ lan man
saps,nhựa cây
jee,jee
mythic,thần thoại
mouthy,miệng lưỡi
gouged,bị móc mắt
kuba,kuba
consuelo,Consuelo
farouk,farouk
verifying,xác minh
punta,punta
chianti,rượu vang Chianti
taichi,thái cực quyền
iwill,Tôi sẽ
heidelberg,Heidelberg
grainy,hạt
overcast,trời nhiều mây
nonalcoholic,không cồn
thirty-four,ba mươi tư
latvian,người Latvia
muchacho,chàng trai
usurped,chiếm đoạt
bodacious,táo bạo
shipyards,xưởng đóng tàu
harshest,khắc nghiệt nhất
joshi,Joshi
erections,sự cương cứng
camphor,long não
badri,Badri
forgetfulness,sự lãng quên
cutout,cắt bỏ
rudra,rudra
hoagie,bánh mì kẹp
storks,cò
shoplifter,người ăn cắp đồ trong cửa hàng
atypical,khác biệt
profited,có lợi nhuận
nobly,cao quý
whiteside,mặt trắng
rowdies,những kẻ côn đồ
detours,đường vòng
blt,blt
imbued,thấm đẫm
firmament,bầu trời
developmental,phát triển
gamboa,gamboa
napoli,Napoli
raya,raya
mountbatten,Mountbatten
escapades,những cuộc phiêu lưu
promiscuity,sự phóng túng
shapely,hình dáng
laroche,laroche
opiates,thuốc phiện
ibis,chim ibis
complainant,người khiếu nại
knick,tiếng kêu
bodhi,Bồ đề
snatchers,kẻ cướp
bleat,kêu be be
teleported,dịch chuyển tức thời
mingled,hòa lẫn
redcoats,áo đỏ
insipid,nhạt nhẽo
windermere,hồ gió mùa đông
cordoned,bị phong tỏa
inhibited,ức chế
natures,thiên nhiên
lemmings,chuột lemming
sloshed,say xỉn
lv,lv
toiletries,đồ dùng vệ sinh cá nhân
kaleidoscope,kính vạn hoa
fain,khao khát
thorax,ngực
sentinels,lính canh
postpartum,sau sinh
bt,bt
pacheco,pacheco
machin,máy móc
mastodon,voi ma mút
shrunken,bị thu nhỏ
yammering,lảm nhảm
telethon,chương trình gây quỹ từ thiện qua điện thoại
deadwood,gỗ chết
bubber,bong bóng
acacia,cây keo
opiate,thuốc phiện
authoritarian,độc đoán
headfirst,đầu tiên
distorts,làm biến dạng
reprisal,sự trả thù
shoves,đẩy
chasers,những kẻ truy đuổi
weimar,Weimar
eeh,ừm
realisation,nhận thức
strangles,siết cổ
gyms,phòng tập thể dục
indiscriminate,không phân biệt đối xử
hammersmith,thợ rèn búa
strumpet,gái điếm
cori,cori
booed,bị la ó
ex-convict,cựu tù nhân
shit-faced,say khướt
adamson,Adamson
overlay,lớp phủ
soos,soos
alyson,Alyson
assists,hỗ trợ
korn,hạt ngô
homegrown,sản xuất trong nước
roslyn,Roslyn
complexities,sự phức tạp
stave,cây đàn
spreadsheet,bảng tính
whacks,đánh
juiced,nước ép
floodgates,cửa xả lũ
thunderbirds,chim sấm sét
culpable,có tội
shoko,shoko
dorchester,Dorchester
dislocation,trật khớp
lifes,cuộc sống
flourishes,nở rộ
rawls,rawls
refining,tinh chế
poindexter,poindexter
strolled,đi dạo
fistfight,đánh nhau bằng nắm đấm
fronting,phía trước
frampton,Frampton
fleabag,con bọ chét
shal,shal
petitioned,đã kiến nghị
archdiocese,tổng giáo phận
grunge,nhạc grunge
hereford,Hereford
lox,cá hồi hun khói
present-day,ngày nay
serf,nông nô
ansari,ansari
wayside,ven đường
distortions,sự biến dạng
justices,thẩm phán
ideologies,hệ tư tưởng
galina,galina
vuitton,vuitton
harvests,mùa màng
matchbook,hộp diêm
tandoori,tandoori
half-price,giảm một nửa
hibiscus,hoa dâm bụt
stirrups,bàn đạp
levity,sự nhẹ nhàng
athenians,người Athens
fridges,tủ lạnh
wreaths,vòng hoa
lonny,cô đơn
apathetic,thờ ơ
cathartic,thanh lọc
pontus,cầu não
dewar,bình chứa
canvassed,đã khảo sát
platitudes,những lời sáo rỗng
reynard,Reynard
prophesy,tiên tri
burrowing,đào hang
carlota,Carlota
caesarean,mổ lấy thai
harbin,cáp treo
harrods,harrods
prominence,sự nổi bật
toned,tông màu
prego,mang thai
karenina,Karenina
kamp,trại
tarry,nhựa đường
kray,kray
impregnate,thấm đẫm
snub,sự khinh miệt
intracranial,nội sọ
softener,chất làm mềm
prophesied,đã được tiên tri
misinformation,thông tin sai lệch
benefactors,những người hảo tâm
reapers,những người gặt hái
carmody,carmody
intercepting,chặn lại
patchwork,chắp vá
tine,kim
pickpockets,móc túi
masse,khối lượng
hibbert,hibbert
ushers,người hướng dẫn
cru,cru
unplanned,không được lên kế hoạch
resurfaced,được làm lại bề mặt
westmoreland,Westmoreland
aryans,người Aryan
venkat,Venkat
rampaging,hoành hành
tactile,xúc giác
aldridge,aldridge
nomura,Nomura
gremlins,yêu tinh
clove,đinh hương
testimonial,lời chứng thực
pepito,pepito
gooseberry,quả lý gai
persephone,Persephone
sandor,cát
in-flight,trên chuyến bay
corroded,bị ăn mòn
vr,thực tế ảo
arianna,Arianna
jammies,đồ ngủ
postwar,hậu chiến
marksmanship,khả năng bắn súng
lodges,nhà nghỉ
ute,xe bán tải
imitated,bắt chước
wide-eyed,mắt mở to
devonshire,Devonshire
sandler,cát
blaise,blaise
conversational,hội thoại
jasmin,hoa nhài
cryogenic,đông lạnh
scaredy-cat,con mèo nhát gan
drainpipe,ống thoát nước
bolero,bolero
dabbled,thử nghiệm
supermodels,siêu mẫu
orbs,quả cầu
pitting,rỗ
year-round,quanh năm
suzan,Suzan
barbarism,sự man rợ
jochen,Jochen
dumpy,lùn tịt
brigands,bọn cướp
db,cơ sở dữ liệu
shavings,vụn gỗ
surrogacy,mang thai hộ
hopscotch,trò chơi nhảy lò cò
motorist,người lái xe
bandwagon,hiệu ứng đám đông
agitate,khuấy động
denby,denby
serpentine,hình rắn
dressings,băng bó
hays,cỏ khô
tuscan,tuscan
dumbbell,chuông hư
enlisting,nhập ngũ
cereals,ngũ cốc
cruelest,tàn nhẫn nhất
liaise,liên lạc
fujiwara,fujiwara
shithouse,nhà vệ sinh
disagreeing,không đồng ý
worsening,tình trạng ngày càng xấu đi
disinterested,vô tư
shiori,shiori
tribulations,những thử thách
highlanders,người dân vùng cao
tantric,tantra
stephenson,Stephenson
honeysuckle,cây kim ngân hoa
collider,máy va chạm
grounder,người tiếp đất
nunez,Nunez
tachyon,tachyon
mendelssohn,Mendelssohn
dionne,Dionne
gaucho,người chăn bò
fannie,fannie
threesomes,quan hệ tay ba
ingrained,ăn sâu
marchetti,marchetti
nakagawa,Nakagawa
ephemeral,không lâu
fulfills,hoàn thành
offsite,ngoài địa điểm
recuse,từ chối
abacus,bàn tính
unsubstantiated,không có căn cứ
tivoli,tivoli
libertine,người phóng túng
mk,mk
telepaths,thần giao cách cảm
neiman,neiman
exaggerates,phóng đại
maj,thiếu tá
elicit,khơi gợi
chanda,chanda
wight,trọng lượng
pele,Pele
tyrol,tyrol
reforming,cải cách
scintillating,lấp lánh
harman,Harman
chortles,cười khúc khích
precedents,tiền lệ
bel-air,bel-air
unsung,không được vinh danh
disservice,sự bất lợi
dissident,người bất đồng chính kiến
mannerisms,cử chỉ
regretfully,đáng tiếc
outings,các chuyến đi chơi
shrooms,nấm
cabeza,đầu
sceptre,quyền trượng
malfunctions,trục trặc
romantics,những người lãng mạn
veronique,Veronique
atrophy,teo
firsts,đầu tiên
corby,corby
aptly,thích hợp
rimbaud,rimbaud
prost,chúc mừng
foreclose,tịch thu tài sản
thoracotomy,phẫu thuật mở lồng ngực
toho,toho
calabria,Calabria
cast-iron,gang
riverboat,thuyền sông
nicolai,Nicolai
riva,bờ biển
lightheaded,chóng mặt
riddick,riddick
regimes,chế độ
condensation,sự ngưng tụ
machi,máy
disintegrating,tan rã
aden,aden
choosers,người lựa chọn
barca,barca
mamba,ba
disembodied,không có thân xác
macey,Macey
deauville,deauville
blouses,áo sơ mi
hoedown,vũ điệu đồng quê
laz,lười biếng
nang,nang
complied,tuân thủ
burley,burley
distinctions,sự khác biệt
appraised,được đánh giá
thermite,nhiệt nhôm
zealots,những kẻ cuồng tín
annas,Annas
mot,động từ
normalcy,bình thường
magus,pháp sư
synapses,khớp thần kinh
rebuke,quở trách
spurred,thúc đẩy
lafferty,lafferty
reproducing,tái tạo
hemorrhagic,xuất huyết
prospered,thịnh vượng
breathalyzer,máy đo nồng độ cồn trong hơi thở
adelle,Adelle
frame-up,khung
self-evident,hiển nhiên
saudis,người Saudi
stine,stine
overtook,vượt qua
posthumous,sau khi mất
vanda,vanda
figgis,quả sung
pascual,pascual
hankie,khăn tay
collegiate,đại học
seng,seng
grassroots,cơ sở
upfront,trả trước
recompense,sự đền bù
acquaint,làm quen
misdirection,sự đánh lạc hướng
krieg,chiến tranh
bernays,bernays
valerio,valerio
hairdressing,làm tóc
neri,neri
ambivalent,mâu thuẫn trong tư tưởng
akagi,Akagi
cartwheels,nhào lộn
malnourished,suy dinh dưỡng
novices,người mới bắt đầu
dasher,người chạy nhanh
ostracized,bị cô lập
seduces,quyến rũ
soppy,sướt mướt
freeloader,kẻ ăn bám
canons,khẩu pháo
kimberley,kimberley
four-legged,bốn chân
libre,tự do
golfers,người chơi golf
underdeveloped,kém phát triển
rind,vỏ
drumbeat,tiếng trống
christiane,Christiane
clean-cut,gọn gàng
georgiana,Georgia
reconfigure,cấu hình lại
camilo,Camilo
bosworth,bosworth
waltzes,điệu waltz
elina,Elina
sporadic,không thường xuyên
moffat,moffat
sickened,bị bệnh
asystole,ngừng tim
slandered,vu khống
anorexia,chán ăn
gobbled,nuốt chửng
sema,sema
muses,nàng thơ
tsing,tsing
sorbet,kem sorbet
tweaks,điều chỉnh
hollandaise,sốt hollandaise
sullied,bị vấy bẩn
jaz,nhạc jazz
hemorrhoid,bệnh trĩ
socked,tất
low-grade,chất lượng thấp
npr,npr
playgrounds,sân chơi
snell,snell
entrepreneurial,tinh thần khởi nghiệp
punctures,thủng
combustible,dễ cháy
gnat,muỗi
colonized,thuộc địa hóa
friendless,không có bạn bè
overrule,bác bỏ
slackers,những kẻ lười biếng
rabin,rabin
repainted,sơn lại
entanglement,sự vướng mắc
dispensation,sự ban phát
stinson,stinson
jaywalking,băng qua đường sai quy định
quotations,trích dẫn
yardley,sân
construed,được hiểu
jacquie,Jacquie
actionable,có thể hành động
fungal,nấm
tamaki,tamaki
frankel,Frankel
whe,khi
researches,nghiên cứu
slither,trườn
sars,bệnh sars
conformity,sự phù hợp
workday,ngày làm việc
turncoat,kẻ phản bội
chatham,Chatham
roslin,hoa hồng
intercepts,chặn
piecing,ghép nối
patriarchal,gia trưởng
fallback,dự phòng
warlike,hiếu chiến
zahra,Zahra
contour,đường viền
carrillo,carrillo
plunges,lao xuống
rescinded,bị hủy bỏ
neolithic,thời kỳ đồ đá mới
goh,goh
mulatto,người lai
bloodlust,khát máu
bang-bang,bùm bùm
free-for-all,tự do
biddle,biddle
lorie,lorie
saloons,quán rượu
capacitor,tụ điện
rubio,rubio
bridgeport,cầu cảng
chaise,ghế dài
jazzed,hào hứng
dissing,chê bai
fructose,fructose
chortling,cười khúc khích
mimosas,hoa mimosa
gooks,người châu Á
interracial,liên chủng tộc
milling,xay xát
knockoff,hàng nhái
pimpernel,cây hoa súng
jousting,đấu thương
bedchamber,phòng ngủ
visibly,rõ ràng
juicer,máy ép trái cây
capua,mũ
udo,udo
luxor,luxor
theorist,nhà lý thuyết
eludes,lẩn tránh
isadora,isadora
sdl,sdl
philanthropy,hoạt động từ thiện
netting,lưới
zs,zs
commode,bồn cầu
treetops,ngọn cây
banyan,cây đa
flagstaff,cột cờ
zits,mụn nhọt
transporters,người vận chuyển
yrs,năm
frittata,frittata
hummel,hummel
homeward,trở về nhà
dissipated,ăn chơi
spool,cuộn
well-to-do,giàu có
isaacs,Isaacs
crewe,đội ngũ
firmer,chắc chắn hơn
centrifuge,máy ly tâm
asante,asante
shortsighted,cận thị
finery,đồ trang sức
mumbled,lẩm bẩm
fairway,đường dẫn bóng
frolicking,vui đùa
inedible,không ăn được
ess,ess
leggings,quần legging
providers,nhà cung cấp
bento,hộp cơm bento
erskine,erskine
medicaid,medicaid
swindlers,những kẻ lừa đảo
drunker,người say rượu
pell,pell
gratefully,với lòng biết ơn
valdemar,valdemar
seesaw,chơi đu
manliness,sự nam tính
mahalo,Cảm ơn
clanton,clanton
julienne,thái sợi
majoring,chuyên ngành
stamford,Stamford
lecher,kẻ dâm đãng
activism,hoạt động tích cực
weaves,dệt
manmade,nhân tạo
kyu,kyu
kenner,kenner
carer,người chăm sóc
quinoa,hạt diêm mạch
tomlin,Tomlin
columbine,hoa columbine
equate,bằng nhau
grizzlies,gấu xám
heeds,chú ý
rout,tuyến đường
xenia,xenia
coordinates,tọa độ
skinning,lột da
ifi,ifi
ozawa,Ozawa
gunslinger,tay súng
crispin,giòn
scooping,múc
euclid,Euclid
reassignment,điều chuyển
supercharged,siêu nạp
ochoa,ochoa
antioch,Antioch
sirena,nàng tiên cá
serendipity,sự tình cờ
millennial,thế hệ thiên niên kỷ
tactless,thiếu tế nhị
jawbone,xương hàm
pepa,pepa
wile,trong khi
godlike,giống như thần thánh
soybean,đậu nành
pothead,nghiện cần sa
proclaims,tuyên bố
timmons,timmons
headshot,ảnh chân dung
flit,bay lượn
mops,cây lau nhà
enamored,say đắm
busters,những kẻ phá hoại
riordan,riordan
taunted,chế nhạo
caf,quán cà phê
freebies,quà tặng miễn phí
mesdames,các quý bà
bloomer,quần lót
deidre,Deidre
tarnation,sự ô uế
illustrates,minh họa
prez,tổng thống
ect,v.v.
unfettered,không bị ràng buộc
batsman,người đánh bóng
twerk,lắc hông
ayatollah,Ayatollah
brill,xuất sắc
gerrard,Gerrard
sergeyevich,Sergeyevich
surrogates,người thay thế
rolfe,rolfe
dismayed,thất vọng
forty-four,bốn mươi bốn
laters,hẹn gặp lại
dilapidated,đổ nát
alleging,cáo buộc
gottlieb,gottlieb
eldorado,Eldorado
overlords,những kẻ thống trị
revolved,xoay tròn
reflector,gương phản xạ
aspirins,thuốc giảm đau Aspirin
perennial,cây lâu năm
lafitte,lafitte
concealment,che giấu
boney,xương
org,tổ chức
juni,tháng sáu
nanjing,Nam Kinh
bondsman,người bảo lãnh
weinstein,Weinstein
blowhard,kẻ khoe khoang
alles,tất cả
inscrutable,không thể hiểu nổi
signalling,tín hiệu
colonize,thuộc địa hóa
tsunamis,sóng thần
turgut,turgut
kui,kui
provolone,phô mai Provolone
concourse,sảnh chờ
flavius,flavius
dearth,sự khan hiếm
abrasion,mài mòn
bastian,bastian
overdrawn,thấu chi
bournemouth,Bournemouth
poisoner,kẻ đầu độc
despondent,chán nản
dipstick,que thăm dầu
gammy,chân tay
deutsche,tiếng Đức
twa,twa
cartagena,Cartagena
izu,izu
kayne,Kayne
lapis,đá lapis
tastier,ngon hơn
lasses,các cô gái
watchmen,người canh gác
decrypt,giải mã
jujitsu,nhu thuật
wilted,héo rũ
incidence,tỷ lệ mắc bệnh
scrimmage,trận đấu tập
tinkerbell,Tinkerbell
inaugurated,khánh thành
perfecto,hoàn hảo
kerouac,Kerouac
chalkboard,bảng đen
adage,tục ngữ
derring-do,sự táo bạo
gumption,sự can đảm
kilgore,Kilgore
coddle,nưng niu
positivity,sự tích cực
headliner,người đứng đầu
woodchuck,chuột chũi
caretakers,người chăm sóc
millers,thợ xay bột
sabe,sabe
aerodynamics,khí động học
yum-yum,ngon tuyệt
augh,augh
reorganize,tổ chức lại
forty-nine,bốn mươi chín
sakurai,sakurai
kandi,kandi
pinata,piñata
firewalls,tường lửa
liana,dây leo
rackham,rackham
dobie,chó săn
