you,คุณ
lynde,ลินด์
krell,เครลล์
tenet,ทฤษฎี
hashem,ฮาเชม
vitale,วิทาเล่
corvo,คอร์โว
mccool,แม็คคูล
chemin,เคมี
rayon,เรยอน
bridging,การเชื่อมต่อ
geometrical,เรขาคณิต
cohan,โคฮาน
fatuous,โง่เขลา
braving,กล้าหาญ
tannery,โรงงานฟอกหนัง
rhone,โรน
asda,แอสดา
patella,กระดูกสะบ้า
goading,การยุยง
demarcation,การแบ่งเขต
scrambles,ตะลุมเบิล
bullitt,บูลลิทท์
wildman,คนป่า
one-up,วันอัพ
redcoat,เรดโค้ท
coursework,การเรียนในหลักสูตร
ninety-two,เก้าสิบสอง
smithson,สมิธสัน
bice,ไบซ์
pinko,พิงโก้
dimwits,คนโง่
deerfield,เดียร์ฟิลด์
transgenic,ทรานส์เจนิก
rincon,รินคอน
journeyman,ช่างฝีมือ
imhotep,อิมโฮเทป
shaffer,แชฟเฟอร์
kitchenette,ห้องครัวขนาดเล็ก
wellspring,บ่อน้ำพุ
frumpy,ครึ
cryptography,การเข้ารหัส
antivirus,แอนติไวรัส
faerie,เทวดา
stromberg,สตรอมเบิร์ก
centrepiece,จุดเด่น
flypaper,กระดาษดักแมลง
dimitry,ดิมิทรี
neighbourly,เพื่อนบ้าน
gershon,เกอร์ชอน
overcharged,คิดราคาเกินจริง
morningside,มอร์นิงไซด์
sebring,เซบริง
nassim,นัสซิม
burqa,บุรกา
chivas,ชีวาส
readies,เตรียมพร้อม
millwall,มิลล์วอลล์
bibs,ผ้ากันเปื้อน
chicas,ชิกาส
dog-eat-dog,ต่างคนต่างเอาตัวรอด
bruschetta,บรูสเกตต้า
harpoons,ฉมวก
uplifted,ยกระดับ
handlebar,แฮนด์บาร์
imparted,ถ่ายทอด
waggle,ส่ายไปมา
shying,ความเขินอาย
attilio,แอททิลิโอ
impersonators,ผู้เลียนแบบ
naff,เชย
muesli,มูสลี่
categorized,จัดหมวดหมู่
alwyn,อัลวิน
metastasized,แพร่กระจาย
scuttling,วิ่งหนีไป
pussy-whipped,ถูกควบคุมโดยผู้หญิง
paleontologist,นักบรรพชีวินวิทยา
needling,การฝังเข็ม
beatdown,ทำร้ายร่างกาย
sud,ซุด
tard,ตาร์ด
patty-cake,แพตตี้เค้ก
hime,ฮิเมะ
walkins,วอล์คอิน
aquino,อากีโน
damiano,ดามิอาโน
trice,สามครั้ง
lonsdale,ลอนส์เดล
subduction,การมุดตัว
sportswear,ชุดกีฬา
bomba,บอมบา
hallucinated,ประสาทหลอน
matei,มาเตอี
walruses,วอลรัส
cornwallis,คอร์นวอลลิส
polygamist,ผู้มีภรรยาหลายคน
hyperbaric,ความดันสูง
hinton,ฮินตัน
marinating,การหมัก
traumatize,ทำให้เกิดบาดแผลทางใจ
craggy,ขรุขระ
atoned,ชดใช้บาป
shilo,ชิโล
burdensome,ภาระ
manhunter,นักล่ามนุษย์
folies,โฟลีส์
quibbling,การโต้แย้งเล็กๆ น้อยๆ
carves,แกะสลัก
hala,ฮาลา
reliever,ผู้ช่วย
zona,โซนา
okavango,โอคาวังโก
scowling,ทำหน้าบึ้ง
whittled,แกะสลัก
edda,เอ็ดดา
lumberyard,โรงเลื่อยไม้
crystal-clear,ใสราวกับคริสตัล
brite,สว่าง
delegations,คณะผู้แทน
mrsa,เอ็มอาร์เอสเอ
moisturize,มอยส์เจอไรเซอร์
limps,เดินกะเผลก
zonked,ซ็องก์
gough,กอฟ
currant,ลูกเกด
cataloging,การจัดทำแคตตาล็อก
hocks,ข้อเท้า
perceiving,การรับรู้
wintry,ฤดูหนาว
first-timer,ครั้งแรก
rappel,โรยตัวลงจากที่สูง
surpassing,เหนือกว่า
ellsberg,เอลส์เบิร์ก
devereux,เดเวอโรซ์
ratcliffe,แรทคลิฟฟ์
skimmer,สกิมเมอร์
burkes,เบิร์คส์
scholl,โรงเรียน
razzle-dazzle,ระยิบระยับตระการตา
verlaine,แวร์เลน
hogue,โฮก
reanimated,ฟื้นคืนชีพ
ramping,ทางลาด
informational,ข้อมูล
verdant,เขียวชอุ่ม
interprets,ตีความ
arte,ศิลปะ
umber,สีน้ำตาลเข้ม
reenter,กลับเข้าไปใหม่
off-course,นอกเรื่อง
time-space,เวลา-อวกาศ
tauri,เทารี
dalziel,ดัลซีล
lavishly,อย่างฟุ่มเฟือย
algerians,ชาวแอลจีเรีย
bourguignon,บูร์กิญง
jealousies,ความอิจฉา
unreported,ไม่ได้รายงาน
intrinsically,โดยเนื้อแท้
disseminate,เผยแพร่
balk,ขัดขวาง
mcgwire,mcgwire
parcheesi,ปาร์ชีซี่
nott,น็อต
hosokawa,โฮโซคาวะ
honourably,อย่างมีเกียรติ
puerile,ไร้สาระ
finny,ฟินนี่
nand,นันด์
guardrail,ราวกั้น
reverb,เสียงสะท้อน
dollface,ตุ๊กตาหน้า
eet,กิน
pris,ปริส
haruki,ฮารุกิ
stargazing,การดูดาว
northerner,ชาวเหนือ
mash-up,การผสมผสาน
cfd,ซีเอฟดี
bonney,บอนนี่
hellhound,สุนัขปีศาจ
gyles,ไจลส์
gop,พรรครีพับลิกัน
sculptural,ประติมากรรม
meagan,เมแกน
freelancers,ฟรีแลนซ์
jodhpur,โจธปุระ
archetypal,ต้นแบบ
misdirected,ผิดทิศทาง
gallops,การควบม้า
concho,คอนโช
gambino,แกมบิโน
thresher,เครื่องนวดข้าว
thunderhead,เมฆฝนฟ้าคะนอง
pcr,พีซีอาร์
loyola,โลโยลา
achievable,สามารถทำได้
curio,ของแปลก
solar-powered,พลังงานแสงอาทิตย์
zygomatic,กระดูกโหนกแก้ม
tallies,การนับ
upstaged,ถูกแย่งซีน
vax,วัคซีน
deformation,การเปลี่ยนรูป
derringer,เดอร์ริงเกอร์
abounds,มากมาย
waned,ลดลง
ravines,หุบเขา
lorrie,ลอร์รี่
kutner,คุทเนอร์
henpecked,ถูกเมียบงการ
nimitz,นิมิตซ์
nutcases,คนบ้า
smollett,สมอลเล็ต
markup,มาร์กอัป
gaskell,แกสเคลล์
salina,ซาลินา
miniskirts,กระโปรงสั้น
aitken,เอตเคน
milosevic,มิโลเซวิช
faltered,สะดุด
deviations,ความเบี่ยงเบน
mainlanders,ชาวจีนแผ่นดินใหญ่
puzzler,ปริศนา
rationalization,การหาเหตุผลเข้าข้างตนเอง
lusitania,ลูซิเทเนีย
balam,บาลัม
economize,ประหยัด
outweighed,มีน้ำหนักมากกว่า
bestselling,ขายดีที่สุด
decays,ผุพัง
chetniks,เชตนิคส์
marinette,มาริเน็ตต์
iva,อีวา
tiptoes,เขย่งปลายเท้า
goodall,กู๊ดออล
crucifixes,ไม้กางเขน
recce,การสำรวจ
contrasting,ความแตกต่าง
hexagonal,หกเหลี่ยม
sargeant,จ่าสิบเอก
cherishes,หวงแหน
fearlessness,ความไม่เกรงกลัว
baptisms,พิธีบัพติศมา
imbedded,ฝังตัว
tunnelling,การขุดอุโมงค์
rebbe,เร็บเบ
ankh,อังค์
pedicures,การทำเล็บเท้า
threshing,การนวดข้าว
archangels,อัครเทวดา
minnows,ปลาตัวเล็กๆ
peerage,ขุนนาง
dv,ดีวี
flatbread,ขนมปังแผ่น
forbearance,การผ่อนปรน
great-grandson,เหลน
detractors,ผู้คัดค้าน
arabesque,อาราเบสก์
caen,แคน
readable,อ่านได้
meadowlands,ทุ่งหญ้า
inlaid,ฝัง
pastimes,งานอดิเรก
marte,มาร์เต
sweatshirts,เสื้อสเวตเตอร์
vandenberg,แวนเดนเบิร์ก
dweebs,พวกเนิร์ด
extinctions,การสูญพันธุ์
sundried,ตากแดด
cayce,เคย์ซี
farad,ฟารัด
cec,ซีซีซี
enhancer,ตัวเสริม
marmite,มาร์ไมต์
tremlett,เทรมเลตต์
vaguest,คลุมเครือที่สุด
boxy,ทรงกล่อง
imbibe,ดื่ม
sun-up,พระอาทิตย์ขึ้น
trott,ทร็อต
verifiable,ตรวจสอบได้
grates,ตะแกรง
mcafee,แมคอาฟี
lancet,แลนเซ็ต
carville,คาร์วิลล์
brockton,บร็อคตัน
retracting,การถอนตัว
nerf,เนิร์ฟ
homegrown,พื้นบ้าน
sheeps,แกะ
joi,จอย
eviscerate,คว้านท้อง
waldman,วอลด์แมน
sak,ซัก
knackers,คนขายเนื้อ
leftists,พวกฝ่ายซ้าย
unencumbered,ไร้ภาระผูกพัน
footlights,ไฟส่องเวที
defrauding,การฉ้อโกง
deputize,มอบหมาย
denigrate,ดูหมิ่นเหยียดหยาม
michaelson,ไมเคิลสัน
peckerwood,ไม้จิก
linley,ลินลีย์
woodworking,งานไม้
skulk,หลบ
bor,บอร์
connotations,ความหมายโดยนัย
plied,พัน
sexing,การกำหนดเพศ
diehard,มิจฉาทิฐิ
tactician,นักวางแผนกลยุทธ์
exculpatory,พ้นผิด
rigmarole,เรื่องไร้สาระ
copycats,พวกเลียนแบบ
windsurfing,วินด์เซิร์ฟ
trundle,เลื่อน
kumari,กุมารี
chiswick,ชิสวิค
logar,โลการ์
beaton,บีตัน
tight-knit,แน่นแฟ้น
lado,ลาโด
beano,บีโน่
lav,ลาฟ
ato,ato
outvoted,ถูกลงคะแนนเสียงคัดค้าน
physiotherapist,นักกายภาพบำบัด
wised,ฉลาดขึ้น
gara,การา
glyn,กลิน
martinson,มาร์ตินสัน
goggle,แว่นตา
palates,เพดานปาก
accusers,ผู้กล่าวหา
whoppers,วอปเปอร์ส
ashoka,อโศก
housemate,เพื่อนร่วมบ้าน
monkeying,ลิง
hagman,แฮกแมน
namie,นามมี่
pss,pss
schmoozing,การพูดคุยอย่างสนิทสนม
phantasm,ภาพลวงตา
karo,คาโร
upchuck,อ้วก
empath,ผู้มีเมตตา
trelawney,เทรลอว์นีย์
teachable,สามารถสอนได้
marvellously,อย่างน่าอัศจรรย์
bolshevism,ลัทธิบอลเชวิก
suprise,เซอร์ไพรส์
demote,ลดตำแหน่ง
dubey,ดูเบย์
newsnight,ข่าวกลางคืน
pomeranian,ปอมเมอเรเนียน
bushman,บุชแมน
nilsen,นิลเซ่น
yardarm,คานเสาเรือ
enclosing,ล้อมรอบ
churns,กวน
jack-o,แจ็คโอ
colourless,ไม่มีสี
highwaymen,โจรปล้นทางหลวง
tove,โทฟ
zings,ซิงส์
blood-red,สีแดงเลือด
noyce,นอยซ์
dutt,ดัตต์
backstabbing,การแทงข้างหลัง
birdbath,อ่างอาบน้ำนก
kilian,คิเลียน
umpteenth,ครั้งที่นับไม่ถ้วน
nal,นาล
narvik,นาร์วิก
seahawks,ซีฮอว์กส์
maneuvered,ทำการเคลื่อนย้าย
roja,โรฮา
wigged,วิกผม
lucero,ลูเซโร
sleuths,นักสืบ
bartolo,บาร์โตโล
nyman,ไนแมน
elevates,ยกระดับ
littler,เล็กกว่า
ticketed,มีตั๋ว
zionists,ไซออนิสต์
pranksters,พวกชอบเล่นตลก
hed,เฮด
lewiston,ลูอิสตัน
wot,อะไรนะ
drizzling,ฝนปรอย
shinning,แผ้ว
pimlico,พิมลิโก
necronomicon,เนโครโนมิคอน
candida,แคนดิดา
prow,หัวเรือ
paxman,แพ็กซ์แมน
rud,รัด
oiling,การหล่อลื่น
adjunct,อาจารย์พิเศษ
drooled,น้ำลายไหล
profiteer,ขูดเลือดขูดเนื้อ
consecration,การอุทิศ
cavallo,คาวาลโล
ramayana,รามายณะ
enrage,โกรธ
fecking,โคตรห่วยแตก
cadmium,แคดเมียม
multimillionaire,มหาเศรษฐี
leos,ลีโอ
hina,ฮินา
reviled,ถูกประณาม
pay-off,ผลตอบแทน
rp,rp
unemployable,ไม่สามารถหางานทำได้
gorging,ตะกละตะกลาม
chiron,ไครอน
airbrushed,พ่นสีแอร์บรัช
cbl,ซีบีแอล
silverback,ซิลเวอร์แบ็ค
basques,ชาวบาสก์
newlin,นิวลิน
binney,บินนีย์
coveting,ความโลภ
screwdrivers,ไขควง
crossley,ครอสลีย์
quarrelsome,ชอบทะเลาะวิวาท
how-to,วิธี
mumford,มัมฟอร์ด
emboldened,กล้าหาญขึ้น
perked,ตื่นตัว
bolger,โบลเกอร์
spoleto,สโปเลโต
ripp,ริปป์
espanol,ภาษาสเปน
reopening,เปิดใหม่
neh,เนห์
zhuang,จ้วง
glyphs,อักษรภาพ
high-minded,จิตใจสูงส่ง
rehire,จ้างงานใหม่
barstool,เก้าอี้บาร์
dita,ดิตา
shockwaves,คลื่นกระแทก
footie,ฟุตบอล
crinkle,ย่น
eady,พร้อมแล้ว
hathor,ฮาธอร์
barefooted,เท้าเปล่า
lothario,โลทาริโอ
lorimer,ลอริเมอร์
gti,จีทีไอ
motorcyclist,นักขี่มอเตอร์ไซค์
polecat,พังพอน
artem,อาร์เทม
callus,แคลลัส
whap,แวป
gratify,สะใจ
intermittently,เป็นระยะๆ
priestesses,นักบวชหญิง
reloaded,โหลดใหม่
predictability,ความสามารถในการคาดการณ์
sloshes,เสียงน้ำกระฉอก
anchoring,การยึด
substantive,สาระสำคัญ
hoarders,คนชอบสะสมของ
offshore,นอกชายฝั่ง
ejecting,การดีดออก
breastfed,ให้นมบุตร
sawbones,หมอ
ont,ออนท์
womankind,ผู้หญิง
cost-effective,คุ้มค่า
yoram,โยรัม
sedentary,อยู่กับที่
linguine,ลิงกวินี
half-hearted,ครึ่งๆ กลางๆ
indoctrinated,ถูกปลูกฝังความคิด
womack,วอแม็ค
stalinist,ลัทธิสตาลิน
pomegranates,ทับทิม
prongs,ง่าม
enhancers,สารเสริม
hapsburg,ฮับส์บูร์ก
sausalito,ซอสซาลิโต้
sweet-talking,การพูดจาหวานหู
profitability,ความสามารถในการทำกำไร
fulbright,ฟุลไบรท์
patna,ปัตนา
choctaw,ชอคทอว์
ebbing,การลดลงของ
ketch,เคทช์
filmy,ฟิล์มลี่
baden-powell,บาเดน-พาวเวลล์
ombudsman,ผู้ตรวจการแผ่นดิน
gastrointestinal,ระบบทางเดินอาหาร
acc,แอค
wheatley,วีทลีย์
renate,เรนาเต้
nonfiction,สารคดี
inoculations,การฉีดวัคซีน
naively,อย่างไร้เดียงสา
stormer,สตอร์เมอร์
hayseed,เมล็ดหญ้าแห้ง
obamacare,โอบามาแคร์
deep-rooted,ฝังรากลึก
plastering,การฉาบปูน
shiraishi,ชิราอิชิ
forecasting,การพยากรณ์
brasilia,บราซิเลีย
unfunny,ไม่ตลก
oba,โอบา
gyn,นรีเวช
amplifies,ขยายเสียง
amplification,การขยาย
devotes,อุทิศตน
restarting,รีสตาร์ท
nueva,นูเอวา
tilts,การเอียง
rua,รูอา
riffing,การริฟฟ์
cohabitation,การอยู่ร่วมกัน
grazer,คนกินหญ้า
tattler,คนชอบฟ้อง
shoshone,โชโชน
ohana,โอฮานา
murmansk,มูร์มันสค์
sweatshops,โรงงานนรก
ancillary,เสริม
allman,ออลแมน
elmira,เอลมิรา
iridescent,เหลือบสีรุ้ง
joyously,เพลิน
mandarins,แมนดาริน
janes,เจนส์
lublin,ลูบลิน
polarized,โพลาไรซ์
ananya,อนันยา
capuchin,คาปูชิน
necropolis,สุสาน
blackthorn,หนามดำ
maidservant,สาวใช้
illustrating,การวาดภาพประกอบ
euphemisms,คำพูดที่สุภาพกว่า
naughtiness,ความซุกซน
boron,โบรอน
varsha,วาร์ชา
dishy,อาหารรสเลิศ
wastepaper,กระดาษเหลือใช้
var,วาร์
polled,โหวต
carew,แคร์ว
kleiner,เล็กกว่า
finna,ฟินนา
wilfully,โดยเจตนา
plainer,เรียบง่ายกว่า
peacemakers,ผู้สร้างสันติภาพ
baptists,แบ๊บติสต์
holley,ฮอลลีย์
pupa,ดักแด้
enfield,เอนฟิลด์
ymir,ยมีร์
margareta,มาร์กาเรตา
inwood,อินวูด
unfurl,คลี่
cavernous,ถ้ำ
brix,บริกซ์
self-reliance,การพึ่งพาตนเอง
southwell,เซาท์เวลล์
rosalyn,โรซาลิน
metrosexual,เมโทรเซ็กชวล
mid-afternoon,กลางบ่าย
sanded,ขัดเรียบ
tiffani,ทิฟฟานี่
potting,การปลูก
pri,ปรี
portside,ฝั่งท่าเรือ
preordained,ถูกกำหนดไว้ล่วงหน้า
monteiro,มอนเตโร
pollan,พอลแลน
msnbc,เอ็มเอสเอ็นบีซี
pincher,คีมหนีบ
checkups,การตรวจสุขภาพ
glazer,ช่างกระจก
bloopers,ความผิดพลาด
relished,ชื่นชอบ
blackface,แบล็กเฟซ
marigolds,ดอกดาวเรือง
rotgut,ของเน่า
puce,สีม่วงอมชมพู
teed,ทีด
cyanotic,ไซยาโนซิส
noc,น็อค
timon,ทิมอน
affirmed,ยืนยันแล้ว
lumbered,เดินโซเซ
exacerbated,รุนแรงขึ้น
defusing,คลายปม
litigious,ชอบฟ้องร้อง
rosella,โรเซลล่า
hairstylist,ช่างทำผม
hunter-gatherers,นักล่าและผู้เก็บเกี่ยว
back-and-forth,ไปๆ มาๆ
nineveh,นิเนเวห์
now-now,ตอนนี้ ตอนนี้
roly-poly,โรลี่-โพลี
ottavio,ออตตาวิโอ
chibi,จิบิ
meringues,เมอแรงก์
neale,นีล
resect,ตัดออก
lasker,ลาสเกอร์
bienvenue,ยินดีต้อนรับ
dodgson,ดอดจ์สัน
lagoons,ทะเลสาบ
falling-out,การทะเลาะวิวาท
mcdougal,แมคดูกัล
carling,คาร์ลิง
couplings,ข้อต่อ
teasdale,ทีส์เดล
hillsides,เนินเขา
comradeship,มิตรภาพ
cresswell,เครสเวลล์
serviceable,ใช้งานได้
selkirk,เซลเคิร์ก
insensible,ไร้ความรู้สึก
noguchi,โนกุจิ
gleams,แวววาว
formulating,การกำหนดสูตร
tornados,พายุทอร์นาโด
gobby,ก๊อบบี้
disorientated,สับสนงุนงง
fricassee,ฟริกาสซี
kashmiri,แคชเมียร์
curds,โยเกิร์ต
boardinghouse,หอพัก
turbans,ผ้าโพกหัว
credenza,เครเดนซ่า
mid-century,กลางศตวรรษ
volpe,โวลเป้
overused,ใช้มากเกินไป
megs,เม็กส์
four-way,สี่ทาง
recline,เอนหลัง
captivate,ดึงดูดใจ
sepulveda,เซปุลเวท
connaught,คอนนอต
mochi,โมจิ
poussin,ปูแซง
carnaby,คาร์นาบี้
shion,ชิออน
vistula,เส้นเลือดดำ
tous,พวกเรา
nazar,นาซาร์
bam-bam,แบม-แบม
subcontractor,ผู้รับเหมาช่วง
gherkin,แตงกวาดอง
appoints,แต่งตั้ง
powdery,ผง
forerunner,ผู้บุกเบิก
shabnam,ชับนาม
elster,เอลสเตอร์
meri,เมริ
tzara,tzara
unravelling,คลี่คลาย
pala,ปาลา
maggs,แม็กส์
mohair,ขนแพะ
anti-terrorism,การต่อต้านการก่อการร้าย
swope,แลกเปลี่ยน
susa,ซูซา
diamondback,ไดมอนด์แบ็ค
manipulations,การจัดการ
jeers,เสียงเยาะเย้ย
zapp,แซ็ปป์
smilingly,ยิ้มแย้ม
hawaiians,ชาวฮาวาย
balliol,บัลลิออล
probs,ปัญหา
dissipates,สลายไป
maharishi,มหาริชี
anointing,การเจิม
reiter,ไรเตอร์
daycare,ศูนย์รับเลี้ยงเด็ก
yarrow,ยาร์โรว์
bestowing,การมอบให้
high-performance,ประสิทธิภาพสูง
slayton,สเลย์ตัน
patria,ปาตริอา
droplet,หยด
durante,ระหว่าง
banda,บันดา
consorts,คู่ครอง
statehood,สถานะความเป็นรัฐ
pith,แก่น
antioxidants,สารต้านอนุมูลอิสระ
swipes,การปัด
firewater,สุรา
pentecost,เพนเทคอสต์
sternly,อย่างเข้มงวด
batu,บาตู
scums,พวกเลว
commandeering,การบังคับบัญชา
eighty-seven,แปดสิบเจ็ด
braked,เบรก
canoodling,การกอดจูบ
seis,เซส
laments,คร่ำครวญ
elway,เอลเวย์
kingfisher,กระเต็น
mirabelle,มิราเบลล์
barre,บาร์เร่
leoni,ลีโอนี
badmouth,ปากเสีย
crotchety,ขี้หงุดหงิด
raffles,การจับฉลาก
northmen,ชาวเหนือ
elocution,การพูดจาฉะฉาน
nincompoops,คนโง่
szechuan,เสฉวน
dalby,ดัลบี้
knockoffs,ของลอกเลียนแบบ
unhooked,ถอดสายแล้ว
caicos,ไคคอส
taillights,ไฟท้าย
musica,มิวสิค่า
zeroing,ตั้งค่าเป็นศูนย์
ganda,กันดา
alanis,อลานิส
sifted,ร่อนแล้ว
stonemason,ช่างก่อหิน
stoppage,การหยุด
hand-painted,วาดด้วยมือ
jagannath,จากันนาถ
blakeney,เบลคนีย์
scalia,สกาเลีย
hummed,ฮัมเพลง
conflagration,เพลิงไหม้
heigh,สูง
snaked,งู
latter-day,ยุคหลัง
tulane,ทูเลน
scut,สคัต
gris,กริส
pancreatitis,ตับอ่อนอักเสบ
spacetime,กาลอวกาศ
lovemaking,การร่วมรัก
dollie,ตุ๊กตา
lackluster,ไร้ชีวิตชีวา
bleecker,บลีคเกอร์
co-sign,ลงนามร่วม
yellowish,สีเหลือง
shied,หลบ
uncovers,เปิดเผย
retractable,หดได้
remaking,การสร้างใหม่
puro,ปูโร
dispassionate,ไร้อคติ
lippman,ลิปแมน
burgle,ลักทรัพย์
incidentals,สิ่งของเบ็ดเตล็ด
typos,พิมพ์ผิด
gcse,จีซีเอส
adversely,ในทางลบ
hodder,ฮอดเดอร์
dungarees,กางเกงยีนส์
cyn,ไซน์
germane,เกี่ยวข้อง
bellas,เบลล่าส์
adoptions,การรับเลี้ยงบุตรบุญธรรม
carlsbad,คาร์ลสแบด
vinson,วินสัน
floozies,โสเภณี
danged,แย่แล้ว
blue-green,สีเขียวอมฟ้า
live-action,ภาพยนตร์คนแสดง
rutter,รัตเตอร์
mex,เม็กซิกัน
sprat,สแปรต
neutralised,ทำให้เป็นกลาง
porker,หมู
mofo,ไอ้เหี้ย
simmonds,ซิมมอนด์ส
krull,ครูลล์
thier,ของพวกเขา
federally,รัฐบาลกลาง
firelight,แสงไฟ
eye-opening,เปิดโลกทัศน์
abstaining,การงดเว้น
oglethorpe,โอเกิลธอร์ป
rifts,รอยแยก
subroutines,ซับรูทีน
inwardly,ภายในใจ
earmuffs,ที่ปิดหู
lopes,โลปส์
satanism,ลัทธิซาตาน
boutros,บูโทรส
denotes,หมายถึง
suppositories,ยาเหน็บ
houseful,บ้านเต็ม
planed,วางแผน
edoardo,เอโดอาร์โด
gawping,อ้าปากค้าง
rit,ริท
blockbusters,ภาพยนตร์ฟอร์มยักษ์
commissioning,การว่าจ้าง
boniface,โบนิเฟซ
temerity,ความกล้าหาญ
wined,ไวน์
schott,ชอตต์
modell,แบบจำลอง
csc,ซีเอสซี
immeasurably,ล้นพ้น
czechoslovakian,เช็กโกสโลวาเกีย
micheal,ไมเคิล
aikido,ไอคิโด
miniseries,มินิซีรีส์
nigerians,ชาวไนจีเรีย
deschamps,เดส์ชองส์
unconvincing,ไม่น่าเชื่อถือ
lording,การปกครองแบบเจ้าเหนือหัว
suspensions,ระบบกันสะเทือน
bevin,เบวิน
abrahams,อับราฮัม
sulphate,ซัลเฟต
fibber,คนโกหก
magics,เวทมนตร์
tricksters,นักต้มตุ๋น
whiteout,สีขาวโพลน
vitriol,กรดกำมะถัน
gnaws,กัดแทะ
loathes,เกลียดชัง
emanates,แผ่กระจาย
color-coded,ระบุด้วยรหัสสี
rathbone,ราธโบน
constitutionally,ตามรัฐธรรมนูญ
brynner,บรินเนอร์
englishwoman,หญิงชาวอังกฤษ
aran,อารัน
tilley,ทิลลีย์
headbutt,โหม่งหัว
ellman,เอลแมน
carpathian,คาร์พาเทียน
invincibility,ความคงกระพัน
airflow,การไหลของอากาศ
trudging,เดินย่ำ
ionosphere,ไอโอโนสเฟียร์
fibrous,เส้นใย
snowmobiles,รถสโนว์โมบิล
colorblind,บอดสี
eliyahu,เอลียาฮู
snooks,ปลาสนุ๊ก
mcmurray,แมคเมอร์เรย์
vill,หมู่บ้าน
gravesite,สถานที่ฝังศพ
never-never,ไม่เคยเลย
roker,โรเกอร์
mansa,มันสา
perspire,เหงื่อออก
discoverer,ผู้ค้นพบ
copperhead,หัวทองแดง
cinq,ห้า
wittenberg,วิทเทนเบิร์ก
incommunicado,ไม่สามารถติดต่อสื่อสารได้
imaginings,จินตนาการ
groomer,ช่างตัดขนสัตว์
farnham,ฟาร์นแฮม
novelists,นักเขียนนวนิยาย
natchez,แนทเชซ
slo-mo,สโลว์โมชั่น
cera,เซร่า
newsagent,ร้านขายหนังสือพิมพ์
debased,ปลอมปน
half-finished,เสร็จไปครึ่งหนึ่ง
illyria,อิลลิเรีย
sampo,ซัมโป
reductions,การลดลง
trivialities,เรื่องเล็กน้อย
haroun,ฮารูน
opr,โอพอาร์
infanticide,การฆ่าทารก
longstanding,ยาวนาน
chowk,โชว์ก
sycophants,คนประจบสอพลอ
paras,ย่อหน้า
disfigurement,ความพิกลพิการ
oppo,โอกาส
gray-haired,ผมสีเทา
redeye,ตาแดง
pinkies,นิ้วก้อย
antibacterial,ต้านแบคทีเรีย
granduncle,ลุงใหญ่
praiseworthy,น่าชื่นชม
irresistibly,ไม่อาจต้านทานได้
snipping,การตัด
eiger,ไอเกอร์
paleface,หน้าซีด
fudged,ฟัดจ์
typeface,แบบอักษร
jewelery,เครื่องประดับ
dystrophy,โรคเสื่อม
musashino,มุซาชิโนะ
radars,เรดาร์
mesmer,เมสเมอร์
felicitations,อนุโมทนา
dwindle,ลดลง
demigod,เทพครึ่งมนุษย์
nicolae,นิโคลาเอ
funnels,กรวย
signboard,ป้ายโฆษณา
readouts,การอ่านค่า
shuttered,ปิดทำการ
marathi,มาราฐี
undefended,ไม่มีการป้องกัน
gwyn,กวิน
shams,หลอกลวง
adapter,อะแดปเตอร์
antagonizing,การต่อต้าน
polyp,ติ่งเนื้อ
quintet,ควินเท็ต
publican,เจ้าของผับ
rattan,หวาย
allusion,การอ้างอิง
furrier,ช่างทำขนสัตว์
propels,ขับเคลื่อน
approvals,การอนุมัติ
uwe,อูเว่
archduchess,อาร์ชดัชเชส
gluteus,กล้ามเนื้อก้น
sola,โซลา
pula,พูล่า
housecleaning,การทำความสะอาดบ้าน
subpar,ต่ำกว่ามาตรฐาน
warm-ups,การวอร์มอัพ
tsetse,เซตเซ่
sate,สงบ
kuma,คุมะ
wrest,มวยปล้ำ
ellyn,เอลลิน
hallucinogens,สารหลอนประสาท
ruhr,รูห์ร
graydon,เกรย์ดอน
workmates,เพื่อนร่วมงาน
sweetbreads,เครื่องในหวาน
dedicates,อุทิศ
full-bodied,รสชาติเข้มข้น
gramp,คุณปู่
reinstating,การคืนสถานะ
cubism,คิวบิสม์
kilowatt,กิโลวัตต์
humblest,ถ่อมตนที่สุด
mathura,มถุรา
exploiters,ผู้แสวงหาผลประโยชน์
catesby,เคทส์บี้
southernmost,ทางใต้สุด
verging,ใกล้
beetlejuice,น้ำผลไม้บีทเทิล
unwillingness,ความไม่เต็มใจ
swabbing,การป้ายสำลี
curtail,ลดขนาด
ase,ase
modernization,การปรับปรุงให้ทันสมัย
spinsters,หญิงโสด
alexia,อเล็กเซีย
hotly,ร้อน
affluence,ความมั่งคั่ง
perversity,ความวิปริต
aghast,ตกตะลึง
snifter,ซนิฟเตอร์
tenancy,การเช่า
saracens,ซาราเซนส์
amphitheatre,อัฒจันทร์
melvyn,เมลวิน
kaaba,กะอ์บะฮ์
sabretooth,เขี้ยวเสือ
port-au-prince,ปอร์โตปรินซ์
charmers,คนมีเสน่ห์
dining-room,ห้องรับประทานอาหาร
gameboy,เกมบอย
preventable,ป้องกันได้
titillating,เร้าใจ
columba,โคลัมบา
extraterrestrial,สิ่งมีชีวิตนอกโลก
hypersensitive,ไวเกิน
babin,บาบิน
rejections,การปฏิเสธ
vim,วิม
reconnoiter,ลาดตระเวน
baddie,คนชั่ว
wifely,ภรรยา
bayan,บายัน
lowball,โลว์บอล
ferrying,เรือข้ามฟาก
steinbeck,สไตน์เบ็ค
