you,ты
pecked,клевал
fraid,боюсь
resection,резекция
fibbing,лгать
pitch-black,кромешная тьма
confiding,доверительный
navigators,навигаторы
kagan,каган
steeper,более крутой
rada,рада
gouging,выкалывание
tts,ттс
cystic,кистозный
nape,затылок
torrential,проливной
landmines,противопехотные мины
hunker,ретроград
surefire,гарантированный
jenga,дженга
oversees,за рубежом
musta,муста
marketed,продаваемый
kriss,Крисс
boers,буры
tallulah,таллула
diagonally,по диагонали
all-day,весь день
incomes,доходы
yayoi,яёи
asterisk,звездочка
soni,сони
kursk,курск
managerial,управленческий
hemmed,подшитый
phased,поэтапный
yurt,юрта
vexing,раздражающий
peron,перон
passkey,пароль
silos,силосы
washers,шайбы
oxymoron,оксюморон
facilitated,облегченный
manos,руки
brainchild,детище
sitcoms,ситкомы
thunderclaps,раскаты грома
sleepwalk,лунатизм
zeeland,Зеландия
schwarz,шварц
colm,колон
full-length,полная длина
dissimilar,несхожий
sajid,Саджид
perceives,воспринимает
severus,северус
obi,оби
agnostic,агностик
chauhan,Чаухан
harrisburg,Харрисбург
loggers,лесорубы
yaks,яки
extremity,конечность
exoskeleton,экзоскелет
unopposed,без сопротивления
rumpelstiltskin,Румпельштильцхен
newfound,новообретенный
wallenberg,Валленберг
spritzer,спритцер
piped,трубный
teary,слезы
self-doubt,неуверенность в себе
limoges,лиможи
bodine,бодайн
omniscient,всеведущий
dogfight,воздушный бой
totals,итоги
indivisible,неделимый
washcloth,мочалка
uriel,Уриэль
scull,череп
inundated,затопленный
elasticity,эластичность
syndicated,синдицированный
jacek,яцек
shona,шона
lif,жизнь
sizzler,шипящий
lenders,кредиторы
cemented,цементированный
leering,ухмыляясь
leveraged,с использованием заемных средств
schofield,Шофилд
pedantic,педантичный
interacted,взаимодействовал
recognisable,узнаваемый
shallots,лук-шалот
tasmania,Тасмания
draconian,драконовский
bleaching,отбеливание
sefton,сефтон
ponte,понте
squashing,давить
berthier,бертье
crackdown,ужесточение мер
bottleneck,узкое место
revulsion,отвращение
amoeba,амеба
dostoevsky,Достоевский
bloat,вздутие
layouts,макеты
taxidermist,таксидермист
belen,Белен
gmos,ГМО
teardrops,слезы
two-step,двухшаговый
zeroed,обнулено
quaking,дрожание
drina,дрина
cull,отстрел
varicose,варикозное расширение вен
kimo,кимо
communicators,коммуникаторы
wowed,впечатлен
jaco,жако
snorkeling,сноркелинг
windbreaker,ветровка
droop,провисание
kawashima,кавасима
imposes,налагает
thins,тонких
stretchers,носилки
beckon,манить
ass-kicking,надрать задницу
creasy,липкий
retaliated,ответил
octagon,восьмиугольник
bestiality,зоофилия
segundo,второй
wrung,выжатый
peder,педер
pumpernickel,ржаной хлеб
prudish,ханжеский
pointe,пуант
earthbound,приземлённый
zuma,зума
settler,поселенец
wildness,дикость
ingles,англы
humanities,гуманитарные науки
sprawled,раскинувшийся
schiff,шифф
charu,чару
koba,коба
inoculation,инокуляция
haskins,Хаскинс
tepid,теплый
paschal,пасхальный
sacristy,ризница
aborigines,аборигены
sequels,продолжения
shanked,голеностопный
jewellers,ювелиры
guzzle,глотать
cvs,CVS
indomitable,непобедимый
pear-shaped,грушевидной формы
centred,центрированный
half-day,полдня
llc,ООО
yor,йор
puto,путо
panini,панини
fortuneteller,гадалка
evelyne,Эвелин
ub,уб
balled,свернутый
appraiser,оценщик
exerting,прилагая
gimpy,хромой
old-age,старость
processors,процессоры
mahmud,махмуд
prattle,болтовня
tachycardia,тахикардия
drexler,дрекслер
andalusia,Андалусия
porkchop,свиная отбивная
commuting,поездки на работу
feuding,вражда
nonce,однократно
referenced,ссылка
clerics,священнослужители
runoff,сток
wisp,огонек
whist,свист
llamas,ламы
chesterton,Честертон
bunions,вальгусная деформация большого пальца стопы
barbosa,барбоса
eine,один
aftertaste,послевкусие
lowenstein,Ловенштейн
clumps,комки
star-crossed,обреченные звездой
fonder,основатель
sayer,сэйер
hirono,Хироно
halved,разделенный пополам
dumbfounded,ошеломленный
waltzed,вальсировали
fluoride,фторид
pussycats,кошечки
accentuate,акцентировать
woolen,шерстяной
anjou,Анжу
apo,апо
lindo,линдо
geothermal,геотермальная
chasin,цепь
unimaginably,невообразимо
mummification,мумификация
tremaine,тремейн
newberg,Ньюберг
regulating,регулирование
elisha,элиша
straights,прямые
outrageously,возмутительно
creases,складки
pentothal,пентотал
slaver,работорговец
billet,заготовка
godot,Годот
counterproductive,контрпродуктивный
ayahuasca,аяуаска
mandala,мандала
shylock,Шейлок
justus,Юстус
mccauley,Макколей
vieira,виейра
enrichment,обогащение
hurries,спешит
baklava,баклава
verdicts,вердикты
sheared,стриженый
ruble,рубль
galleria,галерея
precipitation,осадки
pursuers,преследователи
bullocks,быки
hardheaded,упрямый
elysian,элизийский
infractions,нарушения
befits,преимущества
garuda,Гаруда
bigoted,фанатичный
disinfected,продезинфицированный
whittier,более белый
inside-out,наизнанку
podiatrist,подолог
nutritionist,диетолог
lind,линд
fullback,фулбэк
thataway,таким образом
duper,дупер
sing-along,пение вместе
lugosi,Лугоси
homelessness,бездомность
walpole,Уолпол
lubbock,Лаббок
sampler,пробник
suma,сума
sundry,разное
stradivarius,Страдивариус
anise,анис
brunei,Бруней
grafted,привитый
biarritz,Биарриц
squall,шквал
maher,Махер
edged,окаймленный
levelheaded,уравновешенный
symbiosis,симбиоз
henk,хенк
recognizance,признание
chechens,чеченцы
begining,начало
resenting,обидчивый
vicomte,виконт
mekong,Меконг
carola,карола
inshallah,иншаллах
macintyre,Макинтайр
electricians,электрики
staffers,сотрудники
inseminated,искусственное осеменение
wazoo,вазу
essie,Эсси
giuliana,Джулиана
appalachian,Аппалачи
mandel,мандель
fouls,фолы
hama,хама
banked,банковский
strom,стром
cautioned,предупредил
maroney,марони
reverses,обратные
munchausen,мюнхаузен
vulva,вульва
bader,Бадер
three-piece,трехкомпонентная
zealot,фанатик
schilling,шиллинг
tiananmen,Тяньаньмэнь
xv,xv
gregoire,грегуар
juma,джума
dionysus,Дионис
boche,бош
symbolized,символизированный
cellphone,сотовый телефон
dreidel,дрейдель
tween,подросток
secreted,секретированный
darkening,потемнение
kickball,кикбол
depositing,внесение
filipinos,филиппинцы
fact-finding,установление фактов
ddt,ДДТ
loyalists,лоялисты
ehrlich,Эрлих
flatbed,бортовой грузовик
messi,Месси
conveniences,удобства
relapsed,рецидив
rent-free,без арендной платы
ef,эф
meep,мип
automaton,автомат
murad,мурад
tibor,тибор
damm,черт возьми
recharging,подзарядка
adaptations,адаптации
anti-american,антиамериканский
ever-changing,постоянно меняющийся
heer,хир
iib,iib
propofol,пропофол
zookeeper,смотритель зоопарка
beca,бека
sisi,сиси
paulus,павел
negate,отрицать
sorrento,Сорренто
canasta,канаста
looping,зацикливание
ganged,организованный
peonies,пионы
ble,бле
tsurugi,цуруги
hollers,крики
veered,свернул
birgit,Биргит
damocles,дамоклов
spyder,паук
brightens,осветляет
galleon,галеон
detectable,обнаруживаемый
dimmed,приглушенный
self-aware,самосознающий
paulinho,Паулиньо
beni,бени
aggro,агрессия
danner,Дэннер
tula,тула
deceives,обманывает
criticising,критикующий
painstakingly,кропотливо
spurn,отвергать
valets,парковщики
idiom,идиома
eth,этика
bairn,ребенок
life-giving,дарующий жизнь
arbitrarily,произвольно
stereos,стерео
saad,саад
personals,личные
purposeful,целенаправленный
ached,больно
retinue,свита
kilpatrick,килпатрик
bedded,постельный
childishness,детскость
krakatoa,кракатау
mannered,манерный
laureate,лауреат
perjure,лжесвидетельство
hil,хил
heredity,наследственность
pews,скамьи
hellcat,адская кошка
devotional,молитвенный
insinuation,намек
donne,донне
bypassing,обход
ream,миска
chook,курица
edmonton,Эдмонтон
lj,лж
zat,зат
bespoke,на заказ
surveyors,землемеры
jeri,Джери
swoosh,свист
prabhakar,прабхакар
brinkman,Бринкман
smasher,крушитель
mezzanine,антресоль
ventilate,вентилировать
unconcerned,безразличный
perversions,извращения
naacp,НААКП
functioned,функционировал
resell,перепродажа
dangled,висели
boucher,бушер
kazuki,казуки
rivet,заклепка
nok,нок
pumice,пемза
aleister,Алистер
preserver,консервант
gazes,взгляды
rewrites,переписывания
minuet,менуэт
low-budget,малобюджетный
unfocused,нефокусированный
brunson,Брансон
scanlan,сканлан
eyeful,глазный
zumba,зумба
vali,вали
entranced,очарованный
flightless,нелетающий
testes,яички
mimsy,мимси
hungover,похмелье
hitchhiked,автостопом
beekeeper,пчеловод
catfight,кошачья драка
annul,аннулировать
criterion,критерий
adel,адель
gasses,газы
bagwell,Бэгвелл
fairyland,сказочная страна
reconstructive,реконструктивный
firmness,твердость
scuffling,драка
dragoons,драгуны
multimillion,многомиллион
snipes,снайперы
ardennes,Арденны
maudlin,сентиментальный
anouk,анук
absconded,сбежал
weet,сладким
lonelier,одиночество
slip-up,ошибка
mounties,конные полицейские
satanists,сатанисты
pixar,пиксар
murchison,Мерчисон
exley,Эксли
sideswipe,боковой удар
genii,гении
pundit,эксперт
disinherited,лишенный наследства
undeveloped,неразвитый
benin,Бенин
quills,перья
sourced,источник
vestibule,преддверие
hegel,Гегель
wy,ви
ravings,бредни
wilby,Уилби
immovable,недвижимый
snivelling,хныкающий
benders,изгибы
honeymooners,молодожены
groundbreaking,новаторский
pud,пуд
pharisees,фарисеи
nitric,азотная
wuthering,гадание
hawley,Хоули
godavari,Годавари
dryers,сушилки
compote,компот
mountaineer,альпинист
babbitt,баббит
playoffs,плей-офф
yeats,йетс
rockfish,окунь
advocated,выступал
strives,стремится
butte,Бьютт
tl,тл
counterpoint,контрапункт
newsreels,кинохроника
ilan,Илан
escargot,эскарго
mobley,Мобли
chillies,чили
stroganoff,строганов
upsy-daisy,апси-дейзи
marathons,марафоны
gl,гл
tums,тупс
barfed,вырвал
roughness,шероховатость
cranford,Крэнфорд
outa,из
offal,субпродукты
fallacy,заблуждение
permafrost,вечная мерзлота
weatherby,Уэзерби
kodiak,кодиак
dervish,дервиш
stomps,топает
necromancer,некромант
redness,покраснение
legation,легация
schmooze,хмузе
charmingly,очаровательно
envies,завидует
wringing,выжимание
redman,редман
boycotting,бойкот
desperado,отчаянный
aff,афф
loyalist,лоялист
anaesthesia,анестезия
sippy,поильник
steinmetz,стейнметц
imogene,имоджен
ord,порядок
fumbled,неуклюже
cus,кус
wicks,фитили
corresponded,соответствовал
afterthought,послесловие
whooped,кричал
kester,кэстер
webby,вебби
bared,обнаженный
ic,IC
haphazard,беспорядочно
surrealist,сюрреалист
kasia,Кася
ulrike,Ульрике
yannick,янник
epsom,Эпсом
cw,cw
saith,говорит
misogynistic,женоненавистник
chapstick,бальзам для губ
urinated,помочился
camellia,камелия
angers,гневы
lawndale,Лоундейл
jambalaya,джамбалайя
servings,порции
wabash,вабаш
ricochets,рикошеты
grills,грили
straddling,верхом
boneless,без костей
apostrophe,апостроф
olle,олле
ise,ис
qua,ква
tuco,туко
adulation,восхищение
deficiencies,недостатки
unsuccessfully,безуспешно
high-security,высокий уровень безопасности
deutschland,Германия
slandering,клевета
uav,БПЛА
sudo,судо
begotten,рожденный
dewy,росистый
moaned,застонал
resplendent,великолепный
stockpiling,накопление запасов
oolong,улун
yipping,тявканье
forecasts,прогнозы
brainwave,мозговая волна
damnable,проклятый
lances,копья
instigator,подстрекатель
distrustful,недоверчивый
vis,вис
permian,пермский
clays,глины
warcraft,война
egor,Егор
ruel,руэль
bowles,боулс
kershaw,Кершоу
bihari,бихари
septimus,Септимус
chronological,хронологический
gloriana,Глориана
minas,мины
privatization,приватизация
weds,свадьбы
dammed,проклятый
cheekbone,скула
gloriously,великолепно
butterfingers,неуклюжие пальцы
elli,элли
huerta,уэрта
grannie,бабушка
tashi,таши
spliced,склеенный
oakwood,дубовый лес
colorless,бесцветный
pugh,Пью
jenson,женсон
manion,мэнион
heretical,еретический
shaded,затененный
slapper,шлепок
bathsheba,Вирсавия
benefiting,выгодо
harbored,укрывался
sapling,саженец
solidify,затвердевать
hamstring,подколенное сухожилие
bluer,более синий
silhouettes,силуэты
mouthed,прошептал
avanti,аванти
fave,любимый
handa,ханда
montparnasse,Монпарнас
knapp,кнапп
weighin,взвешивание
pricking,прокалывание
proofread,вычитано
methuselah,Мафусаил
camo,камуфляж
dyslexia,дислексия
mcnab,Макнаб
lampshade,абажур
streetlights,уличные фонари
dopes,наркоманы
sharpie,маркер
denials,отрицания
songwriters,авторы песен
escudos,эскудос
montaigne,Монтень
urns,урны
jorgen,Йорген
percentile,процентиль
balder,балдер
grump,ворчун
boogie-woogie,буги-вуги
nonny,нонни
zaire,Заир
itinerant,странствующий
rimini,Римини
tun,тун
pomeroy,померой
peal,звон
kage,каге
murals,фрески
dakin,дакин
moana,Моана
panoramic,панорамный
gravestones,надгробия
dark-skinned,темнокожий
rickets,рахит
oreo,Орео
duets,дуэты
brulee,брюле
farmington,Фармингтон
nauseated,тошнота
theses,диссертации
iwas,я был
komsomol,комсомол
anteater,муравьед
chipotle,чипотле
connally,конналли
mumtaz,Мумтаз
bbs,bbs
midgard,Мидгард
humanist,гуманист
ding-a-ling,динь-а-линг
initiates,инициирует
dere,дере
copulation,совокупление
self-discipline,самодисциплина
chaco,чако
overflows,переполнения
bombarding,бомбардировка
barra,барра
caseload,кейс-нагрузка
chide,ругать
knead,замесить
brimmer,бриммер
sharpshooters,снайперы
psychotherapist,психотерапевт
immortalized,бессмертный
calla,калла
icecream,мороженое
mukhtar,мухтар
latrines,туалеты
spectra,спектры
philanderer,бабник
ouzo,узо
sweepers,дворники
throwaway,выбросить
record-breaking,рекордный
electing,выборы
evaporation,испарение
thermals,тепловизоры
garish,кричащий
palatial,дворцовый
facelift,подтяжка лица
ashworth,Эшворт
diversified,диверсифицированный
picketing,пикетирование
innovator,новатор
linder,линдер
caboodle,кабул
yelena,Елена
tatyana,Татьяна
venturing,путешествие
excels,превосходит
afterall,после всего
solon,солон
sociological,социологический
slanderous,клеветнический
norrell,Норрелл
torrence,Торренс
fusses,суматоха
criss,крисс
ghettos,гетто
villiers,Вильерс
headlining,главный
radovan,радован
shiatsu,шиацу
prodded,подтолкнул
babyface,детское личико
forme,для меня
long-lasting,долгоиграющий
scrutinized,тщательно исследовал
enlistment,призыв
knockout,нокаутировать
lorazepam,лоразепам
exerted,приложенный
twisty,извилистый
resurface,восстановление поверхности
grenada,Гренада
kaching,качинг
distanced,на расстоянии
hab,хаба
lotions,лосьоны
retrovirus,ретровирус
pitchforks,вилы
auditors,аудиторы
trespasser,нарушитель
ddd,ддд
one-half,половина
taffeta,тафта
marciano,марчиано
gaily,весело
acknowledgment,благодарность
embryonic,эмбриональный
demographics,демографические данные
northward,на север
breathlessly,задыхаясь
culpability,вина
hossein,хоссейн
roebuck,косуля
adaptive,адаптивный
anc,аньк
malvo,мальво
antacid,антацид
ib,иб
well-placed,удачно расположенный
unwitting,неосознанно
caveat,предостережение
marginalized,маргинализированные
rasping,хрип
newhouse,новый дом
banquo,банко
tangles,запутывания
boorman,бурман
amoral,аморальный
clermont,Клермон
loincloth,набедренная повязка
escalates,эскалация
hypothalamus,гипоталамус
deflection,отклонение
underhand,тайный
defecate,испражняться
daz,даз
berthe,берта
manifesting,проявление
onesie,комбинезон
lucienne,люсьенн
marcin,марцин
stravinsky,Стравинский
onthe,на
pensacola,пенсакола
brutalized,жестоко изувеченный
arsenio,арсенио
consigned,отправлено
nagi,наги
pander,сутенер
cataract,катаракта
gdansk,гданьск
quicken,ускорить
uncaring,безразличный
coolly,хладнокровно
stephane,Стефан
periphery,периферия
kure,куре
reassign,переназначить
spoof,пародия
nearsighted,близорукий
professed,заявленный
queries,запросы
ushered,проводил
hangings,повешения
treasonous,предательский
lapointe,Лапуант
tubular,трубчатый
lemoine,лемуан
green-eyed,зеленоглазый
wc,Туалет
hermaphrodite,гермафродит
shelia,Шелия
warmers,подогреватели
loners,одиночки
baying,лай
biden,Байден
ferraro,ферраро
dalmatian,далматинец
arsonists,поджигатели
ingesting,прием пищи
misshapen,деформированный
snp,снп
rejuvenated,омоложенный
ident,идентичность
tagore,тагор
squab,кушетка
hooliganism,хулиганство
colonic,толстый
sharman,шарман
neary,близкий
valkyries,валькирии
gitano,цыгане
lb,фунт
pyro,пиро
furtive,скрытный
wisecracks,остроумные замечания
beaujolais,божоле
namibia,Намибия
attentively,внимательно
hittites,хетты
aldous,Олдос
hsiang,сян
goldfinger,золотой палец
sanctify,освятить
alcazar,алькасар
preclude,исключить
woon,вун
trumped-up,сфабриковано
yai,яи
gomer,Гомер
menelaus,Менелай
sundar,сундар
platters,блюда
protections,защита
guna,гуна
faltering,шатающийся
kayaking,каякинг
radiates,излучает
implacable,неумолимый
theologians,теологи
minstrels,менестрели
transcontinental,трансконтинентальный
halvorsen,халворсен
open-and-shut,открытый и закрытый
exclusivity,эксклюзивность
atheism,атеизм
incensed,разгневанный
bewildering,сбивающий с толку
buoyant,плавучий
biodiversity,биоразнообразие
kp,кл
mean-spirited,злобный
zorba,зорба
bushels,бушелей
adjuster,регулировщик
goodfellow,Гудфеллоу
jitterbug,джиттербаг
rotors,роторы
schuster,Шустер
pyramus,пирамида
archdeacon,архидиакон
lucilla,Люсилла
manfredi,манфреди
bluster,шум
avalanches,лавины
divas,дивы
polonium,полоний
dishonourable,бесчестный
braggart,хвастун
consummation,завершение
brunel,брунель
lene,лене
well-read,начитанный
nickelodeon,никелодеон
twitches,подергивания
sasa,саса
leviticus,Левит
mcdonalds,Макдоналдс
wintergreen,зимняя зелень
subcutaneous,подкожный
muzzy,мазый
philandering,разврат
littlejohn,Литтлджон
haj,хадж
tamarind,тамаринд
vag,влагалище
vindication,оправдание
hinkle,хинкл
grouper,групер
aggressiveness,агрессивность
civics,гражданское образование
knocker,стук
lps,лпс
dartmoor,дартмур
hepatic,печеночный
tobruk,Тобрук
akatsuki,акацуки
shivaji,Шиваджи
magister,магистр
smelting,плавка
homegirl,подружка
glean,собирать
self-centred,эгоцентричный
fuckups,облажались
junket,поездка
thickest,самый толстый
ghoulish,жуткий
talky,разговорчивый
middlemen,посредники
interlock,блокировка
protracted,затяжной
irresponsibility,безответственность
carjacked,угнанный автомобиль
ped,пед
sprocket,звездочка
hedy,Хеди
stalwart,стойкий
immemorial,извечный
zohar,зохар
rab,раб
disregarding,игнорируя
strasser,страссор
deliberating,обдумывание
gazillion,миллиарды
pompoms,помпоны
trilby,трилби
double-parked,припаркован в два ряда
flam,флам
bis,бис
revels,гуляния
ringed,кольчатый
reprogramming,перепрограммирование
sprints,спринты
miny,минь
inadequacy,неадекватность
diminishes,уменьшается
edifice,здание
joelle,Джоэль
wr,wr
hospitalization,госпитализация
stubb,обрубок
doo-wop,ду-воп
to-go,Того
santosh,сантош
sci,наука
piri,пири
azrael,Азраэль
mock-up,макет
scribbles,каракули
nightingales,соловьи
gatling,Гатлинг
unjustified,неоправданный
bivouac,бивак
unilateral,односторонний
mixers,миксеры
reinventing,переосмысление
spas,спа-салоны
whiteness,белизна
mellowed,смягчился
nibs,перья
lockbox,сейф
huai,хуай
tariff,тариф
gsa,gsa
wizardry,волшебство
pukes,рвота
unexploded,неразорвавшийся
insomniac,страдающий бессонницей
arai,Араи
cartouche,картуш
hard-pressed,в тяжелом положении
impassioned,страстный
bourbons,бурбоны
instructs,инструктирует
benchmark,бенчмарк
admirals,адмиралы
astrophysicist,астрофизик
keycard,ключ-карта
petrovic,Петрович
medial,медиальный
nyc,Нью-Йорк
veracity,правдивость
test-drive,тест-драйв
cryer,плакальщик
sloping,наклонный
churro,чурро
etch,травление
accredited,аккредитованный
mcluhan,Маклухан
megalomaniac,мегаломан
rectified,исправлено
stationmaster,начальник станции
commences,начинается
angler,рыболов
bormann,борманн
edgardo,Эдгардо
pummel,ударить
tonight,сегодня вечером
loyally,лояльно
expended,израсходовано
eighty-six,восемьдесят шесть
multitudes,множества
doncaster,Донкастер
igniting,воспламенение
ormond,Ормонд
malena,малена
fallopian,фаллопиевая
gaya,гая
kneels,колени
overcompensating,чрезмерная компенсация
spreader,разбрасыватель
seeps,просачиваются
fending,отбиваясь
aether,эфир
lenka,ленка
teepee,вигвам
rane,ране
rusting,ржавление
budweiser,будвайзер
berenice,Беренис
cygnus,лебедь
saxony,Саксония
dp,dp
gravitation,гравитация
dalliance,любовница
simulating,моделирование
feta,фета
egged,заяц
cleese,клиз
personable,общительный
brigand,разбойник
repenting,раскаяние
skateboards,скейтборды
granddaughter,внучка
redid,переделал
ducklings,утята
cloaks,плащи
quarries,карьеры
populate,заселить
grata,грата
brightened,осветленный
unchain,расцепить
carthaginian,карфагенский
secs,сек.
ethos,этос
vicksburg,Виксбург
inhibitors,ингибиторы
themed,тематический
wiccan,виккан
frescoes,фрески
dreadlocks,дреды
suffragette,суфражистка
deakins,Дикинс
wingate,Уингейт
revved,завелся
squirted,брызгал
obsessive-compulsive,обсессивно-компульсивное расстройство
taper,конусность
alpaca,альпака
hot-tempered,вспыльчивый
artis,артист
unfreeze,разморозить
earshot,слышимость
coloreds,цветные
mantua,мантуя
buffoons,шуты
schaefer,Шефер
hecate,Геката
pugsley,Пагсли
reenactment,реконструкция
chilies,перец чили
crystallized,кристаллизованный
ermine,горностай
vehemently,яростно
predisposition,предрасположенность
calibration,калибровка
mucked,грязный
basher,толчок
dato,дато
carmelita,кармелита
borat,борат
jurek,Юрек
westerly,западный
bruges,брюгес
glides,скольжения
plagiarized,плагиат
materialized,материализованный
gauthier,Готье
hunks,красавцы
ino,ино
scant,скудный
worsley,Уорсли
malfeasance,злоупотребление служебным положением
stoplight,светофор
ringers,звонари
fervour,пыл
maren,марен
strode,шаг
raglan,реглан
offload,разгрузка
spyware,шпионское ПО
externally,извне
stuntmen,каскадеры
hairball,комок шерсти
telekinetic,телекинетический
brannan,браннан
jumba,джумба
morrell,Моррелл
conveys,передает
semesters,семестры
guffaws,смех
pinter,Пинтер
jeane,Жан
hawes,Хоус
deafness,глухота
francisca,Франциска
spacey,рассеянный
southerly,южный
coltrane,колтрейн
convalescent,выздоравливающий
lahiri,лахири
spiritualist,спиритуалист
mayes,майес
spate,ливень
mcenroe,Макенро
seger,сегер
manipulates,манипулирует
dote,дот
noob,нуб
lanyard,шнурок
samoan,самоанский
swines,свиньи
endearment,нежность
showboat,шоу-лодка
azalea,азалия
fastidious,придирчивый
beecham,Бичэм
pickaxe,кирка
fx,факс
lowery,Лоуэри
oust,вытеснить
abram,Абрам
steamroller,паровой каток
yuppies,яппи
pelicans,пеликаны
imperialists,империалисты
republics,республикы
deficits,дефициты
unraveled,распутанный
emphatic,выразительный
aficionado,знаток
irrespective,независимо от
fede,феде
barneys,барни
forums,форумы
rejuvenate,омолодить
alois,алоис
kleist,клеист
fanned,веерный
barts,барты
diorama,диорама
matzo,маца
unicef,ЮНИСЕФ
dich,дих
frankincense,ладан
miya,мия
lovelies,красотки
scoliosis,сколиоз
aquinas,Фома Аквинский
feelgood,хорошее настроение
reshape,изменить форму
lakewood,Лейквуд
zhivago,Живаго
pistachios,фисташки
educators,педагоги
pitying,жалость
volta,вольта
unappreciated,недооцененный
shiraz,шираз
hoopla,шумиха
solarium,солярий
pagers,пейджеры
karr,карр
unpublished,неопубликованный
conscription,призыв
mahone,Махон
manicured,ухоженный
collectibles,предметы коллекционирования
playpen,детский манеж
scriptwriter,сценарист
mergers,слияния
lavage,промывание
slocum,слокум
curiouser,более любопытный
lg,лг
locale,локация
reconstructing,реконструкция
clunks,стуки
ninety-eight,девяносто восемь
relaying,ретрансляция
woodcutter,дровосек
feint,финт
remuneration,вознаграждение
orr,орр
snakebite,укус змеи
filament,нить
lusting,вожделение
fisticuffs,кулачные бои
hermia,Гермия
banu,бану
preservatives,консерванты
fine-tooth,мелкозубый
whiskies,виски
peoria,Пеория
assisi,Ассизи
georgi,Георги
acrobatic,акробатика
interminable,бесконечный
trumbull,трамбулл
unhurt,невредим
eres,эрес
shadwell,шадуэлл
solicited,запрошен
superglue,суперклей
condescend,снисходительно
neuroses,неврозы
rl,рл
siphoning,сифонирование
leche,лече
confining,ограничивающий
penitence,покаяние
homunculus,гомункул
hullabaloo,шумиха
sunderland,Сандерленд
woolworth,Вулворт
manitoba,манитоба
dubrovnik,Дубровник
adem,адем
anti-government,антиправительственный
advices,советы
cuzco,Куско
liberalism,либерализм
crudely,грубо
cristobal,кристобал
turnoff,выключать
hypnotised,загипнотизированный
tarik,тарик
currencies,валюты
maha,маха
articulated,сочлененный
nra,нра
gbh,GBH
decapitate,обезглавить
bagley,бэгли
surnames,фамилии
dweller,житель
incontinent,недержание
uninspired,не вдохновленный
lockjaw,тризм
een,ин
deen,дин
one-quarter,четверть
singularly,в единственном числе
nagged,ворчал
gladness,радость
briony,Бриони
unromantic,неромантичный
cacophony,какофония
nunzio,нунцио
bando,бандо
brags,хвастается
impeach,импичмент
toyotomi,Тойотоми
resigns,уходит в отставку
meddled,вмешался
bawdy,непристойный
bumpkins,деревенщины
vaya,вая
evildoers,злодеи
psychotropic,психотропный
shaquille,Шакил
callaway,каллавей
after-dinner,после ужина
disenfranchised,лишенные прав
repartee,остроумный ответ
tacked,прикрепленный
short-tempered,вспыльчивый
capitulate,капитулировать
viaduct,виадук
repossess,изъятие имущества
pecos,пекос
jubal,джубал
grable,грабль
yew,тис
servile,рабский
aurore,аврора
dolby,Долби
bromley,Бромли
mopey,унылый
chlo,Хло
sukiyaki,сукияки
pleiades,Плеяды
pouches,мешочки
tuckered,усталый
suzhou,Сучжоу
soapbox,трибуна
fil,фил
ender,конец
expansive,обширный
dropouts,отсевы
collingwood,Коллингвуд
giri,гири
dearborn,Дирборн
clapper,хлопушка
appeased,умиротворен
counterattack,контратаковать
wombat,вомбат
buccaneers,пираты
officiate,церемониймейстер
yitzhak,Ицхак
matata,матата
grooving,канавки
dependents,иждивенцы
man-child,инфантильный мужчина
caramelized,карамелизированный
predicated,предсказательный
bodhisattva,бодхисаттва
herewith,настоящим
jabberwocky,бессмыслица
solidified,затвердевший
olin,олин
floundering,барахтаться
viscous,вязкий
druggist,аптекарь
pseudo,псевдо
pradhan,прадхан
kwak,квак
repealed,отменен
encino,Энсино
stabilised,стабилизированный
oneness,единство
deflate,сдуть
moccasins,мокасины
greengrocer,овощной магазин
shamus,шамус
jolson,Джолсон
chol,хол
depletion,истощение
impersonated,выдавший себя за другого
unos,unos
compilation,компиляция
smackers,смейкерс
effected,затронутый
reims,Реймс
fairplay,справедливо
tanto,танто
beauteous,прекрасный
pullover,перетягивать
longmire,лонгмайр
maelstrom,водоворот
loulou,лулу
braved,отважный
closed-circuit,замкнутая цепь
trespassed,незаконно проникли на чужую территорию
panna,панна
posthumously,посмертно
ices,льды
joakim,йоаким
rehan,Рехан
yegor,Егор
whey,сыворотка
adolphe,адольф
sepp,сеп
stricter,более строгий
sauteed,обжаренный
liane,лиана
well-paid,хорошо оплачиваемый
lacquer,лак
morey,Морей
lobbied,лоббировали
conversely,наоборот
tortellini,тортеллини
yearbooks,ежегодники
pigments,пигменты
deceptively,обманчиво
lunchroom,столовая
counterfeiter,фальшивомонетчик
originates,происхождение
oldham,Олдхэм
dimas,димас
footstep,шаги
vayu,вайю
bigmouth,большой рот
honeycutt,медовый
indelicate,нескромный
ung,унг
conveying,передача
extramarital,внебрачный
basha,баша
acoming,приближающийся
nicholls,Николс
buller,буллер
harbouring,укрывательство
soothsayer,прорицатель
prosthesis,протез
nooks,уголки
stringent,строгий
coolio,кулио
hackman,хакман
benedetto,Бенедетто
choirboy,хорист
ather,атер
settee,диван
lionheart,Львиное Сердце
paracelsus,Парацельс
svengali,Свенгали
backache,боль в спине
ngs,нгс
stix,палочки
tenets,принципы
constituted,составленный
bergerac,бергерак
maiko,майко
la-di-da,ла-ди-да
lookout,высматривать
brokeback,отскочил назад
walkthrough,пошаговое руководство
nadezhda,надежда
lancers,уланы
bast,баст
jahan,джахан
pernod,перно
manohar,манохар
