you,너
nonprofit,비영리 단체
eurydice,에우리디케
reaping,수확
salle,살레
behemoth,거대한 짐승
esu,에수
amadeus,아마데우스
forevermore,영원히
duckie,오리
sumi,스미
obsidian,흑요석
uppers,상부
snares,덫
subsided,가라앉았다
phonies,가짜들
redesign,재설계
ligaments,인대
outdo,능가하다
cakewalk,스텝 경기
arlette,아를레트
burly,억센
citations,인용문
recede,움푹 들어가다
newsreader,뉴스 진행자
emigration,이주
like-minded,같은 생각을 가진 사람들
iona,이오나
calle,칼레
wel,웰
huffy,시무룩한
begat,낳았다
teflon,테플론
lighters,라이터
buttock,엉덩이
christer,크리스터
contaminating,오염시키는
tetris,테트리스
regulatory,규제
vik,빅
magnifique,멋진
usted,우스테드
savitar,사비타르
unattached,붙어 있지 않은
fiske,피스크
cuttlefish,오징어
spliff,대마초
eldon,엘던
a-hole,개자식
cybernetic,사이버네틱스
placate,달래다
caltech,캘텍
spellbound,홀린
hinault,히놀트
reviving,부활시키다
ahm,음
malady,질병
disadvantaged,불리한
mobbed,군중이 몰려들었다
modes,모드
gullet,식도
greenhorn,날짜
entrusting,맡기는
frailty,여림
woodhull,나무선체
nit,바보
overestimated,과대평가됨
infects,감염시키다
shortwave,단파
amounted,금액은
unequal,같지 않은
claridge,클라리지
clements,클레멘츠
erlich,에를리히
tantalizing,매혹적인
electrolytes,전해질
fogg,안개
dusseldorf,뒤셀도르프
carnivores,육식동물
tabor,소구
rifling,강선
manda,만다
fruition,결실
playboys,플레이보이
approving,승인하다
zanzibar,잔지바르
shoo-in,슈인
fueling,연료 공급
fishman,어부
reflux,환류
commonality,공통성
gwan,관
tyrannical,폭압적인
transatlantic,미국인
hares,토끼
zanuck,자눅
icicle,고드름
dcp,dcp
jobe,직업
reread,다시 읽기
usurp,빼앗다
unsightly,보기 흉한
sniggers,낄낄거림
romanticism,낭만주의
moti,모티
zeng,쩡
taboos,금기
duan,두안
amenable,받을 수 있는
shek,셰크
substitutes,대체자
painstaking,애씀
decompress,압축 해제
unauthorised,무단
astrophysics,천체물리학
anushka,아누슈카
bullfight,투우
kata,카타
plated,도금된
heartwarming,마음 흐뭇한
alban,알반
orally,경구 투여
hunched,구부정한
biometric,생체 인식
tem,템
incline,경사
safe-deposit,금고
pawing,발로 긁기
choppy,고르지 못한
undercut,언더컷
overwhelms,압도하다
antisocial,반사회적인
ips,IPS
bellhop,보이
downloads,다운로드
go-getter,적극적인 사람
sired,아버지
great-uncle,큰삼촌
serfs,농노들
botswana,보츠와나
earths,지구
carlene,칼린
insubordinate,불복종
innumerable,셀 수 없는
readout,판독값
lalo,랄로
ayrton,에어턴
gg,gg
befallen,닥친
adverts,광고
albrecht,알브레히트
joann,조앤
ranga,랑가
omni,옴니
tansy,탄시
sine,사인
occured,발생했다
appropriations,예산
symbolically,상징적으로
embarking,출발하다
snatches,훔치다
gord,고르드
get-up,몸차림
tarantino,타란티노
sourpuss,심술궂은 사람
enquired,문의했습니다
shazam,샤잠
nastiest,가장 역겨운
pradesh,프라데시
jefferies,제프리스
slimming,슬리밍
gervase,거바스
mig,미그
nobby,노비
babylonian,바빌로니아 사람
pathan,파탄
slough,허물
vod,보드
titi,티티
replying,답장
revenant,레버넌트
afore,전에
cringe,움츠리다
gusts,돌풍
betts,베츠
kilogram,킬로그램
bobs,밥스
niall,나이얼
derogatory,경멸적인
technologically,기술적으로
phillipe,필립
spangler,스팽글러
forestry,임학
bothwell,둘 다
mid-air,공중에서
pickers,피커들
x-rated,성인용
tessie,테시
sissi,시시
moderator,중재자
swinger,스윙어
wooly,털이 많은
coq,닭
ginette,지네트
conchita,콘치타
banister,난간
lifeguards,근위 기병 제일 제이 연대
redress,구제
pall,물리다
injurious,유해한
tere,테레
caramba,카람바
bonzo,본조
voiced,목소리를 낸
voorhees,부르히스
stabilizer,안정기
gaiety,유쾌
porte,문
sadhu,사두
kuro,쿠로
gimmicks,속임수
kaga,카가
keno,케노
walling,벽체
riffraff,잡상인
necking,네킹
beckwith,베크위스
schindler,쉰들러
kippur,키푸르
gillies,길리스
notably,특히
enveloped,감싸인
smee,스미
machetes,마체테
prevalent,널리 퍼져 있는
zeno,제노
pushups,푸시업
twinkies,트윙키
montauk,몬탁
ludovic,루도빅
blinders,눈가리개
hungrier,더 배고픈
translucent,투명한
rinds,껍질
herrick,헤릭
doss,침대
reentry,재진입
thence,그 후
wags,wags
academia,학계
icebergs,빙산
dissipate,소멸시키다
reassemble,재조립
overwork,지나치게 일하다
foresaw,앞톱
scrambler,스크램블러
alameda,알라메다
probed,조사하다
marmaduke,마마듀크
dreads,드레드
bigamy,중혼
instigate,선동하다
diphtheria,디프테리아
mentors,멘토
flings,던지다
bulger,불거
bedspread,침대 덮개
counterintelligence,대적 첩보 활동
ellsworth,엘스워스
makino,마키노
greeley,그리리
dillard,딜라드
washburn,워시번
harriman,해리먼
laguardia,라과디아
complicating,복잡하게
gazpacho,가스파초
derry,데리
preliminaries,예비 단계
lovelace,난봉꾼
repossessed,압류된
scottsdale,스코츠데일
sascha,사샤
somme,썸
reestablish,재확립
spiel,이야기
accosted,접근당했다
sonogram,초음파 검사
sept,씨족
sallie,샐리
dostoyevsky,도스토예프스키
mem,메모리
discounted,할인된
nakajima,나카지마
disciplines,학문 분야
honoria,호노리아
stas,스타스
syrians,시리아인들
shlomo,슐로모
maddalena,마달레나
pricing,가격
mol,몰
concha,외이
pippin,피핀
midwestern,중서부
dubbing,더빙
kd,kd
dateline,날짜
hulks,헐크
beheld,보았다
standardized,표준화된
connell,코넬
faiths,신앙
eloquently,유창하게
chinook,치누크
perpetually,영원히
guardia,경비대
stealer,도둑
no-fly,비행 금지
deering,사슴 사냥
raksha,락샤
waikiki,와이키키
sweet-talk,달콤한 말
quakes,지진
mitchum,미첨
danzig,단치히
inflexible,확고한
moneybags,부
syntax,통사론
unbeknownst,알지 못하는
round-the-clock,24시간 내내
fortifications,요새
seamless,끊김 없는
besotted,혹해 빠진
reconnected,다시 연결됨
acclaim,환호
systemic,전신적인
haggis,해기스
puja,푸자
riga,리가
deon,데온
miyako,미야코
downriver,하류
tsu,츠
lipo,리포
dispersal,분산
joyfully,즐겁게
pericles,페리클레스
immobile,움직이지 않는
melly,멜리
shakers,셰이커
thereabouts,그 당시
acknowledgement,승인
compliant,준수
bateman,베이트먼
resilience,회복력
curvy,곡선미
argentinian,아르헨티나인
pez,페즈
preaches,설교하다
nineties,구십
inverness,인버네스
sexism,성차별주의
yael,야엘
missis,아내
outbreaks,발병
additionally,게다가
slicker,야바위꾼
lille,릴
retrospective,회고적
alessandra,알레산드라
tonkin,통킹 참대
kool,쿨
reinvented,재창조된
flopping,펄럭이다
dey,데이
logistical,물류
depository,공탁소
inconsequential,대수롭지 않은
catania,카타니아
scalped,두피
jah,자
winton,윈튼
bygone,지나간
over-the-top,지나치게
skitters,스키터스
hallucinogenic,환각제
revolted,반란을 일으켰다
froth,거품
bimbos,빔보스
planck,플랑크
sharpshooter,명사수
upgrading,업그레이드
gremlin,그렘린
amphibians,양서류
religiously,종교적으로
caster,던지는 사람
misheard,잘못 들었습니다
genny,제니
baited,미끼를 놓은
auguste,오귀스트
birdman,버드맨
salah,살라
messier,더 지저분하게
belladonna,벨라돈나
assertion,역설
marietta,마리에타
clearest,가장 선명한
pollo,폴로
tugboat,예인선
pritchett,프리체트
ventricular,심실
struts,버팀대
aloysius,알로이시우스
plainclothes,사복
gotti,고티
svensson,스벤손
leveling,수준 측량
jeffery,제프리
inclusion,포함
blu,블루
footpath,보도
calico,옥양목
canberra,캔버라
blundering,실수
scalding,끓는
wielded,휘둘렀다
kenzo,켄조
commercially,상업적으로
frills,프릴
bicep,이두근
camorra,카모라
sharkey,샤키
guangdong,광둥
dorothea,도로테아
surpasses,능가하다
alcove,반침
woodcock,멧도요
turmeric,심황
bengt,벵트
alchemists,연금술사들
ryuji,류지
morgenstern,모르겐슈테른
illustrator,일러스트레이터
womanly,여성스러운
cloves,정향
lakeside,호숫가
pandering,아첨
savin,세이빈
tolerating,참는
red-eye,적안
beltway,순환 도로
coles,콜스
inky,더러워진
valentines,발렌타인데이
third-degree,3도
portman,포트만
small-minded,편협한
dike,제방
bigwigs,고위 간부들
prospecting,탐사
obtuse,무딘
warlocks,마법사들
restores,복원합니다
inbox,받은 편지함
regalia,왕실 예복
prides,자부심
cockles,바지락
fantastical,환상적인
unmatched,비교할 수 없는
trousseau,혼수
nehru,네루
elba,엘바
showmanship,연출 솜씨
mcdowell,맥도웰
sampled,샘플링됨
coerce,강요하다
blurted,불쑥 말했다
neutered,중성화된
ostentatious,과시적인
blips,블립
wotan,워탄
illuminati,일루미나티
ayaz,아야즈
beatrix,베아트릭스
four-letter,네 글자
meiji,메이지
armenia,아르메니아
vamps,뱀파이어
rhoades,로즈
suburbia,교외
razed,완전히 파괴되었다
attaches,첨부
pitkin,피트킨
cag,케이지
bax,박스
genealogy,가계
bloodsucker,흡혈귀
mumbo-jumbo,맘보-점보
azhar,아자르
imitations,모조품
yalta,얄타
arrears,미불
backpacking,배낭여행
faisal,파이살
contesting,경쟁하는
metcalfe,메트칼프
gaspard,가스파르
resuming,재개하다
cashew,캐슈
seventy-two,72
obstetrician,산과 의사
rho,로
archeological,고고학적
avram,아브람
wreaking,파괴하다
rattlesnakes,방울뱀
earner,소득자
yowling,울부짖음
naboo,나부
beached,좌초된
loaning,대부
ansel,앤셀
cava,카바
grimaldi,그리말디
giancarlo,지안카를로
bluffs,절벽
patmore,패트모어
romanians,루마니아인들
tammi,타미
herein,여기에
roku,로쿠
substantiate,입증하다
yodeling,요들송
gargling,가글
eucalyptus,유칼립투스
nuances,뉘앙스
choirs,합창단
delorean,드로리안
speer,스피어
consoled,위로받다
bari,바리
gai,가이
roofing,지붕 이기
enticed,유혹하다
gcs,gcs
unsolicited,원치 않는
extradited,송환된
linguistic,언어학
goring,고링
co-host,공동 진행자
unleashing,해방하다
heineken,하이네켄
hezbollah,헤즈볼라
candyman,캔디맨
squats,스쿼트
breakups,헤어짐
workable,움직일 수 있는
mislaid,잃어버린
legalized,합법화됨
recoup,빼다
adjectives,형용사
biohazard,생물학적 위험
teng,텡
morra,모라
siro,시로
harnessing,활용하다
zsa,자사
jervis,저비스
lennart,레나르트
rediscovered,재발견됨
unmasked,가면을 벗은
thr,thr
hullo,안녕하세요
sects,종파
pinochet,피노체트
relocating,이사
spirals,나선형
aris,아리스
wafers,웨이퍼
cistern,물 탱크
untapped,미개발
pinpointed,정확히 지적된
wii,위
taryn,타린
patronising,거만한
contours,윤곽
silt,미사
kasumi,카스미
aarti,아르티
mattias,마티아스
wedges,쐐기
disavow,부인하다
lemond,레몬드
jovan,요반
exacting,힘든
sleepovers,잠옷 파티
markov,마르코프
krauss,크라우스
kanda,칸다
peregrine,남자 이름
meier,마이어
diversify,다양화하다
houseman,하우스맨
ope,빈 터
dickey,나귀
mutilate,자르다
roxane,록산
bypassed,우회됨
shorthanded,인원이 부족한
fluctuation,파동
plundering,약탈
woodsman,나무꾼
revising,수정
fawning,아첨하다
latvia,라트비아
sitar,시타르
conked,콘크드
organizes,조직하다
raki,라키
speculations,추측
gilberto,길베르토
mamacita,마마시타
farthing,파싱
sumatra,수마트라
freelancer,프리랜서
taster,원고 심사원
eminem,에미넴
gummi,구미
jerries,제리스
promoters,프로모터
carpal,손목
undertakers,인수자들
lurid,어쩐지 기분 나쁜
negligee,네글리제
telecommunications,통신
domes,돔
re-open,다시 열다
razor-sharp,면도날처럼 날카로운
bewitching,매혹적인
accidently,우연히
protruding,돌출된
little-known,잘 알려지지 않은
grapple,잡다
farragut,패러것
noisily,시끄럽게
a-okay,괜찮아요
regretful,후회스러운
blabbermouth,수다쟁이
milli,밀리
mccready,맥크레디
chattanooga,채터누가
symbiotic,공생
wrangler,랭글러
corroboration,보강 증거
rennie,레니
eggshell,달걀 껍질
throng,군중
shrines,신사
artichokes,아티초크
castellano,카스테야노
contested,논쟁의 여지가 있는
kaka,카카
nonchalant,무심한
clearances,허가
ome,오메
skunks,스컹크
dahmer,다머
idolized,우상화된
martyred,순교자
postponement,연기
underlings,부하들
horizontally,수평으로
yuletide,크리스마스 계절
nena,네나
tailoring,양복 짓는 솜씨
arnett,아넷
melodic,멜로디
intensify,강하게 하다
kindle,빛나다
cranny,갈라진 틈
windbag,공기 주머니
stockwell,스톡웰
a-one,에이원
interpretations,해석
teat,젖꼭지
yar,야르
levinson,레빈슨
studded,스터드
zale,잘레
weeding,잡초 제거
bada,바다
kennels,개집
chaucer,초서
crump,크럼프
cave-in,동굴 붕괴
collagen,콜라겐
lally,랄리
subsides,침강하다
kok,콕
southside,남쪽
magnification,확대
commuters,통근자들
manchurian,만주
predestined,예정된
pursuant,~에 따라
matriarch,여족장
chappell,예배당
sciatica,좌골신경통
beamer,비머
absentee,부재자
jigger,지거
paralytic,중풍 환자
slovenia,슬로베니아
feck,젠장
boatswain,갑판장
seconded,동의함
condominium,분양 아파트
brunner,브루너
anaheim,애너하임
tk,티크
paintbrush,화필
quitters,포기자들
quarks,쿼크
follow-through,끝까지 해내다
negligible,무시할 수 있는
philo,필로
mishaps,사고
premeditation,계획적인
parris,패리스
withdraws,인출하다
mccormack,맥코맥
transmutation,변성
wiltshire,윌트셔
comedic,코믹한
jaundice,황달
grafts,이식편
peckish,조금 배가 고픈
claud,구름
menagerie,동물원
barbarous,잔인한
majorca,마요르카
lanky,키가 큰
paperboy,신문 배달부
rakhi,라키
kadir,카디르
goodly,큰
oa,오아
baruch,바루크
mortally,몹시
balling,볼링
inaugurate,열다
cortical,피질
suds,비눗물
daya,다야
downsizing,규모 축소
hibernating,동면하는
mello,멜로
juggernaut,절대적인 힘
permissible,허용 가능한
intently,집중해서
enthralled,매료되다
peds,소아
northwest,북서
gq,gq
caravaggio,카라바조
palais,궁전
bloodshot,충혈된
selections,선택
somers,소머스
labours,노동
begets,낳다
eardrum,귀청
roque,로크
degenerative,퇴행성
worrisome,꺼림칙한
channeled,채널링된
accompaniment,반주
feeney,피니
caesars,시저스
ger,게르
equip,갖추게 하다
kiara,키아라
trekking,트레킹
herded,무리 지어
shacks,오두막
iago,이아고
awe-inspiring,경외감을 불러일으키는
beresford,베레스포드
prostrate,엎드린
haifa,하이파
ex-boyfriends,전 남자친구들
hatchback,해치백
nanni,나니
fraternizing,친목 도모
specialise,전문화하다
coolie,쿨리
ccs,ccs
adelina,아델리나
krill,크릴
economists,경제학자들
runabout,떠돌아 다니는 사람
dexterity,재치
proteus,프로테우스
eso,에소
stewardesses,승무원들
herzog,헤르초그
adjustable,조절할 수 있는
mdma,MDMA
oppressor,압제자
californian,캘리포니아
ill-mannered,예의 없는
looped,반복됨
harpsichord,하프시코드
dissociative,해리성
lombardi,롬바르디
robins,로빈
hangovers,숙취
bareback,맨몸
oaxaca,오악사카
disgustingly,역겹게
welling,웰링
criticised,비판받다
mechanically,기계적으로
vigour,활기
recaptured,재포획됨
lowrent,저렴한 임대료
heroines,여주인공들
mos,모스
petros,페트로스
primaries,예비선거
egomaniac,자기중심적인 사람
prancer,프랜서
indisputable,논쟁의 여지가 없는
derives,파생됩니다
overwrought,지나치게 공들인
pont,폰트
yahtzee,야찌
programmers,프로그래머
lop,베다
persecuting,박해하는
notation,표기법
foggiest,가장 안개가 낀
nighthawk,바람개비
aksel,악셀
buy-in,바이인
sickest,가장 아픈
handset,핸드셋
blesses,축복합니다
reunification,재통일
ix,ix
unscrew,돌려서 빼다
ranches,목장
hewlett,휴렛
dor,문
alphabetically,알파벳순으로
cgi,CGI
lowing,로우잉
silliest,가장 어리석은
notepad,메모장
aleck,알렉
catalogued,목록에 등재됨
pindar,핀다르
hobos,노숙자들
positives,긍정적인 면
notarized,공증됨
tees,티셔츠
schoolchildren,초등학생들
tenfold,십배
sharpener,가는 사람
blissfully,행복하게
snog,키스
incestuous,근친상간
popo,포포
sgc,sgc
sexton,묘지 관리인
waddle,뒤뚱 걸음
pater,페이터
old-timey,옛날식
single-minded,한결같은
butlers,집사들
kno,알다
herrera,에레라
dorsal,등 지느러미
frowns,찡그린 얼굴
oho,오호
eagerness,열의
lye,잿물
jada,자다
utopian,유토피아
jermaine,저메인
quintus,퀸투스
hoarder,수집광
plata,플라타
electrics,전기
eighty-five,85
mcbeal,맥빌
easel,화가
nig,니그
enquiring,미심쩍은 듯한
googly,구글리
oss,오스
andrej,안드레이
gripe,복통
jamuna,자무나
buffs,버프
dib,디브
rafting,래프팅
byproduct,부산물
gardenia,치자나무
mccloud,맥클라우드
zachariah,사가랴
batches,배치
hi-fi,하이파이
otaku,오타쿠
oreos,오레오
troubadour,음유 시인
footloose,가고 싶은 곳에 갈 수 있는
gaeta,가에타
ej,ej
oki,오키
amphetamine,암페타민
olympian,올림픽 선수
arafat,아라파트
unsteady,불안정한
kwong,쾅
comming,오는 중
flicka,플리카
astrological,점성술
deliciously,맛있게
microbe,미생물
zoned,구역화된
khakis,카키색 바지
homemaker,주부
heparin,헤파린
openers,오프너
swimsuits,수영복
crit,크리트
punisher,처벌자
knightley,나이틀리
convincingly,설득력 있게
tinfoil,석박
qasim,카심
offing,난바다
childcare,보육
corrective,교정
reclusive,은둔자
scrapping,폐기
carbide,카바이드
retractor,리트랙터
two-bedroom,침실 2개
mitigate,완화시키다
tradesman,장인
laker,레이커
lettie,레티
kya,캬
preferential,우선적인
toyo,토요
gibbers,중얼거림
sleepwalker,몽유병자
redoing,다시 하기
nosebleeds,코피
arnott,아르노트
chargers,충전기
rumi,루미
backlog,백로그
chaff,왕겨
buckaroo,버커루
horner,호너
sofas,소파
tribesmen,부족민들
gila,길라
menstruation,월경
engel,엥겔
repository,저장소
orphanages,고아원
harbors,항구
colonels,대령들
footballers,축구 선수들
freshest,가장 신선한
anker,앙커
embarrasses,당황하게 하다
throwback,후퇴
peckham,페컴
reeking,악취가 나는
aimless,목적 없이
mayors,시장들
harsher,더 가혹한
freckle,주근깨
panned,팬에 담았다
debtor,채무자
salter,소금통
chrysalis,번데기
enchiladas,엔칠라다
uninhabitable,사람이 살 수 없는
ratan,라탄
fisheries,어업
grubs,애벌레
expunged,삭제됨
boilers,보일러
nono,노노
hydrochloric,염산
gauges,게이지
lentil,렌틸콩
dowling,다울링
bugatti,부가티
understated,절제된
repeal,폐지
indelible,지울 수 없는
gav,개브
chesney,체스니
kailash,카일라쉬
law-enforcement,법 집행
tonics,강장제
huggins,허긴스
yeltsin,옐친
chairwoman,여자 의장
narrower,더 좁은
kearney,커니
all-important,매우 중요한
clicker,식자 과장
beltran,벨트란
guttural,후두음
faints,기절하다
boba,보바
ministerial,장관급
kaleb,케일럽
smartly,똑똑하게
taiga,타이가
gorky,고르키
baku,바쿠
downtrodden,억압받는
bacterium,박테리아
vitro,시험관 내
operandi,운영
toros,토로스
dnr,디너
karai,카라이
tumultuous,떠들썩한
bronc,브롱크
kuan,관
dentistry,치과
farnum,파넘
casbah,카스바
curate,보좌 신부
priestly,사제
komodo,코모도
salutation,인사말
cookout,바비큐
disadvantages,단점
estuary,강어귀
swank,우아
ofelia,오펠리아
khmer,크메르
testicular,고환
successors,후계자들
fuchs,푸크스
breaching,위반
icarly,아이칼리
flabbergasted,깜짝 놀라게 하는
micha,미카
qa,qa
disregarded,무시된
kar,카르
drawbacks,단점
varga,바르가
wilkerson,윌커슨
waldemar,발데마르
totalitarian,전체주의
objecting,반대하다
beholder,보는 사람
undertook,착수했다
vada,바다
mauve,연보라색
joystick,조종간
mus,음악
underbelly,밑바닥
rossini,로시니
joie,기쁨
anatole,아나톨
tarn,작은 호수
outstretched,펼친
croydon,크로이던
seki,세키
melba,멜바
abou,약
brokered,중개된
hotcakes,핫케이크
egregious,악명 높은
oxycontin,옥시콘틴
nakedness,벌거숭이
storyline,줄거리
bestie,베프
truro,트루로
dru,드루
swarmed,떼를 지어 몰려들었다
cumbersome,번거로운
fondest,가장 소중한
bainbridge,베인브리지
personified,의인화된
nord,노르드
gangland,갱단
undermines,약화시킨다
exorbitant,엄청난
lunching,점심 식사
redefine,재정의하다
pneumothorax,기흉
opaque,불투명체
levitate,공중부양하다
footy,축구
fossilized,화석화된
anguished,고통스러운
speedster,고속 운전자
gott,갓
raptors,맹금류
kearns,컨스
gershwin,거슈윈
bucko,뻐기는 사람
rollercoaster,롤러코스터
fol,폴
airlift,공수
christo,크리스토
cut-off,절단
man-eater,식인종
gratuitous,그럴 필요 없는
curtsy,절하다
rakes,갈퀴
exhumation,발굴
transitioning,전환 중
crossings,횡단보도
chui,추이
chard,근대
dy,다이
evangelical,복음주의
kansai,간사이
kerstin,케르스틴
devoting,헌신하다
claymore,클레이모어
nika,니카
hotdogs,핫도그
westbrook,웨스트브룩
newborns,신생아
forked,갈라진
irrevocable,취소할 수 없는
elif,엘리프
perpendicular,수직
pyrenees,피레네 산맥
kampf,캄프
ulna,자뼈
ignoramus,무지한 사람
foretell,예언하다
bovine,소
iu,아이유
quarrelled,다투었다
underline,밑줄
cpa,CPA
linn,폭포
goldmine,금광
justo,저스토
impurities,불순물
crossroad,십자로
renaldo,레날도
prospectus,취지서
altruistic,이타적인
smearing,번짐
kilimanjaro,킬리만자로
enhancing,강화
serling,설링
camomile,카밀레
dragnet,저인망
transitions,전환
bang-up,훌륭한
autoimmune,자가면역
rothman,로스만
saladin,살라딘
hypotensive,저혈압
messina,메시나
patted,토닥거렸다
mediums,매체
railings,난간
noxious,유해한
injustices,불의
marinara,마리나라
achille,아킬레
griselda,그리셀다
blotter,압지
highwayman,노상 강도
cortisone,코르티손
sprawling,넓게 펼쳐진
dissed,비난했다
off-season,비시즌
itv,itv
well-informed,정보에 밝은
enchant,호리다
balan,균형
squires,기사들
wich,어느
twinge,고통
yossi,요시
unzipping,지퍼 내리기
nagisa,나기사
linderman,린더만
goanna,왕도마뱀
youssef,유세프
figueroa,피게로아
synthesized,합성된
snorted,코웃음을 쳤다
dago,스페인 사람
insiders,내부자들
worthing,워딩
ensuing,뒤이어 일어나는
agrippa,아그리파
wobbling,흔들림
potsdam,포츠담
miscellaneous,여러 가지 잡다한
hackney,해크니
schumacher,슈마허
unwarranted,부당한
uterine,자궁
self-contained,자체 완비
courtesans,창녀들
schizo,정신분열증
shingle,조약돌
legged,다리가 있는
deflected,편향된
black-market,암시장
forty-three,마흔셋
dilute,묽게 한
beautician,미용사
sequencing,시퀀싱
crosscheck,정확도 검토
incorporating,통합하다
whimsy,변덕
augustin,오귀스탱
straighter,더 곧은
burnt-out,탈진한
principled,원칙을 가진
bal,발
red-blooded,붉은 피를 가진
annenberg,안넨베르크
coincides,일치합니다
ikeda,이케다
role-play,역할극
stooped,구부정한
dunder,던더
jamila,자밀라
aromatic,향긋한
reevaluate,재평가하다
coli,대장균
adlai,애들라이
curveball,커브볼
zippers,지퍼
glitches,오류
roanoke,로어노크
charlatans,사기꾼들
marseillaise,마르세예즈
pocketed,주머니에 넣은
brexit,브렉시트
staining,더럽히는 것
rashad,라샤드
blaspheme,신성모독
ferrell,페럴
hotness,뜨거움
lawlessness,무법
bursar,재무 담당자
powerpoint,파워포인트
yeses,예
yann,얀
handel,핸들
constrained,제한된
riser,일어나는 사람
doren,도렌
begum,베굼
persisted,지속되었다
dulce,둘세
residences,주거지
siree,시리
topsy,톱시
manilow,매닐로우
miyazaki,미야자키
pixels,픽셀
bilbao,빌바오
hyperactive,과잉행동
traumatised,트라우마를 겪은
treatise,논문
pawnbroker,전당포 주인
flighty,들뜬
hesitates,망설인다
sheraton,쉐라톤
show-and-tell,보여주고 설명하기
phu,푸
x-rayed,엑스레이 촬영
nazim,나짐
discotheque,디스코텍
beanstalk,콩나무
teatime,티타임
rodman,로드맨
unsatisfactory,불만족스러운
korey,코레이
unsanitary,비위생적인
catalogs,카탈로그
neill,네일
hindley,힌들리
frond,엽상체
heinie,하이니
violeta,비올레타
digesting,소화
indecision,우유 부단
shepherdess,양치기 소녀
bunsen,분젠
brokenhearted,상심한
philipp,필립
topsy-turvy,뒤죽박죽
contentious,논쟁의 여지가 있는
nanotechnology,나노기술
oe,오
sherpa,셰르파
terran,테란
departures,출발
rosalia,로잘리아
nobis,노비스
rdx,rdx
portraying,묘사하다
conductors,지휘자
tax-free,면세
brezhnev,브레즈네프
everton,에버튼
heirlooms,가보
polaris,북극성
intangible,만질 수 없는
readin,읽기
penitent,참회하는
keri,케리
texans,텍사스 사람들
unifying,통합하다
untangle,풀다
empowerment,권한 부여
southwestern,남서쪽
m3,엠3
enrollment,등록
mucky,더러운
icebreaker,쇄빙선
polynesian,폴리네시아 인
fredericks,프레더릭스
bloodless,원기 없는
terre,테르
caiman,카이만
puffin,퍼핀
homeboys,홈보이즈
sauron,사우론
swabbed,면봉으로 닦았습니다
mid-level,중간 수준
insurgency,반란
malaga,말라가
olya,올야
bungled,망쳤다
svr,svr
chaperones,보호자
undeniably,부인할 수 없이
bruh,브루
uprooted,뿌리 뽑히다
lees,재강
takao,타카오
hightail,하이테일
niceties,미묘한 점
marxism,마르크스주의
averse,혐오스러운
well-mannered,예의 바른
vegetative,무성의
soldiering,군인
chickenpox,수두
breathable,통기성
dg,디그
naturalist,자연주의자
stanislav,스타니슬라프
procurement,획득
massaged,마사지하다
breakaway,분리
gaffney,개프니
urinary,비뇨기
hang-up,전화를 끊다
fairfield,페어필드
cyclists,자전거 타는 사람들
msg,메시지
strindberg,스트린드버그
snobby,속물적인
dissidents,반체제 인사들
hecht,헤흐트
hankering,열망
pinches,꼬집다
jabber,수다쟁이
collette,콜레트
croix,크루아
declarations,선언
corrupts,부패하다
mcconnell,맥코넬
aunties,이모들
shipshape,깔끔한
plaques,명판
bullwinkle,불윙클
breadwinner,생업
debby,데비
competency,능력
byline,기사 작성자
eroticism,에로티시즘
jaffe,자페
drifters,방랑자들
hava,하바
displease,불쾌하게 하다
nite,밤
sano,사노
artful,교활한
mva,엠바
deferred,연기된
breastfeed,모유 수유
reelected,재선
ichikawa,이치카와
overdraft,당좌 대월
sundial,해시계
hayakawa,하야카와
softening,연화
transformations,변환
danson,댄슨
hughie,휴이
dany,다니
shaven,면도한
tombstones,묘비
customized,맞춤형
auditing,감사
dodds,도즈
covent,수도원
purvis,퍼비스
suss,의심스럽다
doting,애정 어린
misato,미사토
jiggling,흔들림
christensen,크리스텐센
rotated,회전된
appendectomy,충수 절제
chorizo,초리조
ballpoint,볼펜
artsy,예술적인
okayed,승인됨
lali,랄리
rainforests,열대우림
dialects,방언
matlock,매틀록
lightest,가장 가벼운
quandary,당황
sunblock,선크림
inns,여관
flocking,무리 지어 다니는
happy-go-lucky,낙천적인
aurelius,아우렐리우스
mated,짝짓기
getty,게티
adrenal,부신
actuality,현실
fundraising,모금 활동
ramblings,잡담
saps,수액
jee,지
mythic,신화적인
mouthy,수다스러운
gouged,파낸
kuba,쿠바
consuelo,콘수엘로
farouk,파루크
verifying,확인 중
punta,푼타
chianti,키안티
taichi,태극권
iwill,그럴게요
heidelberg,하이델베르크
grainy,거친 질감의
overcast,흐린
nonalcoholic,무알코올
thirty-four,서른네
latvian,라트비아 사람
muchacho,무차초
usurped,찬탈한
bodacious,대담한
shipyards,조선소
harshest,가장 가혹한
joshi,조시
erections,발기
camphor,장뇌
badri,바드리
forgetfulness,건망증
cutout,차단
rudra,루드라
hoagie,호기
storks,황새
shoplifter,가게 좀도둑
atypical,전형적인 아닌
profited,이익을 얻었다
nobly,고귀하게
whiteside,화이트사이드
rowdies,소란스러운 사람들
detours,우회로
blt,블트
imbued,스며든
firmament,창공
developmental,발달
gamboa,감보아
napoli,나폴리
raya,라야
mountbatten,마운트배튼
escapades,탈출
promiscuity,뒤범벅
shapely,몸매가 좋은
laroche,라로슈
opiates,아편제
ibis,따오기
complainant,원고
knick,닉
bodhi,보리
snatchers,강탈자
bleat,우는 소리
