you,Du
cockatoo,Kakadu
corsican,korsisch
holtz,Holtz
conceals,verbirgt
shortening,Verkürzung
overexcited,übererregt
exuberance,Überschwang
marinate,marinieren
tyke,Kleinkind
examines,untersucht
chakras,Chakren
ukrainians,Ukrainer
technicalities,technische Details
implicit,implizit
gribble,Gribble
outwitted,überlistet
unawares,ahnungslos
rona,Rona
fellatio,Fellatio
seeger,Seeger
sparklers,Wunderkerzen
crosswalk,Fußgängerüberweg
rename,umbenennen
endicott,endicott
detaining,Inhaftierung
neutrino,Neutrino
replicating,Replikation
zaza,zaza
repressive,repressiv
buckwheat,Buchweizen
relent,nachgeben
raze,schleifen
rrr,rrr
usurper,Usurpator
linton,Linton
pixel,Pixel
angelika,Angelika
misinterpret,Fehlinterpretation
tiredness,Müdigkeit
stockman,Viehtreiber
resonates,Resonanz
beset,bedrängt
gresham,Gresham
kraus,Kraus
kanna,Kanna
discriminating,diskriminierend
watchmaker,Uhrmacher
mich,mich
societal,gesellschaftlich
entre,entre
oxycodone,Oxycodon
virulent,virulent
nightshade,Nachtschatten
replicas,Repliken
overloading,Überlastung
buoys,Bojen
selects,wählt aus
fishmonger,Fischhändler
hangzhou,Hangzhou
ferrer,Ferrer
shinde,Shinde
surety,Sicherheit
caskets,Särge
inane,albern
sadism,Sadismus
semtex,Semtex
maryam,Maryam
guapo,guapo
blindfolds,Augenbinden
lifer,Lebenslänglicher
supercomputer,Supercomputer
serra,Serra
gratified,befriedigt
flail,Flegel
peeler,Schäler
thackeray,Thackeray
chillax,Entspannung
well-connected,gut vernetzt
shakespearean,Shakespeare
retailer,Einzelhändler
memorise,auswendig lernen
mchale,McHale
disengaged,gelöst
werther,Werther
lamia,Lamia
crumpet,Crumpet
hyped,gehypt
sandbag,Sandsack
friendlies,Freundschaftsspiele
amphibian,Amphibie
drei,drei
gabbing,Schwätzen
high-priced,hochpreisig
examiners,Prüfer
pawan,Pawan
fathead,Dickkopf
sadat,Sadat
whupped,verprügelt
devore,devore
cassock,Soutane
disabling,Deaktivierung
bac,bac
eyeballing,Anglotzen
butted,gestoßen
conceded,eingestanden
mcfadden,McFadden
diddly,diddly
rn,rn
platoons,Züge
disassemble,zerlegen
brecht,Brecht
lehmann,Lehmann
reliance,Vertrauen
quiets,Ruhe
mopped,gewischt
bilingual,zweisprachig
thrombosis,Thrombose
acs,acs
pish,Pfui
alum,Alaun
valiantly,tapfer
yasuda,yasuda
feigning,vortäuschen
geppetto,geppetto
rees,Rees
nave,Kirchenschiff
johnsons,Johnsons
reachable,erreichbar
ratified,ratifiziert
infuriated,wütend
intruded,eingedrungen
tani,Tani
agitator,Agitator
banquets,Bankette
modelled,modelliert
laxatives,Abführmittel
underling,Untergebener
eventuality,Fall
dudu,dudu
high-stakes,hohe Einsätze
heffernan,Heffernan
milanese,Mailänder
mosby,Mosby
thirty-nine,neununddreißig
moussa,Moussa
acumen,Scharfsinn
uttering,Äußerung
liquidation,Liquidation
densely,dicht
garson,Garson
racquet,Schläger
mariposa,Mariposa
creditor,Gläubiger
leyton,Leyton
wastrel,Verschwender
myanmar,Myanmar
southeastern,südöstlich
elon,Elon
strum,klimpern
whistleblower,Whistleblower
chesterfield,Chesterfield
scowl,finsterer Blick
chancellery,Kanzleramt
marcelle,Marcelle
jima,Jima
sudoku,Sudoku
karnak,Karnak
mercifully,gnädig
tailor-made,maßgeschneidert
wol,Wolf
environmentalists,Umweltschützer
inexperience,Unerfahrenheit
bungalows,Bungalows
flecks,Flecken
firebird,Feuervogel
tillie,Tillie
amniotic,Amnion
bogie,Drehgestell
hiv-positive,HIV-positiv
mikasa,Mikasa
inigo,Inigo
nepotism,Vetternwirtschaft
thicket,Dickicht
poultice,Umschlag
high-grade,hochgradig
good-hearted,gutherzig
okeydoke,Okay
meteorologist,Meteorologe
sympathizers,Sympathisanten
iss,ist
salesgirl,Verkäuferin
capacities,Kapazitäten
nags,Nörgler
gridlock,Verkehrschaos
brawls,Schlägereien
babi,Baby
boonies,Hinterwäldler
mobilizing,Mobilisierung
empathetic,einfühlsam
pathos,Pathos
medalist,Medaillengewinner
phallic,phallisch
trickier,kniffliger
demerol,Demerol
rebar,Bewehrungsstahl
nitin,Nitin
undergrowth,Unterholz
dunking,Dunking
regularity,Regelmäßigkeit
logos,Logos
all-clear,Entwarnung
albin,Albin
exquisitely,exquisit
ocp,ocp
lhasa,Lhasa
buttering,Buttern
sopranos,Sopran
surfacing,Oberflächenbehandlung
assuring,Sicherstellen
tancredi,Tancredi
acropolis,Akropolis
cadre,Kader
vicariously,stellvertretend
sweeties,Süßigkeiten
cort,Cort
potpourri,Potpourri
braveheart,tapferes Herz
peacekeeping,Friedenssicherung
heigh-ho,Heigh-ho
evocative,eindrucksvoll
taipan,Taipan
sues,Klagen
snarky,bissig
leopoldo,Leopoldo
dosh,Geld
inconsolable,untröstlich
kamala,Kamala
humped,bucklig
dixit,Dixit
whiskeys,Whiskys
timmins,Timmins
tono,Ton
flaccid,schlaff
robles,Robles
goli,goli
saperstein,Saperstein
hephaestus,Hephaistos
blighter,Mistkerl
outrank,Rang übertreffen
maga,maga
pokes,Stupser
prospector,Prospektor
fibrosis,Fibrose
smudges,Flecken
caddie,Caddie
fortuna,Fortuna
airbags,Airbags
tico,Tico
masts,Masten
cpu,CPU
themself,sich selbst
gratin,Gratin
snafu,Panne
zaps,Zaps
infield,Innenfeld
moonbeam,Mondstrahl
projectionist,Vorführer
laminated,laminiert
jovial,fröhlich
purifying,reinigend
sidelined,außen vor
cf,vgl.
sunbathe,Sonnenbaden
pygmies,Pygmäen
publishes,veröffentlicht
bestseller,Bestseller
facets,Facetten
unremarkable,unauffällig
pembroke,Pembroke
gam,Spiel
one-handed,einhändig
kitsch,Kitsch
gauss,Gauss
fleury,Fleury
miscarriages,Fehlgeburten
eisenstein,Eisenstein
martinique,Martinique
clamor,Geschrei
statewide,landesweit
jinnah,Jinnah
valens,valens
raked,geharkt
hardens,härtet aus
leh,leh
frizzy,kraus
penmanship,Kalligraphie
bloodhounds,Bluthunde
domo,Domo
surfed,gesurft
ches,Schach
metatron,Metatron
lethargic,lethargisch
fireside,Kamin
prompting,Aufforderung
berets,Barette
marauders,Plünderer
far-reaching,weitreichend
flocked,geschwärmt
environmentalist,Umweltschützer
hea,Kopf
ilyich,Iljitsch
circumvent,umgehen
sellout,Ausverkauf
passcode,Passwort
dwellings,Wohnungen
denouncing,Verurteilung
seul,seul
puccini,Puccini
glitz,Glanz
simmering,köchelnd
parfait,Parfait
well-built,gut gebaut
miwa,miwa
aras,aras
khyber,Khyber
impresario,Impresario
moratorium,Moratorium
gottfried,Gottfried
hydroxide,Hydroxid
hemoglobin,Hämoglobin
provo,Provo
pharmacies,Apotheken
scabbard,Scheide
weaned,entwöhnt
langham,Langham
thrusts,Schubkräfte
aclu,aclu
jacobi,Jakob
seraphim,Seraphim
conman,Betrüger
filings,Einreichungen
bianco,Bianco
passe,passe
indistinguishable,nicht zu unterscheiden
stipulate,festlegen
waistline,Taille
marita,Marita
shrank,schrumpfte
quintessential,Inbegriff
pertains,betrifft
kubo,Kubo
beulah,Beulah
high-value,hoher Wert
joules,Joule
heists,Raubüberfälle
sunburned,sonnenverbrannte
authorise,autorisieren
fleck,Fleck
splice,spleißen
bloggers,Blogger
fawkes,Fawkes
achoo,Hatschi!
unproven,unbewiesen
winnebago,Winnebago
negotiators,Verhandlungsführer
bawl,grölen
rarer,seltener
contra,gegen
nevermore,nimmermehr
orton,Orton
shrub,Strauch
scholarly,wissenschaftlich
replication,Replikation
levee,Damm
teriyaki,Teriyaki
hs,hs
sansa,Sansa
appendage,Anhängsel
clubbed,verkrüppelt
helmer,Steuermann
finnerty,Finnerty
propensity,Neigung
faeces,Fäkalien
ite,ite
substandard,minderwertig
filtration,Filtration
grigori,Grigori
can-can,Cancan
bix,bix
sado,Sado
orator,Redner
interventions,Interventionen
sulfate,Sulfat
lumiere,Lumière
nello,nello
bubby,bubby
singsong,Singsang
nieves,Nieves
exxon,Exxon
scribes,Schreiber
lancashire,Lancashire
broadly,breit
doornail,Türnagel
ride-along,Mitfahrt
evert,jemals
alienating,entfremdend
manufactures,Hersteller
tackles,Tacklings
molto,molto
blathering,Geschwätz
beetroot,Rote Bete
dripped,tropfte
leander,Leander
ninety-five,fünfundneunzig
tartan,Tartan
capsized,gekentert
raunchy,schlüpfrig
xan,Xan
braided,geflochten
gusta,Gusta
hypoxia,Hypoxie
best-case,Best-Case-Szenario
lani,Lani
befell,geschah
canteens,Kantinen
juicing,Entsaften
belles,Schönheiten
berserker,Berserker
armoire,Kleiderschrank
arliss,Arliss
rainier,Rainier
coffey,Kaffee
assessor,Gutachter
thc,THC
sedgwick,Sedgwick
belted,gegürtet
sq,Quadrat
crips,Crips
kirov,Kirov
untenable,unhaltbar
piqued,verärgert
snacking,Snacks
tantamount,gleichbedeutend
millan,Millan
thermonuclear,thermonuklear
sociopathic,soziopathisch
outgrow,entwachsen
eerily,unheimlich
roux,Mehlschwitze
torrid,heiß
stopover,Zwischenstopp
huskies,Huskys
bristles,Borsten
stonebridge,Steinbrücke
slats,Latten
electrically,Elektrisch
deems,hält
duluth,Duluth
rejoiced,freuten sich
gemstone,Edelstein
kissin,Küssen
golan,Golan
miniskirt,Minirock
aperture,Öffnung
anchorman,Nachrichtensprecher
diazepam,Diazepam
consoles,Konsolen
misdemeanors,Vergehen
impassable,unpassierbar
jaunt,Ausflug
melodious,melodisch
self-taught,autodidaktisch
woeful,jämmerlich
fabulously,fabelhaft
zappa,Zappa
duffle,Reisetasche
amateurish,amateurhaft
petro,Petro
volt,Volt
sign-up,Melden Sie sich an
berm,Erdwall
shackle,Schäkel
davos,Davos
vanni,vanni
nagy,Nagy
chauncey,Chauncey
unyielding,unnachgiebig
inuyasha,Inuyasha
arcades,Spielhallen
sit-in,Sit-In
sleuth,Detektiv
sickens,macht krank
crimp,Crimpen
tuxedos,Smokings
bouillabaisse,Bouillabaisse
collaborative,Zusammenarbeit
cellist,Cellist
ead,Kopf
rationale,Begründung
byproduct,Nebenprodukt
cackle,gackern
inhibit,hemmen
pulverized,pulverisiert
formative,prägend
streaking,Flitzer
craw,Krabbe
cammie,Cammie
porthole,Bullauge
radon,Radon
swiping,Wischen
yokel,Landei
bended,gebogen
anglican,anglikanisch
hippocampus,Hippocampus
ethnicity,Ethnizität
decryption,Entschlüsselung
supplementary,ergänzend
italiano,Italiano
restock,Nachbestellung
geno,Geno
great-great-grandfather,Ururgroßvater
fateh,Fateh
receptor,Rezeptor
woodley,Woodley
branco,Branco
topo,Topografie
mariners,Seeleute
virgilia,Virgilia
aegean,ägäisch
mouldy,schimmlig
blobs,Kleckse
archeologists,Archäologen
slurs,Beleidigungen
talentless,talentlos
stabilizers,Stabilisatoren
percocet,Percocet
cretaceous,Kreide-
deciphering,Entschlüsselung
shawnee,Shawnee
animators,Animatoren
grammys,Grammys
tsung,Tsung
bloodlines,Blutlinien
debriefed,Nachbesprechung
bandy,Bandy
yat,yat
briana,Briana
alexey,Alexey
gouda,Gouda
hyoid,Zungenbein
dismissive,abweisend
thither,dorthin
goings-on,Geschehnisse
eddington,Eddington
chitra,Chitra
double-edged,zweischneidig
hindustan,Hindustan
shafted,betrogen
reloading,Neuladen
rottweiler,Rottweiler
sussman,Sussman
coincided,fielen zusammen
lessing,Verringerung
spiffy,schick
alena,Alena
miniatures,Miniaturen
hot-air,Heißluft
adhd,ADHS
junky,Junkie
moneymaker,Geldverdiener
starships,Raumschiffe
fallow,Brache
familiarize,sich vertraut machen
laboured,mühsam
caliente,caliente
iain,Iain
xue,xue
reimbursed,erstattet
strangeness,Fremdheit
harlequin,Harlekin
eriksen,Eriksen
deviled,teuflisch
imprudent,unklug
cosmonaut,Kosmonaut
encircled,eingekreist
kirkman,Kirkman
sonora,Sonora
oman,Oman
washout,Auswaschung
banerjee,Banerjee
pythons,Pythons
prosecutions,Strafverfolgungen
argon,Argon
nutrient,Nährstoff
faro,Faro
panache,Elan
butterworth,Butterworth
amicably,gütlich
milliseconds,Millisekunden
hammersley,Hammersley
kanazawa,Kanazawa
perjured,Meineid
pent,pent
boson,Boson
molars,Backenzähne
tunisian,tunesisch
swenson,Swenson
escapees,Ausbrecher
furlong,Achtelmeile
run-through,Durchlauf
nomi,nomi
balsamic,Balsamico
obsessively,besessen
elizabethan,elisabethanisch
eatery,Gaststätte
coexistence,Koexistenz
odors,Gerüche
consultations,Beratungen
grindstone,Schleifstein
extorting,Erpressung
blanked,ausgeblendet
kahuna,Kahuna
lapland,Lappland
evi,evi
joyner,Joyner
shish,Schaschlik
pigalle,pigalle
komal,Komal
jacqui,Jacqui
hippocratic,hippokratisch
repentant,reuig
overtaking,Überholmanöver
ministries,Ministerien
bruner,Bruner
blunders,Fehler
staffs,Mitarbeiter
villanueva,Villanueva
reinforcing,Verstärkung
weinberg,Weinberg
ellington,Ellington
bloomers,Pumphose
coped,bewältigt
deadbeats,Zahlungsverweigerer
tierra,Tierra
affiliate,Partnerprogramm
segal,Segal
olfactory,olfaktorisch
baubles,Schmuckstücke
clunking,klappern
troth,Treue
victorians,Viktorianer
rethinking,Überdenken
awa,awa
ane,ane
everyman,Jedermann
evokes,ruft hervor
pert,pert
chacha,Chacha
legless,ohne Beine
denomination,Konfession
dishing,Geschirr
katsu,Katsu
guerra,Guerra
xenon,Xenon
kamakura,Kamakura
fireproof,feuerfest
hypotheses,Hypothesen
goy,Goi
decimate,dezimieren
uzbekistan,Usbekistan
virg,Jungfrau
persson,Person
narrated,erzählt
albion,Albion
roos,Kängurus
trumbo,Trumbo
nazca,Nazca
macadamia,Macadamia
inder,inder
broner,Broner
gisela,Gisela
heloise,Heloise
valli,Valli
rosette,Rosette
haggerty,Haggerty
swirls,Wirbel
abaddon,Abaddon
northeastern,nordöstlich
rutland,Rutland
chock,Keil
allegory,Allegorie
khe,Khe
miscarried,Fehlgeburt
boxcar,Güterwagen
qiang,Qiang
subversion,Subversion
moderates,gemäßigt
backfiring,Fehlfunktion
coiled,aufgerollt
hibernate,überwintern
wilful,vorsätzlich
pimped,aufgemotzt
wincing,zusammenzucken
frilly,Rüschen-
vagabonds,Vagabunden
bonham,Bonham
flossing,Zahnseide
duk,Herzog
wou,wou
climates,Klimazonen
rewire,neu verkabeln
staph,Staphylokokken
twats,Idioten
squirrelly,eichhörnchenhaft
mods,Mods
straying,Abdriften
neve,neve
okubo,okubo
reactivated,reaktiviert
mercier,Mercier
soul-searching,Selbstreflexion
beget,zeugen
pillock,Dummkopf
blowback,Rückschlag
tatsumi,Tatsumi
pitbull,Pitbull
boi,Junge
rahman,Rahman
crazily,verrückt
corroborating,bestätigend
escalante,escalante
chrysanthemums,Chrysanthemen
birgitta,Birgitta
aardvark,Erdferkel
livy,Livy
conspirator,Verschwörer
putney,Putney
duplex,Doppelhaus
dinar,Dinar
cock-a-doodle-doo,Kikeriki
donates,spendet
nygma,Nygma
domineering,herrschsüchtig
grated,gerieben
nessie,Nessie
cameroon,Kamerun
galoshes,Gummistiefel
salesperson,Verkäufer
clamour,Geschrei
lansky,Lansky
hoo-ha,Hurra
toe-to-toe,von Zehe an Zehe
claro,Claro
demure,zurückhaltend
hic,Schluckauf
complacency,Selbstzufriedenheit
serafina,Serafina
discharges,Entladungen
foundling,Findling
kinsmen,Verwandte
torre,Torre
pounced,stürzte sich darauf
sidearm,Seitenwaffe
nickers,Nickers
jangles,Klimpern
chirac,Chirac
numbskull,Dummkopf
upstage,von hinten
boorish,unhöflich
mcavoy,McAvoy
operetta,Operette
hannigan,Hannigan
piti,piti
extrapolate,extrapolieren
pollyanna,Pollyanna
smarty-pants,Besserwisser
recollections,Erinnerungen
skillfully,geschickt
iad,iad
stimulants,Stimulanzien
hot-blooded,hitzköpfig
blonds,Blondinen
chon,chon
spacesuit,Raumanzug
evangeline,Evangeline
plumage,Gefieder
karloff,Karloff
coombs,Coombs
torpedoed,torpediert
classifieds,Kleinanzeigen
tm,tm
battlements,Zinnen
zambia,Sambia
loeb,Loeb
coconspirator,Mitverschwörer
uncomfortably,unangenehm
porpoise,Tümmler
akers,akers
bookmark,Lesezeichen
rajah,Raja
democratically,demokratisch
berto,Berto
ramming,Rammen
romanov,Romanow
vamoose,abhauen
tint,Farbton
lateness,Verspätung
expedited,beschleunigt
avian,Vogel
esa,esa
hindering,behindern
obstetrics,Geburtshilfe
nationalities,Nationalitäten
ruslan,Ruslan
athelstan,Athelstan
scopes,Zielfernrohre
thinly,dünn
kon,kon
unstuck,gelöst
obstinacy,Hartnäckigkeit
pardner,Partner
balaji,Balaji
tmi,zu viel
karzai,Karzai
vero,vero
intercontinental,interkontinental
cashews,Cashewnüsse
magee,magee
sniggering,Kichern
pjs,Pyjamas
gwendolen,gwendolen
incharge,Verantwortlicher
weariness,Müdigkeit
importer,Importeur
dispensed,ausgegeben
wholesaler,Großhändler
crumpets,Crumpets
dislodged,gelöst
pontoon,Ponton
stubbornly,hartnäckig
tiffin,Tiffin
curlers,Lockenwickler
rawr,rawr
palatable,schmackhaft
crackerjack,Crackerjack
diction,Diktion
pessimism,Pessimismus
nonsmoking,Nichtraucher
coastguard,Küstenwache
stockholder,Aktionär
ikari,Ikari
superbly,hervorragend
whet,weizen
ravages,Verwüstungen
amritsar,Amritsar
benning,Benning
coimbatore,Coimbatore
belfry,Glockenturm
aiken,Aiken
vala,Vala
compounded,zusammengesetzt
cait,Cait
burnham,Burnham
demolishing,Abriss
pixies,Elfen
baldness,Kahlheit
keister,Hintern
gallipoli,Gallipoli
worcester,Worcester
jano,Jano
carrera,Carrera
stamper,Stempel
glassy,glasig
wiretaps,Abhörmaßnahmen
saraswati,Saraswati
myrrh,Myrrhe
kr,kr
interpersonal,zwischenmenschlich
pitts,Pitts
alder,Erle
fast-track,Schnellverfahren
carted,transportiert
widened,verbreitert
shushes,zischt
nosh,Snack
slashes,Schrägstriche
favorably,günstig
advancements,Fortschritte
ree,ree
codfish,Kabeljau
vaclav,Vaclav
impressionists,Impressionisten
fournier,Fournier
artistes,Künstler
humdrum,eintönig
dyeing,Färberei
come-on,Komm schon
telenovela,Telenovela
trill,Triller
topography,Topographie
dolph,Delfin
logistic,Logistik
nob,Nob
eugenie,Eugenie
dunked,getaucht
lamest,am lahmsten
overcomes,überwindet
fornicate,Unzucht
self-indulgent,selbstsüchtig
retracted,zurückgezogen
bacardi,Bacardi
rubicon,Rubicon
dishonoured,entehrt
leukaemia,Leukämie
headboard,Kopfteil
leotard,Trikot
off-guard,unvorbereitet
lady-in-waiting,Hofdame
nonfat,fettarm
uniqueness,Einzigartigkeit
gaseous,gasförmig
lexicon,Lexikon
zippo,Zippo
stilton,Stilton
chika,Chika
genteel,vornehm
chatterjee,Chatterjee
pringles,Pringles
franklyn,Franklyn
juve,Juve
liners,Einlagen
kagawa,Kagawa
seuss,Seuss
chub,Döbel
alda,Alda
finns,Finnen
covertly,heimlich
earthworm,Regenwurm
remit,überweisen
ill-advised,unklug
storeys,Stockwerke
transpose,Transponieren
coriander,Koriander
morrigan,Morrigan
migratory,wandernd
allocation,Zuweisung
alternator,Generator
cessna,Cessna
barbers,Friseure
ivs,Infusionen
buda,Buda
teeny-weeny,winzig klein
icicles,Eiszapfen
ornate,aufwendig
navin,Navin
flippant,leichtfertig
conley,Conley
paramour,Geliebte
ferrante,Ferrante
fracturing,Bruch
blacking,Schwärzung
bootlegger,Bootlegger
ys,ys
ichigo,Ichigo
wwe,WWE
transcendental,transzendental
out-of-control,außer Kontrolle
consumerism,Konsumismus
monorail,Einschienenbahn
mochizuki,Mochizuki
rants,Wutausbrüche
humerus,Oberarmknochen
saeed,Saeed
hotchkiss,Hotchkiss
sundaes,Eisbecher
conquistadors,Konquistadoren
geographically,geographisch
meagre,mager
taxidermy,Präparation
fishbowl,Goldfischglas
cannery,Konservenfabrik
nel,nel
detonating,Detonieren
sura,Sura
aspired,angestrebt
objectionable,anstößig
commendations,Belobigungen
mentalist,Mentalist
ice-skating,Eislaufen
rejuvenation,Verjüngung
gassing,Vergasung
bic,bic
sunroof,Schiebedach
simian,Affen
liszt,liszt
millard,Millard
confrontations,Konfrontationen
grandstand,Tribüne
mongrels,Mischlinge
paupers,Arme
charters,Charter
replaceable,austauschbar
hotheaded,hitzköpfig
cherbourg,Cherbourg
styled,gestylt
parkes,Parks
boggle,verwirren
waterway,Wasserweg
courtside,Spielfeldrand
kiko,Kiko
sweetwater,Süßwasser
dunston,Dunston
videotaping,Videoaufnahmen
rankings,Rangliste
defame,diffamieren
introductory,einleitend
sourdough,Sauerteig
injector,Einspritzdüse
midfield,Mittelfeld
scabby,grindig
mifune,mifune
boobie,Busen
witt,Witz
pylon,Pylon
tidbit,Leckerbissen
propellant,Treibmittel
ayumi,Ayumi
advocacy,Interessenvertretung
robie,Robie
baloo,Balu
unearthly,überirdisch
tiber,Tiber
zuckerberg,Zuckerberg
gratis,gratis
madi,Madi
adachi,Adachi
oberon,Oberon
rel,rel
on-air,live im Fernsehen
hairdryer,Fön
sledding,Schlittenfahren
long-awaited,lang erwartet
name-calling,Beschimpfungen
eras,Epochen
chuffed,begeistert
exterminating,Ausrottung
oma,Oma
bunga,Bunga
lundgren,Lundgren
strongman,Kraftprotz
extinguishers,Feuerlöscher
uch,uch
detestable,abscheulich
ambo,ambo
durban,Durban
rosamund,Rosamund
splintered,zersplittert
telemachus,Telemachus
miffed,verärgert
flatfoot,Plattfuß
ripen,reifen
modicum,minicum
askew,schief
crouched,geduckt
ascertained,festgestellt
ooty,Ooty
snowboard,Snowboard
hindered,behindert
kkk,kkk
damsels,Jungfrauen
dongs,Dongs
skimp,knausern
hoh,hoh
reva,reva
materialism,Materialismus
rivas,Rivas
chapped,rissig
adulterous,ehebrecherisch
conferred,verliehen
unsigned,ohne Vorzeichen
itsy-bitsy,winzig
judgements,Urteile
bebo,bebo
someones,jemand
convoluted,verschlungen
interject,einwerfen
carbohydrates,Kohlenhydrate
catchers,Fänger
grimace,Grimasse
josefina,Josefina
tetsuya,Tetsuya
awakes,erwacht
workouts,Trainingseinheiten
defection,Abfall
wenches,Mägde
whisker,Schnurrhaar
bihar,Bihar
phalanx,Phalanx
upholding,Aufrechterhaltung
nori,Nori
artisans,Handwerker
awning,Markise
strobe,Stroboskop
fifty-two,zweiundfünfzig
consecrate,weihen
assimilation,Assimilation
godliness,Frömmigkeit
roughest,gröbsten
chaperoning,Begleitperson
stillwell,stillwell
brr,brr
malleable,formbar
apropos,apropos
syl,syl
feeders,Futterstellen
projectiles,Geschosse
soybeans,Sojabohnen
off-putting,abstoßend
immobilized,immobilisiert
arias,Arien
avignon,Avignon
cuddled,gekuschelt
arkwright,Arkwright
corrosion,Korrosion
sulky,mürrisch
immigrated,eingewandert
basel,Basel
genus,Gattung
cuttings,Stecklinge
godown,Lagerhaus
koda,Koda
whitlock,Whitlock
birdhouse,Vogelhaus
blitzkrieg,Blitzkrieg
harish,Harish
autobiographical,autobiografische
screenings,Vorführungen
laughlin,Laughlin
erna,erna
ferries,Fähren
login,Login
bulkheads,Schotten
highball,Flugball
lightyear,Lichtjahr
philippa,Philippa
essen,Essen
valery,Valery
durian,Durian
substituting,Ersetzen
urologist,Urologe
animate,animieren
half-cocked,halb erleuchtet
vue,Ansicht
lele,lele
appellate,Berufung
monastic,klösterlich
parthenon,Parthenon
kidman,Kidman
misjudge,verkennen
sadiq,Sadiq
samosas,Samosas
slowpoke,Langweiler
silica,Siliziumdioxid
shaina,Shaina
tableau,Tableau
politic,Politik
rodrigues,Rodrigues
islamabad,Islamabad
oxytocin,Oxytocin
full-size,Originalgröße
suckle,säugen
eurovision,Eurovision
slobber,sabbern
duchy,Herzogtum
overcrowding,Überfüllung
borgias,Borgias
haram,haram
orchestrate,orchestrieren
marrakech,Marrakesch
kitto,Kitto
tucks,Tucks
facet,Facette
tans,Bräune
adder,Addierer
sind,sind
biographer,Biograph
yoni,Yoni
streetlight,Straßenlaterne
fermin,Fermin
hardcastle,Hardcastle
hijacker,Entführer
chinchilla,Chinchilla
shadowed,beschattet
equatorial,äquatorial
scullery,Spülküche
valerian,Baldrian
borman,Borman
vermillion,Zinnoberrot
ler,ler
navidad,Weihnachts
baggie,Beutel
estela,estela
umi,umi
sayers,Sprecher
unequivocally,eindeutig
flinging,schleudern
dramatics,Dramatik
lacerated,zerrissen
sainsbury,Sainsbury's
loudon,Loudon
flowered,geblüht
mercies,Gnade
seeded,gesät
doorknobs,Türklinken
import-export,Import-Export
pizzazz,Schwung
black-eyed,schwarzäugig
pincers,Zange
screw-ups,Pannen
bendy,biegsam
spenser,Spencer
jelena,Jelena
mastercard,MasterCard
claremont,Claremont
shell-shocked,traumatisiert
patronise,Gönner
naylor,Naylor
altitudes,Höhen
hijab,Hijab
narita,Narita
jura,Jura
barium,Barium
daffodil,Narzisse
illuminates,beleuchtet
rebeca,Rebecca
copa,Copa
gol,gol
reinstatement,Wiedereinsetzung
rafiq,Rafiq
passerby,Passant
scarsdale,Scarsdale
bordello,Bordell
nevers,niemals
grower,Erzeuger
catalogues,Kataloge
recesses,Vertiefungen
metronome,Metronom
dram,Dram
tangy,scharf
drench,tränken
multimillionaire,Multimillionär
obscenities,Obszönitäten
withstood,widerstanden
scavenge,plündern
tes,tes
emiliano,Emiliano
concluding,abschließend
munchkins,Munchkins
millar,Millar
epidemics,Epidemien
drummed,getrommelt
atms,Geldautomaten
hobbits,Hobbits
defamed,verleumdet
twink,Twink
faze,Phase
airbase,Luftwaffenstützpunkt
kaj,kaj
wolverines,Vielfraße
cleanser,Reinigungsmittel
crux,Kern
concussions,Gehirnerschütterungen
yorktown,Yorktown
luiz,Luiz
chablis,Chablis
mayberry,Mayberry
underpass,Unterführung
squabbles,Streitereien
goetz,Goetz
dabbling,Experimentieren
teak,Teak
darfur,Darfur
vanna,Vanna
warthog,Warzenschwein
stabilise,stabilisieren
falsifying,Verfälschung
numbing,Betäubung
dozer,Bulldozer
rajput,Rajput
niobe,Niobe
declines,Rückgänge
latches,Riegel
ast,ast
goody-goody,Gutmensch
snogging,Knutschen
capcom,Capcom
tuner,Tuner
blazed,loderte
guvnor,Gouverneur
saluted,grüßte
detriment,Nachteil
pali,Pali
decatur,Dekatur
busby,Busby
linux,Linux
morland,Morland
incorruptible,unbestechlich
darien,Darien
necrosis,Nekrose
flutters,flattert
erasers,Radiergummis
sorrel,Sauerampfer
hubbell,Hubbell
kerb,Bordstein
finicky,pingelig
horacio,Horacio
wheeze,keuchen
fun-loving,lebenslustig
paganini,Paganini
gowan,Gowan
quenched,gelöscht
monahan,Monahan
modernity,Modernität
niccolo,niccolo
mcquaid,McQuaid
transvestites,Transvestiten
freund,Freund
olli,olli
poofter,Schwuchtel
edmunds,Edmunds
granddaughters,Enkelinnen
radiologist,Radiologe
chiefly,hauptsächlich
fortunetelling,Wahrsagerei
contreras,contreras
nader,nader
scuttlebutt,Gerüchte
southerner,Südländer
ramrod,Ladestock
sti,sti
marinade,Marinade
borealis,borealis
zia,zia
nerve-wracking,nervenaufreibend
motocross,Moto-Cross
peeped,spähte
chicory,Chicoree
mancha,Mandscha
atmospheres,Atmosphären
graphs,Diagramme
torino,Turin
darjeeling,Darjeeling
observes,beobachtet
rotter,verrotten
downers,Beruhigungsmittel
baste,heften
landfall,Landfall
sitrep,Lagebericht
croutons,Croutons
maturing,Reifung
nympho,Nymphomanin
loy,Loy
iglesias,Iglesias
grassed,Gras
laci,laci
diced,gewürfelt
lamenting,klagen
rainmaker,Regenmacher
pathogens,Krankheitserreger
abattoir,Schlachthof
csis,CSI
bamboos,Bambus
correctness,Richtigkeit
advil,Advil
utensil,Utensil
legos,Legos
nuri,nuri
kimonos,Kimonos
slavs,Slawen
possums,Opossums
porous,porös
cern,CERN
