you,אַתָה
asphyxiated,חנוק
hoochie,הוצ'י
heighten,לְהַגבִּיר
bookstores,חנויות ספרים
hoke,הוק
hutchins,האצ'ינס
allocate,לְהַקְצוֹת
gulch,תעלה
sama,סאמה
fanaticism,קַנָאוּת
sportsmen,ספורטאים
eminently,באופן מובהק
bohm,בוהם
martinelli,מרטינלי
aesthetically,מבחינה אסתטית
bahrain,בחריין
triumphantly,בניצחון
kmart,קמארט
antler,קֶרֶן הַצְבִי
ashcroft,אשקרופט
amygdala,אמיגדלה
self-explanatory,מובן מאליו
shames,בושה
thrall,מְשׁוּעֲבָּד
homophobe,הומופוב
corsets,מחוכים
ringmaster,מְנַהֵל זִירָה
sainted,קדוש
purebred,גִזעִי
vivacious,עֲסִיסִי
hopi,הופי
gabriele,גבריאל
dirtied,מלוכלך
kettering,קטרינג
nears,מתקרב
maskell,מסקל
pillsbury,פילסברי
farmhand,פועל חקלאי
cicada,צִיקָדָה
goad,לְדַרבֵּן
deign,להכין
lisi,ליסי
canter,לִדהוֹר קַלוֹת
impostors,מתחזים
half-dozen,חצי תריסר
maruyama,מארויאמה
gymnasts,מתעמלים
brokenhearted,שבור לב
sods,דשא
ghee,גהי
enquirer,שואל
erred,טעה
varmints,מזיקים
clutched,נאחז
swishing,רוחשת
puller,חוֹלֵץ
sleazebag,שקית בזיון
petechial,פטכיאלי
spluttering,גמגום
vesta,וסטה
aggrieved,נפגע
ericsson,אריקסון
maa,מאא
minnelli,מינלי
malika,מליקה
redder,אדום יותר
tarsus,שׁוֹרֶשׁ הָרֶגֶל
mustered,גייס
dena,דנה
maliciously,בְּזָדוֹן
slugging,חבטות
solaris,סולאריס
undid,התבטל
rounder,עגול יותר
whereupon,וְאָז
jocko,ג'וקו
kaur,קאור
guardsmen,שומרים
tyree,טיירי
luci,לוסי
flintstones,אבני צור
sg,ס"ג
glaser,גלזר
warbler,סִבְּכִי
perplexing,מֵבִיך
snicker,לְצַחְקֵק
handheld,כף יד
trigonometry,טְרִיגוֹנוֹמֶטרִיָה
qb,קוורטרבק
deary,יקירי
gynaecologist,גִנִיקוֹלוֹג
counsellors,יועצים
mussel,שַׁבְּלוּל
edvard,אדוארד
outshine,לְהַצְלִיחַ יוֹתֵר
chaim,חיים
keefer,קיפר
galvan,גלוון
pylons,עמודים
ransome,כופר
karpov,קרפוב
truncheon,אַלָה
strata,רְבָדִים
devising,הִתנַכְּלוּת
long-winded,ארוך רוח
headlock,נעילת ראש
unlawfully,באופן לא חוקי
sucre,סוכר
tanking,מיכלים
three-point,שלוש נקודות
armband,סרט זרוע
favela,פאבלה
tightens,מתהדק
tol,טול
eclipsed,האפיל
extricate,לְחַלֵץ
epilogue,אֶפִּילוֹג
campaigned,ניהל קמפיין
abusers,מתעללים
soco,סוקו
caustic,מְאַכֵּל
gbs,ג'י בי אס
geysers,גייזרים
amazonian,אמזוני
marceline,מרסלין
stepmother,אֵם חוֹרֶגֶת
totality,מִכלוֹל
lk,לק
reuniting,איחוד מחדש
gliders,דאונים
taverns,טברנות
methodically,באופן שיטתי
shiba,שיבא
blah-blah-blah,בלה-בלה-בלה
fractal,פרקטל
walkout,שְׁבִיתָה
seafaring,ימי
fearfully,בַּחֲשָׁשׁ
surest,הכי בטוח
mosquitos,יתושים
proficiency,מְיוּמָנוּת
chieftains,ראשי השבטים
work-up,ניתוח
pecked,ניקר
fraid,פחד
resection,כְּרִיתָה
fibbing,פיבינג
pitch-black,שחור מוחלט
confiding,מתוודה
navigators,נווטים
kagan,קגן
steeper,תלול יותר
rada,ראדה
gouging,ניקור
tts,tts
cystic,ציסטי
nape,עוֹרֶף
torrential,שׁוֹטֵף
landmines,מוקשים
hunker,חתיכים
surefire,בטוח
jenga,ג'נגה
oversees,מעבר לים
musta,מוסטה
marketed,משווק
kriss,קריס
boers,בורים
tallulah,טאלולה
diagonally,בְּאֲלַכסוֹן
all-day,כל היום
incomes,הכנסות
yayoi,יאיוי
asterisk,כּוֹכָבִית
soni,סוני
kursk,קורסק
managerial,מִנהָלִי
hemmed,מכוסה
phased,בשלבים
yurt,יורט
vexing,מֵבִיך
peron,אדם
passkey,סיסמה
silos,ממגורות
washers,מכונות כביסה
oxymoron,אוקסימורון
facilitated,הקלו
manos,מנו
brainchild,פרי מוחו
sitcoms,סיטקומים
thunderclaps,רעמי רעמים
sleepwalk,הליכה מתוך שינה
zeeland,זילנד
schwarz,שוורץ
colm,קולם
full-length,באורך מלא
dissimilar,שׁוֹנֶה
sajid,סאג'יד
perceives,תופס
severus,סוורוס
obi,אובי
agnostic,כּוֹפֵר
chauhan,צ'אוהאן
harrisburg,האריסבורג
loggers,חוטבי עצים
yaks,יאקים
extremity,קָצֶה
exoskeleton,שלד חיצוני
unopposed,ללא התנגדות
rumpelstiltskin,רומפלסטילטסקין
newfound,חדש
wallenberg,ולנברג
spritzer,ספרייזר
piped,צינור
teary,דומע
self-doubt,ספק עצמי
limoges,לימוז'
bodine,בודין
omniscient,יוֹדֵעַ הַכֹּל
dogfight,קְרַב מְטוֹסִים
totals,סכומים
indivisible,בלתי ניתנת לחלוקה
washcloth,מטלית רחצה
uriel,אוריאל
scull,מָשׁוֹט
inundated,מוצף
elasticity,גְמִישׁוּת
syndicated,סינדיקציה
jacek,יאצק
shona,שונה
lif,חיים
sizzler,סיזלר
lenders,מלווים
cemented,מלט
leering,מבט זועף
leveraged,ממונף
schofield,שופילד
pedantic,קַפְּדָנִי
interacted,אינטראקציה
recognisable,ניתן לזיהוי
shallots,בצלצלי שאלוט
tasmania,טסמניה
draconian,דרקוני
bleaching,הַלבָּנָה
sefton,ספטון
ponte,פונטה
squashing,מְעִיכָה
berthier,ברטייר
crackdown,דיכוי
bottleneck,צַוַאר הַבַּקבּוּק
revulsion,סְלִידָה
amoeba,אֲמֶבָּה
dostoevsky,דוסטויבסקי
bloat,לְהַתְפִּיחַ
layouts,פריסות
taxidermist,פחלץ
belen,בלן
gmos,הנדסה גנטית
teardrops,דמעות
two-step,דו-שלבי
zeroed,מְאוּפָּס
quaking,רעד
drina,דרינה
cull,לִברוֹר
varicose,דליות
kimo,קימו
communicators,אנשי תקשורת
wowed,התפעל
jaco,ג'אקו
snorkeling,שנורקלינג
windbreaker,מְעִיל רוּחַ
droop,לִיפּוֹל
kawashima,קוושימה
imposes,כופה
thins,מדלל
stretchers,אלונקות
beckon,לְאוֹתֵת
ass-kicking,בעיטות בתחת
creasy,קרמי
retaliated,נקמה
octagon,מְתוּמָן
bestiality,בהמיות
segundo,סגונדו
wrung,סחוט
peder,פדר
pumpernickel,פומפרניקל
prudish,מִצטַנֵעַ
pointe,פוינט
earthbound,חוֹמְרָנִי
zuma,זומה
settler,מִתנַחֵל
wildness,פִּראוּת
ingles,אינגלס
humanities,מַדָעֵי הָרוּחַ
sprawled,פרוש
schiff,שיף
charu,צ'ארו
koba,קובה
inoculation,הַרכָּבָה
haskins,האסקינס
tepid,פּוֹשֵׁר
paschal,פסח
sacristy,בית קודש
aborigines,האבוריג'ינים
sequels,סרטי המשך
shanked,שוק
jewellers,תכשיטנים
guzzle,לִזלוֹל
cvs,קורות חיים
indomitable,לְלֹא חַת
pear-shaped,בצורת אגס
centred,מְרוּכָּז
half-day,חצי יום
llc,בע"מ
yor,שלך
puto,פוטו
panini,פאניני
fortuneteller,מגדת עתידות
evelyne,אוולין
ub,יוב
balled,מְבוּלָל
appraiser,שַׁמַאִי
exerting,מתאמץ
gimpy,גימפי
old-age,זקנה
processors,מעבדים
mahmud,מחמוד
prattle,לְקַשְׁקֵשׁ
tachycardia,טכיקרדיה
drexler,דרקסלר
andalusia,אנדלוסיה
porkchop,צלע חזיר
commuting,נסיעות לעבודה
feuding,סכסוך
nonce,ללא שם
referenced,מְפָּנָה
clerics,אנשי דת
runoff,נגר
wisp,אָנִיץ
whist,וִיסט
llamas,לאמות
chesterton,צ'סטרטון
bunions,יבלות
barbosa,ברבוסה
eine,אֵין
aftertaste,טעם לוואי
lowenstein,לוונשטיין
clumps,גושים
star-crossed,כוכב-צלב
fonder,מתהדר
sayer,אומר
hirono,הירונו
halved,חָצוּי
dumbfounded,המום
waltzed,רץ ואלס
fluoride,פלוּאוֹרִיד
pussycats,חתולים
accentuate,לְהַדגִישׁ
woolen,צַמרִי
anjou,אנז'ו
apo,אפו
lindo,לינדו
geothermal,גיאותרמית
chasin,צ'ייסין
unimaginably,באופן בלתי נתפס
mummification,חניטה
tremaine,טרמיין
newberg,ניוברג
regulating,ויסות
elisha,אלישע
straights,ישרים
outrageously,באופן שערורייתי
creases,קמטים
pentothal,פנטותל
slaver,סוחר עבדים
billet,בילט
godot,גודו
counterproductive,לא יעיל
ayahuasca,איוואסקה
mandala,מנדלה
shylock,שיילוק
justus,יוסטוס
mccauley,מקאולי
vieira,ויירה
enrichment,הַעֲשָׁרָה
hurries,ממהר
baklava,בקלאווה
verdicts,פסקי דין
sheared,טָעוּן
ruble,רוּבָּל
galleria,גלריה
precipitation,מִשׁקָע
pursuers,רודפים
bullocks,שוורים
hardheaded,מְפוּכָּח
elysian,אליסיאן
infractions,עבירות
befits,ראוי
garuda,גארודה
bigoted,קנאים
disinfected,מְחוּטָא
whittier,וויטייר
inside-out,מבפנים החוצה
podiatrist,פודיאטר
nutritionist,תְזוּנַאִי
lind,לינד
fullback,מגן אחורי
thataway,משם
duper,רַמַאִי
sing-along,שירה בציבור
lugosi,לוגוסי
homelessness,חסרי בית
walpole,וולפול
lubbock,לובוק
sampler,דַגָם
suma,סומה
sundry,שונות
stradivarius,סטרדיבריוס
anise,אָנִיס
brunei,ברוניי
grafted,מורכב
biarritz,ביאריץ
squall,תְזָזִית
maher,מאהר
edged,מְחוּדָד
levelheaded,שקול דעת
symbiosis,סִימבִּיוֹזָה
henk,הנק
recognizance,הכרה
chechens,צ'צ'נים
begining,התחלה
resenting,מתמרמר
vicomte,ויקומטה
mekong,מקונג
carola,קרולה
inshallah,אינשאללה
macintyre,מקנטייר
electricians,חשמלאים
staffers,אנשי צוות
inseminated,מוּפרֶה
wazoo,וואזו
essie,אסי
giuliana,ג'וליאנה
appalachian,האפלצ'ים
mandel,מנדל
fouls,עבירות
hama,חמה
banked,בבנק
strom,סטרום
cautioned,הזהיר
maroney,מרוני
reverses,היפוך
munchausen,מינכהאוזן
vulva,פּוֹת
bader,באדר
three-piece,שלושה חלקים
zealot,קַנַאִי
schilling,שילינג
tiananmen,טיאנאנמן
xv,ט"ו
gregoire,גרגואר
juma,ג'ומה
dionysus,דיוניסוס
boche,בוצ'ה
symbolized,מְסוּמָל
cellphone,טלפון סלולרי
dreidel,סביבון
tween,טווין
secreted,מופרש
darkening,הִתקַדְרוּת
kickball,קיקבול
depositing,הפקדה
filipinos,פיליפינים
fact-finding,גילוי עובדות
ddt,די-די-טי
loyalists,נאמנים
ehrlich,ארליך
flatbed,משטח שטוח
messi,מסי
conveniences,נוחיות
relapsed,חזרתי
rent-free,ללא שכר דירה
ef,אפ
meep,מיפ
automaton,אוֹטוֹמָט
murad,מוראד
tibor,טיבור
damm,לעזאזל
recharging,טעינה מחדש
adaptations,עיבודים
anti-american,אנטי-אמריקאי
ever-changing,משתנה ללא הרף
heer,הייר
iib,iib
propofol,פרופופול
zookeeper,שומר גן חיות
beca,בקה
sisi,סיסי
paulus,פאולוס
negate,לִשְׁלוֹל
sorrento,סורנטו
canasta,קנסטה
looping,לולאה
ganged,כנופיה
peonies,אדמוניות
ble,בל
tsurugi,tsurugi
hollers,צעקות
veered,סטה
birgit,בירגיט
damocles,דמוקלס
spyder,ספיידר
brightens,מבהיר
galleon,גליון
detectable,ניתן לגילוי
dimmed,מוּעַם
self-aware,מודע לעצמו
paulinho,פאוליניו
beni,בני
aggro,אגרסיבי
danner,דאנר
tula,טולה
deceives,מרמה
criticising,מבקר
painstakingly,בקפדנות
spurn,לִדחוֹת בְּבוּז
valets,שירותים
idiom,נִיב
eth,אתיקה
bairn,בייבין
life-giving,מעניק חיים
arbitrarily,באופן שרירותי
stereos,מערכות סטריאו
saad,סעד
personals,מודעות אישיות
purposeful,תַכְלִיתִי
ached,כאב
retinue,פָּמַלִיָה
kilpatrick,קילפטריק
bedded,מיטה
childishness,יַלדוּתִיוּת
krakatoa,קרקטואה
mannered,מנומס
laureate,חֲתַן פְּרָס
perjure,עדות שקר
hil,היל
heredity,תוֹרָשָׁה
pews,ספסלים
hellcat,חתול גיהנום
devotional,דתי
insinuation,רְמִיזָה
donne,דאן
bypassing,עֲקִיפָה
ream,לְקַדֵד
chook,צ'וק
edmonton,אדמונטון
lj,ל.ג.
zat,זאט
bespoke,בהתאמה אישית
surveyors,מודדים
jeri,ג'רי
swoosh,סוווש
prabhakar,פרבהקר
brinkman,ברינקמן
smasher,פְּצָצָה
mezzanine,קוֹמַת בֵּינַיִם
ventilate,לְאַורֵר
unconcerned,אָדִישׁ
perversions,סטיות
naacp,naacp
functioned,תפקד
resell,למכור מחדש
dangled,תלוי
boucher,בושר
kazuki,קאזוקי
rivet,מְסַמֶרֶת
nok,נוק
pumice,אֶבֶן סְפוֹג
aleister,אליסטר
preserver,משמר
gazes,מבטים
rewrites,כותב מחדש
minuet,מינואט
low-budget,דל תקציב
unfocused,לא ממוקד
brunson,ברונסון
scanlan,סקנלן
eyeful,עין
zumba,זומבה
vali,ואלי
entranced,מְכוּשָׁף
flightless,חסרי תעופה
testes,אשכים
mimsy,מימסי
hungover,הנגאובר
hitchhiked,טרמפיסט
beekeeper,דבוראי
catfight,קרב חתולות
annul,לְבַטֵל
criterion,קרִיטֶרִיוֹן
adel,אדל
gasses,גזים
bagwell,באגוול
fairyland,עוֹלַם הַפֵיוֹת
reconstructive,משחזר
firmness,תְקִיפוּת
scuffling,התעסקות
dragoons,דרגונים
multimillion,מיליונים
snipes,צלף
ardennes,ארדנים
maudlin,רַגְשָׁנִי
anouk,אנוק
absconded,נמלט
weet,מתוק
lonelier,בודד יותר
slip-up,מעידה
mounties,הרים
satanists,שטניסטים
pixar,פיקסאר
murchison,מורצ'יסון
exley,אקסלי
sideswipe,החלקה צידית
genii,גאונים
pundit,מְלוּמָד
disinherited,מנושלת בירושה
undeveloped,לֹא מְפוּתָח
benin,בנין
quills,נוצות
sourced,מקורות
vestibule,פְּרוֹזדוֹר
hegel,הגל
wy,ווי
ravings,התלהבות
wilby,וילבי
immovable,בלתי ניתן להזזה
snivelling,נביחה
benders,מכופפים
honeymooners,זוגות בירח דבש
groundbreaking,פורץ דרך
pud,פודינג
pharisees,פרושים
nitric,חַנקָנִי
wuthering,התמרמרות
hawley,האולי
godavari,גודווארי
dryers,מייבשים
compote,לִפתָן
mountaineer,מְטַפֵּס הַרִים
babbitt,באביט
playoffs,פלייאוף
yeats,ייטס
rockfish,דג סלעים
advocated,דגל
strives,שואף
butte,ביוט
tl,טל
counterpoint,קונטרפונקט
newsreels,יומני חדשות
ilan,אילן
escargot,אסקרגו
mobley,מובלי
chillies,צ'ילי
stroganoff,סטרוגנוף
upsy-daisy,אפסי-דייזי
marathons,מרתונים
gl,גל
tums,בטן
barfed,חתוך
roughness,חִספּוּס
cranford,קרנפורד
outa,יצאה
offal,פְּסוֹלֶת
fallacy,כשל
permafrost,קפאת-עד
weatherby,מזג אוויר
kodiak,קודיאק
dervish,דרוויש
stomps,רומס
necromancer,בַּעַל אוֹב
redness,אוֹדֶם
legation,צִירוּת
schmooze,זמזום
charmingly,בצורה מקסימה
envies,מקנאים
wringing,סְחִיטָה
redman,רדמן
boycotting,הַחרָמָה
desperado,נואש
aff,אהוב
loyalist,נֶאֱמָן
anaesthesia,הַרדָמָה
sippy,סיפי
steinmetz,שטיינמץ
imogene,אימוג'ן
ord,סדר
fumbled,גישש
cus,קונה
wicks,פתילות
corresponded,התכתב
afterthought,מחשבה שנייה
whooped,נבוך
kester,קסטר
webby,וובי
bared,חשוף
ic,IC
haphazard,אַקרַאִי
surrealist,סוריאליסט
kasia,קסיה
ulrike,אולריקה
yannick,יאניק
epsom,אפסום
cw,צְוָה
saith,אומר
misogynistic,מיזוגיני
chapstick,צ'פסטיק
urinated,השתין
camellia,קמליה
angers,כעסים
lawndale,לונדיייל
jambalaya,ג'מבליה
servings,מנות
wabash,וואבאש
ricochets,ריקושטים
grills,גרילים
straddling,מְפוּשָׂק
boneless,ללא עצמות
apostrophe,גֵרֵשׁ
olle,אולה
ise,אייס
qua,קווא
tuco,טוקו
adulation,חנופה
deficiencies,ליקויים
unsuccessfully,ללא הצלחה
high-security,אבטחה גבוהה
deutschland,גרמניה
slandering,הוצאת דיבה
uav,כטב"ם
sudo,סודו
begotten,נולד
dewy,טְלָלִי
moaned,גנח
resplendent,זוֹרֵחַ
stockpiling,אֲגִירָה
oolong,אולונג
yipping,ייפינג
forecasts,תחזיות
brainwave,גַל מוֹחַ
damnable,מְעֲבָר
lances,חניתות
instigator,מֵסִית
distrustful,חסר אמון
vis,ויזואליה
permian,פרמיאן
clays,חרסיות
warcraft,וורקראפט
egor,אגור
ruel,רואל
bowles,בולס
kershaw,קרשו
bihari,ביהארי
septimus,ספטימוס
chronological,כּרוֹנוֹלוֹגִי
gloriana,גלוריאנה
minas,מינאס
privatization,הַפרָטָה
weds,חתונות
dammed,סכור
cheekbone,עֶצֶם הַלֶחִי
gloriously,בצורה מפוארת
butterfingers,אצבעות חמאה
elli,אלי
huerta,הוארטה
grannie,סבתא
tashi,טאשי
spliced,שחובר
oakwood,עץ אלון
colorless,חֲסַר צֶבַע
pugh,פוג
jenson,ג'נסון
manion,אחוזה
heretical,כופר
shaded,מוצל
slapper,סטירה
bathsheba,בת שבע
benefiting,מרוויח
harbored,מְחַסֵּר
sapling,שְׁתִיל
solidify,לְגַבֵּשׁ
hamstring,גִיד הַבֶּרֶך
bluer,כחול יותר
silhouettes,צלליות
mouthed,פה
avanti,אוונטי
fave,מועדף
handa,הנדה
montparnasse,מונפרנאס
knapp,קנאפ
weighin,שקילה
pricking,דקירות
proofread,לְהַגִיהַ
methuselah,מתושלח
camo,הסוואה
dyslexia,דיסלקציה
mcnab,מקנב
lampshade,אָהִיל
streetlights,פנסי רחוב
dopes,סמים
sharpie,שרפי
denials,הכחשות
songwriters,כותבי שירים
escudos,אסקודו
montaigne,מונטן
urns,כדים
jorgen,יורגן
percentile,אחוזון
balder,קירח יותר
grump,רגזן
boogie-woogie,בוגי-ווגי
nonny,נוני
zaire,זאיר
itinerant,נוֹדֵד
rimini,רימיני
tun,חָבִית גְדוֹלָה
pomeroy,פומרוי
peal,לְצַלְצֵל
kage,קייג'
murals,ציורי קיר
dakin,דקין
moana,מואנה
panoramic,פנורמי
gravestones,מצבות
dark-skinned,כהה עור
rickets,רַכֶּכֶת
oreo,אוראו
duets,דואטים
brulee,ברולה
farmington,פרמינגטון
nauseated,בחילה
theses,תזות
iwas,הייתי
komsomol,קומסומול
anteater,אוֹכֵל נֶמַלִים
chipotle,צ'יפוטלה
connally,קונלי
mumtaz,מומטז
bbs,בי.בי.אס
midgard,מידגארד
humanist,הוּמָנִיסט
ding-a-ling,דינג-א-לינג
initiates,יוזמים
dere,שם
copulation,הזדווגות
self-discipline,משמעת עצמית
chaco,צ'אקו
overflows,גלישות
bombarding,הפצצה
barra,בארה
caseload,עומס מקרים
chide,לִנְזוֹף
knead,לָלוּשׁ
brimmer,ברימר
sharpshooters,צלפים
psychotherapist,פסיכותרפיסט
immortalized,הונצח
calla,קאלה
icecream,גלידה
mukhtar,מוכתאר
latrines,בתי שימוש
spectra,ספקטרום
philanderer,נווד
ouzo,אוזו
sweepers,מטאטאים
throwaway,חַד פַּעֲמִי
record-breaking,שובר שיאים
electing,בוחרים
evaporation,הִתאַדוּת
thermals,תרמיקות
garish,צַעֲקָנִי
palatial,מְפוֹאָר
facelift,מתיחת פנים
ashworth,אשוורת'
diversified,מְגוּוָן
picketing,עִגוּן
innovator,חַדְשָׁן
linder,לינדר
caboodle,קאבודל
yelena,ילנה
tatyana,טטיאנה
venturing,להעז
excels,מצטיין
afterall,אחרי הכל
solon,סולון
sociological,סוציולוגי
slanderous,מַשׁמִיץ
norrell,נורל
torrence,טורנס
fusses,מהומה
criss,קריס
ghettos,גטאות
villiers,וילרס
headlining,כִּתרוּת
radovan,רדובן
shiatsu,שיאצו
prodded,דחף
babyface,בייביפייס
forme,צורה
long-lasting,לאורך זמן
scrutinized,נבדק בקפידה
enlistment,גִיוּס
knockout,נוקאאוט
lorazepam,לוראזפאם
exerted,הפעיל
twisty,מפותל
resurface,להתחדש
grenada,גרנדה
kaching,קאצ'ינג
distanced,מרוחק
hab,בית
lotions,קרמים
retrovirus,רטרו-וירוס
pitchforks,קלשונים
auditors,רואי חשבון
trespasser,מַסִיג גְבוּל
ddd,דדד
one-half,חצי
taffeta,טפטה
marciano,מרסיאנו
gaily,בְּעֲלִיצוּת
acknowledgment,הוֹדָאָה
embryonic,עוּבָּרִי
demographics,נתונים דמוגרפיים
northward,צָפוֹנָה
breathlessly,ללא נשימה
culpability,אשמה
hossein,חוסיין
roebuck,יַחמוֹר
adaptive,אדפטיבי
anc,אנק
malvo,מאלבו
antacid,נוֹגֵד חוּמצָה
ib,איב
well-placed,ממוקם היטב
unwitting,לֹא מְכוּוָן
caveat,אזהרה
marginalized,שוליים
rasping,צוֹרֵם
newhouse,ניוהאוס
banquo,בנקו
tangles,סבכים
boorman,בורמן
amoral,חֲסַר מוּסָר
clermont,קלרמונט
loincloth,כיסוי חלציים
escalates,מתגבר
hypothalamus,היפותלמוס
deflection,הֲטָיָה
underhand,חֲשָׁאִי
defecate,לַעֲשׂוֹת אֵת צְרָכָיו
daz,דאז
berthe,ברטה
manifesting,מתבטא
onesie,בגד גוף
lucienne,לוסיאן
marcin,מרסין
stravinsky,סטרווינסקי
onthe,על
pensacola,פנסקולה
brutalized,ברוטלי
arsenio,ארסניו
consigned,נשלח
nagi,נאגי
pander,סַרְסוּר
cataract,קָטָרַקט
gdansk,גדנסק
quicken,לְזַרֵז
uncaring,אדיש
coolly,בקרירות
stephane,סטפן
periphery,פֵּרִיפֶריָה
kure,קור
reassign,הקצאה מחדש
spoof,מְתִיחָה
nearsighted,קְצַר רְאִיָה
professed,הצהיר
queries,שאילתות
ushered,הוביל
hangings,וִילוֹנוֹת
treasonous,בוגדני
lapointe,לפואנט
tubular,צִנוֹרִי
lemoine,לימוין
green-eyed,ירוק עיניים
wc,שֵׁרוּתִים
hermaphrodite,אַנְדְרוֹגִינוּס
shelia,שילה
warmers,מחממי
loners,בודדים
baying,נְהִיגָה
biden,ביידן
ferraro,פרארו
dalmatian,דלמטי
arsonists,מציתים
ingesting,בליעה
misshapen,מעוות
snp,snp
rejuvenated,מחודש
ident,זהות
tagore,טאגור
squab,שקיעה
hooliganism,בִּריוֹנוּת
colonic,המעי הגס
sharman,שרמן
neary,קרוב
valkyries,ולקיריות
gitano,גיטנו
lb,ליברה
pyro,פירו
furtive,חמקמק
wisecracks,חוכמות
beaujolais,בוז'ולה
namibia,נמיביה
attentively,בתשומת לב
hittites,החיתים
aldous,אלדוס
hsiang,הסיאנג
goldfinger,גולדפינגר
sanctify,לְקַדֵשׁ
alcazar,אלקזר
preclude,לִמְנוֹעַ
woon,וון
trumped-up,מפוברק
yai,יאי
gomer,גומר
menelaus,מנלאוס
sundar,סונדר
platters,מגשים
protections,הגנות
guna,גונה
faltering,מהסס
kayaking,קיאקים
radiates,מקרין
implacable,בלתי ניתנת לפיוס
theologians,תיאולוגים
minstrels,זמרים
transcontinental,טרנס-יבשתי
halvorsen,הלבורסן
open-and-shut,לפתוח ולסגור
exclusivity,בִּלעָדִיוּת
atheism,אתאיזם
incensed,זועם
bewildering,מבלבל
buoyant,צִיפָנִי
biodiversity,מגוון ביולוגי
kp,ק"פ
mean-spirited,רוע נפש
zorba,זורבה
bushels,בושל
adjuster,שמאי
goodfellow,גודבֶּלוֹ
jitterbug,מְשׁוּגָע לְרִקוּד
rotors,רוטורים
schuster,שוסטר
pyramus,פירמוס
archdeacon,ארכידיאקון
lucilla,לוסילה
manfredi,מנפרדי
bluster,לְהִתְרַבְרֵב
avalanches,מפולות שלגים
divas,דיוות
polonium,פולוניום
dishonourable,חסר כבוד
braggart,רַברְבָן
consummation,הַגשָׁמָה
brunel,ברונל
lene,לנה
well-read,קריאה טובה
nickelodeon,ניקולודיאון
twitches,עוויתות
sasa,סאסה
leviticus,סֵפֶר וַיִקְרָא
mcdonalds,מקדונלד'ס
wintergreen,ירוק החורף
subcutaneous,תַת עוֹרִי
muzzy,מְטוּשׁטָשׁ
philandering,התבדחות
littlejohn,ליטל ג'ון
haj,חאג'
tamarind,תָמָר הוֹדִי
vag,נרתיק
vindication,הַצדָקָה
hinkle,צלצול
grouper,דַקָר
aggressiveness,תוֹקפָּנוּת
civics,אֶזרָחוּת
knocker,נוקש
lps,אלבומי אלבום
dartmoor,דארטמור
hepatic,כְּבֵדִי
tobruk,טוברוק
akatsuki,אקאטסוקי
shivaji,שיוואג'י
magister,מאסטר
smelting,התכה
homegirl,נערה ביתית
glean,לְלַקֵט
self-centred,אנוכי
fuckups,שטויות
junket,חֲבִיצָה
thickest,העבה ביותר
ghoulish,מְתוֹעָב
talky,דברן
middlemen,מתווכים
interlock,אינטרלוק
protracted,ממושך
irresponsibility,חוסר אחריות
carjacked,גניבה של מכונית
ped,פד
sprocket,סַבֶּבֶת
hedy,הדי
stalwart,איתן
immemorial,קָדוּם
zohar,זוהר
rab,רב
disregarding,התעלמות
strasser,שטראסר
deliberating,מתלבט
gazillion,גמיליון
pompoms,פונפונים
trilby,כּוֹבַע לֶבֶד
double-parked,חניה כפולה
flam,להבה
bis,ביס
revels,חגיגות
ringed,טַבַּעתִי
reprogramming,תכנות מחדש
sprints,ספרינטים
miny,מיני
inadequacy,אִי כְּשִׁירוּת
diminishes,פוחת
edifice,בִּניָן
joelle,ג'ואל
wr,wr
hospitalization,אִשְׁפּוּז
stubb,סטאב
doo-wop,דו-וופ
to-go,לקחת
santosh,סנטוש
sci,מדע
piri,פירי
azrael,עזראל
mock-up,דגם
scribbles,שרבוטים
nightingales,זמירים
gatling,גטלינג
unjustified,לא מוצדק
bivouac,מַאֲהָל
unilateral,חַד צְדָדִי
mixers,מיקסרים
reinventing,להמציא מחדש
spas,ספא
whiteness,לוֹבֶן
mellowed,מתרכך
nibs,שפיץ
lockbox,תיבת מנעולים
huai,הואי
tariff,תַעֲרִיף
gsa,gsa
wizardry,אַשָׁפוּת
pukes,הקאות
unexploded,לא התפוצץ
insomniac,נדודי שינה
arai,אראי
cartouche,קרטוש
hard-pressed,לחוץ מאוד
impassioned,נִלהָב
bourbons,בורבונים
instructs,מורה
benchmark,אמת מידה
admirals,אדמירלים
astrophysicist,אסטרופיזיקאי
keycard,כרטיס מפתח
petrovic,פטרוביץ'
medial,מדיאלי
nyc,ניו יורק
veracity,אֲמִתוּת
test-drive,נסיעת מבחן
cryer,בוכה
sloping,מְשׁוּפָּע
churro,צ'ורוס
etch,לַחֲרוֹט
accredited,מוסמך
mcluhan,מקלוהן
megalomaniac,מגלומן
rectified,תוקן
stationmaster,מְנַהֵל תַחֲנַת רַכֶּבֶת
commences,מתחיל
angler,דייג
bormann,בורמן
edgardo,אדגרדו
pummel,לחבוט
tonight,הַלַילָה
loyally,בנאמנות
expended,הוצא
eighty-six,שמונים ושש
multitudes,המוני
doncaster,דונקסטר
igniting,הַדלָקָה
ormond,אורמונד
malena,מלנה
fallopian,חצוצרות
gaya,גאיה
kneels,כורע ברך
overcompensating,פיצוי יתר
spreader,מְפַזֵר
seeps,מחלחל
fending,הגן
aether,אתר
lenka,לנקה
teepee,אוהל
rane,ראן
rusting,מַחלִיד
budweiser,באדוויזר
berenice,ברניס
cygnus,ברבור
saxony,סקסוניה
dp,די.פי.
