you,ти
unsupervised,без нагляду
hara,хара
fuego,вогнище
stipend,стипендія
guang,гуан
boasted,хвалився
sinuses,пазухи
habitual,звичний
toussaint,Туссен
synchronize,синхронізувати
moonbase,місячна база
aboriginal,абориген
spiking,піки
migrant,мігрант
methodology,методологія
watertight,водонепроникний
seance,сеанс
playfully,грайливо
tester,тестер
obelisk,обеліск
loopy,шалений
elude,вислизати
blare,ревіння
winn,виграш
molds,форми
mahler,Малер
pappa,тато
janos,Янош
retrieving,отримання
dogma,догма
purr,муркотіння
underside,нижня сторона
normans,нормани
racists,расисти
cady,кейді
levers,важелі
eyesore,більмо на оці
aguilar,Агілар
pees,пісяє
sidetracked,відволікся
tactful,тактовний
entreat,благати
flor,флор
dialog,діалог
toenail,ніготь на нозі
degas,дега
shredding,подрібнення
neutrons,нейтрони
pantheon,пантеон
numbness,оніміння
danville,Денвілл
eton,Ітон
annoyance,роздратування
wildcats,дикі коти
mok,мок
lob,кидати
ply,шаруватий
yessir,так， сер
moderately,помірно
blane,Блейн
brinkley,Брінклі
eyelash,вій
airy,повітряний
swanky,шикарний
irritates,подразнює
coupling,зчеплення
yamashita,Ямашіта
barnum,Барнум
amiga,аміга
hubba,хабба
antsy,нервозний
sherif,шериф
rednecks,реднеки
hagan,каган
seventies,сімдесяті роки
primer,ґрунтовка
ao,ао
institutionalized,інституціоналізований
half-dead,напівмертвий
paragon,взірець
broderick,Бродерік
canst,може
tran,тран
elinor,Елінор
hadrian,Адріан
peugeot,Пежо
displeasure,невдоволення
lifeforms,форми життя
lynching,лінчування
snowboarding,сноубординг
linebacker,лайнбекер
inanimate,неживий
assertive,наполегливий
hargrove,Гаргроув
zim,зим
tristate,триштат
jiao,цзяо
peppy,бадьорий
blackwood,чорне дерево
assortment,асортимент
minty,м'ятний
penner,писач
gung,гунг
parton,Партон
blab,базікати
nationalists,націоналісти
meir,меїр
fonda,фонда
billa,Білла
chekhov,Чехов
chambermaid,покоївка
kernel,ядро
creatively,творчо
gillette,джилетт
brazilians,бразильці
saws,пилки
directorate,дирекція
clockwise,за годинниковою стрілкою
hamsters,хом'яки
soulmate,споріднена душа
doraemon,дораемон
hoy,хой
mingling,спілкування
bryson,Брайсон
collared,з коміром
slurp,сьорбати
southerners,жителі півдня
boden,Боден
denning,деннінг
alvey,альвеї
capitan,капітан
triangular,трикутний
evoke,викликати
unfolds,розгортається
muskets,мушкети
joyride,прогулянка
ethanol,етанол
contemplation,споглядання
sabu,сабу
foursome,четвірка
eventual,можливий
femininity,жіночність
toke,ток
apartheid,апартеїд
leakage,витік
welder,зварювальник
stallone,Сталлоне
self-interest,особистий інтерес
snuffed,задушений
imf,МВФ
pushkin,Пушкін
heady,п'янкий
coleslaw,салат з капусти
tay,тай
horoscopes,гороскопи
tropic,тропічний
counterfeiting,підробка
organisations,організації
littlest,найменший
limitation,обмеження
diarrhoea,діарея
aggravation,загострення
unsavory,неприємний
pogo,пов
clinch,клінч
complexes,комплекси
atwater,Атвотер
yash,яш
radial,радіальний
retaining,утримання
congestion,затор
inconsistencies,невідповідності
plush,плюшевий
ruthlessly,безжально
three-legged,триногий
labourers,робітники
rainey,Рейні
sift,просіювати
valour,доблесть
basta,баста
kinsey,Кінсі
tankers,танкери
enacted,прийнятий
macpherson,Макферсон
knee-deep,по коліно
smoothies,смузі
tingly,поколювання
murderess,вбивця
dez,грудень
four-wheel,чотириколісний
kristi,Крісті
mcmahon,Макмагон
sissies,плаксиві
zipping,застібання на блискавку
euthanasia,евтаназія
fondle,пестити
roshan,Рошан
dispel,розвіяти
belay,страховка
naoki,Наокі
eustace,Юстас
motorboat,моторний човен
sullen,похмурий
dior,Діор
kerem,Керем
bordering,межуючий
doherty,Догерті
curie,Кюрі
testy,дратівливий
sagar,цукор
raffaele,Рафаеле
throes,муки
mccullough,Маккалоу
unnerving,тривожний
herding,випасання худоби
lemurs,лемури
exposes,викриває
huo,Хуо
badlands,безплідні землі
uncouth,грубий
disposing,утилізація
destruct,знищити
evers,колись
intubation,інтубація
twitchy,смикаючий
malfunctioned,несправний
cuddles,обійми
idyllic,ідилічний
meaty,м'ясистий
paddington,Паддінгтон
typo,друкарська помилка
hereto,до цього
slider,слайдер
affluent,заможний
cappella,капела
wiggling,ворушіння
medicare,медичне страхування
teething,прорізування зубів
sinha,сінха
invoked,викликаний
kuo,куо
swordfish,риба-меч
willem,Віллем
christmastime,Різдво
dumas,дюми
whiting,мерланг
reiterate,повторити
dulles,Даллес
dawdle,байдикувати
nene,нене
reliability,надійність
sear,обпалювати
bookings,бронювання
tapas,тапас
witherspoon,Візерспун
template,шаблон
prissy,вередливий
adaptable,адаптивний
advertisers,рекламодавці
see-through,прозорий
quotas,квоти
treble,високі частоти
sneaker,кросівки
administering,адміністрування
perils,небезпеки
mowed,скошений
boldness,сміливість
nettles,кропива
tattooing,татуювання
grouch,бурчати
rallied,згуртувалися
telford,Телфорд
gump,гамп
kroll,кроль
jeopardizing,ставлячи під загрозу
trafficker,торговець людьми
nong,нонг
malnutrition,недоїдання
groundhog,бабак
jaya,джая
nutritional,харчовий
contemptible,презирливий
dykes,дамби
resuscitation,реанімація
toi,той
gaetano,Гаетано
bales,тюки
calderon,кальдерон
mews,стайні
hollander,голландець
awkwardness,незручність
redeemer,викупитель
diplomas,дипломи
full-grown,дорослий
hilliard,пагорб
veda,веда
nightlife,нічне життя
gnocchi,ньоккі
tipper,самоскид
farber,фарбер
balkan,балкан
emigrate,емігрувати
knighthood,лицарство
kathie,Кеті
desai,Десаї
migrated,мігрував
dominus,домінус
octavian,Октавіан
matsuda,мацуда
namesake,тезка
weepy,плаксивий
shiner,блискучий
grifter,шахрай
basking,ніжитися
opa,опа
adolfo,Адольфо
sagittarius,стрілець
smurfs,смурфи
censored,цензурований
wares,товари
memorizing,запам'ятовування
seabed,морське дно
weasels,ласки
councilwoman,радниця
nationalism,націоналізм
hsu,ХСУ
one-of-a-kind,єдиний у своєму роді
handball,гандбол
mayumi,Маюмі
pacifier,пустушка
magnificence,пишнота
atheists,атеїсти
paine,біль
embankment,насип
upgrades,покращення
outed,викритий
siphon,сифон
shoals,мілини
one-legged,одноногий
three-time,триразовий
kilometre,кілометр
neutrality,нейтралітет
radishes,редиска
bas,бас
coined,придуманий
sequins,блискітки
baudelaire,Бодлер
impersonator,імітатор
concoction,суміш
hi-tech,високотехнологічний
incessant,безперервний
whirling,кружляння
chevrolet,Шевроле
menstrual,менструальний
nesbitt,Несбітт
ven,вен
lightheaded,запаморочення
ogling,витріщатися
trig,тригонометрія
mauricio,Маврикій
kaylee,Кейлі
tylenol,тайленол
hectares,гектари
spiro,спіро
lynched,лінчували
glorify,прославляти
pl,пл.
triumphed,переміг
masking,маскування
prolific,плідний
mutts,дворняги
lectured,читав лекції
thirteenth,тринадцятий
protege,протеже
lobbyist,лобіст
directs,керує
impressing,вражаючий
plantagenet,Плантагенет
jakes,Джейкс
furies,фурії
flatmate,сусід по квартирі
taki,такі
wind-up,заводний
meta,мета
recuperate,одужувати
crossover,кросовер
lyrical,ліричний
self-serving,егоїстичний
shunt,шунт
forsythe,Форсайт
jesuit,єзуїт
concord,конкорд
silvana,Сільвана
durand,Дюран
tivo,Тіво
shopped,робив покупки
blacklisted,чорний список
unsatisfied,незадоволений
infantile,інфантильний
decadence,декаданс
motherless,без матері
unbridled,нестримний
momoko,момоко
backlash,зворотна реакція
leftist,лівий
myspace,MySpace
acronym,акронім
clots,згустки
lorries,вантажівки
barometer,барометр
raucous,галасливий
mournful,скорботний
you-know-what,знаєш-що
redheaded,рудоволосий
swerved,звернув
peeked,зазирнув
lundy,Ланді
ovulating,овуляція
energon,енергон
ferg,ферг
dermatologist,дерматолог
murtaugh,Мерто
daniele,Даніель
bandaids,пластирі
mahdi,Махді
naga,нага
duvall,Дюваль
stilts,ходулі
assimilate,асимілювати
grieved,засмучений
fermented,ферментований
occupant,мешканець
ala,ала
derivatives,похідні
spectacularly,вражаюче
narrate,розповісти
reenactment,реконструкція
palma,пальма
goren,Горен
krakow,Краків
quiero,хоче
machiavelli,Макіавеллі
laney,Лейні
pistons,поршні
bumming,безглуздий
rawlins,Роулінз
swordsmanship,майстерність фехтування
pennant,вимпел
dillinger,Діллінджер
marooned,висаджений
storehouse,склад
crouching,присівши
storybook,збірка оповідань
hickok,гікок
mailer,поштова розсилка
dl,дл
sandstone,пісковик
gault,голт
emanating,виходить
godard,Годар
sidewalks,тротуари
breadth,широта
baywatch,рятувальники Малібу
synergy,синергія
labelled,позначений
coexist,співіснувати
rasta,раста
ashleigh,Ешлі
coldness,холодність
orthopedic,ортопедичний
closeups,крупні плани
quimby,Квімбі
workhouse,робітний дім
ak-47,АК-47
panics,паніка
brainwash,промивання мізків
perplexed,спантеличений
hustled,поспішав
untill,доки
muldoon,мулдун
anni,роки
tish,тиш
tosses,кидки
specializing,спеціалізація
tiller,культиватор
newfoundland,Ньюфаундленд
medellin,Медельїн
causeway,дамба
midlands,середні землі
vouched,поручився
extraordinaire,надзвичайний
natsumi,Нацумі
scarab,скарабей
illumination,освітлення
barns,комори
argo,арго
oddball,дивак
larsson,Ларссон
emo,емо
reprehensible,осудний
pips,піпсів
convoys,конвої
gunderson,Ґандерсон
mutter,бурмотіти
dijon,Діжон
diocese,єпархія
bartenders,бармени
licensing,ліцензування
restful,спокійний
workup,обробка
scotsman,шотландець
sycamore,платан
reappeared,знову з'явився
malay,малайська
jami,джеймі
poppers,попперс
beat-up,побиття
backhand,зліва
lawnmower,газонокосарка
cleric,священнослужитель
kickoff,початковий удар
bethesda,Бетезда
numerical,числовий
cordy,корди
watermelons,кавуни
carnivorous,м'ясоїдний
guadalcanal,Гуадалканал
governmental,урядовий
endures,терпить
wellness,оздоровлення
boeing,Боїнг
sher,шер
tamer,приборкувач
certification,сертифікація
reminiscing,спогади
omo,Омо
sul,сул
sunder,розлучити
shire,шир
bludgeoned,побитий палицею
futility,марність
halliday,Холлідей
alli,аллі
cla,кла
impervious,непроникний
one-horse,однокінський
yukawa,юкава
weiner,вайнер
paltry,мізерний
skeet,тарілочка
unreachable,недосяжний
analytical,аналітичний
fruitless,безплідний
corsage,корсаж
rife,поширений
masquerading,маскування
kt,кт
bullfighter,тореадор
graced,прикрашений
bookshelf,книжкова полиця
toxicity,токсичність
taxation,оподаткування
subsidies,субсидії
barron,барон
camcorder,відеокамера
kneecap,колінна чашечка
perforated,перфорований
wrinkly,зморшкуватий
armenians,вірмени
gaudy,яскравий
lesion,ураження
nibbling,гризти
macao,Макао
nss,нсс
perfecting,удосконалення
amicable,дружній
claustrophobia,клаустрофобія
periodically,періодично
pennington,Пеннінгтон
prado,Прадо
dark-haired,темноволосий
zuko,Зуко
carats,карати
notoriety,скандальна слава
fungi,гриби
nev,нев
landau,ландо
aggravating,обтяжливий
doused,облили
toothbrushes,зубні щітки
immersion,занурення
skeletal,скелетний
beatty,Бітті
bhagat,бхагат
scents,аромати
endowment,фонд
bookworm,книжковий хробак
vertically,вертикально
prioritize,пріоритезувати
luciana,лючана
loman,ломан
bancroft,Бенкрофт
intermediary,посередник
firestorm,вогняна буря
centerpiece,центральний елемент
proprietary,власний
jayden,Джейден
hindrance,перешкода
biologists,біологи
obscenity,непристойність
mothra,мотра
dake,дак
retires,йде у відставку
meridian,меридіан
oboe,гобой
blurt,випалити
tallahassee,Таллахассі
inflammatory,запальний
coochie,кицька
treatable,піддається лікуванню
hubbub,гамір
fractions,дроби
entail,спричиняти
narrowing,звуження
lida,Ліда
festering,гнійний
wetter,вологіше
stumbles,спотикається
battleground,поле битви
pantomime,пантоміма
voracious,ненажерливий
fleshy,м'ясистий
hamada,хамада
traverse,траверс
repose,спокій
stimulates,стимулює
decontamination,деконтамінація
clapton,Клептон
peering,вдивлятися
foust,першість
first-year,перший рік
remiss,недбало
omi,омі
nauseating,нудотний
underfoot,під ногами
discredited,дискредитований
acquisitions,придбання
magnanimous,великодушний
slovak,словацька
ishikawa,Ішікава
tenement,багатоквартирний будинок
derive,вивести
reiner,Райнер
schoolgirls,школярки
hilltop,вершина пагорба
soared,злетів
cotillion,котильйон
poplar,тополя
radford,Редфорд
depressive,депресивний
underlined,підкреслений
bib,нагрудник
stroked,погладжений
separatist,сепаратист
lynx,рись
nudes,оголені
tectonic,тектонічний
danforth,Денфорт
empirical,емпіричний
eunuchs,євнухи
oregano,орегано
inhospitable,негостинний
discerning,розбірливий
kidder,жартівник
chantelle,Шантель
gobbling,поглинання
acoustics,акустика
pecs,грудні м'язи
schuyler,Шуйлер
sunflowers,соняшники
galvin,Галвін
tomi,Томі
ziegfeld,Зігфельд
dilly,діллі
sellin,продає
pittman,Піттмен
incas,інки
lasagne,лазанья
prototypes,прототипи
elective,вибірковий
vulgarity,вульгарність
drinkers,п'яниць
moos,лосі
mortician,похоронний бюро
dirtiest,найбрудніший
voluptuous,чуттєвий
aprons,фартухи
sibley,Сіблі
gillis,зябра
tortoises,черепахи
leighton,Лейтон
masochist,мазохіст
trilogy,трилогія
evergreen,вічнозелений
transcribed,транскрибовано
porta,ворота
proletarian,пролетарський
pygmy,пігмей
bogs,болота
shaka,шака
fixin,фіксація
walmart,Волмарт
deities,божества
hovel,халупа
forester,лісник
bracken,папороть
dickson,Діксон
yuma,Юма
indefinite,невизначений
matrimonial,шлюбний
fullness,повнота
abbi,аббатство
frey,Фрей
airwaves,ефір
cruises,круїзи
damper,демпфер
damnedest,найклятіший
bushy,густий
remix,ремікс
romney,Ромні
look-see,дивитися
emission,викид
revolutionize,революціонізувати
plummet,падіння
mojito,мохіто
rickie,Рікі
exemption,звільнення
subways,метро
leticia,Летиція
carruthers,Каррутерс
poser,позера
moomin,Мумі-троль
impasse,глухий кут
angling,риболовля
gibby,джібі
kronor,крони
mousetrap,мишоловка
cassini,Кассіні
echelon,ешелон
inconspicuous,непомітний
skepticism,скептицизм
smoldering,тліючий
birgitte,Біргітта
undisputed,безперечний
strikers,страйкарів
penchant,схильність
longhaired,довгошерстий
dependence,залежність
livery,ліврея
clucks,кудкудахтання
adela,Адела
roark,рев
blackstone,чорний камінь
huffing,пихкання
infront,попереду
viciously,злобно
browne,Браун
schnitzel,шніцель
hms,hms
racine,Расін
scribble,каракулі
nobodies,нікчемні особи
morrissey,Морріссі
odile,одилія
spic,пікантний
offed,знято
atkinson,Аткінсон
battlestar,бойова зірка
fatherhood,батьківство
silks,шовк
trembled,тремтів
rudd,красноперка
balding,лисіючий
trifles,дрібниці
blinky,миготливий
pres,прес
worshiped,поклонявся
fabrice,Фабріс
isak,Ісаак
knuckleheads,тупики
catty,катливий
burgled,пограбований
giddap,гіддап
yearned,прагнув
mulcahy,Малкахі
reprimanded,догану
saintly,святий
hedgehogs,їжаки
alters,змінює
pei,пей
ack,ак
able-bodied,працездатний
truer,правдивіший
chesapeake,Чесапік
traitorous,зрадницький
ayn,айн
industrious,працьовитий
agnew,огню
cottages,котеджі
goings,справи
shari,Шарі
renegotiate,переглядати
epicenter,епіцентр
cantaloupe,диня
dapper,елегантний
sais,саї
upton,Аптон
doctor-patient,лікар-пацієнт
sant,святий
perseus,Персей
overtaken,наздогнаний
nother,інший
millionth,мільйонний
one-year,однорічний
compile,компілювати
well-done,молодець
touche,дотик
dosed,дозований
lightbulb,лампочка
mourners,скорботні
pick-me-up,підбадьорливий
desktop,робочий стіл
carcasses,туші
togetherness,єдність
kink,кінчик
disobedient,непокірний
packaged,упакований
selby,Селбі
gables,фронтони
enterprising,підприємливий
leaped,стрибнув
gentlemanly,джентльменський
wry,іронічний
hippopotamus,гіпопотам
discrepancies,розбіжності
hashimoto,Хашимото
rowland,Роуленд
kawasaki,Кавасакі
margarine,маргарин
parameter,параметр
mahmut,Махмут
router,маршрутизатор
convinces,переконує
applesauce,яблучне пюре
ills,біди
agra,Агра
confidentially,конфіденційно
nunnery,жіночий монастир
regaining,відновлення
aground,на мілині
pah,тьфу
sommers,літо
abducting,викрадення
insulated,ізольований
unwritten,неписаний
respectability,респектабельність
rooming,проживання в кімнаті
mirrored,дзеркальний
suman,суман
quay,причал
recoil,віддача
brash,зухвалий
dweeb,дурень
palpable,відчутний
shanty,халупа
gatekeeper,воротар
recreated,відтворений
insemination,запліднення
mojave,Мохаве
schoolhouse,шкільний будинок
figurines,фігурки
elongated,видовжений
lifestyles,способи життя
boos,свист
adoration,обожнювання
virginie,дівич
strictest,найсуворіший
oiled,змащений олією
mics,мікрофони
continual,постійний
teacup,чашка
fertilized,удобрений
hertz,герц
manet,Мане
matte,матовий
scrapped,зламано
spaulding,Сполдінг
inventors,винахідники
mendel,Мендель
baiting,цькування
mobilization,мобілізація
jeannette,Жанет
beady,намистинистий
screamer,крикун
faker,фальшивий
weighted,зважений
adjective,прикметник
thirty-eight,тридцять вісім
stupor,ступор
intensified,посилений
sleaze,бруд
randal,Рендал
stimulant,стимулятор
nis,ніс
cl,кл
grigory,Григорій
mitigating,пом'якшувальні
tosca,тоска
pillage,грабежі
financier,фінансист
headquarter,штаб-квартира
naidu,найду
talons,кігті
reruns,повтори
whither,куди
babysitters,няні
saori,саорі
maison,будинок
noting,відзначаючи
pio,піо
geared,спрямований
af,аф
sunup,схід сонця
cheshire,Чешир
parr,Парр
pulley,шків
pled,благав
fringes,бахроми
grasshoppers,коники
stupider,дурніший
unending,нескінченний
morpheus,Морфеус
hondo,хондо
comprised,складається
cohesive,згуртований
sigrid,сігрід
belgians,бельгійці
jilly,Джиллі
juli,липень
infer,зробити висновок
trifling,дріб'язковий
nursemaid,няня
mens,чоловічий
magenta,пурпуровий
justly,справедливо
stuttgart,Штутгарт
diya,дія
roadie,дорожній
disabilities,інвалідність
armoury,арсенал
lyme,хвороба Лайма
norwood,Норвуд
onlookers,глядачі
sizeable,значний
martel,мартел
taxing,оподаткування
arseholes,дупи
somersault,сальто
clings,чіпляється
backups,резервні копії
mocks,глузує
snitched,доносчик
clamped,затиснутий
michi,Мічі
scamming,шахрайство
tucking,заправляння
sumptuous,розкішний
doodles,каракулі
unlicensed,неліцензований
grandest,найграндіозніший
high-rise,висотка
flagg,Флагг
jerseys,трикотажні вироби
steers,бики
councils,ради
sebastien,Себастьян
volley,залп
advocating,виступати
bestest,найкращий
infiltrating,проникнення
grounding,заземлення
reclaimed,рекультивований
macedonia,Македонія
ajar,прочинений
ramone,Рамон
drawbridge,розвідний міст
brahmin,брахман
lucca,Лукка
writhing,корчаться
momento,момент
pisces,риби
refueling,заправка
nonviolent,ненасильницький
ua,уа
dum-dum,дум-дум
manoeuvres,маневри
queuing,черга
jovi,Джові
saratoga,Саратога
hieroglyphics,ієрогліфи
magi,волхви
tentative,попередній
ml,мл
reprisals,репресії
dividends,дивіденди
nietzschean,ніцшеанський
scammed,шахрайство
taub,Тауб
graeme,Грем
he-man,чоловік
quinlan,Квінлан
cilla,цилія
subliminal,підсвідомий
disapproval,несхвалення
oahu,Оаху
fenwick,Фенвік
manju,Манджу
ebb,відплив
sidebar,бічна панель
eclair,еклер
purdy,пурді
iffy,сумнівний
manifested,проявлений
promotes,сприяє
reminiscent,нагадує
unveiled,розкрито
choral,хоровий
hernando,Ернандо
pattering,стукіт
grendel,Грендель
gallivanting,гуляння
bosh,нісенітницю
matchbox,сірникова коробка
probate,спадщина
zipped,застібнутий на блискавку
lowdown,підсумок
dissected,препарований
gae,гей
mammoths,мамонти
magnify,збільшувати
marlboro,Мальборо
scaled,масштабований
gallbladder,жовчний міхур
madea,мадея
asami,асамі
waring,Варінг
vapour,пара
floorboard,підлогова дошка
dismantling,демонтаж
bak,бак
fuckhead,йолопа
snide,єхидний
squabbling,сварки
rescues,рятує
cropped,обрізаний
roams,бродить
het,гет
boosting,підвищення
sikh,сикх
roadkill,збита тварина на дорозі
modesto,Модесто
kant,Кант
restlessness,неспокій
conti,конті
khurana,Хурана
telecom,телекомунікації
tierney,Тірні
noreen,Норін
flaherty,Флахерті
conch,раковина
inescapable,неминучий
onscreen,на екрані
rc,rc
steeped,просочений
hilde,Гільда
diluted,розбавлений
orangutan,орангутанг
single-handed,одноручний
progeny,потомство
busybody,нав'язлива особа
clawing,дряпання
dreyfuss,Дрейфус
vacancies,вакансії
conquerors,завойовники
tra,тра
beheading,обезголовлення
annapolis,Аннаполіс
cogs,шестерні
chatterbox,базіка
grossman,Гроссман
annually,щорічно
farewells,прощання
heart-to-heart,від серця до серця
jarrett,Джарретт
glossy,глянцевий
tama,тама
traumas,травми
lieut,лейтенант
jeweller,ювелір
braden,Брейден
hennessey,Хеннессі
medley,попурі
slugged,ударений
paraphernalia,атрибутика
departmental,відомчий
squealed,верещав
counterparts,колеги
snapshots,знімки
kneecaps,колінні чашечки
belligerent,войовничий
fissure,тріщина
puppeteer,лялькар
costanza,Костанца
orestes,Орест
rosanna,Розанна
allotment,наділ
sincerest,найщиріший
transcends,перевершує
gagarin,Гагарін
djinn,джин
cancun,канкун
fuselage,фюзеляж
wembley,Вемблі
abuser,кривдник
capers,каперси
propel,просувати
goodnight,на добраніч
shortstop,шортстоп
mathew,Метью
mima,міма
showman,шоумен
popper,поппер
kumbaya,кумбая
transgressions,провини
buyin,купівля
pensioners,пенсіонери
brimming,переповнений
soya,соя
spot-on,ідеальний
windowsill,підвіконня
methamphetamine,метамфетамін
unquote,закінчення цитати
noun,іменник
rouen,Руан
gerber,гербер
baguette,багет
patter,скоромовка
mediate,посередником
patties,котлети
kita,кіта
eugenio,Євгеніо
ponderosa,жовта
hows,як
bedridden,прикутий до ліжка
imperialist,імперіаліст
behest,наказ
ourself,себе
originate,походити
squalor,убогість
canaries,канарки
arraigned,пред'явлено до суду
nighty-night,на добраніч
endangerment,загроза
pay-per-view,платний перегляд
messaging,обмін повідомленнями
tethered,прив'язаний
thrifty,ощадливий
vash,ваш
adnan,Аднан
third-rate,третьосортний
hyperdrive,гіперпривід
backwoods,глушина
catered,обслуговується
formulate,формулювати
lovell,Ловелл
croaks,каркає
uncooperative,некооперативний
craved,жадав
thankless,невдячний
antennae,антени
carabinieri,карабінери
snazzy,шикарний
refrigeration,охолодження
inert,інертний
gamekeeper,єгер
textures,текстури
argentinean,аргентинський
skirmish,сутичка
specialties,спеціальності
deep-fried,смажений у фритюрі
ela,Ела
billion-dollar,мільярд доларів
holiest,найсвятіший
manservant,слуга
verdun,Верден
cheech,щока
mariel,Маріель
intermediate,проміжний
parkman,Паркмен
nips,щипці
palpitations,серцебиття
jacinto,Хасінто
spans,прольоти
emanuel,Емануель
vivaldi,Вівальді
polarity,полярність
fine-looking,гарний
smokescreen,димова завіса
smudged,розмазаний
adriano,Адріано
collaborated,співпрацював
skimmed,знежирене
firstborn,первісток
unrecognizable,невпізнанний
overzealous,надмірно завзятий
rea,справжнє
ariane,аріана
freer,вільніший
mannequins,манекени
mclane,Маклейн
nk,нк
kraken,кракен
shekels,шекелі
gauls,галли
biotech,біотехнології
sterilized,стерилізований
pressurized,під тиском
second-degree,другого ступеня
scattering,розсіювання
ziegler,Циглер
naz,нац
jeopardized,під загрозою
consoling,втішаючий
appointing,призначення
wiper,склоочисник
harping,граючи на арфі
carmelo,Кармело
cinemas,кінотеатри
midland,Мідленд
petticoat,спідниця
broyles,Бройли
flippin,перевертання
harrowing,жахливий
tearful,сльозливий
truest,найправдивіший
cleft,розщелина
wray,Рей
malware,шкідливе програмне забезпечення
riverdale,Рівердейл
bream,лящ
justifiable,виправданий
fretting,струшування
frowning,нахмурений
potomac,Потомак
sten,Стен
barked,гавкав
pre-med,домедична освіта
cancels,скасовує
homeowners,домовласники
fiendish,диявольський
notwithstanding,незважаючи
redskins,червоношкірих
voyeur,вуайерист
havers,власники
chronos,хронос
abilene,Абілін
auctions,аукціони
mincemeat,м'ясний фарш
out-of-town,за містом
prosthetics,протези
second-class,другого класу
hershey,Херші
procured,придбаний
loathed,ненавидів
decrepit,старий
bly,вміло
fast-food,фаст-фуд
eventful,насичений подіями
shimada,Шімада
skinheads,скінхеди
petya,Петя
oomph,шанувальників
polluting,забруднюючий
multiplication,множення
incentives,стимули
remarked,зауважив
phlox,флокс
thirty-seven,тридцять сім
horned,рогатий
pontius,Понтій
matchmaking,сватання
soma,сома
basements,підвали
barmy,дурний
stockpile,запас
weavers,ткачі
meme,мем
hazelnut,фундук
mailroom,поштова кімната
saturation,насичення
ley,лей
sinkhole,провал
greenwood,Грінвуд
inertia,інерція
impossibly,неможливо
westward,на захід
pff,пфф
philistine,філістер
gnaw,гризти
crepes,млинці
paki,пакистанець
geriatric,геріатричний
honorably,почесно
lope,біг
toasts,тости
hypertension,гіпертензія
puritan,пуританин
entropy,ентропія
palo,пало
mili,мілі
baring,оголення
imprinted,відбитий
sylar,Сайлар
petter,Петтер
winks,підморгує
conditional,умовний
marriott,Марріотт
foreseeable,передбачуваний
evens,парні
vandalized,вандалізований
garters,підв'язки
flatulence,метеоризм
samira,Саміра
rusk,сухарі
designation,позначення
raus,раус
shamans,шамани
garnett,гранат
gunners,артилеристи
captivating,захопливий
impresses,вражає
extravagance,марнотратство
chutes,жолоби
sphincter,сфінктер
two-headed,двоголовий
leprechauns,лепрекони
eben,ебен
gsr,ГСР
pastoral,пасторальний
beaufort,Бофорт
proverbs,прислів'я
bade,бад
shoebox,коробка для взуття
responsibly,відповідально
sigurd,Сігурд
heston,Хестон
deducted,відраховано
oncoming,зустрічний
trafalgar,Трафальгар
persists,зберігається
initiatives,ініціативи
listings,оголошення
proficient,досвідчений
klondike,Клондайк
kenna,Кенна
boog,буг
sty,хлів
gallantry,галантність
dutton,Даттон
assailants,нападники
noboru,noboru
duels,дуелі
forfeited,програно
absolved,звільнений від гріхів
advantageous,вигідний
amps,підсилювачі
biochemical,біохімічний
contraception,контрацепція
lago,лаго
winkle,вінкл
crayfish,раки
obsessions,нав'язливі ідеї
accumulation,накопичення
gwendolyn,Гвендолін
converter,конвертер
deuces,двійки
percentages,відсотки
assimilated,асимільований
swingers,свінгери
ivanov,Іванов
cobain,Кобейн
institutional,інституційний
changeling,підмінник
vertebra,хребець
hoofbeats,тупіт копит
sd,сд
romulus,Ромул
malayalam,малаялам
peacemaker,миротворець
plaintiffs,позивачів
universally,універсально
corman,Корман
instructing,інструктаж
alissa,Алісса
ladylike,жіночний
loveable,милий
humps,горби
rien,рієн
ea,шт.
turnbull,Тернбулл
raza,раза
forster,Форстер
pentagram,пентаграма
familial,сімейний
salutes,салюти
separatists,сепаратистів
transistor,транзистор
mirai,мірай
therapies,терапії
sensibly,розумно
spandex,спандекс
sinker,грузило
all-stars,зірки
incur,понести
decomposed,розкладений
informally,неофіційно
trollop,шльондр
metz,Мец
four-star,чотиризірковий
pandemonium,гамір
marconi,Марконі
telltale,контрольний знак
mcclane,Макклейн
jesper,Джаспер
commissioners,комісари
rosenthal,Розенталь
guggenheim,Гуггенхайм
detrimental,шкідливий
mavericks,бунтарі
jogger,бігун
overdressed,надмірно одягнений
narco,нарко
deniz,Деніз
pageants,конкурси краси
heavy-duty,важкий
aldrin,Олдрін
monti,Монті
diy,своїми руками
tanzania,Танзанія
coolers,охолоджувачі
paratroopers,десантники
bbq,барбекю
concentrations,концентрації
dorn,дорн
lada,лада
gwyneth,Гвінет
escalade,ескалад
grandsons,онуки
ame,ейм
manipulator,маніпулятор
dustbin,сміттєвий бак
excavations,розкопки
edu,освіта
tornadoes,торнадо
saxons,сакси
cantina,кантина
kindling,розпалювання
rothstein,Ротштейн
beggin,початок
toulon,Тулон
undocumented,недокументований
barges,баржі
hypnotist,гіпнотизер
photons,фотони
inappropriately,неналежним чином
certify,засвідчити
naru,Нару
amira,Аміра
thorny,колючий
rosco,Роско
colosseum,Колізей
electrocution,ураження електричним струмом
compatibility,сумісність
rudnick,Руднік
mccluskey,Маккласкі
beauregard,Борегард
seething,киплячий
herschel,Гершель
dents,вм'ятини
