you,tu
unfashionable,fora de moda
ber,ber
duarte,duarte
moneymaking,ganhar dinheiro
fine-tuning,afinação
epoxy,epóxi
bur,bur
scion,scion
self-appointed,autoproclamado
mcneal,mcneal
jabez,Jabez
cici,cici
kotoko,kotoko
dissonance,dissonância
td,td
surmised,supôs
pasting,colando
malted,maltado
prig,esnobe
mogadishu,Mogadíscio
ignoble,ignóbil
accorded,concedido
pilfering,furto
erkki,erkki
titch,pequenino
rooker,rooker
saddlebags,alforjes
wagstaff,wagstaff
kiley,Kiley
mealtime,hora da refeição
cubits,côvados
diller,diller
riskier,mais arriscado
biloxi,Biloxi
villette,Villette
hh,hh
eligibility,elegibilidade
socialise,socializar
a4,a4
adopts,adota
padlocked,trancado com cadeado
beleaguered,sitiado
pimpin,cafetão
recessed,embutido
bethel,Betel
east-west,leste-oeste
karat,quilate
magnifico,magnífico
menage,menage
kaku,kaku
storekeeper,lojista
brer,irmão
scientologist,cientologista
amundsen,amundsen
jostle,empurrar
menswear,moda masculina
bouchard,Bouchard
earwig,tesourinha
croup,garupa
accommodated,acomodado
semple,exemplo
gra,gra
burbage,burbage
crustacean,crustáceo
seve,sete
grossing,bruto
hairpiece,aplique
olympiad,olimpíada
tacs,tachões
personage,personagem
rucker,rucker
innovators,inovadores
adina,adina
fundraisers,angariação de fundos
dampening,amortecimento
spics,especiarias
gypsum,gesso
loic,loico
catharsis,catarse
baldur,Baldur
aqueducts,aquedutos
signage,sinalização
eph,efé
gatwick,Gatwick
dignitary,dignitário
bedsheets,lençóis
sesh,sessão
parlance,linguagem
realtors,corretores de imóveis
loder,carregador
patrolmen,patrulheiros
interpreters,intérpretes
zweig,zweig
patchy,desigual
exorcisms,exorcismos
jurisprudence,jurisprudência
chickpeas,grão de bico
xylophone,xilofone
irrationally,irracionalmente
clamping,fixação
irritability,irritabilidade
deville,deville
inroads,avanços
projectors,projetores
scratcher,arranhador
jihadi,jihadista
metas,metas
jacobite,jacobita
wreaked,destruído
staines,manchas
bink,bingo
petronius,Petrônio
chantry,capela
clo,clo
laminate,laminado
farmyard,pátio da quinta
staircases,escadas
f2,f2
f4,f4
reapply,reaplicar
clausen,cláusula
belter,belíssimo
remote-controlled,controlado remotamente
estevez,estevez
demeanour,comportamento
stabbings,esfaqueamentos
expiry,termo
fast-moving,movimento rápido
basal,basal
sated,saciado
aright,corretamente
unmoved,impassível
gored,chifrado
tweaker,viciado
trickles,gotejamento
sirrah,sirra
uneasiness,inquietação
safecracker,arrombador de cofres
junie,junho
hearn,ouvir
stedman,stedman
shanghaied,recrutado à força
outpouring,derramamento
trumpeter,trompetista
linchpin,peça-chave
rcmp,RCMP
independents,independentes
borrowers,mutuários
holier-than-thou,mais santo que tu
creaky,rangente
thunderbolts,raios
hove,hove
communique,comunicado
touchstone,pedra de toque
bendix,bendix
eod,fim do dia
hollingsworth,Hollingsworth
palos,palos
unpredictability,imprevisibilidade
headstones,lápides
quitted,desistiu
envelops,envelopes
vented,ventilado
fini,fim
redefined,redefinido
crooner,cantor
alarmingly,alarmantemente
belting,cinto
stylings,estilos
arjuna,Arjuna
nichol,nichol
secrete,secretar
culminated,culminou
cornucopia,cornucópia
bloodletting,sangria
distaste,aversão
ramada,ramada
conquistador,conquistador
fleeced,tosquiado
indigent,indigente
organics,orgânicos
taskmaster,capataz
chronically,cronicamente
oodles,grande quantidade
overflowed,transbordou
physicality,fisicalidade
menstruating,menstruação
lingam,lingam
odum,odum
frisked,revistado
oligarchs,oligarcas
westley,Westley
ery,ery
dishonorably,desonrosamente
interloper,intruso
coker,coque
tus,tus
jordans,Jordans
unicycle,monociclo
mati,mati
pericardial,pericárdico
redline,linha vermelha
pho,pho
buddy-buddy,amigão-amiguinho
nicolo,Nicolau
submachine,submetralhadora
pedophilia,pedofilia
excruciatingly,excruciantemente
war-torn,devastado pela guerra
beekman,beekman
limpet,lapa
oxfordshire,Oxfordshire
mornay,mornay
opulence,opulência
mangalam,mangalam
nuthin,nada
bails,fianças
disclaimer,isenção de responsabilidade
animalistic,animalesco
manic-depressive,maníaco-depressivo
blackfoot,pés pretos
self-obsessed,egocêntrico
mutes,silencia
ork,ork
upturned,virado para cima
mismatch,incompatibilidade
limped,mancava
hazlitt,hazlitt
warping,deformação
mulled,ponderado
rulebook,livro de regras
holies,santos
overcook,cozinhar demais
curiosities,curiosidades
florin,florim
palliative,paliativo
smokehouse,defumador
sequoia,sequóia
dwi,dwi
larisa,Larisa
sibyl,sibila
evangelist,evangelista
disinherit,deserdar
hairnet,rede de cabelo
doof,idiota
passersby,transeuntes
rhinestone,strass
voids,vazios
finkelstein,finkelstein
nacht,noite
drinkable,potável
survivalist,sobrevivencialista
farkas,farkas
olympians,olímpicos
svalbard,Svalbard
realness,realidade
gallantly,galantemente
thicken,engrossar
cumming,gozando
disparage,depreciar
stigmata,estigmas
dossiers,dossiês
dano,dano
nickerson,Nickerson
tasmanian,tasmaniano
beefed,carne
rowling,Rowling
furman,furman
knaves,patifes
vox,voz
mannitol,manitol
gurus,gurus
legislators,legisladores
slalom,slalom
hiller,Hiller
flagging,sinalizando
nyberg,nyberg
mincing,picando
dieppe,dieppe
redskin,pele vermelha
fair-haired,loiro
pageantry,desfile
electrostatic,eletrostático
sugarman,homem do açúcar
kanpur,Kanpur
neatness,organização
unimaginative,sem imaginação
one-tenth,um décimo
zai,zai
pellegrino,Pellegrino
cacao,cacau
advertiser,anunciante
barbarity,barbárie
hutt,cabana
pretrial,pré-julgamento
liniment,linimento
brauer,brauer
grandpas,avôs
sophomores,Os alunos do segundo ano
kurd,curdo
lowland,planície
rubdown,massagem
absentia,ausência
timetables,horários
three-quarter,três quartos
maida,maida
shuteye,dormir
crim,crime
fayette,Fayette
greaseball,bola de sebo
ethyl,etilo
fibrillation,fibrilação
trin,trin
todays,hoje
regrouping,reagrupando
alix,alix
ratify,ratificar
baffle,defletor
teacups,chávenas de chá
ludovico,Ludovico
rutting,cio
thracian,trácio
harlots,prostitutas
passively,passivamente
toggle,alternar
rutgers,Rutgers
lewinsky,lewinsky
infighting,conflitos internos
impeached,destituído
hammerstein,Hammerstein
unspecified,não especificado
changers,trocadores
mallorca,Maiorca
recitals,recitais
sch,escola
midline,linha média
trodden,pisoteado
to-day,hoje
asmodeus,asmodeus
sixer,seis
purdue,Purdue
saddlebag,alforje
supremacist,supremacista
carousing,farra
dhillon,dhillon
rollerblading,patins
ils,ils
unsolvable,insolúvel
cabdriver,motorista de táxi
agoraphobia,agorafobia
restarted,reiniciado
submits,submete
pocketknife,canivete
inalienable,inalienável
linnea,Linnea
akhil,akhil
gurgle,gorgolejo
torii,torii
exclamations,exclamações
phasing,faseamento
luton,Luton
kumi,kumi
gels,géis
guac,guacamole
concentrates,concentrados
ibs,SII
plover,tarambola
simulates,simula
jailbait,menor de idade
laing,laing
sorel,sorel
harkin,Harkin
fue,foi
delmar,delmar
toller,pedágio
schoen,Schoen
poconos,poconos
formulation,formulação
pathfinder,explorador
gavrilo,Gavrilo
mumsy,mamãe
randomness,aleatoriedade
agonising,agonizante
zelig,zelig
chameleons,camaleões
spinners,giradores
comps,comps
protagonists,protagonistas
grandly,grandiosamente
bia,bia
nullify,anular
eon,éon
rudge,rudge
contaminants,contaminantes
corporeal,corpóreo
hemming,bainha
krone,coroa
mascots,mascotes
hortensia,hortênsia
attaining,alcançar
partridges,perdizes
nookie,nookie
paedo,pedófilo
eadie,eadie
stansfield,stansfield
sigi,sigi
papillon,papillon
biko,biko
goosey,ganso
roofer,telhador
proxies,proxies
well-preserved,bem conservado
merkel,Merkel
multicultural,multicultural
kanagawa,Kanagawa
talmadge,talmadge
hitchens,hitchens
cohort,coorte
diffusion,difusão
duty-free,sem taxas
ves,ves
rebounds,rebotes
uncertainties,incertezas
segovia,Segóvia
theorized,teorizado
conserved,conservado
vestige,vestígio
subhuman,sub-humano
bester,melhor
melchior,melchior
agonized,agonizou
freelancing,trabalho freelance
bre,bre
desirous,desejoso
disgracing,vergonhoso
sonoma,sono
epics,épicos
rockaway,Rockaway
sug,sug
kalman,Kalman
settin,configuração
osha,osha
desecrating,profanando
cortisol,cortisol
sprites,sprites
moroccans,marroquinos
mapplethorpe,Mapplethorpe
sojourn,estada
fenders,para-lamas
guerin,guerin
citizenry,cidadania
dilemmas,dilemas
mistreating,maltratar
barfing,vomitando
sabra,sabra
bigamist,bígamo
contraceptives,contraceptivos
spinelli,spinelli
hampered,prejudicado
coexist,coexistir
dench,dench
verner,verner
bry,Bry
all-natural,totalmente natural
backsides,traseiros
exhilarated,entusiasmado
parkers,estacionadores
two-piece,conjunto de duas peças
enrolling,matriculando
ponti,ponte
wey,wey
moorish,mouro
neto,neto
goodyear,Goodyear
spurts,jatos
lile,tipo
aviators,aviadores
hannay,hannay
reaffirm,reafirmar
goldwater,água dourada
wilfried,wilfried
halpert,Halpert
bascom,bascom
hypertensive,hipertenso
doula,doula
scraper,raspador
figg,figg
amie,amiga
tedium,tédio
jes,sim
plaguing,afligindo
laval,laval
summarily,resumidamente
drudge,escravo
sextant,sextante
guardsman,guarda
freemasonry,maçonaria
diz,diz
quadrants,quadrantes
harpies,harpias
tablespoon,colher de sopa
ravaging,devastando
endow,dotar
bitched,reclamou
stoolie,dedo-duro
greenpoint,ponto verde
rotations,rotações
antigravity,antigravidade
snips,recortes
romaine,alface romana
clean-shaven,barbeado
alka-seltzer,Alka-Seltzer
swimmingly,nadando
whitcomb,Whitcomb
sparingly,com parcimónia
garda,guarda
h-bomb,bomba de hidrogénio
sk,sk
one-shot,one-shot
lustrous,brilhante
banishing,banimento
telescopic,telescópico
hastened,apressado
anti-semite,antissemita
oldsmobile,Oldsmobile
parentage,parentesco
jihadist,jihadista
fireplaces,lareiras
gente,gente
off-balance,desequilibrado
heliport,heliporto
calvados,calvados
shem,sem
heartbroken,coração partido
alamein,alamein
fuck-all,porra nenhuma
nurseries,viveiros
neg,neg
fugu,baiacu
uf,uf
spin-off,spin off
dissolute,dissoluto
cattlemen,pecuaristas
embed,incorporar
wetsuit,roupa de mergulho
complements,complementos
midler,Midler
draughts,damas
m2,m2
wittle,pequeno
berliner,berlinense
dramatize,dramatizar
entitle,dar direito
grosser,grosseiro
unkempt,despenteado
zum,para
paraphrasing,parafraseando
humanely,humanamente
anima,anima
zimmermann,Zimmermann
streetwalker,prostituta
silvers,pratas
outlander,Outlander
salvaging,salvamento
surged,surgiu
doorbells,campainhas
undeserving,imerecido
leva,leva
reeled,cambaleou
ladd,rapaz
andover,andover
precipitated,precipitado
pin-up,cartaz
beadle,bedel
consultancy,consultoria
rik,rik
lapels,lapelas
mismatched,incompatíveis
melancholia,melancolia
striding,caminhando
fumio,fumio
newswoman,jornalista
codger,velho
minder,vigia
transcribe,transcrever
shinya,brilhante
shandy,cerveja shandy
realign,realinhar
merengue,merengue
pavlova,pavlova
necrophilia,necrofilia
doormen,porteiros
biggins,biggins
worshipers,adoradores
anatoli,Anatólia
mercedes-benz,Mercedes-Benz
crannies,frestas
alexandrovich,alexandrovich
severin,Severino
stringfellow,stringfellow
ziti,ziti
weil,bem
hakone,Hakone
crusading,cruzada
tanis,tanis
fragmentation,fragmentação
venous,venoso
eyal,eyal
clambake,clambake
imprisoning,aprisionamento
increments,incrementos
unnaturally,não natural
bledsoe,bledsoe
cheyney,Cheyney
cheever,Cheever
golds,ouros
over-the-counter,em cima do balcão
storyboard,storyboard
lavoisier,lavoisier
az,az
arcs,arcos
div,div
processions,procissões
pleaser,agradável
reenact,reencenação
conde,conde
itl,itl
vibrators,vibradores
nonlethal,não letal
amuck,descontrolado
yips,yips
fibs,mentiras
firestone,pedra de fogo
splenic,esplênico
double-checking,conferindo duas vezes
biotechnology,biotecnologia
preservative,conservante
asp,áspide
jugglers,malabaristas
thickening,espessamento
conformed,conforme
medulla,medula
hatshepsut,Hatchepsut
feynman,Feynman
etruscan,etrusco
northwards,para o norte
greyhounds,galgos
neilson,Neilson
norte,norte
viscosity,viscosidade
liquors,bebidas alcoólicas
isaak,isaak
quieted,silenciado
eisen,eisen
denominations,denominações
mcknight,McKnight
downcast,cabisbaixo
fevered,febril
kitana,Kitana
shearer,tosquiador
house-sitting,cuidar de uma casa
austerlitz,austerlitz
kum,kum
guideline,diretriz
cari,cari
unmanageable,ingovernável
tyner,Tyner
fonz,fonz
drover,vaqueiro
railroading,ferrovias
oyez,oyez
eggplants,berinjelas
manus,mão
lazaro,Lázaro
duplication,duplicação
mosaics,mosaicos
salivating,salivando
inoperative,inoperante
pawning,penhor
proletarians,proletários
soupy,sopa
unscientific,não científico
gunplay,tiroteio
derriere,traseiro
bratty,pirralho
mehmed,mehmed
laban,laban
broadcasted,transmitido
loudspeakers,alto-falantes
mcgurk,McGurk
truancy,absentismo escolar
cyclical,cíclico
caldera,caldeira
wenceslas,Venceslau
biba,biba
contemplative,contemplativo
epidermis,epiderme
lumped,agrupados
boulevards,avenidas
carnahan,Carnahan
tepee,tipi
clasped,apertado
footsie,brincadeira de pés
handoff,não interferir
yoshimi,Yoshimi
deion,deion
tentatively,provisoriamente
wether,se
wilks,wilks
rez,rez
rewired,religado
dagon,dagon
distemper,cinomose
feasted,banqueteou
out-and-out,totalmente
saison,temporada
commas,vírgulas
yanina,yanina
all-consuming,tudo consome
cued,sinalizado
halliburton,Halliburton
kamchatka,Kamchatka
neuroscientist,neurocientista
aquitaine,aquitânia
preening,arrumação
voicing,dublagem
jarhead,jarhead
onda,onda
two-story,dois andares
freeloading,aproveitador
livesey,livesey
mahabharata,Mahabharata
three-star,três estrelas
encrusted,incrustado
cradled,embalado
frg,frg
brevity,brevidade
invert,invertido
martelli,martelli
benno,Benno
janna,Janna
caa,caa
bodybuilder,fisiculturista
grenadiers,granadeiros
carnot,carnot
capitulation,capitulação
tectonics,tectónica
evidenced,evidenciado
nevin,Nevin
trou,trou
kinshasa,Kinshasa
vestry,sacristia
reparation,reparação
ciel,céu
hermetically,hermeticamente
downsized,reduzido
jubilant,jubilante
undesirables,indesejáveis
tonnage,tonelagem
alta,alta
breathers,respiradores
glossop,glossop
inordinate,desordenado
jalil,jalil
gynecology,ginecologia
clunky,desajeitado
tastiest,mais saboroso
kie,kie
self-reliant,autossuficiente
jumped-up,saltou
signior,senhor
insensitivity,insensibilidade
paralyzes,paralisa
sanctuaries,santuários
pretoria,Pretória
washboard,tábua de lavar
bunked,beliche
fettuccine,fettuccine
unpardonable,imperdoável
starlings,estorninhos
life-or-death,vida ou morte
edgewise,lateralmente
unilaterally,unilateralmente
sapper,sapador
luise,Luísa
idealists,idealistas
solder,solda
observance,observância
functionality,funcionalidade
coby,Coby
shirai,shirai
ferro,ferro
multiples,múltiplos
enclave,enclave
yellowknife,faca amarela
big-screen,tela grande
taskforce,força-tarefa
arched,arqueado
shuang,shuang
hadst,tinha
one-piece,uma pedaço
skol,skol
titian,Ticiano
subversives,subversivos
aeronautical,aeronáutica
coming-out,sair do armário
disintegrates,desintegra
benford,Benford
bajaj,Bajaj
centimetre,centímetro
getz,getz
royalist,monarquista
mccomb,McComb
koos,koos
garcon,garçom
chalked,giz
sandberg,Sandberg
nem,nem
adapts,adapta
eke,eke
knickknacks,bugigangas
unleaded,sem chumbo
disbelieve,desacreditar
penne,penne
illegible,ilegível
tarkovsky,Tarkovsky
meddler,intrometido
lunt,fumegar
rockingham,Rockingham
amalgam,amálgama
clustered,agrupados
dotes,dotes
doling,distribuindo
abo,sobre
dudek,carak
tugged,puxado
touch-up,retoque
thumbing,polegar
sood,solo
maybury,maiobury
posers,impostores
sperms,espermatozoides
undeclared,não declarado
feinberg,Feinberg
philibert,Filiberto
grovelling,rastejando
zacharias,Zacarias
gantz,Gantz
inducement,indução
provocations,provocações
mansi,mansi
seaview,vista para o mar
skinflint,avarento
disorienting,desorientador
shockley,Shockley
hemispheres,hemisférios
adobe,adobe
bluestone,pedra azul
nitroglycerine,nitroglicerina
unfortunates,infelizes
joyless,sem alegria
stippling,pontilhismo
standoff,impasse
roadshow,roadshow
constricted,constrição
veering,virando
tsarina,czarina
disparate,díspares
velasquez,Velasquez
plodding,lento
sanborn,Sanborn
choreograph,coreógrafo
greenback,dólar
bergstrom,bergstrom
spooking,assustador
tatty,esfarrapado
catriona,Catriona
no-account,conta não
fifty-one,cinquenta e um
moma,mamãe
buxom,voluptuosa
antoni,antoni
tonk,tonk
correlate,correlacionar
ment,mento
voice-activated,ativado por voz
nudging,cutucando
welterweight,peso meio-médio
pare,pare
agarwal,agarwal
defacing,desfiguração
samsung,Samsung
carrey,carrey
gossipy,fofoqueira
zalman,Zalman
blowup,explosão
reinforces,reforça
montes,montes
brigid,Brígida
tahitian,taitiano
storied,história
hellos,olá
subsidized,subsidiado
waxes,ceras
wearily,cansado
michela,michela
nea,perto
matsuyama,matsuyama
milder,mais suave
kittredge,kittredge
shirking,esquivar-se
aleksei,aleksei
scrunch,enrugar
moa,moa
mannheim,Mannheim
florists,floristas
handholding,dar as mãos
truthfulness,veracidade
evaristo,Evaristo
vy,vy
risto,risto
fonseca,fonseca
machismo,machismo
venal,venal
half-pint,meio litro
kumamoto,kumamoto
shanna,Shanna
hookups,encontros casuais
columnists,colunistas
gofer,faz-tudo
renouncing,renunciando
third-party,terceiro
pard,pard
burdette,burdette
entanglements,emaranhamentos
minestrone,minestrone
o-negative,o-negativo
sussed,desvendado
indefensible,indefensável
kellen,Kellen
ruptures,rupturas
cheyne,Cheyne
funnies,engraçados
damar,damar
thinners,diluentes
emigrating,emigrando
ventilated,ventilado
cme,vem
sakuma,sakuma
zama,zama
causal,causal
bleeders,sangradores
subprime,subprime
maryanne,Maryane
heifers,novilhas
faustino,Faustino
carlsen,Carlsen
ales,cervejas
sambo,sambo
haldeman,Haldeman
hew,afiar
shipmate,companheiro de navio
bedfellows,companheiros de cama
mysore,Mysore
lifers,veteranos
unfavorable,desfavorável
redfield,campo vermelho
archway,arco
precepts,preceitos
magnetized,magnetizado
bew,bew
threading,rosca
trussed,treliçado
languishing,definhando
trappers,caçadores
josey,Josey
hamer,martelo
numerology,numerologia
renters,inquilinos
penile,peniano
chuff,chuff
oblong,oblongo
hoho,hoho
welts,vergões
hadi,hadi
barbarossa,barbarossa
yamashiro,Yamashiro
bigs,grandes
governor-general,governador-geral
symphonic,sinfónico
woh,uau
toba,toba
court-martialled,submetido a tribunal marcial
symbolises,simboliza
kumquat,kumquat
ammi,ammi
tur,tur
runts,nanicos
cruised,cruzeiro
lighthouses,faróis
nup,não
zarathustra,Zaratustra
secures,garante
siphoned,sifonado
portly,corpulento
contentedly,contentemente
overachiever,pessoa extremamente dedicada
modulation,modulação
deuteronomy,deuteronomia
fraternize,confraternizar
quadratic,quadrático
tunstall,tunstall
cockfight,rinha de galos
millman,moinho
inconveniences,inconvenientes
anselm,Anselmo
bilaterally,bilateralmente
slighted,desprezado
staggers,cambaleia
nowak,nowak
throbs,pulsações
amida,amida
pretensions,pretensões
equipments,equipamentos
bawled,berrou
oon,em breve
jorgensen,Jorgensen
twill,sarja
bodo,bodo
culvert,bueiro
unimpeachable,irrepreensível
halpern,Halpern
loggins,loggins
mutineers,amotinados
resonated,ressoou
prehistory,pré-história
machinist,maquinista
trevi,trevi
zooms,zooms
valance,valência
warm-blooded,de sangue quente
guernica,guernica
two-seater,dois lugares
high-altitude,altitude elevada
strontium,estrôncio
grandpappy,vovô
hasidic,hassídico
middling,mediano
whipper,chicote
musculature,musculatura
hedging,proteção
grins,sorrisos
camryn,Camryn
wheatgrass,erva de trigo
prong,ponta
neckties,gravatas
high-heeled,salto alto
slimane,slimane
traumatizing,traumatizante
facilitating,facilitando
connoisseurs,conhecedores
halcyon,halcyon
upolu,upolu
out-of-the-way,fora do caminho
ats,ats
climes,climas
spiritualism,espiritualismo
jacque,jacque
dimitrios,Dimitrios
stir-fry,fritar
curtin,cortina
magruder,magruder
sixty-four,sessenta e quatro
rennes,Rennes
wipeout,destrua
roh,roh
vilnius,Vilnius
bookmaking,encadernação
derision,escárnio
frothing,espumando
etching,gravura
reconciling,reconciliando
wyman,wyman
sophocles,Sófocles
saltzman,Saltzman
sexiness,sensualidade
drac,Drac
jonestown,Jonestown
propositioned,proposta
yamagata,yamagata
convalescence,convalescença
jokingly,em tom de brincadeira
muggy,abafado
impacting,impactando
pile-up,acúmulo
bui,construir
heaves,movimentos bruscos
hardwired,conectado
can-do,consigo
statham,Statham
faso,faso
tendrils,gavinhas
withstanding,resistente
couric,couric
tete,tete
headhunters,caçadores de talentos
basie,basie
laundress,lavadeira
tudo,tudo
wormed,desparasitado
bugles,cornetas
cleanses,limpa
zakir,Zakir
airlifted,transportado por via aérea
inhabiting,habitando
opportunists,oportunistas
carcinoma,carcinoma
brays,zurros
rigorously,rigorosamente
acetate,acetato
anecdotal,anedótico
modena,Modena
lamas,lamas
rehired,recontratado
congolese,congolês
fanciest,mais extravagante
climactic,climático
nominating,indicando
thrillers,thrillers
funerary,funerário
hace,faz
cuckolded,corno
narwhal,narval
myopic,míope
ceaselessly,incessantemente
kith,amigos
rialto,rialto
isp,fornecedor de internet
commentators,comentadores
jw,jw
lom,lom
unesco,UNESCO
sulfide,sulfureto
tiebreaker,desempate
fogged,enevoado
footbridge,passarela
oro,ouro
flaking,descamação
re-read,reler
inna,inna
defrosting,descongelamento
pinwheel,catavento
waif,órfão
interagency,interinstitucional
chis,chis
strongbox,cofre
palaver,conversa fiada
dacia,dacia
finalise,finalizar
objector,objetor
tilde,til
snark,sarcasmo
mosh,mosh
evanston,Evanston
emmitt,Emmitt
maggio,maior
fordyce,fordyce
ulrika,Ulrika
sadik,sadik
well-organized,bem organizado
balto,balto
vostok,vostok
preferring,preferindo
ballplayers,jogadores de bola
defecting,desertar
novgorod,Novgorod
ultimatums,ultimatos
repeater,repetidor
disqualification,desqualificação
wto,om
implored,implorou
adjusts,ajusta
trolleys,carrinhos
zuckerman,Zuckerman
longings,desejos
hotshots,Os pilotos de elite
waylaid,emboscado
folio,fólio
glisten,brilhar
oor,porta
moonless,sem lua
tipster,informante
selfridges,auto-cristas
fasted,em jejum
nonessential,não essencial
israelite,israelita
newborn,recém-nascido
bobblehead,cabeça oscilante
keyser,keyser
zoomed,ampliado
deadlocked,impasse
freemason,maçom
maire,Maire
carrasco,carrasco
snuggled,aconchegados
antone,antone
pelletier,Pelletier
cleaves,clivagem
mattei,mattei
deflowered,deflorada
stover,estoca
ribbing,nervuras
beardsley,Beardsley
downplay,minimizar
marionettes,marionetes
plucks,arranca
gravitate,gravitar
callan,callan
agitating,agitador
gumby,Gumby
corneal,córnea
vegans,veganos
holcomb,holcomb
cronus,Cronos
tings,coisas
constructs,construções
thoroughbreds,cavalos puro-sangue
kayleigh,Kayleigh
muttered,murmurou
banns,proclamas
eccentricities,excentricidades
parquet,parquet
confluence,confluência
shortfall,déficit
pube,pelos pubianos
amadeo,amadeo
overtones,sobretons
wernher,Wernher
maurier,maurier
mudd,lama
breweries,cervejarias
gorn,gorn
sugared,açucarado
ambar,âmbar
maggi,maggi
geon,geão
hydroponics,hidroponia
cro-magnon,Cro-Magnon
gelman,gelman
mirna,Mirna
trots,trotes
penultimate,penúltimo
prefix,prefixo
luba,luba
js,js
meerkat,suricate
multitask,multitarefa
categorical,categórico
lumumba,lumumba
elopement,fuga
monticello,Monticello
spur-of-the-moment,de repente
acolytes,acólitos
slapstick,comédia pastelão
allahabad,Allahabad
hopefuls,aspirantes
snipped,cortado
jingo,jingo
parishes,paróquias
scrunchie,scrunchie
outsource,terceirizar
perishable,perecível
smuggles,contrabandistas
reshoot,refilmagem
seton,seton
reproaches,repreensões
foamy,espumoso
signalled,sinalizado
eccles,igreja
heidegger,Heidegger
squaring,quadratura
usha,usha
artifice,artifício
langlois,langlois
burglarized,assaltado
clu,clu
photojournalist,fotojornalista
campfires,fogueiras
follicle,folículo
badder,mais mau
isidro,Isidro
tolkien,Tolkien
pretties,bonitinhas
satisfactorily,satisfatoriamente
superficially,superficialmente
hpv,HPV
caliban,Caliban
volterra,Volterra
rebooting,reiniciando
brontosaurus,brontossauro
ealing,ealing
glittery,brilhante
consign,consign
irresponsibly,irresponsavelmente
retinas,retinas
wheezy,asmático
jack-in-the-box,caixa surpresa
perpetuating,perpetuando
chicano,chicano
clunker,carroça
bata,bata
arata,arata
burberry,burberry
waft,sopro
jory,Jory
deaver,castor
predictably,previsivelmente
wilford,wilford
english-speaking,falante de inglês
unassailable,inatacável
kuru,kuru
skyrocketing,disparando
fattened,engordados
fitzwilliam,Fitzwilliam
boomers,boomers
chomsky,Chomsky
dosing,dosagem
coleridge,Coleridge
amato,amato
yellow-bellied,barriga amarela
dictionaries,dicionários
toboggan,tobogã
ineptitude,inaptidão
recurrent,recorrente
workstation,estação de trabalho
excludes,exclui
silencing,silenciamento
alleyways,vielas
mitterrand,mitterrand
dinsdale,dinsdale
buttercream,creme de manteiga
brightening,clareamento
scrum,scrum
smouldering,fumegando
tone-deaf,insensível
thorson,Thorson
collides,colide
kiri,Kiri
ricocheted,ricocheteou
pacified,pacificado
headland,promontório
chp,capítulo
zainab,Zainab
institutes,institutos
patriarchy,patriarcado
ibex,íbex
intractable,intratável
damodar,damodara
gonzaga,Gonzaga
slurpee,raspadinha
toss-up,imprevisível
sociologist,sociólogo
tati,tati
dictaphone,ditafone
sperry,Sperry
capi,capi
long-suffering,longamanda
lufthansa,Lufthansa
kaito,Kaito
gracey,graça
kozak,cosméia
potemkin,potemkin
homepage,página inicial
dwelt,morava
nakayama,nakayama
tempe,tempe
hoodwinked,enganado
talbert,talbert
tertiary,terciário
raiser,elevador
roadies,roadies
musky,almiscarado
psa,PSA
edina,Edina
suo,O seu
minks,visons
flotilla,flotilha
faris,faris
knits,tricôs
entry-level,nível básico
smithfield,Smithfield
confiscation,confisco
sleuthing,investigação
kitagawa,kitagawa
lampoon,satirizar
zena,zena
utters,profere
immaturity,imaturidade
impartiality,imparcialidade
aut,aut
silencio,silêncio
kinfolk,parentes
capitalistic,capitalista
concentric,concêntrico
evp,evp
telegraphed,telegrafado
abd,abd
obstructions,obstruções
moonwalk,moonwalk
yabu,yabu
cavaliers,cavaleiros
disingenuous,dissimulado
corazon,coração
geologic,geológico
bedbug,percevejo
libera,libera
ert,ert
excerpt,trecho
vitaly,vitalmente
torrents,torrents
cursive,cursivo
phaedra,Fedra
hairpins,grampos de cabelo
manana,amanhã
freon,freon
kevorkian,Kevorkian
counterfeiters,falsificadores
auspices,auspícios
grungy,grunge
unfiltered,sem filtro
abetted,instigado
outdoorsy,aventureiro
relaxant,relaxante
mittal,Mittal
thesaurus,dicionário de sinónimos
reassures,tranquiliza
morag,morag
firebrand,incendiário
ordway,ordway
all-round,completo
hangouts,encontros
alcott,alcott
tarpaulin,encerado
rg,rg
tycoons,magnatas
allege,alegam
adrianne,Adrianne
quatre,quatro
dramatized,dramatizado
impair,prejudicar
comeuppance,merecido castigo
colluded,conspiraram
androgynous,andrógino
swansea,Swansea
pender,pendente
assay,ensaio
sierras,serras
addled,confuso
off-campus,fora do campus
far-flung,distante
cliques,grupos
dimly,vagamente
thirsting,sedento
kjell,kjell
irreconcilable,irreconciliável
kgs,kg
quakers,Quakers
witham,com
noticeably,visivelmente
rotunda,rotunda
pacha,pacha
disordered,desordenado
burped,arrotou
succinct,sucinto
inhabits,habita
aus,aus
philbin,Philbin
digitized,digitalizado
scrutinize,examinar
grandpapa,avô
saltines,biscoitos salgados
svendsen,svendsen
billowing,ondulantes
joshing,brincando
pocketing,embolsar
dummkopf,cabeça de idiota
mcarthur,McArthur
whalers,baleeiros
favourably,favoravelmente
param,parâmetro
bulldozed,arrasado
simpatico,simpático
tsim,tsim
encompasses,abrange
magpies,pegas
swatch,amostra
moab,moab
bramble,espinheiro
antara,antara
eudora,Eudora
