you,あなた
dien,ディーン
pirelli,ピレリ
ferdinando,フェルディナンド
tushy,お尻
botticelli,ボッティチェッリ
zidane,ジダン
numerals,数字
pantsuit,パンツスーツ
bloodsuckers,吸血鬼
rambler,放浪者
tita,ティタ
minnow,ミノー
pineda,ピネダ
marginally,わずかに
premed,医学部進学準備課程
falstaff,ファルスタッフ
infirm,虚弱
bulletins,速報
peerless,比類なき
hues,色合い
couplet,二行連句
skylark,ヒバリ
linguini,リングイネ
councillors,評議員
widest,最も広い
salander,サランダー
inflame,炎症を起こす
honing,研磨
sterilization,殺菌
comic-book,コミックブック
engels,エンゲルス
ex-lover,元恋人
lajos,ラヨシュ
alcide,アルシド
preoccupation,執着
centaurs,ケンタウロス
oversaw,監督した
teja,テジャ
freakishly,異常なほど
high-frequency,高周波
uninhibited,抑制のない
stowaways,密航者
kurdistan,クルディスタン
lah,ああ
elke,エルケ
bestial,獣のような
embroider,刺繍する
axed,解雇された
part-timer,パートタイマー
pontiff,教皇
consults,相談する
gratuity,チップ
fertilization,受精
whitest,最も白い
spratt,スプラット
financiers,金融業者
explores,探求する
aeronautics,航空学
restricting,制限する
linguist,言語学者
pitfalls,落とし穴
zoology,動物学
facetious,ふざけた
seeped,染み込んだ
sicilians,シチリア人
excusing,言い訳する
patterned,模様入り
toh,トー
liquorice,甘草
yahoos,ヤフー
elmore,エルモア
ejector,イジェクター
sidewinder,サイドワインダー
longfellow,ロングフェロー
revolutionized,革命を起こした
kl,kl
descendent,子孫
grayer,灰色がかった
sop,ソップ
lauryn,ローリン
bushido,武士道
spanning,にまたがる
cymbal,シンバル
weaponized,武器化された
sprinting,スプリント
hargreaves,ハーグリーブス
once-over,ざっと見てみた
acrobatics,アクロバット
lowlands,低地
defused,解除された
worded,言葉で表現する
outfitted,装備
life-size,等身大
schooler,学生
discriminated,差別された
haber,ハーバー
gota,ゴタ
mujahideen,ムジャヒディン
ands,そして
nougat,ヌガー
barbiturates,バルビツール酸系薬剤
hsia,hsia
excepting,以外
handshakes,握手
nur,ナー
osmond,オズモンド
hot-wire,ホットワイヤー
swaps,スワップ
kom,コム
indentation,へこみ
blasphemer,冒涜者
meeker,より穏やか
peeper,覗き魔
short-staffed,人員不足
schweitzer,シュヴァイツァー
eighteenth,18世紀
impeding,妨げる
meister,マイスター
gama,ガマ
signpost,道標
distended,膨張した
insulate,断熱する
bonito,カツオ
halen,ヘイレン
miz,ミズ
salerno,サレルノ
regs,規則
fief,封土
meld,メルド
webbed,水かきのある
hmo,hmo
poco,ポコ
snape,スネイプ
moni,モニ
dolittle,ドリトル
worshiping,礼拝
gutting,内臓を抜き取る
buoyancy,浮力
gophers,ジリス
top-of-the-line,最高級品
corolla,花冠
real-world,現実世界
sunspots,太陽黒点
defunct,廃止
intrinsic,本質的
medium-sized,中型
monogrammed,モノグラム入り
digitalis,ジギタリス
deflecting,偏向
dunning,督促
dreamboat,夢の男性
kilroy,キルロイ
gabor,ガボール
whizz,ヒューッ
unflattering,見栄えの悪い
assemblies,アセンブリ
geneticist,遺伝学者
mchugh,マクヒュー
computed,計算された
poolside,プールサイド
bhutan,ブータン
bunion,外反母趾
swum,泳いだ
berenson,ベレンソン
prattling,おしゃべり
complementary,補完的な
overreaction,過剰反応
self-worth,自己肯定感
lamarr,ラマー
luster,光沢
rok,ロク
campuses,キャンパス
attuned,調和した
drayton,ドレイトン
woodshed,薪小屋
vac,真空
parm,パルメザン
rasmussen,ラスムッセン
bitters,ビターズ
cricketer,クリケット選手
forty-six,46
afield,野外で
ridding,乗馬
consciences,良心
whitby,ウィットビー
unwrapped,包装を解いた
sawed-off,切り詰められた
disclosing,開示する
forewarned,事前に警告された
pooling,プーリング
wildflowers,野草
sanitizer,消毒剤
pavlovich,パブロビッチ
maggy,マギー
recognising,認識する
takano,高野
fuckup,失敗
heya,こんにちは
sprawl,スプロール
summerhouse,サマーハウス
emphasized,強調した
mystics,神秘主義者
macneil,マクニール
toasters,トースター
flaring,フレアリング
ernestine,アーネスティン
limerick,リメリック
pel,ペル
edmonds,エドモンズ
whatsit,それって何？
railroaded,鉄道で輸送した
tangerines,みかん
yucatan,ユカタン
aegis,イージス
misfire,誤発射
valdes,バルデス
pepi,ペピ
orla,オーラ
adidas,アディダス
asymmetrical,非対称
madoka,まどか
fulfilment,達成感
patrolled,巡回した
carli,カーリ
trouper,劇団員
yas,ヤス
chutzpah,厚かましさ
herrings,ニシン
paced,ペース
big-city,大都市
listless,気だるい
tracts,トラクト
disappoints,がっかりする
walla,ワラ
feroz,フェロズ
aerosmith,エアロスミス
trowel,こて
passerby,通行人
sidonia,シドニア
hurriedly,急いで
lek,レック
wingspan,翼幅
busty,巨乳
runways,滑走路
relatable,共感できる
pinewood,松材
wahoo,ワフー
bonbons,ボンボン
overs,オーバー
deepen,深める
ferment,発酵する
keener,より鋭い
gristle,軟骨
chyna,チャイナ
pavements,舗装路
vagrancy,浮浪
stereotypical,ステレオタイプな
behind-the-scenes,舞台裏
hearin,聞く
repulse,撃退する
defraud,詐欺
reattach,再接続
haller,ハラー
flatbush,フラットブッシュ
penknife,ポケットナイフ
ww,ww
borrower,借り手
certainties,確実性
blackwater,ブラックウォーター
ransack,略奪する
passersby,通行人
oblique,斜め
vladivostok,ウラジオストク
persimmon,柿
g-spot,Gスポット
scorer,得点者
well-bred,良家の育ち
cribs,ベビーベッド
malign,悪性
hobble,足を引きずる
creepers,つる植物
lytton,リットン
honky-tonk,ホンキートンク
samaritans,サマリア人
reservoirs,貯水池
king-size,キングサイズ
clarion,クラリオン
melee,近接戦闘
egress,出口
wast,廃棄物
detonates,爆発する
schemer,策略家
busch,ブッシュ
stanfield,スタンフィールド
sugar-free,砂糖不使用
paddies,水田
incontinence,失禁
pyle,パイル
tom-tom,トムトム
strolls,散歩
failsafe,フェイルセーフ
wiggles,くねくね
anglia,アングリア
authentication,認証
unspoiled,手つかずの
sandusky,サンダスキー
bouvier,ブーヴィエ
choker,チョーカー
grater,おろし金
faxes,ファックス
statesmen,政治家
rosso,ロッソ
polyps,ポリープ
flicked,フリックした
taku,タク
one-track,単線
drexel,ドレクセル
nikko,日光
reclaiming,取り戻す
rejoices,喜ぶ
unintended,意図しない
nuit,ニュイ
ravel,ラヴェル
scrounging,物乞い
mathison,マティソン
offstage,舞台裏
ibsen,イプセン
blabbed,しゃべりまくった
spewed,吐き出した
dearing,愛しい
moldova,モルドバ
ces,ces
feuds,確執
go-kart,ゴーカート
diwan,ディワン
sicken,気分が悪くなる
democracies,民主主義国家
fornicating,姦淫する
kanin,カニン
capp,キャップ
compresses,圧縮
pisser,小便をする人
inevitability,必然性
terje,テルジェ
underhill,アンダーヒル
stickup,強盗
slanted,斜め
miscreant,悪党
pru,プル
brews,ビール
rosales,ロサレス
hamill,ハミル
peasy,簡単
olde,オールド
ecg,心電図
kirin,キリン
pastel,パステル
schopenhauer,ショーペンハウアー
horvath,ホルヴァート
outlying,郊外
wellman,ウェルマン
slavers,奴隷商人
wistful,物憂げな
procurator,検察官
entombed,埋葬された
bluesy,ブルース調
jet-lagged,時差ぼけ
shuffleboard,シャッフルボード
egad,えっ
northerners,北部の人々
erroneous,誤り
centerfold,センターフォールド
wishbone,ウィッシュボーン
gayest,最もゲイな
skinnier,より痩せた
shimla,シムラ
jacobsen,ヤコブセン
nhl,NHL
duckworth,ダックワース
ferryman,渡し守
badness,不良
nits,シラミ
infuser,インフューザー
cvi,cvi
trimmer,トリマー
kopecks,コペイカ
preminger,プレミンジャー
trujillo,トルヒーヨ
trams,路面電車
trepidation,不安
hummingbirds,ハチドリ
signifying,意味する
she-wolf,雌狼
sympathizer,共感者
pvc,PVC
coppola,コッポラ
cots,ベビーベッド
tetra,テトラ
uplift,向上
nosferatu,ノスフェラトゥ
birk,白樺
drudgery,単調な労働
mooring,係留
halford,ハーフord
shira,シラ
howto,ハウツー
unassuming,控えめな
saira,サイラ
fostering,育成する
womenfolk,女性たち
skewed,歪んだ
itis,itis
domine,ドミネ
refineries,製油所
unaccompanied,付き添いなし
teats,乳首
felling,伐採
wallflower,壁の花
yvon,イヴォン
stilettos,スティレットヒール
veritas,真実
els,エルス
sorrier,残念
hawker,露天商
rationed,配給制
biscayne,ビスケーン
follicles,毛包
infarction,梗塞
kyla,カイラ
reverted,元に戻した
donato,ドナート
partnering,パートナーシップ
inputs,入力
sustainability,持続可能性
janssen,ヤンセン
apnea,無呼吸
caca,うんこ
flanking,側面
disraeli,ディズレーリ
pasts,過去
edi,編集
inversion,反転
entrap,罠にかける
omicron,オミクロン
submissions,投稿
yancey,ヤンシー
anasazi,アナサジ
primus,プリムス
epcot,エプコット
tunneling,トンネル掘削
tase,タセ
rotc,予備役将校訓練課程（ROTC）
crafting,製作
scalded,やけどした
dasha,ダシャ
khomeini,ホメイニ
tattle,告げ口する
hershel,ハーシェル
sold-out,完売
premarital,婚前
talkies,トーキー
harnesses,ハーネス
preparatory,準備段階
jokin,冗談だよ
ashland,アシュランド
antidepressant,抗うつ剤
panchayat,パンチャヤット
fibula,腓骨
tabernacle,幕屋
berkshire,バークシャー
fandango,ファンダンゴ
haman,ハマン
fiddlesticks,くだらない
unmitigated,完全に
thousandth,千分の一
blackguard,悪党
kens,ケンス
labeling,ラベリング
remade,リメイク
liaisons,連絡係
gilt,金メッキ
guatemalan,グアテマラ人
perturbed,乱れた
side-effects,副作用
peace-loving,平和を愛する
mandalay,マンダレー
k2,k2
hot-dog,ホットドッグ
erick,エリック
knowest,最も知っている
scruff,無精ひげ
conversationalist,会話好き
ursa,ウルサ
commemoration,記念
ronni,ロニー
enforcers,執行者
benitez,ベニテス
half-man,半人前
motorists,自動車運転者
ricin,リシン
timor,ティモール
affords,提供する
stewing,煮込み
gargantuan,巨大な
plo,プロット
estimating,推定する
sociopaths,社会病質者
comtesse,伯爵夫人
practitioners,実務家
deductive,演繹的
fou,4
wussy,弱虫
pavarotti,パヴァロッティ
kyo,キョウ
wilberforce,ウィルバーフォース
hunky-dory,万事順調
statuette,小像
dryden,ドライデン
tiptoeing,つま先立ち
concoct,調合する
kino,キノ
outboard,船外機
decibels,デシベル
expeditionary,遠征
renter,賃借人
interceptors,迎撃機
ubiquitous,遍在する
mafioso,マフィア
nazism,ナチズム
triplicate,三部
prenuptial,婚前
mescaline,メスカリン
cornering,コーナリング
skidded,スリップした
lionesses,雌ライオン
tn,tn
baer,ベア
open-air,オープンエア
gretzky,グレツキー
marcelino,マルセリーノ
kew,キュー
tallis,タリス
raton,ラトン
notte,ノッテ
caseworker,ケースワーカー
dismember,バラバラにする
nicodemus,ニコデマス
piloted,操縦された
vacuumed,真空パック
arouses,刺激する
honeybee,ミツバチ
assunta,アスンタ
eugen,オイゲン
wands,杖
barroom,バー
torturous,拷問のような
turpin,ターピン
grandview,グランドビュー
cinders,燃え殻
prolonging,長引かせる
breastfeed,母乳を与える
santorini,サントリーニ島
blogging,ブログ
huan,フアン
spongy,スポンジ状
deckard,デッカード
paracetamol,パラセタモール
embellished,装飾された
inserts,挿入物
chucho,チュチョ
well-rounded,バランスの取れた
muslin,モスリン
fealty,忠誠心
branko,ブランコ
tartars,タルタル
naik,ナイク
slated,予定
hardwired,ハードワイヤード
roundtrip,往復
changeable,変化しやすい
beene,だった
creamer,クリーマー
inman,インマン
saleswoman,販売員
cronkite,クロンカイト
flayed,皮を剥がされた
rna,RNA
punchline,オチ
mitra,ミトラ
pales,青ざめる
pucks,パック
auerbach,アウエルバッハ
taxman,税務署
physio,理学療法
fertiliser,肥料
fela,フェラ
semifinal,準決勝
chin-chin,チンチン
infuse,注入する
semiautomatic,半自動
dashwood,ダッシュウッド
isamu,イサム
wid,ワイド
bangor,バンゴー
brioche,ブリオッシュ
contradicted,矛盾する
contingencies,不測の事態
gianna,ジャンナ
aishwarya,アイシュワリヤー
grift,詐欺
sufferers,患者
nutters,狂人たち
squids,イカ
tarr,タール
mastectomy,乳房切除術
sharia,シャリア
velasco,ベラスコ
emf,起電力
emmys,エミー賞
voir,voir
shut-in,引きこもり
britten,ブリテン
averaging,平均化
petticoats,ペチコート
tas,タス
archetype,原型
wordplay,言葉遊び
heckle,ヘックル
copious,豊富に
brodsky,ブロツキー
gto,gto
fervently,熱烈に
gazelles,ガゼル
ricocheting,跳ね返り
somersaults,宙返り
honouring,敬意を表する
anatolia,アナトリア
baptise,洗礼する
bock,ボック
dandelions,タンポポ
slav,スラブ人
medallions,メダル
skirmishes,小競り合い
snowmen,雪だるま
hamlin,ハムリン
skiers,スキーヤー
woolsey,ウールジー
oscillating,振動する
courageously,勇敢に
breadsticks,ブレッドスティック
lata,ラタ
blacken,黒く染める
highschool,高校
bernd,ベルント
doritos,ドリトス
maharaj,マハラジャ
ingeborg,インゲボルグ
creepier,より不気味な
diversions,気晴らし
emmeline,エメリン
gung-ho,熱狂的
pitiable,哀れな
steffi,ステフィ
traynor,トレイナー
puritans,ピューリタン
rattler,ガラガラヘビ
olof,オロフ
taguchi,田口
rivalries,ライバル関係
courtland,コートランド
yolks,卵黄
resupply,補給
wadi,ワディ
appropriated,充当された
lanny,ラニー
pollux,ポルックス
nandi,ナンディ
encyclopaedia,百科事典
writin,執筆
deep-seated,根深い
glandular,腺性の
faun,ファウヌス
predisposed,素因がある
satyr,サテュロス
celluloid,セルロイド
burgos,ブルゴス
mertz,メルツ
miniscule,極小
afghani,アフガニスタン
lindley,リンドリー
philomena,フィロメナ
longstreet,ロングストリート
salas,サラス
bellyache,腹痛
adair,アデア
punked,パンク
hollered,叫んだ
hombres,男たち
structurally,構造的に
hoodoo,フードゥー
defeatist,敗北主義者
shuck,殻
maharashtra,マハラシュトラ州
anderton,アンダートン
flowerpot,植木鉢
xx,xx
groundwater,地下水
barden,バーデン
toei,東映
waterbed,ウォーターベッド
haywood,ヘイウッド
primitives,プリミティブ
ivanhoe,アイバンホー
cardamom,カルダモン
tradesmen,職人たち
angled,角度のついた
postmarked,消印
suwa,諏訪
irradiated,照射された
mannion,マニオン
uchi,うち
bigots,偏見者
abhorrent,忌まわしい
dinged,傷がついた
hovers,ホバリング
fingerprinted,指紋
davison,デイヴィソン
urethra,尿道
beal,ビール
blu-ray,ブルーレイ
turrets,砲塔
cujo,クージョ
enviable,羨ましい
proximal,近位
restrictive,制限的
chickening,チキン
hollowed,中空
bankrupted,破産した
bau,バウ
mcclintock,マクリントック
chuan,チュアン
beefs,牛肉
schmucks,間抜けども
encircle,囲む
birthed,生まれた
unrestricted,制限なし
colluding,共謀する
destabilize,不安定化
vittles,食料
rebs,反乱軍
reclamation,埋め立て
kiefer,キーファー
throb,脈打つ
tamale,タマレ
transformative,変革的
nardo,ナルド
berlusconi,ベルルスコーニ
molesters,児童虐待者
bris,割礼
smorgasbord,ビュッフェ
coveralls,つなぎ服
hotspot,ホットスポット
ico,ico
lightened,明るくなった
laboring,労働
unisex,ユニセックス
half-life,人生の半分
kawai,かわいい
rus,ラス
crevices,隙間
unbelievers,不信者
borges,ボルヘス
bluebirds,ルリツグミ
cock-up,失敗
fearlessly,恐れることなく
deflated,しぼんだ
bans,禁止
sabers,サーベル
sotto,ソット
merrin,メリン
disproportionate,不均衡
schulz,シュルツ
lindstrom,リンドストロム
coraline,コラライン
morgen,モーゲン
ionic,イオン性
wellingtons,ウェリントンブーツ
gujarat,グジャラート
moley,モーリー
speedometer,スピードメーター
prodding,突っつく
beep-beep,ピーピー
lausanne,ローザンヌ
fertilizers,肥料
termed,と呼ばれる
botch,失敗
frustrate,イライラさせる
salomon,サロモン
headhunter,ヘッドハンター
tingles,ゾクゾクする
dhoti,ドーティ
spry,機敏な
sontag,ソンタグ
sprinter,スプリンター
cypher,暗号
droughts,干ばつ
philanthropic,慈善的な
discos,ディスコ
sweetened,甘くした
snobbish,気取った
invitational,招待制
abysmal,ひどい
dauntless,恐れを知らない
scala,スカラ
antigua,アンティグア
fra,フラ
ousted,追放された
hauls,運搬
batted,打った
gitmo,グアンタナモ湾収容所
spotters,スポッター
faceoff,対決
finches,フィンチ
asphyxiated,窒息死
hoochie,フーチー
heighten,高める
bookstores,書店
hoke,ホーク
hutchins,ハッチンズ
allocate,割り当てる
gulch,渓谷
sama,様
fanaticism,狂信
sportsmen,スポーツ選手
eminently,非常に
bohm,ボーム
martinelli,マルティネッリ
aesthetically,美的に
bahrain,バーレーン
triumphantly,勝利を収めて
kmart,Kmart
antler,鹿の角
ashcroft,アシュクロフト
amygdala,扁桃体
self-explanatory,説明不要
shames,残念だ
thrall,奴隷
homophobe,同性愛嫌悪者
corsets,コルセット
ringmaster,リングマスター
sainted,聖人
purebred,純血
vivacious,活発な
hopi,ホピ
gabriele,ガブリエル
dirtied,汚れた
kettering,ケタリング
nears,近づく
maskell,マスクル
pillsbury,ピルズベリー
farmhand,農場労働者
cicada,蝉
goad,けしかける
deign,設計
lisi,リシ
canter,キャンター
impostors,偽者
half-dozen,6人
maruyama,丸山
gymnasts,体操選手
brokenhearted,失恋
sods,芝生
ghee,ギー
enquirer,問い合わせ者
erred,誤り
varmints,害獣
clutched,握りしめた
swishing,シューッという音
puller,プーラー
sleazebag,卑劣な奴
petechial,点状出血
spluttering,ぶちぶちと音を立てる
vesta,ベスタ
aggrieved,憤慨した
ericsson,エリクソン
maa,マー
minnelli,ミネリ
malika,マリカ
redder,より赤みがかった
tarsus,足根
mustered,集結した
dena,デナ
maliciously,悪意を持って
slugging,強打
solaris,ソラリス
undid,元に戻す
rounder,丸める
whereupon,そこで
jocko,ジョッコ
kaur,カウル
guardsmen,衛兵
tyree,タイリー
luci,ルシ
flintstones,フリントストーン
sg,sg
glaser,グレイザー
warbler,ウグイス
perplexing,不可解な
snicker,くすくす笑う
handheld,手持ち
trigonometry,三角法
qb,qb
deary,愛しい人
gynaecologist,婦人科医
counsellors,カウンセラー
mussel,ムール貝
edvard,エドヴァルド
outshine,凌駕する
chaim,ハイム
keefer,キーファー
galvan,ガルバニック
pylons,鉄塔
ransome,身代金
karpov,カルポフ
truncheon,警棒
strata,地層
devising,考案する
long-winded,長々と
headlock,ヘッドロック
unlawfully,不法に
sucre,砂糖
tanking,タンキング
three-point,スリーポイント
armband,腕章
favela,ファベーラ
tightens,締め付ける
tol,トール
eclipsed,日食
extricate,脱出させる
epilogue,エピローグ
campaigned,選挙運動を行った
abusers,虐待者
soco,ソコ
caustic,苛性
gbs,ギブス
geysers,間欠泉
amazonian,アマゾン
marceline,マルセリーヌ
stepmother,継母
totality,全体
lk,lk
reuniting,再会
gliders,グライダー
taverns,居酒屋
methodically,体系的に
shiba,柴犬
blah-blah-blah,うんぬんかんぬん
fractal,フラクタル
walkout,出て行く
seafaring,航海
fearfully,恐る恐る
surest,最も確実な
mosquitos,蚊
proficiency,熟練度
chieftains,族長たち
work-up,検査
pecked,つついた
fraid,恐れる
resection,切除
fibbing,嘘をつく
pitch-black,真っ暗
confiding,打ち明ける
navigators,ナビゲーター
kagan,ケーガン
steeper,より急な
rada,ラダ
gouging,えぐり出す
tts,tts
cystic,嚢胞性
nape,うなじ
torrential,豪雨
landmines,地雷
hunker,ハンカー
surefire,確実な
jenga,ジェンガ
oversees,海外
musta,ムスタ
marketed,販売された
kriss,クリス
boers,ボーア人
tallulah,タルーラ
diagonally,斜めに
all-day,終日
incomes,収入
yayoi,やよい
asterisk,アスタリスク
soni,ソニ
kursk,クルスク
managerial,管理職
hemmed,裾上げ
phased,段階的に
yurt,ユルト
vexing,厄介な
peron,ペロン
passkey,パスキー
silos,サイロ
washers,ワッシャー
oxymoron,矛盾語法
facilitated,促進する
manos,マノス
brainchild,アイデアの産物
sitcoms,シットコム
thunderclaps,雷鳴
sleepwalk,夢遊病
zeeland,ゼーラント
schwarz,シュヴァルツ
colm,コルム
full-length,全長
dissimilar,異なる
sajid,サジド
perceives,認識する
severus,セヴェルス
obi,帯
agnostic,不可知論者
chauhan,チャウハン
harrisburg,ハリスバーグ
loggers,伐採業者
yaks,ヤク
extremity,端
exoskeleton,外骨格
unopposed,反対なし
rumpelstiltskin,ルンペルシュティルツキン
newfound,新たに発見された
wallenberg,ヴァレンベリ
spritzer,スプリッツァー
piped,パイプ
teary,涙ぐむ
self-doubt,自己不信
limoges,リモージュ
bodine,ボディン
omniscient,全知
dogfight,空中戦
totals,合計
indivisible,分割不可能
washcloth,洗顔布
uriel,ウリエル
scull,スカル
inundated,浸水した
elasticity,弾性
syndicated,シンジケート配信
jacek,ヤチェク
shona,ショナ
lif,ライフ
sizzler,シズラー
lenders,貸し手
cemented,セメントで固めた
leering,ニヤニヤ笑う
leveraged,レバレッジ
schofield,スコフィールド
pedantic,衒学的な
interacted,相互作用した
recognisable,認識できる
shallots,エシャロット
tasmania,タスマニア
draconian,過酷な
bleaching,漂白
sefton,セフトン
ponte,ポンテ
squashing,押しつぶす
berthier,ベルティエ
crackdown,取り締まり
bottleneck,ボトルネック
revulsion,嫌悪感
amoeba,アメーバ
dostoevsky,ドストエフスキー
bloat,膨張
layouts,レイアウト
taxidermist,剥製師
belen,ベレン
gmos,遺伝子組み換え
teardrops,涙
two-step,2段階
zeroed,ゼロ化
quaking,震えている
drina,ドリナ
cull,間引き
varicose,静脈瘤
kimo,キモ
communicators,コミュニケーター
wowed,感動した
jaco,ジャコ
snorkeling,シュノーケリング
windbreaker,ウィンドブレーカー
droop,垂れ下がる
kawashima,川島
imposes,課す
thins,薄い
stretchers,担架
beckon,手招きする
ass-kicking,尻を蹴り飛ばす
creasy,しわくちゃ
retaliated,報復した
octagon,八角形
bestiality,獣姦
segundo,セグンド
wrung,絞った
peder,ペダー
pumpernickel,プンパーニッケル
prudish,潔癖な
pointe,ポワント
earthbound,地上に縛られた
zuma,ズマ
settler,入植者
wildness,野生
ingles,イングルス
humanities,人文科学
sprawled,横たわる
schiff,シフ
charu,チャル
koba,コバ
inoculation,接種
haskins,ハスキンズ
tepid,ぬるい
paschal,復活祭
sacristy,聖具室
aborigines,先住民
sequels,続編
shanked,刺した
jewellers,宝石商
guzzle,がぶ飲みする
cvs,CVS
indomitable,不屈の
pear-shaped,洋ナシ型
centred,中央
half-day,半日
llc,LLC
yor,あなたの
puto,プート
panini,パニーニ
fortuneteller,占い師
evelyne,エヴリン
ub,ub
balled,ボール状
appraiser,鑑定士
exerting,努力する
gimpy,足を引きずる
old-age,老齢
processors,プロセッサ
mahmud,マフムード
prattle,おしゃべり
tachycardia,頻脈
drexler,ドレクスラー
andalusia,アンダルシア
porkchop,ポークチョップ
commuting,通勤
feuding,争い
nonce,ナンス
referenced,参照
clerics,聖職者
runoff,流出水
wisp,かすかな光
whist,ホイスト
llamas,ラマ
chesterton,チェスタートン
bunions,外反母趾
barbosa,バルボサ
eine,1つ
aftertaste,後味
lowenstein,ローウェンスタイン
clumps,塊
star-crossed,運命に翻弄された
fonder,より愛する
sayer,セイヤー
hirono,ヒロノ
halved,半分にした
dumbfounded,呆然とした
waltzed,ワルツを踊った
fluoride,フッ化物
pussycats,猫
accentuate,強調する
woolen,ウール
anjou,アンジュー
apo,アポ
lindo,リンド
geothermal,地熱
chasin,チェイシン
unimaginably,想像を絶するほど
mummification,ミイラ化
tremaine,トレメイン
newberg,ニューバーグ
regulating,規制する
elisha,エリシャ
straights,直線
outrageously,とんでもなく
creases,しわ
pentothal,ペントタール
slaver,奴隷商人
billet,ビレット
godot,ゴドー
counterproductive,逆効果
ayahuasca,アヤワスカ
mandala,マンダラ
shylock,シャイロック
justus,ユストゥス
mccauley,マコーリー
vieira,ヴィエイラ
enrichment,充実
hurries,急ぐ
baklava,バクラヴァ
verdicts,判決
sheared,剪断された
ruble,ルーブル
galleria,ガレリア
precipitation,降水量
pursuers,追跡者
bullocks,雄牛
hardheaded,頑固な
elysian,エリシアン
infractions,違反行為
befits,適している
garuda,ガルーダ
bigoted,偏見のある
disinfected,消毒済み
whittier,ホイッティア
inside-out,裏返し
podiatrist,足病医
nutritionist,栄養士
lind,リンド
fullback,フルバック
thataway,そちらへ
duper,詐欺師
sing-along,一緒に歌おう
lugosi,ルゴシ
homelessness,ホームレス
walpole,ウォルポール
lubbock,ラボック
sampler,サンプラー
suma,スマ
sundry,雑貨
stradivarius,ストラディバリウス
anise,アニス
brunei,ブルネイ
grafted,接ぎ木された
biarritz,ビアリッツ
squall,スコール
maher,マハー
edged,縁取り
levelheaded,冷静な
symbiosis,共生
henk,ヘンク
recognizance,認識
chechens,チェチェン人
begining,始まり
resenting,恨む
vicomte,子爵
mekong,メコン川
carola,カロラ
inshallah,インシャアッラー
macintyre,マッキンタイア
electricians,電気技師
staffers,スタッフ
inseminated,人工授精
wazoo,ワズー
essie,エッシー
giuliana,ジュリアナ
appalachian,アパラチア山脈
mandel,マンデル
fouls,ファウル
hama,ハマ
banked,銀行
strom,嵐
cautioned,警告
maroney,マロニー
reverses,逆転
munchausen,ミュンヒハウゼン
vulva,外陰部
bader,ベイダー
three-piece,スリーピース
zealot,熱狂者
schilling,シリング
tiananmen,天安門
xv,15
gregoire,グレゴワール
juma,ジュマ
dionysus,ディオニュソス
boche,ボッシュ
symbolized,象徴する
cellphone,携帯電話
dreidel,ドレイデル
tween,10代前半
secreted,分泌
darkening,暗くなる
kickball,キックボール
depositing,預金
filipinos,フィリピン人
fact-finding,事実調査
ddt,ddt
loyalists,忠誠派
ehrlich,エーリッヒ
flatbed,平床
messi,メッシ
conveniences,利便性
relapsed,再発した
rent-free,家賃無料
ef,ef
meep,ミープ
automaton,オートマトン
murad,ムラド
tibor,ティボール
damm,くそっ
recharging,充電
adaptations,適応
anti-american,反米
ever-changing,絶えず変化する
heer,ヒア
iib,iib
propofol,プロポフォール
zookeeper,動物園の飼育員
beca,なぜなら
sisi,シシ
paulus,パウルス
negate,否定する
sorrento,ソレント
canasta,カナスタ
looping,ループ
ganged,集団で
peonies,牡丹
ble,ble
tsurugi,つるぎ
hollers,叫び声
veered,方向転換した
birgit,ビルギット
damocles,ダモクレス
spyder,スパイダー
brightens,明るくする
galleon,ガレオン船
detectable,検出可能
dimmed,暗くする
self-aware,自己認識
paulinho,パウリーニョ
beni,ベニ
aggro,アグロ
danner,ダナー
tula,トゥラ
deceives,欺く
criticising,批判する
painstakingly,丹念に
spurn,拒絶する
valets,バレット
idiom,イディオム
eth,eth
bairn,子供
life-giving,生命を与える
arbitrarily,恣意的に
stereos,ステレオ
saad,サード
personals,出会い系
purposeful,目的のある
ached,痛む
retinue,従者
kilpatrick,キルパトリック
bedded,寝具
childishness,子供っぽさ
krakatoa,クラカタウ
mannered,礼儀正しい
laureate,受賞者
perjure,偽証
hil,ヒル
heredity,遺伝
pews,教会のベンチ
hellcat,ヘルキャット
devotional,信仰
insinuation,ほのめかし
donne,ドンヌ
bypassing,バイパス
ream,リーム
chook,鶏
edmonton,エドモントン
lj,lj
zat,ザット
bespoke,オーダーメイド
surveyors,測量士
jeri,ジェリ
swoosh,シュッ
prabhakar,プラバカール
brinkman,ブリンクマン
smasher,スマッシャー
mezzanine,中二階
ventilate,換気する
unconcerned,無関心
perversions,倒錯
naacp,全米黒人地位向上協会（NAACP）
functioned,機能した
resell,転売
dangled,ぶら下がった
boucher,ブーシェ
kazuki,カズキ
rivet,リベット
nok,ノク
pumice,軽石
aleister,アレイスター
preserver,保存者
gazes,視線
rewrites,書き換え
minuet,メヌエット
low-budget,低予算
unfocused,焦点が合っていない
brunson,ブランソン
scanlan,スキャンラン
eyeful,目を引く
zumba,ズンバ
vali,ヴァリ
entranced,魅了される
flightless,飛べない
testes,精巣
mimsy,ミムジー
hungover,二日酔い
hitchhiked,ヒッチハイクした
beekeeper,養蜂家
catfight,女同士の喧嘩
annul,無効にする
criterion,基準
adel,アデル
gasses,ガス
bagwell,バッグウェル
fairyland,妖精の国
reconstructive,再建
firmness,硬さ
scuffling,もみ合い
dragoons,竜騎兵
