you,أنت
pimpernel,كزبرة الثعلب عشبة
jousting,المبارزة
bedchamber,حجرة النوم
visibly,بشكل واضح
juicer,عصارة فواكه
capua,كابوا
udo,أودو
luxor,الأقصر
theorist,المنظر
eludes,يتجنب
isadora,إيزادورا
sdl,sdl
philanthropy,العمل الخيري
netting,الشباك
zs,zs
commode,صوان
treetops,قمم الأشجار
banyan,شجرة البانيان
flagstaff,سارية العلم
zits,حب الشباب
transporters,ناقلات
yrs,سنوات
frittata,فريتاتا
hummel,هوميل
homeward,العودة إلى الوطن
dissipated,تبدد
spool,بكرة
well-to-do,الأثرياء
isaacs,إسحاق
crewe,طاقم
firmer,أكثر صلابة
centrifuge,جهاز طرد مركزي
asante,أسانتي
shortsighted,قصير النظر
finery,ملابس فاخرة
mumbled,تمتم
fairway,ممر
frolicking,اللهو والمرح
inedible,غير صالح للأكل
ess,ess
leggings,طماق
providers,مقدمي الخدمات
bento,بينتو
erskine,إرسكين
medicaid,برنامج ميديكيد
swindlers,المحتالون
drunker,أكثر سُكراً
pell,بيل
gratefully,مع خالص الشكر
valdemar,فالديمار
seesaw,أرجوحة
manliness,رجولة
mahalo,ماهالو
clanton,كلانتون
julienne,جوليان
majoring,التخصص
stamford,ستامفورد
lecher,الفاسق
activism,النشاط
weaves,المنسوجات
manmade,مانديل
kyu,كيو
kenner,كينر
carer,مقدم الرعاية
quinoa,الكينوا
tomlin,توملين
columbine,كولومباين
equate,مساواة
grizzlies,الدببة الرمادية
heeds,ينتبه
rout,هزيمة
xenia,زينيا
coordinates,إحداثيات
skinning,سلخ الجلد
ifi,إذا
ozawa,أوزاوا
gunslinger,حامل السلاح
crispin,كريسبين
scooping,الغرف
euclid,إقليد
reassignment,إعادة التعيين
supercharged,شاحن فائق
ochoa,أوتشوا
antioch,أنطاكية
sirena,سيرينا
serendipity,الصدفة السعيدة
millennial,جيل الألفية
tactless,فظ
jawbone,عظم الفك
pepa,بيبا
wile,حيلة
godlike,إلهي
soybean,فول الصويا
pothead,مدخن الحشيش
proclaims,يعلن
timmons,تيمونز
headshot,صورة للوجه
flit,طيران
mops,المماسح
enamored,مفتون
busters,باسترز
riordan,ريوردان
taunted,سخر
caf,مقهى
freebies,هدايا مجانية
mesdames,سيدات
bloomer,خطأ شنيع
deidre,ديدري
tarnation,التشويه
illustrates,يوضح
prez,الرئيس
ect,ect
unfettered,غير مقيد
batsman,ضارب الكرة
twerk,رقصة التويرك
ayatollah,آية الله
brill,بريل
gerrard,جيرارد
sergeyevich,سيرجيفيتش
surrogates,الأمهات البديلات
rolfe,رولف
dismayed,مستاء
forty-four,أربعة وأربعون
laters,لاحقًا
dilapidated,متهالك
alleging,يزعم
gottlieb,غوتليب
eldorado,إلدورادو
overlords,الحكام
revolved,دار
reflector,العاكس
aspirins,الأسبرين
perennial,نبات معمر
lafitte,لافيت
concealment,إخفاء
boney,بوني
org,org
juni,جوني
nanjing,نانجينغ
bondsman,كفيل
weinstein,وينشتاين
blowhard,متغطرس
alles,كل شيء
inscrutable,غامض
signalling,الإشارات
colonize,استعمار
tsunamis,تسونامي
turgut,تورجوت
kui,كوي
provolone,بروفولون
concourse,ردهة
flavius,فلافيوس
dearth,ندرة
abrasion,كشط
bastian,باستيان
overdrawn,السحب على المكشوف
bournemouth,بورنموث
poisoner,المسمم
despondent,يائس
dipstick,مقياس الزيت
gammy,جامي
deutsche,دويتشه
twa,اثنان
cartagena,قرطاجنة
izu,إيزو
kayne,كاين
lapis,اللازورد
tastier,ألذ
lasses,الفتيات
watchmen,الحراس
decrypt,فك التشفير
jujitsu,المصارعة اليابانية
wilted,ذابل
incidence,حدوث
scrimmage,مباراة تجريبية
tinkerbell,تينكربيل
inaugurated,تم الافتتاح
perfecto,مثالي
kerouac,كيرواك
chalkboard,سبورة طباشيرية
adage,مقولة
derring-do,مغامرة جريئة
gumption,العزيمة
kilgore,كيلغور
coddle,كودل
positivity,الإيجابية
headliner,بطانة الرأس
woodchuck,حيوان المرموط
caretakers,مقدمو الرعاية
millers,المطاحن
sabe,سابي
aerodynamics,الديناميكا الهوائية
yum-yum,لذيذ لذيذ
augh,أضحك
reorganize,إعادة تنظيم
forty-nine,تسعة وأربعون
sakurai,ساكوراي
kandi,كاندي
pinata,بيناتا
firewalls,جدران الحماية
liana,ليانا
rackham,راكهام
dobie,دوبي
pedaling,التبديل
ez,سهل
kell,كيل
telekinesis,التحريك عن بعد
jumpstart,بداية سريعة
natural-born,مولود طبيعيا
laetitia,ليتيتيا
visconti,فيسكونتي
leto,ليتو
contributors,المساهمون
hayride,جولة عربة تجرها الخيول
passageways,الممرات
corfu,سكوفو
remorseful,نادم
strong-arm,غليظ
blinker,الضوء الوامض
stefani,ستيفاني
liliane,ليليان
borrows,يقترض
inducing,تحفيز
dm,رسالة خاصة
scimitar,سيف منحني
stringy,ليفي
parlay,بارلاي
impatiently,بفارغ الصبر
exponential,النمو الأسي
racecar,سيارة سباق
wastebasket,سلة المهملات
legate,المندوب
representations,التمثيلات
jewelers,صائغي المجوهرات
ronson,رونسون
muzak,موسيقى خلفية
handmaiden,خادمة
ramparts,الأسوار
absences,الغيابات
charting,رسم بياني
hajj,الحج
seabirds,الطيور البحرية
profiting,الربح
ogawa,أوغاوا
calmness,الهدوء
ky,كي
broadband,النطاق العريض
tumbler,بهلوان
minted,سك
impairment,ضعف
walkie-talkies,أجهزة الاتصال اللاسلكي
nubian,النوبة
gekko,جيكو
censors,الرقابة
gleb,جليب
emoji,الرموز التعبيرية
marionette,دمية متحركة
lullabies,تهويدات
bugler,بروجي
undersigned,الموقع أدناه
spire,برج
petulant,متذمر
entitles,يمنح
krause,كراوس
halfway,منتصف الطريق
rivets,المسامير
distorting,تشويه
mourns,ينعى
reichstag,الرايخستاغ
sniping,القنص
fostered,تمت رعايته
depresses,الاكتئاب
cedars,أشجار الأرز
raman,رامان
witless,أحمق
tbe,tbe
seedlings,الشتلات
synthesize,توليف
pronouncing,النطق
analyzer,محلل
foreheads,الجباه
redirected,تمت إعادة التوجيه
sapphires,الياقوت
septum,الحاجز
unchallenged,بلا منازع
hee-haw,هيهاو
sagan,ساجان
dass,داس
ump,ump
marit,ماريت
valmont,فالمونت
divisional,التقسيم
haider,حيدر
liberia,ليبيريا
aino,أينو
impropriety,سلوك غير لائق
organizational,تنظيمي
gaggle,مجموعة
tianjin,تيانجين
triffids,نباتات التريفيد
cortes,كورتيس
southland,ساوثلاند
whir,أزيز
penrose,بينروز
ensued,ثم حدث ما يلي:
winterfell,وينترفيل
elation,ابتهاج
assemblyman,عضو الجمعية
guardhouse,غرفة الحراسة
melanoma,سرطان الجلد
rolodex,رولودكس
benghazi,بنغازي
paperback,غلاف ورقي
aux,مساعد
smidge,قليل
memsahib,السيدة صاحبة
no-man,لا رجل
queues,الطوابير
faring,السفر
grannies,الجدات
tengo,تينجو
nin,نين
nettle,نبات القراص
toa,توا
waistband,حزام
altruism,الإيثار
mattia,ماتيا
astonish,أدهش
multitasking,تعدد المهام
exuberant,غزير
carta,كارتا
infomercial,إعلان تجاري
swooping,الانقضاض
bloodiest,الأكثر دموية
jani,جاني
serials,المسلسلات
xuan,شوان
friars,الرهبان
homophobia,رهاب المثلية الجنسية
waldron,والدرون
estrada,إسترادا
perdition,هلاك
epoch,حقبة
gie,جي
blindside,المفاجأة العمياء
lookouts,مراقبون
suvs,سيارات الدفع الرباعي
iguanas,الإغوانا
subsection,القسم الفرعي
trotters,أقدام الخيول
ratios,النسب
ferenc,فيرينك
tannen,تانين
fifa,الفيفا
ezequiel,إيزيكيل
conklin,كونكلين
meteorological,الأرصاد الجوية
irvine,إيرفين
keychain,سلسلة مفاتيح
tamar,تمار
walkies,نزهة على الأقدام
escapee,فار
academically,أكاديميا
pouty,عبوسة
piney,صنوري
fashionably,بأناقة
dragoon,دراغون
thule,ثول
evian,إيفيان
godparents,العرابون
pried,pried
godiva,جوديفا
bagpipe,مزمار القربة
ginormous,ضخم
noam,نعوم
tempus,تيمبوس
hendrik,هندريك
herder,راعي الماشية
tinned,معلب
kasuga,كاسوجا
ocular,العين
pre-war,قبل الحرب
rosey,روزي
analyses,التحليلات
marg,مارج
muchachos,موتشاتشوس
jiggy,جيجي
brrr,بررر
striations,خطوط
sweetener,حلوى
schoolboys,طلاب المدارس
originating,نشأ
m1,م1
indiscriminately,بشكل عشوائي
crier,ناي
griping,التذمر
preppy,أنيق
cabby,سائق التاكسي
wort,نبتة
vassar,فاسار
tutored,تلقى دروسًا خصوصية
graphite,الجرافيت
mame,مامي
kazoo,كازو
criticisms,الانتقادات
citroen,سيتروين
semifinals,نصف النهائي
disheartened,محبط
congregate,التجمع
desiring,الرغبة
hrs,ساعات
halfwit,أحمق
yule,عيد ميلاد المسيح
vernacular,العامية
symptomatic,أعراض
gipsy,غجري
eamon,إيمون
rangoon,رانجون
tenders,المناقصات
unconscionable,أمر لا يُغتفر
panning,تحريك الكاميرا
tojo,توجو
skiff,قارب
organically,عضويًا
bandwidth,عرض النطاق الترددي
motivator,محفز
contraceptive,مضاد للحساسية
owari,owari
manni,ماني
execs,المديرين التنفيذيين
tattletale,حكاية خرافية
anatomically,من الناحية التشريحية
manatee,خروف البحر
combative,قتالي
mensa,مينسا
pendragon,بيندراغون
inner-city,وسط المدينة
sidekicks,مساعدون
credo,عقيدة
bulimic,مصاب بالشره المرضي
mamiya,ماميا
pheromone,الفيرومون
intelligently,بذكاء
beate,إيقاع
earls,إيرلز
trimble,تريمبل
doughboy,جندي من المشاة
letterhead,ورق رسمي
punctuation,علامات الترقيم
dodie,دودي
asserting,مؤكداً
bork,لحم الخنزير
implements,ينفذ
yodel,يودل أغنية سويسرية
preexisting,موجود مسبقًا
ife,الحياة
darlington,دارلينجتون
disarmament,نزع السلاح
bloomingdale,بلومينغديل
verger,حارس
tilden,تيلدن
kruse,كروس
ntsb,مجلس الأمن الوطني
bodice,صد
stagg,غزال
dispensing,توزيع
abreast,على قدم المساواة
suleiman,سليمان
neff,نيف
toughness,صلابة
on-call,متاح عند الطلب
hitchhikers,المسافرون الذين يستقلون السيارات
wie,wie
baldheaded,أصلع الرأس
purer,أنقى
pranking,المقالب
cohorts,مجموعات
serpico,سيربيكو
disused,مهجور
cline,منحدر
gluing,اللصق
norad,نوراد
gibbon,غيبون
westport,ويستبورت
jonathon,جوناثان
pius,بيوس
scrip,سكريبت
nella,نيلا
kitchener,كيتشنر
purposefully,عن قصد
belarus,بيلاروسيا
telepathically,عن طريق التخاطر
munk,الراهب
ignatius,إغناطيوس
embellish,تزيين
carbonate,كربونات
spherical,كروي
conjoined,ملتصق
blushed,احمرّ وجهه
ecclesiastical,كنسي
dabney,دابني
wunderbar,رائع
daimyo,دايميو
vitally,حيويًا
noth,لا شيء
cravat,ربطة عنق
bullfighting,مصارعة الثيران
grout,جصص
overheat,ارتفاع درجة الحرارة
recites,يتلو
sedona,سيدونا
bookman,رجل الكتب
legionnaire,جندي فيلق
orc,أورك
artistically,فنيا
squandering,تبديد
automation,الأتمتة
blue-collar,الطبقة العاملة
wilkie,ويلكي
linz,لينز
antitank,مضاد للدبابات
transcription,النسخ
outwardly,ظاهريا
unsound,غير سليم
acutely,بشكل حاد
indira,إنديرا
upperclass,الطبقة العليا
niger,النيجر
hara-kiri,هارا كيري
whitewood,وايتوود
segue,انتقال
storefront,واجهة المتجر
teleporter,جهاز النقل الآني
sava,سافا
perpetuity,إلى الأبد
ita,إيطاليا
spires,أبراج
phallus,قضيب
danbury,دانبري
emu,طائر الإيمو
dividend,توزيعات الأرباح
hatton,هاتون
steppes,السهوب
havens,ملاذات
divination,العرافة
wields,يستخدم
stratos,ستراتوس
teodoro,تيودورو
limousines,سيارات الليموزين
assessments,التقييمات
natty,أنيق
miu,ميو
tanz,تانز
loire,لوار
hooey,هراء
staffed,موظفين
mechanized,ميكانيكي
percussive,طرقي
well-fed,متغذٍ جيداً
sprinkling,رش
moored,راسية
gold-plated,مطلي بالذهب
vise,ملزمة
frederico,فريدريكو
moniker,لقب
outdid,تفوق على
seu,seu
inexhaustible,لا ينضب
wearer,مرتدي
photocopies,نسخ مصورة
bernardino,برناردينو
interrupts,مقاطعات
sighed,تنهد
infertility,العقم
proclaiming,معلناً
kimiko,كيميكو
eases,يخفف
knighted,حصل على لقب فارس
paradis,باراديس
ultrasonic,الموجات فوق الصوتية
indemnity,التعويض
guano,ذرق الطيور
cerberus,سيربيروس
hacky,هاكي
ams,ams
outweighs,يفوق
sturgis,ستورجيس
well-oiled,مُشحّم جيداً
cletus,كليتوس
llewellyn,ليويلين
recanted,تراجع عن موقفه
ilk,عرق
tassels,شرابات
virginal,عذري
sn,سن
well-meaning,حسن النية
bookmaker,وكيل مراهنات
cliches,عبارات مبتذلة
houseboy,خادم المنزل
bloodstain,بقعة دم
santas,سانتا
excursions,رحلة استكشافية
schoolmate,زميل دراسة
electorate,الناخبين
effy,إيفي
dido,ديدو
nuclei,النوى
cristian,مسيحي
acetone,الأسيتون
overactive,مفرط النشاط
tungsten,التنجستن
litchfield,ليتشفيلد
berkowitz,بيركويتز
neddy,نيدي
wets,مبلل
confrontational,المواجهة
reversible,قابل للعكس
franchises,الامتيازات
vats,خزانات
jeppe,جيب
shirk,الشرك
circuses,السيرك
slimmer,أنحف
munroe,مونرو
phuong,فونغ
pernicious,خبيث
bunchy,ناتئ
handjob,استمناء يدوي
vittoria,فيتوريا
kikuchi,كيكوتشي
seder,سيدر
lisette,ليزيت
disreputable,سمعة سيئة
eek,إيك
reassess,إعادة التقييم
fancier,هاوي تربية الحيوانات
irate,غاضب
southwest,جنوب غرب
dispatching,إرسال
fared,سارت الأمور
bombardier,قاذف القنابل
elektra,إلكترا
halal,حلال
hetman,هيتمان
corks,الفلين
flyover,جسر علوي
saks,ساكس
digress,استطراد
walkabout,تجول
undetermined,غير محدد
second-best,ثاني أفضل
sze,الحجم
tutankhamun,توت عنخ آمون
paratrooper,مظلي
ratatouille,راتاتوي
orlov,أورلوف
enormity,ضخامة
doran,دوران
kaja,كاجا
self-sacrifice,التضحية بالنفس
ascetic,زاهد
shortcake,كعكة قصيرة
dozy,ناعس
expedient,وسيلة
ballerinas,راقصات الباليه
paley,بايلي
balaclava,قناع الوجه
haruna,هارونا
misogynist,كاره للنساء
lingered,استمر الوضع لفترة طويلة
skeptics,المتشككون
bulgarians,البلغاريون
ovary,المبيض
heartstrings,أوتار القلب
frans,فرانس
instalments,أقساط
teases,تشويقات
sacrilegious,تدنيس للمقدسات
josephus,يوسيفوس
hosed,تم رشه بالخرطوم
pizarro,بيزارو
flaked,متقشر
rogan,روغان
yaar,يا رجل
newscast,نشرة الأخبار
artefact,قطعة أثرية
cockatoo,ببغاء الكوكاتو
corsican,كورسيك
holtz,هولتز
conceals,يخفي
shortening,تقصير
overexcited,متحمس للغاية
exuberance,بهجة
marinate,تتبيل
tyke,طفل صغير
examines,يفحص
chakras,الشاكرات
ukrainians,الأوكرانيون
technicalities,الصلاحيات الفنية
implicit,ضمني
gribble,غريبل
outwitted,تفوق عليه بذكائه
unawares,غير مدرك
rona,كورونا
fellatio,الخيانة الزوجية
seeger,سيجر
sparklers,الألعاب النارية
crosswalk,ممر للمشاة
rename,إعادة تسمية
endicott,إنديكوت
detaining,الاحتجاز
neutrino,النيوترينو
replicating,التكرار
zaza,زازا
repressive,قمعي
buckwheat,الحنطة السوداء
relent,الاستسلام
raze,هدم
rrr,رررر
usurper,مغتصب السلطة
linton,لينتون
pixel,بكسل
angelika,أنجليكا
misinterpret,سوء الفهم
tiredness,التعب
stockman,بائع غنم
resonates,يتردد صداه
beset,محاصر
gresham,جريشام
kraus,كراوس
kanna,كانا
discriminating,تمييزي
watchmaker,صانع ساعات
mich,ميش
societal,المجتمع
entre,بين
oxycodone,أوكسيكودون
virulent,شديد العدوى
nightshade,الباذنجان
replicas,نسخ طبق الأصل
overloading,التحميل الزائد
buoys,عوامات
selects,يختار
fishmonger,بائع أسماك
hangzhou,هانغتشو
ferrer,فيرير
shinde,شيندي
surety,الكفالة
caskets,توابيت
inane,تافه
sadism,سادية
semtex,سيمتكس
maryam,مريم
guapo,غوابو
blindfolds,عصابات للعينين
lifer,المسجون مدى الحياة
supercomputer,حاسوب عملاق
serra,سيرا
gratified,سعيد
flail,المذراة
peeler,مقشرة
thackeray,ثاكيراي
chillax,استرخِ
well-connected,ذو علاقات جيدة
shakespearean,شكسبير
retailer,بائع تجزئة
memorise,حفظ
mchale,مكهال
disengaged,تم فصله
werther,ويرثر
lamia,لاميا
crumpet,كعكة الكرامبيت
hyped,هيبات
sandbag,أكياس الرمل
friendlies,مباريات ودية
amphibian,برمائي
drei,دراي
gabbing,الثرثرة
high-priced,أسعار مرتفعة
examiners,الممتحنين
pawan,باوان
fathead,رأس سمين
sadat,سادات
whupped,ضرب
devore,يلتهم
cassock,كاهن
disabling,تعطيل
bac,العودة
eyeballing,النظر بالعين
butted,متلاصق
conceded,أقر
mcfadden,مكفادين
diddly,ديدلي
rn,rn
platoons,الفصائل
disassemble,فكك
brecht,بريشت
lehmann,ليمان
reliance,الاعتماد
quiets,هدوء
mopped,مسح
bilingual,ثنائي اللغة
thrombosis,تجلط الدم
acs,acs
pish,هراء
alum,الشب
valiantly,بشجاعة
yasuda,ياسودا
feigning,التظاهر
geppetto,جيبيتو
rees,ريس
nave,صحن الكنيسة
johnsons,جونسون
reachable,يمكن الوصول إليه
ratified,تمت المصادقة عليه
infuriated,غاضب
intruded,اقتحم
tani,تاني
agitator,محرك تقليب
banquets,الولائم
modelled,تم تصميمه
laxatives,الملينات
underling,مرؤوس
eventuality,الاحتمال
dudu,دودو
high-stakes,مخاطر عالية
heffernan,هيفيرنان
milanese,ميلانو
mosby,موسبي
thirty-nine,تسعة وثلاثون
moussa,موسى
acumen,الفطنة
uttering,التلفظ
liquidation,تصفية
densely,بكثافة
garson,غارسون
racquet,مضرب
mariposa,ماريبوسا
creditor,الدائن
leyton,ليتون
wastrel,المضيع
myanmar,ميانمار
southeastern,جنوب شرق
elon,إيلون
strum,مداعبة أوتار الآلة الموسيقية
whistleblower,مُبلغ عن المخالفات
chesterfield,تشيسترفيلد
scowl,عبوس
chancellery,ديوان المستشارية
marcelle,مارسيل
jima,جيما
sudoku,سودوكو
karnak,الكرنك
mercifully,لحسن الحظ
tailor-made,مصمم خصيصاً
wol,ذئب
environmentalists,دعاة حماية البيئة
inexperience,قلة الخبرة
bungalows,بنغلات
flecks,بقع
firebird,طائر النار
tillie,تيلي
amniotic,السائل الأمنيوسي
bogie,بوجي
hiv-positive,مصاب بفيروس نقص المناعة البشرية
mikasa,ميكاسا
inigo,إنيغو
nepotism,المحسوبية
thicket,غابة كثيفة
poultice,كمد
high-grade,جودة عالية
good-hearted,طيب القلب
okeydoke,حسناً
meteorologist,خبير الأرصاد الجوية
sympathizers,المتعاطفون
iss,العدد
salesgirl,بائعة
capacities,القدرات
nags,ناغ
gridlock,ازدحام مروري خانق
brawls,مشاجرات
babi,بابي
boonies,المناطق النائية
mobilizing,التعبئة
empathetic,متعاطف
pathos,عاطفة
medalist,حائز على ميدالية
phallic,قضيبي
trickier,أكثر صعوبة
demerol,ديميرول
rebar,حديد التسليح
nitin,نيتين
undergrowth,الشجيرات
dunking,الغطس
regularity,الانتظام
logos,الشعارات
all-clear,كل شيء على ما يرام
albin,ألبين
exquisitely,بشكل رائع
ocp,ocp
lhasa,لاسا
buttering,دهن الزبدة
sopranos,مغنيات السوبرانو
surfacing,السطح
assuring,مطمئن
tancredi,تانكريدي
acropolis,الأكروبوليس
cadre,كادر
vicariously,بشكل غير مباشر
sweeties,حلواتي
cort,كورت
potpourri,مجففات
braveheart,شجاع القلب
peacekeeping,حفظ السلام
heigh-ho,هيهو
evocative,مثير للمشاعر
taipan,تايبان
sues,يقاضي
snarky,ساخر
leopoldo,ليوبولدو
dosh,دوش
inconsolable,لا يمكن مواساته
kamala,كامالا
humped,أحدب
dixit,ديكسيت
whiskeys,أنواع الويسكي
timmins,تيمينز
tono,لون
flaccid,رخو
robles,روبليس
goli,جولي
saperstein,سابرشتاين
hephaestus,هيفايستوس
blighter,تلف
outrank,أعلى رتبة
maga,ماغا
pokes,نكز
prospector,منقب عن الذهب
fibrosis,تليف
smudges,لطخات
caddie,حامل حقائب الغولف
fortuna,فورتونا
airbags,الوسائد الهوائية
tico,تيكو
masts,الصواري
cpu,وحدة المعالجة المركزية
themself,أنفسهم
gratin,غراتان
snafu,خطأ
zaps,صواعق
infield,الملعب الداخلي
moonbeam,شعاع القمر
projectionist,عامل جهاز العرض
laminated,مغلف
jovial,مرح
purifying,مُنَقٍِّ
sidelined,تهميش
cf,انظر
sunbathe,تسفع
pygmies,الأقزام
publishes,ينشر
bestseller,الأكثر مبيعًا
facets,جوانب
unremarkable,غير ملحوظ
pembroke,بيمبروك
gam,غام
one-handed,بيد واحدة
kitsch,ابتذال
gauss,غاوس
fleury,فلوري
miscarriages,الإجهاض
eisenstein,أيزنشتاين
martinique,مارتينيك
clamor,صخب
statewide,على مستوى الولاية
jinnah,جناح
valens,فالينس
raked,تم تجريفها
hardens,يتصلب
leh,ليه
frizzy,جعد
penmanship,فن الخط
bloodhounds,كلاب الصيد
domo,دومو
surfed,تزلجت على الماء
ches,تشيس
metatron,ميتاترون
lethargic,خمول
fireside,بجانب المدفأة
prompting,الحث
berets,القبعات الفرنسية
marauders,الغزاة
far-reaching,بعيد المدى
flocked,مخملي
environmentalist,ناشط بيئي
hea,رأس
ilyich,إيليتش
circumvent,التحايل
sellout,نفدت الكمية
passcode,رمز المرور
dwellings,المساكن
denouncing,التنديد
seul,وحيد
puccini,بوتشيني
glitz,بريق
simmering,يغلي ببطء
parfait,بارفيه
well-built,بناء جيد
miwa,ميوا
aras,أراس
khyber,خيبر
impresario,منظم حفلات
moratorium,وقف مؤقت
gottfried,تم قليها
hydroxide,هيدروكسيد
hemoglobin,الهيموجلوبين
provo,بروفو
pharmacies,الصيدليات
scabbard,غمد
weaned,مفطوم
langham,لانغهام
thrusts,دفعات
aclu,الاتحاد الأمريكي للحريات المدنية
jacobi,جاكوبي
seraphim,سيرافيم
conman,يخدع رجل
filings,برادة
bianco,بيانكو
passe,عتيق
indistinguishable,لا يمكن تمييزها
stipulate,ينص على
waistline,محيط الخصر
marita,ماريتا
shrank,تقلص حجمه
quintessential,جوهري
pertains,يتعلق
kubo,كوبو
beulah,بيولا
high-value,قيمة عالية
joules,جول
heists,عمليات سطو
sunburned,حروق الشمس
authorise,التفويض
fleck,بقعة
splice,لصق
bloggers,المدونون
fawkes,فوكس
achoo,عطسة
unproven,غير مثبت
winnebago,وينيباغو
negotiators,المفاوضون
bawl,صراخ
rarer,أندر
contra,ضد
nevermore,بعد اليوم أبدا
orton,أورتون
shrub,شجيرة
scholarly,أكاديمي
replication,النسخ المتماثل
levee,السد
teriyaki,ترياكي
hs,hs
sansa,سانسا
appendage,ملحق
clubbed,ضرب بالهراوات
helmer,هيلمر
finnerty,فينيرتي
propensity,الميل
faeces,وجوه
ite,ite
substandard,دون المستوى المطلوب
filtration,الترشيح
grigori,غريغوري
can-can,كان-كان
bix,بيكس
sado,سادو
orator,خطيب
interventions,التدخلات
sulfate,كبريتات
lumiere,لوميير
nello,نيلو
bubby,بوبي
singsong,غناء
nieves,نيفيس
exxon,إكسون
scribes,الكتبة
lancashire,لانكشاير
broadly,بشكل عام
doornail,مسمار الباب
ride-along,مرافقة الركوب
evert,كل شيء
alienating,مُنَفِّر
manufactures,المصنعين
tackles,تدخلات
molto,مولتو
blathering,ثرثرة
beetroot,الشمندر
dripped,تقطر
leander,ليندر
ninety-five,خمسة وتسعون
tartan,الترتان
capsized,انقلاب
raunchy,فاحش
xan,زان
braided,مضفر
gusta,غوستا
hypoxia,نقص الأكسجة
best-case,أفضل الحالات
lani,لاني
befell,حدث
canteens,المقاصف
juicing,عصر الفواكه والخضراوات
belles,جميلات
berserker,برسيركر
armoire,خزانة ملابس
arliss,أرليس
rainier,رينيه
coffey,كوفي
assessor,المُقيِّم
thc,مادة THC
sedgwick,سيدجويك
belted,مربوط بحزام
sq,مربع
crips,كريبس
kirov,كيروف
untenable,لا يمكن تحمله
piqued,استثارته
snacking,تناول الوجبات الخفيفة
tantamount,مكافئ
millan,ميلان
thermonuclear,نووي حراري
sociopathic,الشخصية المعادية للمجتمع
outgrow,يتجاوز
eerily,بشكل غريب
roux,رو
torrid,متقد
stopover,محطة توقف مؤقتة
huskies,كلاب الهاسكي
bristles,شعيرات
stonebridge,ستونبريدج
slats,شرائح
electrically,كهربائيا
deems,يعتبر
duluth,دولوث
rejoiced,ابتهجوا
gemstone,حجر كريم
kissin,تقبيل
golan,الجولان
miniskirt,تنورة قصيرة
aperture,فتحة
anchorman,مذيع الأخبار
diazepam,ديازيبام
consoles,أجهزة الألعاب
misdemeanors,الجنح
impassable,غير قابل للاجتياز
jaunt,رحلة قصيرة
melodious,رخيم
self-taught,مُعلّم ذاتيًا
woeful,محزن
fabulously,بشكل رائع
zappa,زابا
duffle,حقيبة سفر
amateurish,هاوٍ
petro,بترو
volt,فولت
sign-up,اشتراك
berm,حافة ترابية
shackle,مكبل
davos,دافوس
vanni,فاني
nagy,ناجي
chauncey,تشونسي
unyielding,لا يلين
inuyasha,إينوياشا
arcades,صالات الألعاب
sit-in,اعتصام
sleuth,نقب
sickens,يُمرض
crimp,تجعيد
tuxedos,البدلات الرسمية
bouillabaisse,حساء البويابيس
collaborative,التعاون
cellist,عازف التشيلو
ead,اقرأ
rationale,الأساس المنطقي
byproduct,منتج ثانوي
cackle,ثرثرة
inhibit,تثبيط
pulverized,مسحوق
formative,تكويني
streaking,التعري
craw,جراد البحر
cammie,كامي
porthole,كوة
radon,رادون
swiping,التمرير
yokel,الجلف
bended,منحني
anglican,أنجليكاني
hippocampus,الحصين
ethnicity,عِرق
decryption,فك التشفير
supplementary,إضافي
italiano,إيطالي
restock,إعادة التخزين
geno,جينو
great-great-grandfather,الجد الأكبر
fateh,فاتح
receptor,مستقبل
woodley,وودلي
branco,برانكو
topo,طبوغرافيا
mariners,البحارة
virgilia,فيرجيليا
aegean,بحر إيجة
mouldy,متعفن
blobs,كتل
archeologists,علماء الآثار
slurs,شتائم
talentless,عديم الموهبة
stabilizers,مثبتات
percocet,بيركوسيت
cretaceous,العصر الطباشيري
deciphering,فك الشفرة
shawnee,شاوني
animators,رسامو الرسوم المتحركة
grammys,جوائز غرامي
tsung,تسونغ
bloodlines,سلالات الدم
debriefed,تم استجوابه
bandy,باندي
yat,يات
briana,بريانا
alexey,أليكسي
gouda,جودا
hyoid,العظم اللامي
dismissive,متجاهل
thither,هناك
goings-on,الأحداث الجارية
eddington,إدينغتون
chitra,شيترا
double-edged,ذو حدين
hindustan,هندوستان
shafted,تم طعنه
reloading,إعادة التحميل
rottweiler,كلب روت وايلر
sussman,سوسمان
coincided,تزامن
lessing,التخفيضات
spiffy,أنيق
alena,ألينا
miniatures,المنمنمات
hot-air,هواء ساخن
adhd,اضطراب فرط الحركة ونقص الانتباه
junky,مدمن
moneymaker,مربح
starships,سفن الفضاء
fallow,فالو
familiarize,التعرف على
laboured,عمل بجد
caliente,كالينتي
iain,إيان
xue,شو
reimbursed,تم تعويضها
strangeness,غرابة
harlequin,مهرج
eriksen,إريكسن
deviled,شيطاني
imprudent,متهور
cosmonaut,رائد فضاء
encircled,محاط بدائرة
kirkman,كيركمان
sonora,سونورا
oman,عمان
washout,غسل
banerjee,بانيرجي
pythons,بايثون
prosecutions,الملاحقات القضائية
argon,الأرجون
nutrient,العناصر الغذائية
faro,فارو
panache,أناقة
butterworth,بتروورث
amicably,بشكل ودي
milliseconds,أجزاء من الثانية
hammersley,هامرسلي
kanazawa,كانازاوا
perjured,شهادة زور
